Symbol;Price;Change24;Max24;Min24;Volume24
ACMUSDT;5.13500000;-1.610;5.32300000;5.04800000;672346.31850000
ACMUSDT;5.13500000;-1.610;5.32300000;5.04800000;672346.31850000
ACMUSDT;5.13200000;-1.686;5.32300000;5.04800000;672109.85790000
ACMUSDT;5.13200000;-1.686;5.32300000;5.04800000;672109.85790000
ACMUSDT;5.13200000;-1.686;5.32300000;5.04800000;672109.85790000
ACMUSDT;5.13200000;-1.686;5.32300000;5.04800000;672109.85790000
ACMUSDT;5.13200000;-1.686;5.32300000;5.04800000;672109.85790000
ACMUSDT;5.13200000;-1.686;5.32300000;5.04800000;672109.85790000
ACMUSDT;5.13200000;-1.686;5.32300000;5.04800000;672109.85790000
ACMUSDT;5.12900000;-1.686;5.32300000;5.04800000;672109.85790000
ACMUSDT;5.12900000;-1.743;5.32300000;5.04800000;672147.59410000
ACMUSDT;5.12900000;-1.743;5.32300000;5.04800000;672147.59410000
ACMUSDT;5.12900000;-1.743;5.32300000;5.04800000;672147.59410000
ACMUSDT;5.12300000;-1.708;5.32300000;5.04800000;672478.75890000
ACMUSDT;5.12300000;-1.708;5.32300000;5.04800000;672478.75890000
ACMUSDT;5.12300000;-1.708;5.32300000;5.04800000;672478.75890000
ACMUSDT;5.12300000;-1.708;5.32300000;5.04800000;672478.75890000
ACMUSDT;5.12300000;-1.708;5.32300000;5.04800000;672478.75890000
ACMUSDT;5.12300000;-1.708;5.32300000;5.04800000;672478.75890000
ACMUSDT;5.12300000;-1.708;5.32300000;5.04800000;672478.75890000
ACMUSDT;5.12300000;-1.708;5.32300000;5.04800000;672478.75890000
ACMUSDT;5.11600000;-1.708;5.32300000;5.04800000;672478.75890000
ACMUSDT;5.11600000;-1.974;5.32300000;5.04800000;672310.53690000
ACMUSDT;5.11600000;-1.974;5.32300000;5.04800000;672310.53690000
ACMUSDT;5.11600000;-1.974;5.32300000;5.04800000;672310.53690000
ACMUSDT;5.11600000;-1.974;5.32300000;5.04800000;672310.53690000
ACMUSDT;5.11600000;-1.842;5.32300000;5.04800000;669230.02580000
ACMUSDT;5.11600000;-1.842;5.32300000;5.04800000;669230.02580000
ACMUSDT;5.11600000;-1.842;5.32300000;5.04800000;669230.02580000
ACMUSDT;5.11600000;-1.748;5.32300000;5.04800000;669136.33460000
ACMUSDT;5.11600000;-1.748;5.32300000;5.04800000;669136.33460000
ACMUSDT;5.12800000;-1.748;5.32300000;5.04800000;669136.33460000
ACMUSDT;5.12800000;-1.706;5.32300000;5.04800000;669533.72880000
ACMUSDT;5.12800000;-1.706;5.32300000;5.04800000;669533.72880000
ACMUSDT;5.12800000;-1.706;5.32300000;5.04800000;669533.72880000
ACMUSDT;5.12800000;-1.706;5.32300000;5.04800000;669533.72880000
ACMUSDT;5.11300000;-2.218;5.32300000;5.04800000;665963.71640000
ACMUSDT;5.11300000;-2.218;5.32300000;5.04800000;665963.71640000
ACMUSDT;5.11300000;-2.218;5.32300000;5.04800000;665963.71640000
ACMUSDT;5.11300000;-2.330;5.32300000;5.04800000;665390.55680000
ACMUSDT;5.11300000;-2.330;5.32300000;5.04800000;665390.55680000
ACMUSDT;5.10300000;-2.330;5.32300000;5.04800000;665390.55680000
ACMUSDT;5.11300000;-2.073;5.32300000;5.04800000;661822.40220000
ACMUSDT;5.11300000;-1.881;5.32300000;5.04800000;661870.97570000
ACMUSDT;5.11300000;-1.881;5.32300000;5.04800000;661870.97570000
ACMUSDT;5.11300000;-1.881;5.32300000;5.04800000;661870.97570000
ACMUSDT;5.11300000;-1.881;5.32300000;5.04800000;661870.97570000
ACMUSDT;5.11300000;-1.881;5.32300000;5.04800000;661870.97570000
ACMUSDT;5.11300000;-2.031;5.32300000;5.04800000;661668.78890000
ACMUSDT;5.11300000;-2.031;5.32300000;5.04800000;661668.78890000
ACMUSDT;5.11300000;-2.031;5.32300000;5.04800000;661668.78890000
ACMUSDT;5.11300000;-2.405;5.32300000;5.04800000;661656.57320000
ACMUSDT;5.11300000;-2.405;5.32300000;5.04800000;661656.57320000
ACMUSDT;5.11300000;-2.405;5.32300000;5.04800000;661706.68060000
ACMUSDT;5.11300000;-2.405;5.32300000;5.04800000;661706.68060000
ACMUSDT;5.11300000;-2.405;5.32300000;5.04800000;661706.68060000
ACMUSDT;5.11300000;-2.405;5.32300000;5.04800000;661706.68060000
ACMUSDT;5.11300000;-2.405;5.32300000;5.04800000;661706.68060000
ACMUSDT;5.11300000;-2.405;5.32300000;5.04800000;661706.68060000
ACMUSDT;5.11300000;-2.405;5.32300000;5.04800000;661706.68060000
ACMUSDT;5.11300000;-1.956;5.32300000;5.04800000;662062.57400000
ACMUSDT;5.11400000;-1.937;5.32300000;5.04800000;662711.01500000
ACMUSDT;5.11400000;-1.937;5.32300000;5.04800000;662711.01500000
ACMUSDT;5.11300000;-1.956;5.32300000;5.04800000;662421.28560000
ACMUSDT;5.11300000;-1.956;5.32300000;5.04800000;662421.28560000
ACMUSDT;5.11300000;-1.956;5.32300000;5.04800000;662421.28560000
ACMUSDT;5.11300000;-1.956;5.32300000;5.04800000;662421.28560000
ACMUSDT;5.10300000;-1.956;5.32300000;5.04800000;662421.28560000
