Symbol;Price;Change24;Max24;Min24;Volume24
ADADOWNUSDT;0.00577600;-3.347;0.00661100;0.00550000;3332176.68097949
ADADOWNUSDT;0.00577500;-3.250;0.00661100;0.00550000;3333536.12839449
ADADOWNUSDT;0.00577500;-3.250;0.00661100;0.00550000;3333513.91935712
ADADOWNUSDT;0.00577500;-3.250;0.00661100;0.00550000;3333412.91940037
ADADOWNUSDT;0.00577900;-3.183;0.00661100;0.00550000;3333563.53897991
ADADOWNUSDT;0.00577900;-3.458;0.00661100;0.00550000;3333172.34650072
ADADOWNUSDT;0.00577900;-3.523;0.00661100;0.00550000;3332858.72457670
ADADOWNUSDT;0.00577900;-3.523;0.00661100;0.00550000;3330849.15302758
ADADOWNUSDT;0.00579000;-3.339;0.00661100;0.00550000;3329445.37507838
ADADOWNUSDT;0.00579000;-3.452;0.00661100;0.00550000;3328206.71681628
ADADOWNUSDT;0.00579000;-3.064;0.00661100;0.00550000;3328041.03339136
ADADOWNUSDT;0.00579000;-3.371;0.00661100;0.00550000;3327689.79192354
ADADOWNUSDT;0.00579900;-3.221;0.00661100;0.00550000;3327715.10682015
ADADOWNUSDT;0.00583300;-2.458;0.00661100;0.00550000;3326639.67656039
ADADOWNUSDT;0.00583300;-2.458;0.00661100;0.00550000;3326639.67656039
ADADOWNUSDT;0.00583100;-2.443;0.00661100;0.00550000;3326644.00638007
ADADOWNUSDT;0.00582300;-2.577;0.00661100;0.00550000;3326825.87529844
ADADOWNUSDT;0.00582300;-2.560;0.00661100;0.00550000;3326738.94324033
ADADOWNUSDT;0.00582300;-2.495;0.00661100;0.00550000;3328306.23870960
ADADOWNUSDT;0.00585000;-2.207;0.00661100;0.00550000;3329094.24514833
ADADOWNUSDT;0.00586800;-1.855;0.00661100;0.00550000;3327584.33494706
ADADOWNUSDT;0.00587700;-2.017;0.00661100;0.00550000;3327634.24793137
ADADOWNUSDT;0.00588000;-2.196;0.00661100;0.00550000;3326117.72597620
ADADOWNUSDT;0.00586300;-2.267;0.00661100;0.00550000;3323722.00144779
ADADOWNUSDT;0.00585100;-2.153;0.00661100;0.00550000;3322694.54510989
ADADOWNUSDT;0.00585000;-1.627;0.00661100;0.00550000;3318885.12302917
ADADOWNUSDT;0.00588700;-1.277;0.00661100;0.00550000;3320109.14609066
ADADOWNUSDT;0.00587300;-1.526;0.00661100;0.00550000;3319979.59379287
ADADOWNUSDT;0.00588300;-1.507;0.00661100;0.00550000;3320048.83770386
ADADOWNUSDT;0.00586500;-2.059;0.00661100;0.00550000;3320736.91514784
ADADOWNUSDT;0.00583200;-2.296;0.00661100;0.00550000;3323133.54612864
ADADOWNUSDT;0.00583200;-1.950;0.00661100;0.00550000;3321764.92473290
ADADOWNUSDT;0.00582300;-2.217;0.00661100;0.00550000;3321777.63864296
ADADOWNUSDT;0.00582100;-2.184;0.00661100;0.00550000;3321217.63900831
ADADOWNUSDT;0.00581700;-2.331;0.00661100;0.00550000;3317360.29565405
ADADOWNUSDT;0.00581700;-2.644;0.00661100;0.00550000;3314993.22600923
ADADOWNUSDT;0.00581100;-2.745;0.00661100;0.00550000;3315098.02576715
ADADOWNUSDT;0.00580400;-2.862;0.00661100;0.00550000;3315160.22462335
ADADOWNUSDT;0.00580400;-2.878;0.00661100;0.00550000;3315552.83629051
ADADOWNUSDT;0.00580400;-2.764;0.00661100;0.00550000;3314852.54111569
ADADOWNUSDT;0.00582300;-2.479;0.00661100;0.00550000;3310878.96711594
ADADOWNUSDT;0.00583300;-2.544;0.00661100;0.00550000;3310783.81366956
ADADOWNUSDT;0.00583300;-2.377;0.00661100;0.00550000;3310943.14958913
ADADOWNUSDT;0.00583300;-2.393;0.00661100;0.00550000;3310929.05085963
ADADOWNUSDT;0.00583300;-2.393;0.00661100;0.00550000;3310929.05085963
ADADOWNUSDT;0.00583300;-2.523;0.00661100;0.00550000;3310607.90613667
ADADOWNUSDT;0.00580500;-2.926;0.00661100;0.00550000;3309820.19094002
ADADOWNUSDT;0.00580100;-3.204;0.00661100;0.00550000;3309133.27012272
ADADOWNUSDT;0.00580500;-2.780;0.00661100;0.00550000;3308545.90442657
ADADOWNUSDT;0.00580200;-2.618;0.00661100;0.00550000;3308294.37649959
ADADOWNUSDT;0.00581100;-2.614;0.00661100;0.00550000;3308227.26946614
ADADOWNUSDT;0.00580300;-2.665;0.00661100;0.00550000;3308243.39700438
ADADOWNUSDT;0.00580300;-2.602;0.00661100;0.00550000;3308241.32341332
ADADOWNUSDT;0.00580400;-2.634;0.00661100;0.00550000;3308260.38235394
ADADOWNUSDT;0.00580300;-2.651;0.00661100;0.00550000;3308273.67679482
ADADOWNUSDT;0.00580300;-2.651;0.00661100;0.00550000;3308288.67673740
ADADOWNUSDT;0.00581500;-2.417;0.00661100;0.00550000;3308184.01763320
ADADOWNUSDT;0.00581500;-2.400;0.00661100;0.00550000;3308017.61285808
ADADOWNUSDT;0.00581500;-2.400;0.00661100;0.00550000;3307428.61946588
ADADOWNUSDT;0.00581500;-2.220;0.00661100;0.00550000;3306100.89252656
ADADOWNUSDT;0.00579100;-2.787;0.00661100;0.00550000;3301222.02131067
ADADOWNUSDT;0.00580900;-2.468;0.00661100;0.00550000;3296134.96345144
ADADOWNUSDT;0.00580900;-2.632;0.00661100;0.00550000;3295661.65087209
ADADOWNUSDT;0.00583300;-2.314;0.00661100;0.00550000;3291636.92034032
ADADOWNUSDT;0.00585000;-1.895;0.00661100;0.00550000;3292638.12077272
ADADOWNUSDT;0.00585100;-2.451;0.00661100;0.00550000;3292895.14481221
ADADOWNUSDT;0.00585000;-2.872;0.00661100;0.00550000;3289922.58093952
ADADOWNUSDT;0.00585600;-2.514;0.00661100;0.00550000;3290982.89352158
ADADOWNUSDT;0.00585900;-2.691;0.00661100;0.00550000;3278866.21414663
ADADOWNUSDT;0.00587000;-2.529;0.00661100;0.00550000;3278260.01953013
ADADOWNUSDT;0.00587000;-2.329;0.00661100;0.00550000;3277027.21881955
ADADOWNUSDT;0.00588100;-2.016;0.00661100;0.00550000;3264923.34045739
ADADOWNUSDT;0.00589300;-2.028;0.00661100;0.00550000;3266439.99345343
ADADOWNUSDT;0.00592400;-2.486;0.00661100;0.00550000;3266287.84534114
ADADOWNUSDT;0.00594300;-0.852;0.00661100;0.00550000;3276768.42123220
ADADOWNUSDT;0.00594300;-0.768;0.00661100;0.00550000;3275531.49656403
ADADOWNUSDT;0.00594500;-0.983;0.00661100;0.00550000;3270556.76908397
ADADOWNUSDT;0.00593100;-1.298;0.00661100;0.00550000;3274139.09301610
ADADOWNUSDT;0.00591100;-1.827;0.00661100;0.00550000;3273618.34394520
ADADOWNUSDT;0.00591400;-1.417;0.00661100;0.00550000;3273214.74390597
ADADOWNUSDT;0.00593000;-1.084;0.00661100;0.00550000;3272800.68421712
ADADOWNUSDT;0.00593000;-1.084;0.00661100;0.00550000;3272800.68421712
ADADOWNUSDT;0.00592400;-1.068;0.00661100;0.00550000;3272871.15800963
ADADOWNUSDT;0.00592000;-1.333;0.00661100;0.00550000;3273000.43350538
ADADOWNUSDT;0.00591300;-1.200;0.00661100;0.00550000;3271671.84199602
ADADOWNUSDT;0.00592300;-1.283;0.00661100;0.00550000;3267894.18326993
ADADOWNUSDT;0.00593400;-0.902;0.00661100;0.00550000;3268499.43624744
ADADOWNUSDT;0.00593400;-0.902;0.00661100;0.00550000;3268499.43624744
ADADOWNUSDT;0.00593400;-1.067;0.00661100;0.00550000;3268510.91698703
ADADOWNUSDT;0.00593400;-0.918;0.00661100;0.00550000;3269076.33575585
ADADOWNUSDT;0.00595000;-0.817;0.00661100;0.00550000;3268962.72950848
ADADOWNUSDT;0.00595000;-0.668;0.00661100;0.00550000;3268709.83106421
ADADOWNUSDT;0.00596500;-0.568;0.00661100;0.00550000;3269357.57626708
ADADOWNUSDT;0.00596500;-0.467;0.00661100;0.00550000;3268285.18304631
ADADOWNUSDT;0.00596500;-0.451;0.00661100;0.00550000;3267985.53304631
ADADOWNUSDT;0.00596300;-0.484;0.00661100;0.00550000;3268184.58412820
ADADOWNUSDT;0.00596300;-0.501;0.00661100;0.00550000;3267807.21207735
ADADOWNUSDT;0.00596800;-0.484;0.00661100;0.00550000;3267533.02351764
ADADOWNUSDT;0.00597900;-0.117;0.00661100;0.00550000;3268008.18399987
ADADOWNUSDT;0.00597800;-0.416;0.00661100;0.00550000;3268767.32657176
ADADOWNUSDT;0.00599900;-0.067;0.00661100;0.00550000;3266677.89760968
ADADOWNUSDT;0.00601000;0.117;0.00661100;0.00550000;3270221.67409201
ADADOWNUSDT;0.00598700;-0.217;0.00661100;0.00550000;3271575.48770797
ADADOWNUSDT;0.00598700;-0.100;0.00661100;0.00550000;3272505.87519063
ADADOWNUSDT;0.00600900;0.267;0.00661100;0.00550000;3272492.81437123
ADADOWNUSDT;0.00601900;0.333;0.00661100;0.00550000;3271263.23646980
ADADOWNUSDT;0.00600800;0.150;0.00661100;0.00550000;3272191.68813764
ADADOWNUSDT;0.00600800;0.100;0.00661100;0.00550000;3270966.28903550
ADADOWNUSDT;0.00599200;-0.167;0.00661100;0.00550000;3273648.62234618
ADADOWNUSDT;0.00599200;-0.117;0.00661100;0.00550000;3273608.19575514
ADADOWNUSDT;0.00598700;-0.033;0.00661100;0.00550000;3273594.11730194
ADADOWNUSDT;0.00598800;-0.167;0.00661100;0.00550000;3274598.01646731
ADADOWNUSDT;0.00598500;-0.283;0.00661100;0.00550000;3274417.65549773
ADADOWNUSDT;0.00598900;-0.150;0.00661100;0.00550000;3274592.73560843
ADADOWNUSDT;0.00598900;-0.083;0.00661100;0.00550000;3276027.66811702
ADADOWNUSDT;0.00597400;-0.417;0.00661100;0.00550000;3275683.10052609
ADADOWNUSDT;0.00597800;-0.466;0.00661100;0.00550000;3275727.01377532
ADADOWNUSDT;0.00597500;-0.632;0.00661100;0.00550000;3273681.45136854
ADADOWNUSDT;0.00596600;-0.748;0.00661100;0.00550000;3269409.55290854
ADADOWNUSDT;0.00596600;-0.897;0.00661100;0.00550000;3269526.13582706
ADADOWNUSDT;0.00596300;-0.947;0.00661100;0.00550000;3269565.15792197
ADADOWNUSDT;0.00595400;-1.096;0.00661100;0.00550000;3269768.08144130
ADADOWNUSDT;0.00595400;-0.899;0.00661100;0.00550000;3267883.11712168
ADADOWNUSDT;0.00594200;-0.934;0.00661100;0.00550000;3267591.04662134
ADADOWNUSDT;0.00595500;-0.651;0.00661100;0.00550000;3266759.08433366
ADADOWNUSDT;0.00596800;-0.651;0.00661100;0.00550000;3266356.74925148
ADADOWNUSDT;0.00596300;-0.650;0.00661100;0.00550000;3267240.87562274
ADADOWNUSDT;0.00596600;-0.534;0.00661100;0.00550000;3265523.80756547
ADADOWNUSDT;0.00593900;-0.351;0.00661100;0.00550000;3264052.54740877
ADADOWNUSDT;0.00593000;-0.936;0.00661100;0.00550000;3263942.36535226
ADADOWNUSDT;0.00593000;-0.936;0.00661100;0.00550000;3263991.41807506
ADADOWNUSDT;0.00591400;-1.203;0.00661100;0.00550000;3263923.85373852
ADADOWNUSDT;0.00591400;-1.203;0.00661100;0.00550000;3263889.16834040
ADADOWNUSDT;0.00591400;-1.203;0.00661100;0.00550000;3263889.16834040
ADADOWNUSDT;0.00592500;-1.169;0.00661100;0.00550000;3264377.55333180
ADADOWNUSDT;0.00592500;-0.837;0.00661100;0.00550000;3261750.88768089
ADADOWNUSDT;0.00592500;-0.887;0.00661100;0.00550000;3261411.07385998
ADADOWNUSDT;0.00590500;-1.221;0.00661100;0.00550000;3265547.32672952
ADADOWNUSDT;0.00590500;-1.221;0.00661100;0.00550000;3265036.56443678
ADADOWNUSDT;0.00590300;-0.890;0.00661100;0.00550000;3264904.27678272
ADADOWNUSDT;0.00587900;-1.225;0.00661100;0.00550000;3264668.18272343
ADADOWNUSDT;0.00587300;-1.311;0.00661100;0.00550000;3264653.84065438
ADADOWNUSDT;0.00584500;-1.311;0.00661100;0.00550000;3264653.84065438
ADADOWNUSDT;0.00585300;-1.614;0.00661100;0.00550000;3264748.48008771
ADADOWNUSDT;0.00584800;-1.564;0.00661100;0.00550000;3264429.12795874
ADADOWNUSDT;0.00584800;-1.863;0.00661100;0.00550000;3261375.82082502
ADADOWNUSDT;0.00584200;-1.963;0.00661100;0.00550000;3262994.76623821
ADADOWNUSDT;0.00582500;-1.434;0.00661100;0.00550000;3260972.39031614
ADADOWNUSDT;0.00582500;-1.104;0.00661100;0.00550000;3263027.11728944
ADADOWNUSDT;0.00583000;-0.681;0.00661100;0.00550000;3262853.59868532
ADADOWNUSDT;0.00582900;-0.800;0.00661100;0.00550000;3264607.37891344
ADADOWNUSDT;0.00584100;-0.630;0.00661100;0.00550000;3264845.01411484
ADADOWNUSDT;0.00583700;-0.341;0.00661100;0.00550000;3264551.76167624
ADADOWNUSDT;0.00583600;-0.443;0.00661100;0.00550000;3261286.00282134
ADADOWNUSDT;0.00585300;-0.341;0.00661100;0.00550000;3265483.47827634
ADADOWNUSDT;0.00586300;-0.051;0.00661100;0.00550000;3268021.37871414
ADADOWNUSDT;0.00586100;-0.051;0.00661100;0.00550000;3271954.03883501
ADADOWNUSDT;0.00585700;-0.272;0.00661100;0.00550000;3268594.26445091
ADADOWNUSDT;0.00585700;-0.272;0.00661100;0.00550000;3268594.26445091
ADADOWNUSDT;0.00583800;-0.832;0.00661100;0.00550000;3268103.51300092
ADADOWNUSDT;0.00583800;-0.951;0.00661100;0.00550000;3268030.59549766
ADADOWNUSDT;0.00582500;-0.834;0.00661100;0.00550000;3268469.22580077
ADADOWNUSDT;0.00582500;-0.834;0.00661100;0.00550000;3268469.22580077
ADADOWNUSDT;0.00581900;-0.970;0.00661100;0.00550000;3268310.16140945
ADADOWNUSDT;0.00584100;-1.184;0.00661100;0.00550000;3264782.03806407
ADADOWNUSDT;0.00583100;-1.403;0.00661100;0.00550000;3264496.78876702
ADADOWNUSDT;0.00583100;-1.403;0.00661100;0.00550000;3264496.78876702
