Symbol;Price;Change24;Max24;Min24;Volume24
ALCXUSDT;235.20000000;-5.542;250.70000000;232.90000000;4090707.53147000
ALCXUSDT;235.20000000;-5.542;250.70000000;232.90000000;4090707.53147000
ALCXUSDT;236.90000000;-5.020;250.70000000;232.90000000;4101657.35048000
ALCXUSDT;237.40000000;-4.659;250.70000000;232.90000000;4103051.08319000
ALCXUSDT;236.50000000;-4.701;250.70000000;232.90000000;4104051.26576000
ALCXUSDT;236.00000000;-5.183;250.70000000;232.90000000;4104606.70479000
ALCXUSDT;236.00000000;-5.259;250.70000000;232.90000000;4107644.20410000
ALCXUSDT;236.10000000;-5.219;250.70000000;232.90000000;4110180.71619000
ALCXUSDT;235.90000000;-5.299;250.70000000;232.90000000;4112544.69972000
ALCXUSDT;235.90000000;-5.299;250.70000000;232.90000000;4115127.36813000
ALCXUSDT;235.80000000;-5.299;250.70000000;232.90000000;4119584.37511000
ALCXUSDT;235.80000000;-5.299;250.70000000;232.90000000;4127965.41865000
ALCXUSDT;235.90000000;-5.299;250.70000000;232.90000000;4132774.50744000
ALCXUSDT;235.90000000;-5.147;250.70000000;232.90000000;4135067.02366000
ALCXUSDT;235.90000000;-5.147;250.70000000;232.90000000;4136970.90179000
ALCXUSDT;235.90000000;-5.147;250.70000000;232.90000000;4138103.52846000
ALCXUSDT;235.90000000;-5.147;250.70000000;232.90000000;4139792.78477000
ALCXUSDT;235.90000000;-5.187;250.70000000;232.90000000;4157857.44227000
ALCXUSDT;235.90000000;-5.070;250.70000000;232.90000000;4158283.20076000
ALCXUSDT;235.80000000;-5.111;250.70000000;232.90000000;4160428.24280000
ALCXUSDT;235.80000000;-5.034;250.70000000;232.90000000;4155228.52381000
ALCXUSDT;235.80000000;-5.034;250.70000000;232.90000000;4155228.52381000
ALCXUSDT;235.80000000;-5.034;250.70000000;232.90000000;4155228.52381000
ALCXUSDT;235.80000000;-5.034;250.70000000;232.90000000;4155228.52381000
ALCXUSDT;235.80000000;-5.034;250.70000000;232.90000000;4155228.52381000
ALCXUSDT;235.80000000;-5.339;250.70000000;232.90000000;4155009.87305000
ALCXUSDT;235.80000000;-5.339;250.70000000;232.90000000;4155009.87305000
ALCXUSDT;235.80000000;-5.339;250.70000000;232.90000000;4155009.87305000
ALCXUSDT;235.80000000;-5.339;250.70000000;232.90000000;4155009.87305000
ALCXUSDT;235.80000000;-5.339;250.70000000;232.90000000;4155009.87305000
ALCXUSDT;235.80000000;-5.339;250.70000000;232.90000000;4155009.87305000
ALCXUSDT;235.80000000;-5.263;250.70000000;232.90000000;4154989.87032000
ALCXUSDT;235.80000000;-5.263;250.70000000;232.90000000;4154989.87032000
ALCXUSDT;236.10000000;-5.143;250.70000000;232.90000000;4155198.28021000
ALCXUSDT;236.10000000;-5.143;250.70000000;232.90000000;4155198.28021000
ALCXUSDT;236.50000000;-4.982;250.70000000;232.90000000;4155365.36746000
ALCXUSDT;236.50000000;-4.982;250.70000000;232.90000000;4155365.36746000
ALCXUSDT;236.50000000;-4.867;250.70000000;232.90000000;4154653.54780000
ALCXUSDT;236.50000000;-4.867;250.70000000;232.90000000;4154653.54780000
ALCXUSDT;236.50000000;-4.867;250.70000000;232.90000000;4154364.47679000
ALCXUSDT;236.50000000;-4.867;250.70000000;232.90000000;4154364.47679000
ALCXUSDT;236.50000000;-4.867;250.70000000;232.90000000;4152656.12915000
ALCXUSDT;236.50000000;-4.867;250.70000000;232.90000000;4152378.34351000
ALCXUSDT;236.50000000;-4.867;250.70000000;232.90000000;4152242.11071000
ALCXUSDT;236.00000000;-5.068;250.70000000;232.90000000;4152477.44991000
ALCXUSDT;235.60000000;-5.068;250.70000000;232.90000000;4152477.44991000
ALCXUSDT;235.20000000;-5.267;250.70000000;232.90000000;4153608.65337000
ALCXUSDT;235.20000000;-5.428;250.70000000;232.90000000;4153624.34121000
