Symbol;Price;Change24;Max24;Min24;Volume24
ARDRUSDT;0.22740000;0.309;0.23040000;0.21830000;588033.50230000
ARDRUSDT;0.22740000;0.309;0.23040000;0.21830000;588033.50230000
ARDRUSDT;0.22740000;0.309;0.23040000;0.21830000;588033.50230000
ARDRUSDT;0.22740000;0.309;0.23040000;0.21830000;588033.50230000
ARDRUSDT;0.22740000;0.309;0.23040000;0.21830000;588033.50230000
ARDRUSDT;0.22740000;0.309;0.23040000;0.21830000;588033.50230000
ARDRUSDT;0.22740000;0.309;0.23040000;0.21830000;588033.50230000
ARDRUSDT;0.22740000;0.309;0.23040000;0.21830000;588033.50230000
ARDRUSDT;0.22740000;0.309;0.23040000;0.21830000;588033.50230000
ARDRUSDT;0.22650000;-0.176;0.23040000;0.21830000;581590.99010000
ARDRUSDT;0.22690000;0.000;0.23040000;0.21830000;581347.98020000
ARDRUSDT;0.22690000;0.000;0.23040000;0.21830000;581347.98020000
ARDRUSDT;0.22690000;0.000;0.23040000;0.21830000;581347.98020000
ARDRUSDT;0.22690000;0.000;0.23040000;0.21830000;581347.98020000
ARDRUSDT;0.22690000;0.000;0.23040000;0.21830000;581347.98020000
ARDRUSDT;0.22710000;0.177;0.23040000;0.21830000;580480.30670000
ARDRUSDT;0.22720000;0.265;0.23040000;0.21830000;582030.01550000
ARDRUSDT;0.22720000;0.265;0.23040000;0.21830000;582030.01550000
ARDRUSDT;0.22720000;0.132;0.23040000;0.21830000;581984.69550000
ARDRUSDT;0.22700000;0.132;0.23040000;0.21830000;581984.69550000
ARDRUSDT;0.22700000;0.044;0.23040000;0.21830000;582722.21850000
ARDRUSDT;0.22700000;0.044;0.23040000;0.21830000;582722.21850000
ARDRUSDT;0.22700000;0.044;0.23040000;0.21830000;582722.21850000
ARDRUSDT;0.22700000;0.044;0.23040000;0.21830000;582722.21850000
ARDRUSDT;0.22700000;0.044;0.23040000;0.21830000;582722.21850000
ARDRUSDT;0.22700000;0.044;0.23040000;0.21830000;582722.21850000
ARDRUSDT;0.22690000;0.000;0.23040000;0.21830000;582498.26820000
ARDRUSDT;0.22690000;0.000;0.23040000;0.21830000;582498.26820000
ARDRUSDT;0.22690000;0.000;0.23040000;0.21830000;582541.83300000
ARDRUSDT;0.22690000;0.000;0.23040000;0.21830000;582563.61540000
ARDRUSDT;0.22690000;0.000;0.23040000;0.21830000;582563.61540000
ARDRUSDT;0.22690000;0.000;0.23040000;0.21830000;582563.61540000
ARDRUSDT;0.22690000;0.000;0.23040000;0.21830000;582563.61540000
ARDRUSDT;0.22690000;-0.044;0.23040000;0.21830000;582314.02540000
ARDRUSDT;0.22690000;-0.044;0.23040000;0.21830000;582314.02540000
ARDRUSDT;0.22690000;-0.088;0.23040000;0.21830000;566794.03540000
ARDRUSDT;0.22690000;-0.088;0.23040000;0.21830000;566794.03540000
ARDRUSDT;0.22690000;-0.088;0.23040000;0.21830000;566794.03540000
ARDRUSDT;0.22690000;-0.088;0.23040000;0.21830000;566794.03540000
ARDRUSDT;0.22690000;-0.088;0.23040000;0.21830000;566794.03540000
ARDRUSDT;0.22690000;-0.088;0.23040000;0.21830000;566794.03540000
ARDRUSDT;0.22660000;-0.352;0.23040000;0.21830000;566672.65530000
ARDRUSDT;0.22660000;-0.352;0.23040000;0.21830000;566672.65530000
ARDRUSDT;0.22660000;-0.352;0.23040000;0.21830000;566672.65530000
ARDRUSDT;0.22660000;-0.352;0.23040000;0.21830000;566672.65530000
ARDRUSDT;0.22670000;-0.352;0.23040000;0.21830000;566654.00850000
ARDRUSDT;0.22670000;-0.308;0.23040000;0.21830000;566753.30310000
ARDRUSDT;0.22720000;-0.308;0.23040000;0.21830000;566753.30310000
ARDRUSDT;0.22720000;-0.088;0.23040000;0.21830000;566765.11750000
ARDRUSDT;0.22720000;-0.088;0.23040000;0.21830000;566765.11750000
ARDRUSDT;0.22740000;0.000;0.23040000;0.21830000;567808.23620000
ARDRUSDT;0.22740000;0.000;0.23040000;0.21830000;567808.23620000
ARDRUSDT;0.22740000;0.000;0.23040000;0.21830000;567808.23620000
ARDRUSDT;0.22740000;0.000;0.23040000;0.21830000;567808.23620000
ARDRUSDT;0.22740000;0.000;0.23040000;0.21830000;568219.60280000
ARDRUSDT;0.22730000;-0.044;0.23040000;0.21830000;568710.10410000
ARDRUSDT;0.22730000;-0.044;0.23040000;0.21830000;568710.10410000
ARDRUSDT;0.22730000;-0.044;0.23040000;0.21830000;568710.10410000
ARDRUSDT;0.22730000;-0.044;0.23040000;0.21830000;568710.10410000
ARDRUSDT;0.22720000;-0.088;0.23040000;0.21830000;568936.46480000
ARDRUSDT;0.22720000;-0.088;0.23040000;0.21830000;568936.46480000
ARDRUSDT;0.22720000;-0.132;0.23040000;0.21830000;570099.79230000
ARDRUSDT;0.22720000;-0.132;0.23040000;0.21830000;570099.79230000
ARDRUSDT;0.22720000;-0.044;0.23040000;0.21830000;569486.80150000
ARDRUSDT;0.22720000;-0.044;0.23040000;0.21830000;569486.80150000
ARDRUSDT;0.22720000;0.132;0.23040000;0.21830000;569447.02400000
ARDRUSDT;0.22720000;0.132;0.23040000;0.21830000;569447.02400000
ARDRUSDT;0.22720000;0.044;0.23040000;0.21830000;568890.70110000
ARDRUSDT;0.22710000;0.000;0.23040000;0.21830000;568991.77980000
ARDRUSDT;0.22710000;0.000;0.23040000;0.21830000;568991.77980000
ARDRUSDT;0.22710000;0.000;0.23040000;0.21830000;568991.77980000
ARDRUSDT;0.22760000;0.486;0.23040000;0.21830000;569786.76060000
ARDRUSDT;0.22750000;0.442;0.23040000;0.21830000;570025.63560000
ARDRUSDT;0.22750000;0.442;0.23040000;0.21830000;570025.63560000
ARDRUSDT;0.22750000;0.575;0.23040000;0.21830000;570009.55410000
ARDRUSDT;0.22680000;0.265;0.23040000;0.21830000;570059.22330000
ARDRUSDT;0.22680000;0.265;0.23040000;0.21830000;570059.22330000
ARDRUSDT;0.22680000;0.132;0.23040000;0.21830000;569962.78110000
ARDRUSDT;0.22710000;0.354;0.23040000;0.21830000;570101.33040000
ARDRUSDT;0.22730000;0.442;0.23040000;0.21830000;570112.24080000
ARDRUSDT;0.22730000;0.353;0.23040000;0.21830000;570101.60470000
ARDRUSDT;0.22730000;0.353;0.23040000;0.21830000;570101.60470000
ARDRUSDT;0.22730000;0.353;0.23040000;0.21830000;570101.60470000
ARDRUSDT;0.22730000;0.353;0.23040000;0.21830000;570101.60470000
ARDRUSDT;0.22730000;0.353;0.23040000;0.21830000;570101.60470000
ARDRUSDT;0.22730000;0.353;0.23040000;0.21830000;570101.60470000
ARDRUSDT;0.22730000;0.353;0.23040000;0.21830000;570101.60470000
ARDRUSDT;0.22730000;0.353;0.23040000;0.21830000;570101.60470000
ARDRUSDT;0.22730000;0.353;0.23040000;0.21830000;570101.60470000
ARDRUSDT;0.22730000;0.353;0.23040000;0.21830000;570101.60470000
ARDRUSDT;0.22730000;0.353;0.23040000;0.21830000;570101.60470000
ARDRUSDT;0.22730000;0.353;0.23040000;0.21830000;570101.60470000
ARDRUSDT;0.22730000;0.353;0.23040000;0.21830000;570330.00890000
ARDRUSDT;0.22730000;0.353;0.23040000;0.21830000;570330.00890000
ARDRUSDT;0.22730000;0.353;0.23040000;0.21830000;570330.00890000
ARDRUSDT;0.22730000;0.353;0.23040000;0.21830000;570330.00890000
ARDRUSDT;0.22730000;0.353;0.23040000;0.21830000;570330.00890000
ARDRUSDT;0.22730000;0.353;0.23040000;0.21830000;570330.00890000
ARDRUSDT;0.22730000;0.353;0.23040000;0.21830000;570330.00890000
ARDRUSDT;0.22730000;0.353;0.23040000;0.21830000;570330.00890000
ARDRUSDT;0.22680000;0.353;0.23040000;0.21830000;570330.00890000
ARDRUSDT;0.22680000;-0.132;0.23040000;0.21830000;570589.33310000
ARDRUSDT;0.22680000;-0.132;0.23040000;0.21830000;570589.33310000
ARDRUSDT;0.22680000;-0.132;0.23040000;0.21830000;570589.33310000
ARDRUSDT;0.22680000;-0.132;0.23040000;0.21830000;570589.33310000
ARDRUSDT;0.22680000;-0.132;0.23040000;0.21830000;570589.33310000
ARDRUSDT;0.22680000;-0.132;0.23040000;0.21830000;570589.33310000
ARDRUSDT;0.22680000;-0.132;0.23040000;0.21830000;570589.33310000
ARDRUSDT;0.22680000;-0.132;0.23040000;0.21830000;570589.33310000
ARDRUSDT;0.22680000;-0.132;0.23040000;0.21830000;570589.33310000
ARDRUSDT;0.22630000;-0.220;0.23040000;0.21830000;570805.18410000
ARDRUSDT;0.22630000;-0.220;0.23040000;0.21830000;570805.18410000
ARDRUSDT;0.22630000;-0.220;0.23040000;0.21830000;570805.18410000
ARDRUSDT;0.22630000;-0.220;0.23040000;0.21830000;570805.18410000
ARDRUSDT;0.22630000;-0.220;0.23040000;0.21830000;570805.18410000
ARDRUSDT;0.22630000;-0.220;0.23040000;0.21830000;570805.18410000
ARDRUSDT;0.22630000;-0.220;0.23040000;0.21830000;570805.18410000
ARDRUSDT;0.22630000;-0.220;0.23040000;0.21830000;570805.18410000
ARDRUSDT;0.22630000;-0.220;0.23040000;0.21830000;570805.18410000
ARDRUSDT;0.22630000;-0.220;0.23040000;0.21830000;570805.18410000
ARDRUSDT;0.22630000;-0.352;0.23040000;0.21830000;570794.97810000
ARDRUSDT;0.22630000;-0.352;0.23040000;0.21830000;570794.97810000
ARDRUSDT;0.22670000;-0.176;0.23040000;0.21830000;571813.20950000
ARDRUSDT;0.22670000;-0.176;0.23040000;0.21830000;571813.20950000
ARDRUSDT;0.22700000;-0.088;0.23040000;0.21830000;572007.95630000
ARDRUSDT;0.22700000;-0.088;0.23040000;0.21830000;572007.95630000
ARDRUSDT;0.22730000;-0.088;0.23040000;0.21830000;572007.95630000
ARDRUSDT;0.22750000;0.132;0.23040000;0.21830000;572362.52960000
ARDRUSDT;0.22750000;0.000;0.23040000;0.21830000;571907.34270000
ARDRUSDT;0.22750000;-0.132;0.23040000;0.21830000;571920.53770000
ARDRUSDT;0.22750000;-0.132;0.23040000;0.21830000;571920.53770000
ARDRUSDT;0.22710000;-0.307;0.23040000;0.21830000;572155.49990000
ARDRUSDT;0.22710000;-0.307;0.23040000;0.21830000;572155.49990000
ARDRUSDT;0.22710000;-0.307;0.23040000;0.21830000;572155.49990000
ARDRUSDT;0.22710000;-0.307;0.23040000;0.21830000;572155.49990000
