Symbol;Price;Change24;Max24;Min24;Volume24
ATAUSDT;0.64290000;0.768;0.65350000;0.61000000;4186944.70680000
ATAUSDT;0.64310000;0.752;0.65350000;0.61000000;4186986.31030000
ATAUSDT;0.64310000;1.005;0.65350000;0.61000000;4181221.58420000
ATAUSDT;0.64210000;0.926;0.65350000;0.61000000;4181004.40460000
ATAUSDT;0.64210000;0.816;0.65350000;0.61000000;4180955.84170000
ATAUSDT;0.64210000;0.880;0.65350000;0.61000000;4180937.37160000
ATAUSDT;0.64210000;0.880;0.65350000;0.61000000;4180952.13990000
ATAUSDT;0.64170000;0.880;0.65350000;0.61000000;4180378.88900000
ATAUSDT;0.64170000;0.880;0.65350000;0.61000000;4182609.85030000
ATAUSDT;0.64190000;0.801;0.65350000;0.61000000;4182817.88400000
ATAUSDT;0.64190000;0.769;0.65350000;0.61000000;4182275.36820000
ATAUSDT;0.64210000;0.769;0.65350000;0.61000000;4176982.07740000
ATAUSDT;0.64110000;0.739;0.65350000;0.61000000;4177040.02210000
ATAUSDT;0.64110000;0.675;0.65350000;0.61000000;4177246.03230000
ATAUSDT;0.64110000;0.612;0.65350000;0.61000000;4176711.75710000
ATAUSDT;0.64110000;0.549;0.65350000;0.61000000;4176404.84380000
ATAUSDT;0.64110000;0.549;0.65350000;0.61000000;4176404.84380000
ATAUSDT;0.64080000;0.549;0.65350000;0.61000000;4176263.00990000
ATAUSDT;0.64080000;0.502;0.65350000;0.61000000;4175589.38770000
ATAUSDT;0.64010000;0.486;0.65350000;0.61000000;4175535.20300000
ATAUSDT;0.64050000;0.392;0.65350000;0.61000000;4181710.28150000
ATAUSDT;0.64000000;0.502;0.65350000;0.61000000;4181117.16150000
ATAUSDT;0.64000000;0.376;0.65350000;0.61000000;4181119.51950000
ATAUSDT;0.64100000;0.533;0.65350000;0.61000000;4181642.21440000
ATAUSDT;0.64100000;0.533;0.65350000;0.61000000;4181642.21440000
ATAUSDT;0.64160000;0.391;0.65350000;0.61000000;4174740.16020000
ATAUSDT;0.64160000;0.391;0.65350000;0.61000000;4174740.16020000
ATAUSDT;0.64160000;0.407;0.65350000;0.61000000;4174646.21770000
ATAUSDT;0.64160000;0.407;0.65350000;0.61000000;4174646.21770000
ATAUSDT;0.64160000;0.454;0.65350000;0.61000000;4170484.50410000
ATAUSDT;0.64210000;0.391;0.65350000;0.61000000;4170066.36650000
ATAUSDT;0.64240000;0.532;0.65350000;0.61000000;4171092.52350000
ATAUSDT;0.64240000;0.485;0.65350000;0.61000000;4170957.69450000
ATAUSDT;0.64240000;0.328;0.65350000;0.61000000;4169754.56470000
ATAUSDT;0.64240000;0.312;0.65350000;0.61000000;4167809.84010000
ATAUSDT;0.64240000;0.422;0.65350000;0.61000000;4162956.03100000
ATAUSDT;0.64240000;0.422;0.65350000;0.61000000;4162480.08850000
ATAUSDT;0.64300000;0.610;0.65350000;0.61000000;4156208.32140000
ATAUSDT;0.64300000;0.547;0.65350000;0.61000000;4155997.41840000
ATAUSDT;0.64280000;0.469;0.65350000;0.61000000;4152021.43850000
ATAUSDT;0.64310000;0.454;0.65350000;0.61000000;4151709.30460000
ATAUSDT;0.64310000;0.453;0.65350000;0.61000000;4151956.31880000
ATAUSDT;0.64310000;0.484;0.65350000;0.61000000;4145088.59430000
ATAUSDT;0.64380000;0.609;0.65350000;0.61000000;4145673.67820000
ATAUSDT;0.64380000;0.609;0.65350000;0.61000000;4145673.67820000
ATAUSDT;0.64330000;0.516;0.65350000;0.61000000;4145687.08510000
ATAUSDT;0.64330000;0.516;0.65350000;0.61000000;4145778.93010000
ATAUSDT;0.64360000;0.610;0.65350000;0.61000000;4140627.44900000
ATAUSDT;0.64420000;0.499;0.65350000;0.61000000;4141037.47390000
ATAUSDT;0.64340000;0.374;0.65350000;0.61000000;4141309.63210000
ATAUSDT;0.64300000;0.374;0.65350000;0.61000000;4141309.63210000
ATAUSDT;0.64300000;0.312;0.65350000;0.61000000;4139149.97100000
ATAUSDT;0.64300000;0.469;0.65350000;0.61000000;4137566.06000000
ATAUSDT;0.64300000;0.469;0.65350000;0.61000000;4137566.06000000
ATAUSDT;0.64300000;0.469;0.65350000;0.61000000;4137566.06000000
ATAUSDT;0.64300000;0.469;0.65350000;0.61000000;4137566.06000000
ATAUSDT;0.64300000;0.343;0.65350000;0.61000000;4136749.41750000
ATAUSDT;0.64300000;0.343;0.65350000;0.61000000;4136749.41750000
ATAUSDT;0.64300000;0.343;0.65350000;0.61000000;4136749.41750000
ATAUSDT;0.64300000;0.343;0.65350000;0.61000000;4136749.41750000
ATAUSDT;0.64220000;-0.078;0.65350000;0.61000000;4128768.00500000
ATAUSDT;0.64290000;0.093;0.65350000;0.61000000;4116064.95370000
ATAUSDT;0.64290000;0.093;0.65350000;0.61000000;4116064.95370000
ATAUSDT;0.64270000;0.078;0.65350000;0.61000000;4110960.17530000
ATAUSDT;0.64220000;0.125;0.65350000;0.61000000;4110894.09280000
ATAUSDT;0.64220000;0.407;0.65350000;0.61000000;4109651.30070000
ATAUSDT;0.64220000;0.407;0.65350000;0.61000000;4109651.30070000
ATAUSDT;0.64220000;0.485;0.65350000;0.61000000;4102103.22200000
ATAUSDT;0.64220000;0.375;0.65350000;0.61000000;4034423.04770000
ATAUSDT;0.64220000;0.265;0.65350000;0.61000000;4035399.06670000
ATAUSDT;0.64220000;0.265;0.65350000;0.61000000;4035399.06670000
ATAUSDT;0.64090000;0.094;0.65350000;0.61000000;4034891.69840000
ATAUSDT;0.64110000;0.391;0.65350000;0.61000000;4034127.49960000
ATAUSDT;0.64110000;0.486;0.65350000;0.61000000;4033808.19960000
ATAUSDT;0.64030000;0.392;0.65350000;0.61000000;4024146.32800000
ATAUSDT;0.64030000;0.392;0.65350000;0.61000000;4024146.32800000
ATAUSDT;0.63950000;0.455;0.65350000;0.61000000;4024118.26480000
ATAUSDT;0.63950000;0.503;0.65350000;0.61000000;4028308.16640000
ATAUSDT;0.64070000;0.755;0.65350000;0.61000000;4018615.30620000
ATAUSDT;0.64070000;0.581;0.65350000;0.61000000;4018241.26870000
ATAUSDT;0.64070000;0.502;0.65350000;0.61000000;4016914.26590000
ATAUSDT;0.64070000;0.376;0.65350000;0.61000000;4016752.97160000
ATAUSDT;0.64070000;0.407;0.65350000;0.61000000;4016931.08620000
ATAUSDT;0.64070000;0.407;0.65350000;0.61000000;4016931.08620000
ATAUSDT;0.64070000;0.407;0.65350000;0.61000000;4016931.08620000
ATAUSDT;0.64040000;0.360;0.65350000;0.61000000;4014124.65180000
ATAUSDT;0.64040000;0.282;0.65350000;0.61000000;4013257.12020000
ATAUSDT;0.64040000;0.282;0.65350000;0.61000000;4013257.12020000
ATAUSDT;0.64000000;0.219;0.65350000;0.61000000;4013483.04020000
ATAUSDT;0.64000000;0.219;0.65350000;0.61000000;4013483.04020000
ATAUSDT;0.64000000;0.219;0.65350000;0.61000000;4013483.04020000
ATAUSDT;0.64010000;0.266;0.65350000;0.61000000;4013503.54890000
ATAUSDT;0.63970000;0.204;0.65350000;0.61000000;4013632.12860000
ATAUSDT;0.63940000;0.157;0.65350000;0.61000000;4013394.01400000
ATAUSDT;0.63940000;0.110;0.65350000;0.61000000;4013411.91720000
ATAUSDT;0.63940000;0.047;0.65350000;0.61000000;4013342.90880000
ATAUSDT;0.63940000;0.047;0.65350000;0.61000000;4013342.90880000
ATAUSDT;0.63940000;-0.047;0.65350000;0.61000000;4012437.30410000
ATAUSDT;0.63940000;-0.047;0.65350000;0.61000000;4012437.30410000
ATAUSDT;0.63890000;-0.172;0.65350000;0.61000000;4012607.16430000
ATAUSDT;0.63820000;-0.219;0.65350000;0.61000000;4012376.22680000
ATAUSDT;0.63750000;-0.328;0.65350000;0.61000000;4013001.32990000
ATAUSDT;0.63690000;-0.515;0.65350000;0.61000000;4014513.32240000
ATAUSDT;0.63690000;-0.515;0.65350000;0.61000000;4014513.32240000
ATAUSDT;0.63800000;-0.219;0.65350000;0.61000000;4014516.47510000
ATAUSDT;0.63730000;-0.344;0.65350000;0.61000000;4015164.62030000
ATAUSDT;0.63830000;-0.344;0.65350000;0.61000000;4015164.62030000
ATAUSDT;0.63830000;-0.188;0.65350000;0.61000000;4016481.78010000
ATAUSDT;0.63830000;-0.203;0.65350000;0.61000000;4016454.92110000
ATAUSDT;0.63830000;-0.203;0.65350000;0.61000000;4016454.92110000
ATAUSDT;0.63830000;-0.203;0.65350000;0.61000000;4016454.92110000
ATAUSDT;0.63830000;-0.203;0.65350000;0.61000000;4016454.92110000
ATAUSDT;0.63830000;-0.203;0.65350000;0.61000000;4016454.92110000
ATAUSDT;0.63830000;-0.203;0.65350000;0.61000000;4017435.38740000
ATAUSDT;0.63830000;-0.266;0.65350000;0.61000000;4016928.44140000
ATAUSDT;0.63820000;-0.281;0.65350000;0.61000000;4017167.76640000
ATAUSDT;0.63820000;-0.141;0.65350000;0.61000000;4016667.92640000
ATAUSDT;0.63830000;-0.110;0.65350000;0.61000000;4016587.38540000
ATAUSDT;0.63830000;-0.110;0.65350000;0.61000000;4016587.38540000
ATAUSDT;0.63970000;0.188;0.65350000;0.61000000;4016951.54420000
ATAUSDT;0.63970000;0.188;0.65350000;0.61000000;4016951.54420000
ATAUSDT;0.63970000;0.063;0.65350000;0.61000000;4007238.84890000
ATAUSDT;0.63970000;-0.094;0.65350000;0.61000000;4007070.07370000
ATAUSDT;0.63970000;-0.094;0.65350000;0.61000000;4007070.07370000
ATAUSDT;0.63970000;-0.172;0.65350000;0.61000000;4006770.41330000
ATAUSDT;0.63900000;-0.281;0.65350000;0.61000000;4005051.36090000
ATAUSDT;0.63900000;-0.219;0.65350000;0.61000000;4004061.26460000
ATAUSDT;0.63970000;-0.265;0.65350000;0.61000000;4003714.19030000
ATAUSDT;0.64060000;-0.312;0.65350000;0.61000000;4004917.67590000
ATAUSDT;0.64070000;-0.140;0.65350000;0.61000000;4005001.80850000
ATAUSDT;0.64070000;-0.140;0.65350000;0.61000000;4005001.80850000
ATAUSDT;0.64070000;-0.202;0.65350000;0.61000000;4004626.41160000
ATAUSDT;0.63990000;-0.327;0.65350000;0.61000000;3999842.83550000
ATAUSDT;0.63990000;-0.327;0.65350000;0.61000000;3999842.83550000
