Symbol;Price;Change24;Max24;Min24;Volume24
AUDIOUSDT;1.68800000;-1.689;1.74600000;1.61600000;7362589.79540000
AUDIOUSDT;1.68800000;-1.689;1.74600000;1.61600000;7360771.34860000
AUDIOUSDT;1.68600000;-1.805;1.74600000;1.61600000;7360477.02870000
AUDIOUSDT;1.68600000;-1.805;1.74600000;1.61600000;7360314.01180000
AUDIOUSDT;1.68600000;-1.863;1.74600000;1.61600000;7359617.24670000
AUDIOUSDT;1.68900000;-1.920;1.74600000;1.61600000;7359071.89490000
AUDIOUSDT;1.68800000;-1.689;1.74600000;1.61600000;7394990.07310000
AUDIOUSDT;1.68800000;-1.574;1.74600000;1.61600000;7389507.80540000
AUDIOUSDT;1.68800000;-1.459;1.74600000;1.61600000;7389702.21860000
AUDIOUSDT;1.68400000;-1.808;1.74600000;1.61600000;7392032.92910000
AUDIOUSDT;1.68400000;-1.808;1.74600000;1.61600000;7394809.68160000
AUDIOUSDT;1.68400000;-1.922;1.74600000;1.61600000;7387425.69290000
AUDIOUSDT;1.68600000;-1.576;1.74600000;1.61600000;7386832.48030000
AUDIOUSDT;1.68600000;-1.691;1.74600000;1.61600000;7377644.48670000
AUDIOUSDT;1.68600000;-1.691;1.74600000;1.61600000;7377644.48670000
AUDIOUSDT;1.68600000;-1.805;1.74600000;1.61600000;7376840.45810000
AUDIOUSDT;1.68500000;-1.805;1.74600000;1.61600000;7374069.29880000
AUDIOUSDT;1.68500000;-1.864;1.74600000;1.61600000;7374677.87030000
AUDIOUSDT;1.68500000;-1.864;1.74600000;1.61600000;7374677.87030000
AUDIOUSDT;1.68300000;-1.980;1.74600000;1.61600000;7375735.75780000
AUDIOUSDT;1.68300000;-1.923;1.74600000;1.61600000;7374366.37530000
AUDIOUSDT;1.68300000;-1.923;1.74600000;1.61600000;7374219.82890000
AUDIOUSDT;1.68300000;-1.923;1.74600000;1.61600000;7374119.72010000
AUDIOUSDT;1.68300000;-1.923;1.74600000;1.61600000;7374062.10100000
AUDIOUSDT;1.68300000;-1.923;1.74600000;1.61600000;7374062.10100000
AUDIOUSDT;1.68300000;-2.208;1.74600000;1.61600000;7369797.49870000
AUDIOUSDT;1.68500000;-2.092;1.74600000;1.61600000;7365338.69690000
AUDIOUSDT;1.68500000;-2.035;1.74600000;1.61600000;7365313.74240000
AUDIOUSDT;1.68400000;-2.036;1.74600000;1.61600000;7365248.47470000
AUDIOUSDT;1.68200000;-2.095;1.74600000;1.61600000;7365004.71120000
AUDIOUSDT;1.68200000;-2.209;1.74600000;1.61600000;7364756.45180000
AUDIOUSDT;1.68400000;-2.207;1.74600000;1.61600000;7363692.14560000
AUDIOUSDT;1.68400000;-2.207;1.74600000;1.61600000;7363093.75060000
AUDIOUSDT;1.68500000;-2.207;1.74600000;1.61600000;7363093.75060000
AUDIOUSDT;1.68500000;-2.149;1.74600000;1.61600000;7363190.63020000
AUDIOUSDT;1.68400000;-2.092;1.74600000;1.61600000;7362369.04550000
AUDIOUSDT;1.68400000;-2.150;1.74600000;1.61600000;7363034.22550000
AUDIOUSDT;1.68400000;-2.035;1.74600000;1.61600000;7360265.99150000
AUDIOUSDT;1.68500000;-2.035;1.74600000;1.61600000;7356031.86350000
AUDIOUSDT;1.68500000;-2.035;1.74600000;1.61600000;7356031.86350000
AUDIOUSDT;1.68500000;-2.092;1.74600000;1.61600000;7355300.00350000
AUDIOUSDT;1.68500000;-2.035;1.74600000;1.61600000;7355036.51840000
AUDIOUSDT;1.68500000;-2.092;1.74600000;1.61600000;7354590.52240000
AUDIOUSDT;1.68600000;-2.034;1.74600000;1.61600000;7355809.43240000
AUDIOUSDT;1.68600000;-1.977;1.74600000;1.61600000;7355796.35280000
AUDIOUSDT;1.68800000;-1.803;1.74600000;1.61600000;7354454.93710000
AUDIOUSDT;1.68800000;-1.803;1.74600000;1.61600000;7353526.67710000
AUDIOUSDT;1.68900000;-1.745;1.74600000;1.61600000;7353418.08790000
AUDIOUSDT;1.68800000;-1.860;1.74600000;1.61600000;7353263.90930000
AUDIOUSDT;1.68700000;-1.860;1.74600000;1.61600000;7352286.74570000
