Symbol;Price;Change24;Max24;Min24;Volume24
AUDUSDT;0.72490000;0.499;0.72590000;0.71250000;23641398.40560000
AUDUSDT;0.72490000;0.513;0.72590000;0.71250000;23640640.35020000
AUDUSDT;0.72490000;0.513;0.72590000;0.71250000;23640648.20320000
AUDUSDT;0.72490000;0.499;0.72590000;0.71250000;23636594.11920000
AUDUSDT;0.72490000;0.513;0.72590000;0.71250000;23634181.49970000
AUDUSDT;0.72480000;0.527;0.72590000;0.71250000;23640965.66180000
AUDUSDT;0.72470000;0.527;0.72590000;0.71250000;23621221.67650000
AUDUSDT;0.72460000;0.527;0.72590000;0.71250000;23618214.08170000
AUDUSDT;0.72460000;0.513;0.72590000;0.71250000;23625111.00070000
AUDUSDT;0.72460000;0.513;0.72590000;0.71250000;23617407.06050000
AUDUSDT;0.72470000;0.527;0.72590000;0.71250000;23601568.30580000
AUDUSDT;0.72460000;0.527;0.72590000;0.71250000;23601917.05680000
AUDUSDT;0.72460000;0.527;0.72590000;0.71250000;23600922.35280000
AUDUSDT;0.72470000;0.513;0.72590000;0.71250000;23600482.61260000
AUDUSDT;0.72470000;0.541;0.72590000;0.71250000;23599951.69380000
AUDUSDT;0.72460000;0.513;0.72590000;0.71250000;23601364.48000000
AUDUSDT;0.72460000;0.527;0.72590000;0.71250000;23587817.73780000
AUDUSDT;0.72460000;0.513;0.72590000;0.71250000;23575498.14600000
AUDUSDT;0.72460000;0.513;0.72590000;0.71250000;23579454.46200000
AUDUSDT;0.72460000;0.499;0.72590000;0.71250000;23576458.25600000
AUDUSDT;0.72430000;0.458;0.72590000;0.71250000;23588411.25050000
AUDUSDT;0.72430000;0.458;0.72590000;0.71250000;23560623.93610000
AUDUSDT;0.72430000;0.444;0.72590000;0.71250000;23546355.05530000
AUDUSDT;0.72430000;0.430;0.72590000;0.71250000;23545287.70120000
AUDUSDT;0.72430000;0.430;0.72590000;0.71250000;23545287.70120000
AUDUSDT;0.72430000;0.416;0.72590000;0.71250000;23533465.27590000
AUDUSDT;0.72410000;0.388;0.72590000;0.71250000;23548386.97370000
AUDUSDT;0.72380000;0.361;0.72590000;0.71250000;23562082.56230000
AUDUSDT;0.72390000;0.374;0.72590000;0.71250000;23566092.42370000
AUDUSDT;0.72380000;0.361;0.72590000;0.71250000;23566289.46290000
AUDUSDT;0.72380000;0.347;0.72590000;0.71250000;23573005.15030000
AUDUSDT;0.72380000;0.347;0.72590000;0.71250000;23570087.72180000
AUDUSDT;0.72390000;0.374;0.72590000;0.71250000;23571274.12120000
AUDUSDT;0.72390000;0.360;0.72590000;0.71250000;23566535.19090000
AUDUSDT;0.72390000;0.360;0.72590000;0.71250000;23567081.24290000
AUDUSDT;0.72390000;0.374;0.72590000;0.71250000;23566993.96560000
AUDUSDT;0.72390000;0.374;0.72590000;0.71250000;23566339.11600000
AUDUSDT;0.72390000;0.402;0.72590000;0.71250000;23550705.63490000
AUDUSDT;0.72390000;0.402;0.72590000;0.71250000;23549277.32660000
AUDUSDT;0.72390000;0.402;0.72590000;0.71250000;23549471.33620000
AUDUSDT;0.72400000;0.402;0.72590000;0.71250000;23548059.73070000
AUDUSDT;0.72390000;0.402;0.72590000;0.71250000;23549986.72460000
AUDUSDT;0.72380000;0.402;0.72590000;0.71250000;23549986.72460000
AUDUSDT;0.72380000;0.374;0.72590000;0.71250000;23532590.89580000
AUDUSDT;0.72380000;0.361;0.72590000;0.71250000;23511012.41160000
AUDUSDT;0.72380000;0.361;0.72590000;0.71250000;23508732.23940000
AUDUSDT;0.72380000;0.360;0.72590000;0.71250000;23508195.80160000
AUDUSDT;0.72380000;0.347;0.72590000;0.71250000;23508557.70160000
AUDUSDT;0.72380000;0.347;0.72590000;0.71250000;23508413.12280000
AUDUSDT;0.72380000;0.347;0.72590000;0.71250000;23511680.36600000
AUDUSDT;0.72380000;0.347;0.72590000;0.71250000;23510268.06060000
AUDUSDT;0.72390000;0.347;0.72590000;0.71250000;23504280.79040000
AUDUSDT;0.72380000;0.333;0.72590000;0.71250000;23504261.73700000
AUDUSDT;0.72370000;0.333;0.72590000;0.71250000;23504465.93670000
AUDUSDT;0.72370000;0.333;0.72590000;0.71250000;23514662.76780000
AUDUSDT;0.72370000;0.333;0.72590000;0.71250000;23514662.76780000
AUDUSDT;0.72370000;0.333;0.72590000;0.71250000;23514662.76780000
AUDUSDT;0.72380000;0.347;0.72590000;0.71250000;23508893.63510000
AUDUSDT;0.72380000;0.347;0.72590000;0.71250000;23508893.63510000
AUDUSDT;0.72380000;0.347;0.72590000;0.71250000;23508893.63510000
AUDUSDT;0.72370000;0.305;0.72590000;0.71250000;23456588.26750000
AUDUSDT;0.72400000;0.347;0.72590000;0.71250000;23486142.66760000
AUDUSDT;0.72400000;0.347;0.72590000;0.71250000;23486362.36760000
AUDUSDT;0.72410000;0.360;0.72590000;0.71250000;23489732.40260000
AUDUSDT;0.72400000;0.347;0.72590000;0.71250000;23490445.75010000
AUDUSDT;0.72400000;0.374;0.72590000;0.71250000;23477737.41600000
AUDUSDT;0.72400000;0.374;0.72590000;0.71250000;23478506.53430000
AUDUSDT;0.72400000;0.402;0.72590000;0.71250000;23478488.62650000
AUDUSDT;0.72400000;0.347;0.72590000;0.71250000;23489648.41020000
AUDUSDT;0.72400000;0.360;0.72590000;0.71250000;23490173.58970000
AUDUSDT;0.72400000;0.360;0.72590000;0.71250000;23489650.63450000
AUDUSDT;0.72390000;0.347;0.72590000;0.71250000;23487830.52050000
AUDUSDT;0.72390000;0.333;0.72590000;0.71250000;23471726.90970000
AUDUSDT;0.72390000;0.333;0.72590000;0.71250000;23471488.09320000
AUDUSDT;0.72390000;0.333;0.72590000;0.71250000;23480271.44820000
AUDUSDT;0.72400000;0.333;0.72590000;0.71250000;23480856.83460000
AUDUSDT;0.72410000;0.319;0.72590000;0.71250000;23481989.06730000
AUDUSDT;0.72430000;0.346;0.72590000;0.71250000;23477788.66760000
AUDUSDT;0.72430000;0.374;0.72590000;0.71250000;23485746.12560000
AUDUSDT;0.72430000;0.360;0.72590000;0.71250000;23466882.28330000
AUDUSDT;0.72430000;0.360;0.72590000;0.71250000;23454288.68600000
