Symbol;Price;Change24;Max24;Min24;Volume24
BAKEUSDT;1.10800000;2.593;1.12500000;1.03400000;6900855.25190000
BAKEUSDT;1.10900000;2.685;1.12500000;1.03400000;6902504.94660000
BAKEUSDT;1.10900000;2.685;1.12500000;1.03400000;6894779.17050000
BAKEUSDT;1.10800000;2.593;1.12500000;1.03400000;6895740.88610000
BAKEUSDT;1.10700000;2.498;1.12500000;1.03400000;6894304.16210000
BAKEUSDT;1.10700000;2.500;1.12500000;1.03400000;6895424.11760000
BAKEUSDT;1.10700000;2.405;1.12500000;1.03400000;6895413.31760000
BAKEUSDT;1.10800000;2.313;1.12500000;1.03400000;6895563.25200000
BAKEUSDT;1.10800000;2.498;1.12500000;1.03400000;6896158.19620000
BAKEUSDT;1.10800000;2.498;1.12500000;1.03400000;6900494.79740000
BAKEUSDT;1.10900000;2.590;1.12500000;1.03400000;6900942.27890000
BAKEUSDT;1.10900000;2.685;1.12500000;1.03400000;6900598.73710000
BAKEUSDT;1.10900000;2.685;1.12500000;1.03400000;6901320.40090000
BAKEUSDT;1.10900000;2.685;1.12500000;1.03400000;6901320.40090000
BAKEUSDT;1.10900000;2.685;1.12500000;1.03400000;6901320.40090000
BAKEUSDT;1.10700000;2.500;1.12500000;1.03400000;6902318.58280000
BAKEUSDT;1.10700000;2.405;1.12500000;1.03400000;6897254.36830000
BAKEUSDT;1.10600000;2.313;1.12500000;1.03400000;6898386.02750000
BAKEUSDT;1.10700000;2.405;1.12500000;1.03400000;6898712.59970000
BAKEUSDT;1.10400000;2.315;1.12500000;1.03400000;6901114.96610000
BAKEUSDT;1.10300000;2.130;1.12500000;1.03400000;6910832.14020000
BAKEUSDT;1.10200000;2.222;1.12500000;1.03400000;6912532.54930000
BAKEUSDT;1.10400000;2.222;1.12500000;1.03400000;6912607.83270000
BAKEUSDT;1.10500000;2.315;1.12500000;1.03400000;6918046.64780000
BAKEUSDT;1.10500000;2.315;1.12500000;1.03400000;6918239.24930000
BAKEUSDT;1.10500000;1.937;1.12500000;1.03400000;6914934.70610000
BAKEUSDT;1.10400000;1.845;1.12500000;1.03400000;6920682.81130000
BAKEUSDT;1.10400000;2.031;1.12500000;1.03400000;6920501.05840000
BAKEUSDT;1.10400000;1.939;1.12500000;1.03400000;6920750.45200000
BAKEUSDT;1.10500000;2.220;1.12500000;1.03400000;6922672.21350000
BAKEUSDT;1.10700000;2.216;1.12500000;1.03400000;6926036.85420000
BAKEUSDT;1.10600000;2.124;1.12500000;1.03400000;6926124.00700000
BAKEUSDT;1.10700000;2.216;1.12500000;1.03400000;6926770.16290000
BAKEUSDT;1.10700000;2.122;1.12500000;1.03400000;6926734.09900000
BAKEUSDT;1.10700000;2.122;1.12500000;1.03400000;6926734.09900000
BAKEUSDT;1.10800000;2.216;1.12500000;1.03400000;6926655.29220000
BAKEUSDT;1.10700000;2.405;1.12500000;1.03400000;6926625.69660000
BAKEUSDT;1.10900000;2.685;1.12500000;1.03400000;6920525.53820000
BAKEUSDT;1.10900000;2.495;1.12500000;1.03400000;6912853.27610000
BAKEUSDT;1.10900000;2.495;1.12500000;1.03400000;6911840.21750000
BAKEUSDT;1.10900000;2.590;1.12500000;1.03400000;6909409.69910000
BAKEUSDT;1.10800000;2.593;1.12500000;1.03400000;6909335.96620000
BAKEUSDT;1.10900000;2.593;1.12500000;1.03400000;6909335.96620000
BAKEUSDT;1.11000000;2.778;1.12500000;1.03400000;6910092.21830000
BAKEUSDT;1.11000000;2.685;1.12500000;1.03400000;6910611.78480000
BAKEUSDT;1.10900000;2.778;1.12500000;1.03400000;6911149.13580000
BAKEUSDT;1.11000000;2.685;1.12500000;1.03400000;6914540.23600000
BAKEUSDT;1.11000000;2.778;1.12500000;1.03400000;6915117.76900000
BAKEUSDT;1.11000000;2.588;1.12500000;1.03400000;6916637.93200000
BAKEUSDT;1.11000000;2.588;1.12500000;1.03400000;6916637.93200000
BAKEUSDT;1.10900000;2.588;1.12500000;1.03400000;6916637.93200000
BAKEUSDT;1.10900000;2.495;1.12500000;1.03400000;6916852.98920000
BAKEUSDT;1.10800000;2.495;1.12500000;1.03400000;6917485.00830000
BAKEUSDT;1.10800000;2.498;1.12500000;1.03400000;6918781.33680000
BAKEUSDT;1.10800000;2.498;1.12500000;1.03400000;6918781.33680000
BAKEUSDT;1.10800000;2.403;1.12500000;1.03400000;6911214.01250000
BAKEUSDT;1.10700000;2.311;1.12500000;1.03400000;6915483.80030000
BAKEUSDT;1.10800000;2.403;1.12500000;1.03400000;6915533.77110000
BAKEUSDT;1.10800000;2.403;1.12500000;1.03400000;6915533.77110000
BAKEUSDT;1.10700000;2.122;1.12500000;1.03400000;6907432.15280000
BAKEUSDT;1.10800000;2.120;1.12500000;1.03400000;6910109.33320000
BAKEUSDT;1.10800000;2.120;1.12500000;1.03400000;6894834.98050000
BAKEUSDT;1.10800000;2.120;1.12500000;1.03400000;6894565.81700000
BAKEUSDT;1.10800000;2.214;1.12500000;1.03400000;6894303.59030000
BAKEUSDT;1.10700000;2.216;1.12500000;1.03400000;6893288.89110000
BAKEUSDT;1.10500000;2.410;1.12500000;1.03400000;6886392.60380000
BAKEUSDT;1.10600000;2.597;1.12500000;1.03400000;6879532.97410000
BAKEUSDT;1.10600000;2.597;1.12500000;1.03400000;6879031.87350000
BAKEUSDT;1.10500000;2.505;1.12500000;1.03400000;6872426.88410000
BAKEUSDT;1.10300000;2.130;1.12500000;1.03400000;6870818.39300000
BAKEUSDT;1.10200000;2.037;1.12500000;1.03400000;6874249.86480000
BAKEUSDT;1.10200000;2.037;1.12500000;1.03400000;6874563.86630000
BAKEUSDT;1.09900000;2.043;1.12500000;1.03400000;6945999.93800000
BAKEUSDT;1.09800000;1.950;1.12500000;1.03400000;6946805.13410000
BAKEUSDT;1.09600000;1.857;1.12500000;1.03400000;6942936.69430000
BAKEUSDT;1.09700000;1.857;1.12500000;1.03400000;6943614.92710000
BAKEUSDT;1.09700000;1.857;1.12500000;1.03400000;6948701.16760000
BAKEUSDT;1.09900000;2.233;1.12500000;1.03400000;6957790.14470000
BAKEUSDT;1.10000000;2.230;1.12500000;1.03400000;6960440.00720000
BAKEUSDT;1.10100000;2.323;1.12500000;1.03400000;6960279.64940000
BAKEUSDT;1.09900000;1.948;1.12500000;1.03400000;6958345.37500000
BAKEUSDT;1.09900000;1.948;1.12500000;1.03400000;6957560.05200000
BAKEUSDT;1.09900000;1.854;1.12500000;1.03400000;6957020.13400000
BAKEUSDT;1.09900000;1.948;1.12500000;1.03400000;6958554.55400000
BAKEUSDT;1.10000000;1.948;1.12500000;1.03400000;6959581.89920000
BAKEUSDT;1.10000000;2.041;1.12500000;1.03400000;6960513.91880000
BAKEUSDT;1.10000000;2.041;1.12500000;1.03400000;6962274.10460000
BAKEUSDT;1.09900000;1.854;1.12500000;1.03400000;6957655.11340000
BAKEUSDT;1.10100000;2.039;1.12500000;1.03400000;6958293.57140000
BAKEUSDT;1.10100000;2.039;1.12500000;1.03400000;6962256.77330000
BAKEUSDT;1.10100000;1.944;1.12500000;1.03400000;6961038.86130000
BAKEUSDT;1.10100000;1.944;1.12500000;1.03400000;6961038.86130000
