Symbol;Price;Change24;Max24;Min24;Volume24
BETAUSDT;0.62760000;-0.933;0.66056000;0.60800000;3275705.87411000
BETAUSDT;0.62837000;-0.933;0.66056000;0.60800000;3275259.51221000
BETAUSDT;0.62837000;-0.966;0.66056000;0.60800000;3273754.93574000
BETAUSDT;0.62837000;-0.966;0.66056000;0.60800000;3273689.58224000
BETAUSDT;0.62837000;-0.966;0.66056000;0.60800000;3273689.58224000
BETAUSDT;0.62871000;-0.933;0.66056000;0.60800000;3273491.61824000
BETAUSDT;0.62871000;-0.913;0.66056000;0.60800000;3270335.37968000
BETAUSDT;0.62783000;-1.051;0.66056000;0.60800000;3270389.37306000
BETAUSDT;0.62783000;-1.051;0.66056000;0.60800000;3270488.93790000
BETAUSDT;0.62763000;-1.089;0.66056000;0.60800000;3270760.05585000
BETAUSDT;0.62758000;-1.056;0.66056000;0.60800000;3270686.17859000
BETAUSDT;0.62754000;-1.063;0.66056000;0.60800000;3270809.18956000
BETAUSDT;0.62757000;-0.913;0.66056000;0.60800000;3270435.11024000
BETAUSDT;0.62727000;-1.066;0.66056000;0.60800000;3270551.20659000
BETAUSDT;0.62910000;-0.914;0.66056000;0.60800000;3270775.92808000
BETAUSDT;0.62771000;-0.928;0.66056000;0.60800000;3271974.80077000
BETAUSDT;0.62888000;-1.036;0.66056000;0.60800000;3271917.77767000
BETAUSDT;0.62790000;-1.017;0.66056000;0.60800000;3271811.58617000
BETAUSDT;0.62793000;-0.964;0.66056000;0.60800000;3271509.81980000
BETAUSDT;0.62757000;-0.902;0.66056000;0.60800000;3271716.31335000
BETAUSDT;0.62757000;-0.902;0.66056000;0.60800000;3272618.13144000
BETAUSDT;0.62752000;-0.910;0.66056000;0.60800000;3272935.02904000
BETAUSDT;0.62752000;-0.910;0.66056000;0.60800000;3272935.02904000
BETAUSDT;0.62714000;-0.910;0.66056000;0.60800000;3272935.02904000
BETAUSDT;0.62714000;-0.871;0.66056000;0.60800000;3271408.81127000
BETAUSDT;0.62650000;-1.167;0.66056000;0.60800000;3266754.06205000
BETAUSDT;0.62650000;-1.185;0.66056000;0.60800000;3266109.62350000
BETAUSDT;0.62766000;-1.006;0.66056000;0.60800000;3267086.43211000
BETAUSDT;0.62645000;-1.247;0.66056000;0.60800000;3267052.99723000
BETAUSDT;0.62682000;-1.224;0.66056000;0.60800000;3266474.00278000
BETAUSDT;0.62700000;-1.224;0.66056000;0.60800000;3268353.97960000
BETAUSDT;0.62671000;-1.215;0.66056000;0.60800000;3269369.08024000
BETAUSDT;0.62689000;-1.229;0.66056000;0.60800000;3269071.57528000
BETAUSDT;0.62701000;-1.226;0.66056000;0.60800000;3269131.75672000
BETAUSDT;0.62700000;-1.193;0.66056000;0.60800000;3268259.07165000
BETAUSDT;0.62700000;-1.210;0.66056000;0.60800000;3268311.14565000
BETAUSDT;0.62700000;-1.215;0.66056000;0.60800000;3268193.09268000
BETAUSDT;0.62867000;-1.253;0.66056000;0.60800000;3269453.27380000
BETAUSDT;0.62683000;-1.160;0.66056000;0.60800000;3269899.45361000
BETAUSDT;0.62660000;-1.177;0.66056000;0.60800000;3269993.08489000
BETAUSDT;0.62724000;-1.177;0.66056000;0.60800000;3270129.15911000
BETAUSDT;0.62719000;-1.210;0.66056000;0.60800000;3270196.87835000
BETAUSDT;0.62711000;-1.152;0.66056000;0.60800000;3270245.07005000
BETAUSDT;0.62712000;-1.158;0.66056000;0.60800000;3270099.39344000
BETAUSDT;0.62711000;-1.207;0.66056000;0.60800000;3270093.59264000
BETAUSDT;0.62677000;-1.198;0.66056000;0.60800000;3270598.37725000
BETAUSDT;0.62663000;-1.220;0.66056000;0.60800000;3270728.12272000
BETAUSDT;0.62669000;-1.154;0.66056000;0.60800000;3270782.04902000
BETAUSDT;0.62690000;-1.193;0.66056000;0.60800000;3270824.15837000
BETAUSDT;0.62695000;-1.191;0.66056000;0.60800000;3270905.70121000
BETAUSDT;0.62729000;-1.166;0.66056000;0.60800000;3270976.56464000
BETAUSDT;0.62678000;-1.470;0.66056000;0.60800000;3267030.24476000
BETAUSDT;0.62678000;-1.392;0.66056000;0.60800000;3266419.33651000
BETAUSDT;0.62678000;-1.399;0.66056000;0.60800000;3266393.91131000
BETAUSDT;0.62888000;-1.068;0.66056000;0.60800000;3270468.93428000
BETAUSDT;0.62888000;-1.068;0.66056000;0.60800000;3270468.93428000
BETAUSDT;0.62888000;-1.068;0.66056000;0.60800000;3270468.93428000
BETAUSDT;0.62696000;-1.370;0.66056000;0.60800000;3270478.96564000
BETAUSDT;0.62701000;-1.508;0.66056000;0.60800000;3269872.21556000
BETAUSDT;0.62701000;-1.500;0.66056000;0.60800000;3270185.72056000
BETAUSDT;0.62736000;-1.417;0.66056000;0.60800000;3273109.60416000
BETAUSDT;0.62690000;-1.635;0.66056000;0.60800000;3270933.31469000
BETAUSDT;0.62687000;-1.640;0.66056000;0.60800000;3271016.06231000
BETAUSDT;0.62660000;-1.439;0.66056000;0.60800000;3266683.38513000
BETAUSDT;0.62660000;-1.439;0.66056000;0.60800000;3266810.58493000
BETAUSDT;0.62631000;-1.372;0.66056000;0.60800000;3266868.12149000
BETAUSDT;0.62660000;-1.326;0.66056000;0.60800000;3266886.91949000
BETAUSDT;0.62660000;-1.326;0.66056000;0.60800000;3266781.50617000
BETAUSDT;0.62624000;-1.383;0.66056000;0.60800000;3269672.10567000
BETAUSDT;0.62624000;-1.439;0.66056000;0.60800000;3268272.71943000
BETAUSDT;0.62623000;-1.339;0.66056000;0.60800000;3267247.88847000
BETAUSDT;0.62633000;-1.390;0.66056000;0.60800000;3264491.01051000
BETAUSDT;0.62673000;-1.284;0.66056000;0.60800000;3262652.91590000
BETAUSDT;0.62740000;-1.284;0.66056000;0.60800000;3262852.08679000
BETAUSDT;0.62611000;-1.104;0.66056000;0.60800000;3242377.78076000
BETAUSDT;0.62611000;-1.046;0.66056000;0.60800000;3243034.69398000
BETAUSDT;0.62611000;-1.046;0.66056000;0.60800000;3243034.69398000
BETAUSDT;0.62610000;-1.034;0.66056000;0.60800000;3243353.24921000
BETAUSDT;0.62580000;-1.067;0.66056000;0.60800000;3245335.83863000
BETAUSDT;0.62580000;-1.008;0.66056000;0.60800000;3246837.35631000
BETAUSDT;0.62586000;-1.054;0.66056000;0.60800000;3247198.10896000
BETAUSDT;0.62580000;-1.054;0.66056000;0.60800000;3247198.10896000
BETAUSDT;0.62566000;-1.142;0.66056000;0.60800000;3246395.27279000
BETAUSDT;0.62566000;-1.333;0.66056000;0.60800000;3246451.69979000
BETAUSDT;0.62576000;-1.214;0.66056000;0.60800000;3245890.98549000
BETAUSDT;0.62576000;-1.222;0.66056000;0.60800000;3246022.39509000
BETAUSDT;0.62576000;-1.208;0.66056000;0.60800000;3245965.38357000
BETAUSDT;0.62566000;-1.189;0.66056000;0.60800000;3245877.34417000
BETAUSDT;0.62576000;-1.173;0.66056000;0.60800000;3245938.04289000
BETAUSDT;0.62610000;-1.120;0.66056000;0.60800000;3246152.79459000
BETAUSDT;0.62566000;-1.181;0.66056000;0.60800000;3246022.96396000
BETAUSDT;0.62566000;-1.250;0.66056000;0.60800000;3246036.72848000
BETAUSDT;0.62566000;-1.250;0.66056000;0.60800000;3246036.72848000
BETAUSDT;0.62560000;-1.250;0.66056000;0.60800000;3246036.72848000
BETAUSDT;0.62570000;-1.245;0.66056000;0.60800000;3247344.75378000
BETAUSDT;0.62570000;-1.230;0.66056000;0.60800000;3247479.29754000
BETAUSDT;0.62570000;-1.245;0.66056000;0.60800000;3247521.84514000
BETAUSDT;0.62570000;-1.245;0.66056000;0.60800000;3247610.08104000
BETAUSDT;0.62570000;-1.227;0.66056000;0.60800000;3247703.76549000
BETAUSDT;0.62570000;-1.234;0.66056000;0.60800000;3247660.05606000
BETAUSDT;0.62570000;-1.234;0.66056000;0.60800000;3247660.05606000
BETAUSDT;0.62570000;-1.234;0.66056000;0.60800000;3247853.39736000
BETAUSDT;0.62509000;-1.331;0.66056000;0.60800000;3247990.31274000
BETAUSDT;0.62500000;-1.345;0.66056000;0.60800000;3248005.93774000
BETAUSDT;0.62368000;-1.364;0.66056000;0.60800000;3256803.04798000
BETAUSDT;0.62506000;-1.534;0.66056000;0.60800000;3256933.40919000
BETAUSDT;0.62374000;-1.545;0.66056000;0.60800000;3258060.75088000
BETAUSDT;0.62395000;-1.539;0.66056000;0.60800000;3258136.22826000
BETAUSDT;0.62405000;-1.496;0.66056000;0.60800000;3258256.65901000
BETAUSDT;0.62371000;-1.617;0.66056000;0.60800000;3258414.74339000
BETAUSDT;0.62418000;-1.552;0.66056000;0.60800000;3258471.95579000
BETAUSDT;0.62427000;-1.528;0.66056000;0.60800000;3258580.57103000
BETAUSDT;0.62425000;-1.575;0.66056000;0.60800000;3257655.38833000
BETAUSDT;0.62447000;-1.540;0.66056000;0.60800000;3257770.89643000
BETAUSDT;0.62454000;-1.531;0.66056000;0.60800000;3258366.75735000
BETAUSDT;0.62422000;-1.528;0.66056000;0.60800000;3260345.01210000
BETAUSDT;0.62422000;-1.614;0.66056000;0.60800000;3260539.59823000
BETAUSDT;0.62454000;-1.564;0.66056000;0.60800000;3260598.92953000
BETAUSDT;0.62469000;-1.540;0.66056000;0.60800000;3262699.82758000
BETAUSDT;0.62498000;-1.535;0.66056000;0.60800000;3262762.92430000
BETAUSDT;0.62476000;-1.529;0.66056000;0.60800000;3263275.27766000
BETAUSDT;0.62479000;-1.502;0.66056000;0.60800000;3259273.29324000
