Symbol;Price;Change24;Max24;Min24;Volume24
BICOUSDT;4.95600000;8.118;5.60000000;4.52400000;32352652.38130000
BICOUSDT;4.88400000;6.245;5.60000000;4.52400000;32607996.39939000
BICOUSDT;4.87700000;6.725;5.60000000;4.52400000;32608192.59967000
BICOUSDT;4.89000000;7.007;5.60000000;4.52400000;32623097.49442000
BICOUSDT;4.88600000;7.079;5.60000000;4.52400000;32637070.38265000
BICOUSDT;4.87800000;6.807;5.60000000;4.52400000;32636952.20234000
BICOUSDT;4.88400000;6.690;5.60000000;4.52400000;32638591.73271000
BICOUSDT;4.88300000;6.686;5.60000000;4.52400000;32631791.63588000
BICOUSDT;4.89000000;7.166;5.60000000;4.52400000;32638166.83173000
BICOUSDT;4.86000000;6.439;5.60000000;4.52400000;32654414.72092000
BICOUSDT;4.86700000;6.362;5.60000000;4.52400000;32655121.85117000
BICOUSDT;4.85900000;6.416;5.60000000;4.52400000;32658122.81953000
BICOUSDT;4.85300000;6.394;5.60000000;4.52400000;32658447.12251000
BICOUSDT;4.85100000;6.265;5.60000000;4.52400000;32668742.89160000
BICOUSDT;4.85000000;6.243;5.60000000;4.52400000;32669888.84960000
BICOUSDT;4.85000000;6.243;5.60000000;4.52400000;32672488.79999000
BICOUSDT;4.85000000;6.243;5.60000000;4.52400000;32673154.72494000
BICOUSDT;4.85100000;6.265;5.60000000;4.52400000;32674419.71280000
BICOUSDT;4.85400000;6.564;5.60000000;4.52400000;32674711.18765000
BICOUSDT;4.84300000;6.498;5.60000000;4.52400000;32678295.92278000
BICOUSDT;4.84400000;6.321;5.60000000;4.52400000;32684988.94829000
BICOUSDT;4.85500000;6.680;5.60000000;4.52400000;32685715.28685000
BICOUSDT;4.84000000;6.039;5.60000000;4.52400000;32728742.48446000
BICOUSDT;4.81500000;5.886;5.60000000;4.52400000;32715634.57829000
BICOUSDT;4.81500000;5.645;5.60000000;4.52400000;32725718.21778000
BICOUSDT;4.81600000;5.476;5.60000000;4.52400000;32741916.10234000
BICOUSDT;4.82500000;5.166;5.60000000;4.52400000;32741901.09258000
BICOUSDT;4.82500000;5.166;5.60000000;4.52400000;32733727.10935000
BICOUSDT;4.82500000;5.144;5.60000000;4.52400000;32733771.53839000
BICOUSDT;4.82600000;5.210;5.60000000;4.52400000;32734151.77086000
BICOUSDT;4.83300000;5.157;5.60000000;4.52400000;32739774.69679000
BICOUSDT;4.83900000;5.287;5.60000000;4.52400000;32741602.35763000
BICOUSDT;4.83900000;5.134;5.60000000;4.52400000;32741792.72477000
BICOUSDT;4.83300000;5.448;5.60000000;4.52400000;32741314.00854000
BICOUSDT;4.83900000;5.088;5.60000000;4.52400000;32735631.53314000
BICOUSDT;4.83900000;5.081;5.60000000;4.52400000;32707058.68050000
BICOUSDT;4.83900000;5.219;5.60000000;4.52400000;32707655.24991000
BICOUSDT;4.83900000;5.173;5.60000000;4.52400000;32707142.28553000
BICOUSDT;4.84200000;5.147;5.60000000;4.52400000;32705853.21424000
BICOUSDT;4.85700000;5.412;5.60000000;4.52400000;32709950.65244000
BICOUSDT;4.86200000;5.646;5.60000000;4.52400000;32717711.76014000
BICOUSDT;4.87500000;5.668;5.60000000;4.52400000;32718138.80750000
BICOUSDT;4.88200000;5.955;5.60000000;4.52400000;32719852.14536000
BICOUSDT;4.89500000;6.037;5.60000000;4.52400000;32721234.33831000
BICOUSDT;4.89500000;6.298;5.60000000;4.52400000;32726035.48174000
BICOUSDT;4.88400000;6.194;5.60000000;4.52400000;32726171.56183000
BICOUSDT;4.88900000;6.190;5.60000000;4.52400000;32727690.05867000
BICOUSDT;4.88900000;6.075;5.60000000;4.52400000;32725077.82032000
BICOUSDT;4.87500000;5.598;5.60000000;4.52400000;32726438.56704000
BICOUSDT;4.88400000;5.732;5.60000000;4.52400000;32723962.08437000
BICOUSDT;4.88900000;5.960;5.60000000;4.52400000;32721221.99774000
BICOUSDT;4.88700000;5.960;5.60000000;4.52400000;32720768.37842000
BICOUSDT;4.87600000;5.871;5.60000000;4.52400000;32720548.71647000
BICOUSDT;4.88800000;5.572;5.60000000;4.52400000;32712983.65244000
BICOUSDT;4.88800000;5.635;5.60000000;4.52400000;32712549.11462000
BICOUSDT;4.88800000;6.238;5.60000000;4.52400000;32705849.09029000
BICOUSDT;4.88800000;5.893;5.60000000;4.52400000;32705446.36718000
BICOUSDT;4.88600000;5.893;5.60000000;4.52400000;32705446.36718000
BICOUSDT;4.88100000;5.918;5.60000000;4.52400000;32702264.24728000
BICOUSDT;4.88800000;6.145;5.60000000;4.52400000;32704970.15375000
BICOUSDT;4.87700000;6.091;5.60000000;4.52400000;32717127.26309000
BICOUSDT;4.87600000;6.000;5.60000000;4.52400000;32709167.17898000
BICOUSDT;4.90000000;6.000;5.60000000;4.52400000;32702134.20098000
BICOUSDT;4.88500000;6.288;5.60000000;4.52400000;32706764.03687000
BICOUSDT;4.88500000;6.659;5.60000000;4.52400000;32706720.31850000
BICOUSDT;4.87100000;6.890;5.60000000;4.52400000;32701327.12309000
BICOUSDT;4.87100000;7.078;5.60000000;4.52400000;32698342.11998000
BICOUSDT;4.87000000;7.056;5.60000000;4.52400000;32697912.00428000
BICOUSDT;4.87000000;6.939;5.60000000;4.52400000;32693092.24228000
BICOUSDT;4.87000000;7.033;5.60000000;4.52400000;32692986.14334000
BICOUSDT;4.87000000;6.939;5.60000000;4.52400000;32692481.59384000
BICOUSDT;4.87500000;6.697;5.60000000;4.52400000;32693020.36279000
BICOUSDT;4.87000000;7.232;5.60000000;4.52400000;32701201.77885000
