Symbol;Price;Change24;Max24;Min24;Volume24
BLZUSDT;0.21800000;-2.809;0.22540000;0.20630000;5541433.09300000
BLZUSDT;0.21820000;-2.895;0.22540000;0.20630000;5536333.10660000
BLZUSDT;0.21820000;-2.633;0.22540000;0.20630000;5536310.24120000
BLZUSDT;0.21820000;-2.633;0.22540000;0.20630000;5536310.24120000
BLZUSDT;0.21820000;-2.676;0.22540000;0.20630000;5533958.81130000
BLZUSDT;0.21810000;-2.677;0.22540000;0.20630000;5533067.57610000
BLZUSDT;0.21810000;-2.677;0.22540000;0.20630000;5533067.57610000
BLZUSDT;0.21800000;-2.765;0.22540000;0.20630000;5531218.91500000
BLZUSDT;0.21780000;-2.855;0.22540000;0.20630000;5530530.52120000
BLZUSDT;0.21780000;-3.028;0.22540000;0.20630000;5530280.16460000
BLZUSDT;0.21780000;-3.028;0.22540000;0.20630000;5530280.16460000
BLZUSDT;0.21780000;-2.855;0.22540000;0.20630000;5529220.98320000
BLZUSDT;0.21790000;-2.636;0.22540000;0.20630000;5528273.16180000
BLZUSDT;0.21790000;-2.636;0.22540000;0.20630000;5528840.67600000
BLZUSDT;0.21760000;-2.770;0.22540000;0.20630000;5531282.15400000
BLZUSDT;0.21810000;-2.721;0.22540000;0.20630000;5531339.56740000
BLZUSDT;0.21810000;-2.721;0.22540000;0.20630000;5531339.56740000
BLZUSDT;0.21810000;-2.721;0.22540000;0.20630000;5531339.56740000
BLZUSDT;0.21810000;-2.677;0.22540000;0.20630000;5522860.05950000
BLZUSDT;0.21790000;-2.723;0.22540000;0.20630000;5519326.89470000
BLZUSDT;0.21790000;-2.767;0.22540000;0.20630000;5521576.98430000
BLZUSDT;0.21790000;-2.506;0.22540000;0.20630000;5519897.09410000
BLZUSDT;0.21820000;-2.371;0.22540000;0.20630000;5519605.31710000
BLZUSDT;0.21840000;-2.413;0.22540000;0.20630000;5518779.22930000
BLZUSDT;0.21840000;-2.456;0.22540000;0.20630000;5518134.30470000
BLZUSDT;0.21840000;-2.760;0.22540000;0.20630000;5516030.03010000
BLZUSDT;0.21840000;-2.890;0.22540000;0.20630000;5513297.47200000
BLZUSDT;0.21840000;-3.020;0.22540000;0.20630000;5510563.02250000
BLZUSDT;0.21830000;-2.805;0.22540000;0.20630000;5510376.36800000
BLZUSDT;0.21860000;-2.671;0.22540000;0.20630000;5508278.29450000
BLZUSDT;0.21860000;-2.715;0.22540000;0.20630000;5508337.37690000
BLZUSDT;0.21860000;-2.628;0.22540000;0.20630000;5508237.38540000
BLZUSDT;0.21860000;-2.628;0.22540000;0.20630000;5508134.78890000
BLZUSDT;0.21860000;-2.628;0.22540000;0.20630000;5508134.78890000
BLZUSDT;0.21860000;-2.628;0.22540000;0.20630000;5507527.06350000
BLZUSDT;0.21860000;-2.541;0.22540000;0.20630000;5505101.27900000
BLZUSDT;0.21860000;-2.541;0.22540000;0.20630000;5504998.77390000
BLZUSDT;0.21860000;-2.498;0.22540000;0.20630000;5497395.91490000
BLZUSDT;0.21900000;-2.537;0.22540000;0.20630000;5493816.21080000
BLZUSDT;0.21900000;-2.276;0.22540000;0.20630000;5493739.64510000
BLZUSDT;0.21910000;-2.232;0.22540000;0.20630000;5492878.77950000
BLZUSDT;0.21910000;-1.969;0.22540000;0.20630000;5490395.66090000
BLZUSDT;0.21910000;-2.013;0.22540000;0.20630000;5490478.02830000
BLZUSDT;0.21910000;-1.925;0.22540000;0.20630000;5490051.62310000
BLZUSDT;0.21910000;-1.925;0.22540000;0.20630000;5490051.62310000
BLZUSDT;0.21900000;-1.970;0.22540000;0.20630000;5487371.88670000
BLZUSDT;0.21900000;-1.926;0.22540000;0.20630000;5485587.21960000
BLZUSDT;0.21930000;-1.747;0.22540000;0.20630000;5486175.89290000
BLZUSDT;0.21930000;-1.791;0.22540000;0.20630000;5486066.26030000
BLZUSDT;0.21930000;-2.011;0.22540000;0.20630000;5484376.75610000
BLZUSDT;0.21900000;-2.188;0.22540000;0.20630000;5484693.71810000
BLZUSDT;0.21900000;-2.057;0.22540000;0.20630000;5483062.05440000
BLZUSDT;0.21900000;-2.013;0.22540000;0.20630000;5480116.95760000
BLZUSDT;0.21900000;-2.013;0.22540000;0.20630000;5480105.07160000
