Symbol;Price;Change24;Max24;Min24;Volume24
BNBUSDT;522.10000000;-1.005;531.20000000;508.30000000;401334752.38550000
BNBUSDT;522.20000000;-0.930;531.20000000;508.30000000;401314570.47730000
BNBUSDT;522.20000000;-0.967;531.20000000;508.30000000;401244199.90760000
BNBUSDT;522.00000000;-0.968;531.20000000;508.30000000;401234364.74970000
BNBUSDT;522.00000000;-0.968;531.20000000;508.30000000;401209426.79420000
BNBUSDT;521.90000000;-0.930;531.20000000;508.30000000;401259509.56060000
BNBUSDT;521.90000000;-0.836;531.20000000;508.30000000;401213944.07440000
BNBUSDT;521.90000000;-0.911;531.20000000;508.30000000;401091858.20000000
BNBUSDT;521.90000000;-0.855;531.20000000;508.30000000;401068167.59050000
BNBUSDT;522.00000000;-0.874;531.20000000;508.30000000;401043523.43410000
BNBUSDT;522.00000000;-0.930;531.20000000;508.30000000;400981886.79550000
BNBUSDT;521.90000000;-0.949;531.20000000;508.30000000;401010420.36490000
BNBUSDT;521.80000000;-0.836;531.20000000;508.30000000;400993543.69690000
BNBUSDT;521.50000000;-1.006;531.20000000;508.30000000;401018176.98940000
BNBUSDT;521.50000000;-0.912;531.20000000;508.30000000;400971086.26350000
BNBUSDT;521.50000000;-0.987;531.20000000;508.30000000;400923809.04010000
BNBUSDT;521.40000000;-1.025;531.20000000;508.30000000;400977095.87630000
BNBUSDT;521.60000000;-1.043;531.20000000;508.30000000;400943200.20560000
BNBUSDT;521.70000000;-0.987;531.20000000;508.30000000;400992932.23210000
BNBUSDT;520.90000000;-1.082;531.20000000;508.30000000;401020475.18450000
BNBUSDT;520.90000000;-1.063;531.20000000;508.30000000;401126090.42950000
BNBUSDT;521.10000000;-1.045;531.20000000;508.30000000;401105594.46810000
BNBUSDT;521.10000000;-1.007;531.20000000;508.30000000;401053565.76850000
BNBUSDT;521.40000000;-1.006;531.20000000;508.30000000;401115681.28110000
BNBUSDT;521.40000000;-1.044;531.20000000;508.30000000;401082157.51140000
BNBUSDT;521.40000000;-1.175;531.20000000;508.30000000;400935032.71840000
BNBUSDT;521.40000000;-1.175;531.20000000;508.30000000;400907285.49220000
BNBUSDT;521.40000000;-1.194;531.20000000;508.30000000;400873823.59030000
BNBUSDT;521.30000000;-1.213;531.20000000;508.30000000;400834993.54190000
BNBUSDT;521.30000000;-1.138;531.20000000;508.30000000;400617092.77410000
BNBUSDT;521.80000000;-1.043;531.20000000;508.30000000;400734647.73760000
BNBUSDT;521.60000000;-1.100;531.20000000;508.30000000;400700168.77500000
BNBUSDT;521.90000000;-1.062;531.20000000;508.30000000;400616424.96500000
BNBUSDT;522.20000000;-1.080;531.20000000;508.30000000;400587090.32520000
BNBUSDT;522.20000000;-1.080;531.20000000;508.30000000;400570844.80990000
BNBUSDT;522.00000000;-1.024;531.20000000;508.30000000;400492619.09430000
BNBUSDT;522.10000000;-0.930;531.20000000;508.30000000;400328535.49130000
BNBUSDT;522.00000000;-0.892;531.20000000;508.30000000;400124503.80850000
BNBUSDT;522.00000000;-0.986;531.20000000;508.30000000;399885302.84430000
BNBUSDT;522.10000000;-0.949;531.20000000;508.30000000;399778497.67830000
BNBUSDT;522.10000000;-0.949;531.20000000;508.30000000;399681380.35060000
BNBUSDT;522.10000000;-0.930;531.20000000;508.30000000;399579881.61470000
BNBUSDT;522.30000000;-0.911;531.20000000;508.30000000;399514423.52180000
BNBUSDT;522.10000000;-0.911;531.20000000;508.30000000;399503136.83470000
BNBUSDT;522.00000000;-0.911;531.20000000;508.30000000;399501947.71440000
BNBUSDT;522.40000000;-0.873;531.20000000;508.30000000;399474970.74210000
BNBUSDT;522.20000000;-0.835;531.20000000;508.30000000;399442910.64790000
BNBUSDT;522.20000000;-0.836;531.20000000;508.30000000;399394108.80180000
BNBUSDT;522.10000000;-0.855;531.20000000;508.30000000;399317554.50770000
BNBUSDT;522.20000000;-0.911;531.20000000;508.30000000;399224023.30250000
BNBUSDT;521.70000000;-0.930;531.20000000;508.30000000;399213745.37840000
BNBUSDT;522.00000000;-0.949;531.20000000;508.30000000;399218914.09590000
BNBUSDT;522.00000000;-0.911;531.20000000;508.30000000;399170074.61040000
BNBUSDT;522.10000000;-0.911;531.20000000;508.30000000;399175594.68780000
BNBUSDT;521.90000000;-0.949;531.20000000;508.30000000;399148512.32070000
BNBUSDT;521.80000000;-0.987;531.20000000;508.30000000;399146493.15560000
BNBUSDT;521.70000000;-0.987;531.20000000;508.30000000;399091991.63860000
BNBUSDT;521.70000000;-1.043;531.20000000;508.30000000;399092220.91360000
BNBUSDT;521.50000000;-1.043;531.20000000;508.30000000;399077945.44790000
BNBUSDT;521.50000000;-1.119;531.20000000;508.30000000;399016044.86890000
BNBUSDT;521.90000000;-1.118;531.20000000;508.30000000;398811038.28650000
BNBUSDT;521.80000000;-1.062;531.20000000;508.30000000;398210249.60480000
BNBUSDT;521.80000000;-1.062;531.20000000;508.30000000;398219069.25270000
BNBUSDT;521.80000000;-1.043;531.20000000;508.30000000;398255267.91650000
BNBUSDT;521.20000000;-1.082;531.20000000;508.30000000;398327145.65180000
BNBUSDT;521.30000000;-0.912;531.20000000;508.30000000;397888669.84610000
BNBUSDT;521.30000000;-0.818;531.20000000;508.30000000;397696828.21000000
BNBUSDT;521.30000000;-0.837;531.20000000;508.30000000;397518833.46580000
BNBUSDT;521.20000000;-0.894;531.20000000;508.30000000;397220222.65480000
BNBUSDT;521.10000000;-0.969;531.20000000;508.30000000;397214024.71970000
BNBUSDT;520.90000000;-0.932;531.20000000;508.30000000;397191639.99740000
BNBUSDT;520.80000000;-0.989;531.20000000;508.30000000;396957974.77950000
BNBUSDT;520.30000000;-0.990;531.20000000;508.30000000;397034338.40180000
BNBUSDT;520.30000000;-0.914;531.20000000;508.30000000;396905951.58890000
BNBUSDT;520.00000000;-0.971;531.20000000;508.30000000;397180873.05470000
BNBUSDT;519.90000000;-1.009;531.20000000;508.30000000;397172108.51850000
BNBUSDT;519.90000000;-0.953;531.20000000;508.30000000;397128971.85600000
BNBUSDT;519.80000000;-0.934;531.20000000;508.30000000;397275468.31510000
BNBUSDT;520.70000000;-0.762;531.20000000;508.30000000;397254984.26460000
BNBUSDT;520.60000000;-0.895;531.20000000;508.30000000;397053342.84190000
