Symbol;Price;Change24;Max24;Min24;Volume24
BTCDOWNUSDT;0.01264400;0.420;0.01363100;0.01217800;4842357.17316779
BTCDOWNUSDT;0.01264400;0.198;0.01363100;0.01217800;4837217.71793182
BTCDOWNUSDT;0.01264400;0.198;0.01363100;0.01217800;4836144.71746099
BTCDOWNUSDT;0.01264400;0.254;0.01363100;0.01217800;4835959.41931515
BTCDOWNUSDT;0.01264400;0.254;0.01363100;0.01217800;4835959.41931515
BTCDOWNUSDT;0.01266600;0.269;0.01363100;0.01217800;4836562.81646613
BTCDOWNUSDT;0.01268200;0.444;0.01363100;0.01217800;4834514.33433396
BTCDOWNUSDT;0.01268200;0.587;0.01363100;0.01217800;4832388.51593372
BTCDOWNUSDT;0.01268200;0.356;0.01363100;0.01217800;4832206.06874865
BTCDOWNUSDT;0.01268200;0.643;0.01363100;0.01217800;4832208.65014865
BTCDOWNUSDT;0.01268200;0.643;0.01363100;0.01217800;4832208.65014865
BTCDOWNUSDT;0.01268200;0.651;0.01363100;0.01217800;4830450.36833892
BTCDOWNUSDT;0.01268200;0.651;0.01363100;0.01217800;4830450.36833892
BTCDOWNUSDT;0.01268200;0.451;0.01363100;0.01217800;4823298.56315365
BTCDOWNUSDT;0.01268200;0.428;0.01363100;0.01217800;4822498.38324585
BTCDOWNUSDT;0.01268200;0.651;0.01363100;0.01217800;4821539.02327629
BTCDOWNUSDT;0.01268200;0.787;0.01363100;0.01217800;4817459.90290411
BTCDOWNUSDT;0.01268200;0.675;0.01363100;0.01217800;4817208.49456411
BTCDOWNUSDT;0.01268200;0.667;0.01363100;0.01217800;4815555.17866433
BTCDOWNUSDT;0.01271700;0.754;0.01363100;0.01217800;4816826.58823208
BTCDOWNUSDT;0.01271200;0.665;0.01363100;0.01217800;4816573.27014587
BTCDOWNUSDT;0.01272300;0.593;0.01363100;0.01217800;4819928.30001953
BTCDOWNUSDT;0.01272300;0.681;0.01363100;0.01217800;4816081.20856720
BTCDOWNUSDT;0.01270600;0.530;0.01363100;0.01217800;4817362.13312736
BTCDOWNUSDT;0.01270600;0.817;0.01363100;0.01217800;4816995.85652997
BTCDOWNUSDT;0.01270400;1.292;0.01363100;0.01217800;4816130.96175413
BTCDOWNUSDT;0.01270400;1.251;0.01363100;0.01217800;4802675.13161773
BTCDOWNUSDT;0.01270400;1.251;0.01363100;0.01217800;4802651.13171613
BTCDOWNUSDT;0.01270400;1.219;0.01363100;0.01217800;4802109.50405433
BTCDOWNUSDT;0.01270400;0.962;0.01363100;0.01217800;4797336.30432804
BTCDOWNUSDT;0.01268800;1.003;0.01363100;0.01217800;4790979.60107533
BTCDOWNUSDT;0.01270200;1.026;0.01363100;0.01217800;4790483.34750538
