Symbol;Price;Change24;Max24;Min24;Volume24
BTSUSDT;0.03425000;0.884;0.03543000;0.03256000;3774818.16661600
BTSUSDT;0.03425000;0.943;0.03543000;0.03256000;3774001.19919400
BTSUSDT;0.03427000;0.884;0.03543000;0.03256000;3769715.99701900
BTSUSDT;0.03427000;0.943;0.03543000;0.03256000;3769760.04894600
BTSUSDT;0.03427000;1.062;0.03543000;0.03256000;3769516.24356700
BTSUSDT;0.03427000;1.062;0.03543000;0.03256000;3769516.24356700
BTSUSDT;0.03427000;1.121;0.03543000;0.03256000;3768910.04992500
BTSUSDT;0.03427000;1.091;0.03543000;0.03256000;3768899.05262000
BTSUSDT;0.03427000;1.271;0.03543000;0.03256000;3768721.52171000
BTSUSDT;0.03422000;0.825;0.03543000;0.03256000;3769080.91514800
BTSUSDT;0.03431000;1.090;0.03543000;0.03256000;3774080.91373800
BTSUSDT;0.03424000;1.033;0.03543000;0.03256000;3773918.84785700
BTSUSDT;0.03424000;1.033;0.03543000;0.03256000;3773918.84785700
BTSUSDT;0.03424000;1.092;0.03543000;0.03256000;3773172.76752100
BTSUSDT;0.03424000;1.003;0.03543000;0.03256000;3771143.90970700
BTSUSDT;0.03424000;0.824;0.03543000;0.03256000;3768597.50531200
BTSUSDT;0.03424000;0.824;0.03543000;0.03256000;3768597.50531200
BTSUSDT;0.03419000;0.441;0.03543000;0.03256000;3765902.26945800
BTSUSDT;0.03419000;0.441;0.03543000;0.03256000;3765902.26945800
BTSUSDT;0.03419000;0.441;0.03543000;0.03256000;3764268.45728800
BTSUSDT;0.03419000;0.588;0.03543000;0.03256000;3763661.76620800
BTSUSDT;0.03419000;0.588;0.03543000;0.03256000;3763661.76620800
BTSUSDT;0.03419000;0.588;0.03543000;0.03256000;3763661.76620800
BTSUSDT;0.03418000;0.264;0.03543000;0.03256000;3762057.65006500
BTSUSDT;0.03418000;0.264;0.03543000;0.03256000;3762057.65006500
BTSUSDT;0.03425000;0.234;0.03543000;0.03256000;3758437.00184200
BTSUSDT;0.03424000;0.293;0.03543000;0.03256000;3758183.71952200
BTSUSDT;0.03424000;0.322;0.03543000;0.03256000;3758103.46321000
BTSUSDT;0.03424000;0.322;0.03543000;0.03256000;3758080.64730500
BTSUSDT;0.03424000;0.322;0.03543000;0.03256000;3754726.61374200
BTSUSDT;0.03424000;0.322;0.03543000;0.03256000;3754726.61374200
BTSUSDT;0.03424000;0.322;0.03543000;0.03256000;3754726.61374200
BTSUSDT;0.03425000;0.352;0.03543000;0.03256000;3755015.77926500
BTSUSDT;0.03425000;0.352;0.03543000;0.03256000;3755015.77926500
BTSUSDT;0.03425000;0.352;0.03543000;0.03256000;3755147.57326500
BTSUSDT;0.03425000;0.352;0.03543000;0.03256000;3755147.57326500
BTSUSDT;0.03425000;0.352;0.03543000;0.03256000;3755147.57326500
BTSUSDT;0.03428000;0.557;0.03543000;0.03256000;3748294.19422600
BTSUSDT;0.03428000;0.351;0.03543000;0.03256000;3746147.64309700
BTSUSDT;0.03428000;0.469;0.03543000;0.03256000;3745523.00292200
BTSUSDT;0.03428000;0.528;0.03543000;0.03256000;3745424.24728400
BTSUSDT;0.03428000;0.498;0.03543000;0.03256000;3745463.26338100
BTSUSDT;0.03428000;0.528;0.03543000;0.03256000;3745850.15155300
