Symbol;Price;Change24;Max24;Min24;Volume24
BURGERUSDT;3.07200000;-1.031;3.13200000;2.91900000;2492595.28330000
BURGERUSDT;3.07200000;-1.031;3.13200000;2.91900000;2492595.28330000
BURGERUSDT;3.07200000;-1.031;3.13200000;2.91900000;2492595.28330000
BURGERUSDT;3.07200000;-1.031;3.13200000;2.91900000;2492595.28330000
BURGERUSDT;3.07200000;-1.031;3.13200000;2.91900000;2492595.28330000
BURGERUSDT;3.07200000;-1.031;3.13200000;2.91900000;2492595.28330000
BURGERUSDT;3.07200000;-1.031;3.13200000;2.91900000;2492595.28330000
BURGERUSDT;3.06600000;-1.001;3.13200000;2.91900000;2490281.07240000
BURGERUSDT;3.06600000;-1.001;3.13200000;2.91900000;2490281.07240000
BURGERUSDT;3.06600000;-1.001;3.13200000;2.91900000;2491466.74980000
BURGERUSDT;3.06400000;-1.066;3.13200000;2.91900000;2491629.44820000
BURGERUSDT;3.06400000;-1.066;3.13200000;2.91900000;2491730.86660000
BURGERUSDT;3.06400000;-1.066;3.13200000;2.91900000;2491730.86660000
BURGERUSDT;3.06400000;-1.129;3.13200000;2.91900000;2491436.65160000
BURGERUSDT;3.06400000;-1.097;3.13200000;2.91900000;2491484.08090000
BURGERUSDT;3.06400000;-1.097;3.13200000;2.91900000;2491484.08090000
BURGERUSDT;3.06400000;-1.097;3.13200000;2.91900000;2491484.08090000
BURGERUSDT;3.06400000;-1.097;3.13200000;2.91900000;2491484.08090000
BURGERUSDT;3.06400000;-1.161;3.13200000;2.91900000;2491222.19810000
BURGERUSDT;3.06400000;-1.161;3.13200000;2.91900000;2491222.19810000
BURGERUSDT;3.06400000;-1.161;3.13200000;2.91900000;2491222.19810000
BURGERUSDT;3.06400000;-1.161;3.13200000;2.91900000;2491222.19810000
BURGERUSDT;3.06400000;-1.161;3.13200000;2.91900000;2491222.19810000
BURGERUSDT;3.06400000;-1.289;3.13200000;2.91900000;2485301.16180000
BURGERUSDT;3.06400000;-1.289;3.13200000;2.91900000;2485301.16180000
BURGERUSDT;3.06400000;-1.289;3.13200000;2.91900000;2485301.16180000
BURGERUSDT;3.06400000;-1.320;3.13200000;2.91900000;2485190.64300000
BURGERUSDT;3.06400000;-1.320;3.13200000;2.91900000;2485190.64300000
BURGERUSDT;3.06400000;-1.320;3.13200000;2.91900000;2485190.64300000
BURGERUSDT;3.06200000;-1.385;3.13200000;2.91900000;2485328.43300000
BURGERUSDT;3.06200000;-1.385;3.13200000;2.91900000;2485372.52580000
BURGERUSDT;3.06400000;-1.257;3.13200000;2.91900000;2484295.91070000
BURGERUSDT;3.06400000;-1.257;3.13200000;2.91900000;2484391.81390000
BURGERUSDT;3.06400000;-1.257;3.13200000;2.91900000;2484391.81390000
BURGERUSDT;3.06600000;-1.257;3.13200000;2.91900000;2485769.38830000
BURGERUSDT;3.06600000;-1.097;3.13200000;2.91900000;2483851.61290000
BURGERUSDT;3.06600000;-1.097;3.13200000;2.91900000;2483851.61290000
BURGERUSDT;3.06600000;-1.097;3.13200000;2.91900000;2483851.61290000
BURGERUSDT;3.06400000;-1.161;3.13200000;2.91900000;2483610.75260000
BURGERUSDT;3.06400000;-1.161;3.13200000;2.91900000;2483610.75260000
BURGERUSDT;3.06400000;-1.161;3.13200000;2.91900000;2483610.75260000
BURGERUSDT;3.06400000;-1.161;3.13200000;2.91900000;2483610.75260000
BURGERUSDT;3.06400000;-1.161;3.13200000;2.91900000;2483610.75260000
BURGERUSDT;3.06400000;-1.193;3.13200000;2.91900000;2482965.95260000
BURGERUSDT;3.06500000;-1.193;3.13200000;2.91900000;2482965.95260000
BURGERUSDT;3.06500000;-1.193;3.13200000;2.91900000;2483080.58410000
BURGERUSDT;3.06500000;-1.193;3.13200000;2.91900000;2483080.58410000
BURGERUSDT;3.06500000;-1.193;3.13200000;2.91900000;2483080.58410000
BURGERUSDT;3.06500000;-1.193;3.13200000;2.91900000;2483080.58410000
BURGERUSDT;3.06500000;-1.193;3.13200000;2.91900000;2483080.58410000
