Symbol;Price;Change24;Max24;Min24;Volume24
BUSDUSDT;0.99990000;-0.010;1.00010000;0.99980000;703709541.28130000
BUSDUSDT;0.99990000;-0.010;1.00010000;0.99980000;703719920.58480000
BUSDUSDT;1.00000000;-0.010;1.00010000;0.99980000;703559462.44300000
BUSDUSDT;1.00000000;-0.010;1.00010000;0.99980000;703557901.72160000
BUSDUSDT;0.99990000;-0.010;1.00010000;0.99980000;703414470.20370000
BUSDUSDT;0.99990000;-0.010;1.00010000;0.99980000;703321472.59230000
BUSDUSDT;1.00000000;0.000;1.00010000;0.99980000;703144441.22440000
BUSDUSDT;0.99990000;-0.010;1.00010000;0.99980000;703056393.35230000
BUSDUSDT;0.99990000;-0.010;1.00010000;0.99980000;702932951.56050000
BUSDUSDT;0.99990000;-0.020;1.00010000;0.99980000;702841656.85470000
BUSDUSDT;1.00000000;0.000;1.00010000;0.99980000;702755407.86480000
BUSDUSDT;0.99990000;0.000;1.00010000;0.99980000;702699149.52290000
BUSDUSDT;1.00000000;-0.020;1.00010000;0.99980000;702082761.34590000
BUSDUSDT;1.00000000;-0.010;1.00010000;0.99980000;702002748.44610000
BUSDUSDT;1.00000000;0.000;1.00010000;0.99980000;701925735.59570000
BUSDUSDT;1.00000000;-0.010;1.00010000;0.99980000;701824108.57370000
BUSDUSDT;0.99990000;-0.010;1.00010000;0.99980000;701732073.02740000
BUSDUSDT;1.00000000;-0.010;1.00010000;0.99980000;701648847.58550000
BUSDUSDT;1.00000000;-0.020;1.00010000;0.99980000;701504760.56210000
BUSDUSDT;0.99990000;-0.010;1.00010000;0.99980000;701414786.22150000
BUSDUSDT;0.99990000;-0.010;1.00010000;0.99980000;701349587.91270000
BUSDUSDT;1.00000000;-0.010;1.00010000;0.99980000;701213766.36690000
BUSDUSDT;1.00000000;-0.020;1.00010000;0.99980000;701127194.02490000
BUSDUSDT;0.99990000;0.000;1.00010000;0.99980000;700902129.04370000
BUSDUSDT;1.00000000;0.000;1.00010000;0.99980000;700846045.64080000
BUSDUSDT;0.99990000;-0.010;1.00010000;0.99980000;700689483.86760000
BUSDUSDT;1.00000000;0.000;1.00010000;0.99980000;700777102.65040000
BUSDUSDT;0.99990000;-0.020;1.00010000;0.99980000;700776314.99970000
BUSDUSDT;1.00000000;-0.020;1.00010000;0.99980000;700742930.69870000
BUSDUSDT;0.99990000;-0.010;1.00010000;0.99980000;700800930.83040000
BUSDUSDT;1.00000000;0.000;1.00010000;0.99980000;700674688.78600000
BUSDUSDT;0.99990000;-0.010;1.00010000;0.99980000;700569023.50650000
BUSDUSDT;0.99990000;-0.020;1.00010000;0.99980000;700549469.66240000
BUSDUSDT;0.99990000;-0.010;1.00010000;0.99980000;700459775.55780000
BUSDUSDT;1.00000000;-0.010;1.00010000;0.99980000;700356718.77920000
BUSDUSDT;0.99990000;0.000;1.00010000;0.99980000;699625836.51700000
BUSDUSDT;0.99990000;0.000;1.00010000;0.99980000;699471036.87260000
BUSDUSDT;0.99990000;-0.020;1.00010000;0.99980000;699265907.96870000
BUSDUSDT;0.99990000;0.000;1.00010000;0.99980000;698844324.06270000
BUSDUSDT;1.00000000;-0.010;1.00010000;0.99980000;698521311.64060000
BUSDUSDT;0.99990000;-0.010;1.00010000;0.99980000;698384986.23640000
BUSDUSDT;0.99990000;-0.010;1.00010000;0.99980000;698280899.44530000
BUSDUSDT;1.00000000;-0.010;1.00010000;0.99980000;698198755.82840000
BUSDUSDT;0.99990000;0.000;1.00010000;0.99980000;697401074.65800000
BUSDUSDT;0.99990000;-0.010;1.00010000;0.99980000;697359533.38800000
BUSDUSDT;0.99990000;0.000;1.00010000;0.99980000;697289487.68060000
BUSDUSDT;0.99990000;0.000;1.00010000;0.99980000;697176597.18090000
BUSDUSDT;0.99990000;-0.010;1.00010000;0.99980000;697061815.43940000
BUSDUSDT;0.99990000;0.000;1.00010000;0.99980000;696903415.45990000
BUSDUSDT;0.99990000;0.000;1.00010000;0.99980000;696823558.08560000
BUSDUSDT;1.00000000;-0.010;1.00010000;0.99980000;696722983.50800000
BUSDUSDT;0.99990000;-0.010;1.00010000;0.99980000;696561176.90020000
BUSDUSDT;0.99990000;-0.010;1.00010000;0.99980000;696416638.34630000
BUSDUSDT;1.00000000;-0.010;1.00010000;0.99980000;696343121.90720000
BUSDUSDT;0.99990000;0.000;1.00010000;0.99980000;696254888.09820000
BUSDUSDT;1.00000000;-0.010;1.00010000;0.99980000;696157673.43870000
BUSDUSDT;1.00000000;-0.010;1.00010000;0.99980000;696080534.15830000
BUSDUSDT;1.00000000;-0.010;1.00010000;0.99980000;696496596.45050000
BUSDUSDT;1.00000000;-0.020;1.00010000;0.99980000;694545398.92760000
BUSDUSDT;1.00000000;-0.010;1.00010000;0.99980000;694566230.85730000
BUSDUSDT;1.00000000;-0.010;1.00010000;0.99980000;694173409.24930000
BUSDUSDT;1.00000000;-0.010;1.00010000;0.99980000;692769108.36560000
BUSDUSDT;0.99990000;-0.010;1.00010000;0.99980000;692700652.64630000
BUSDUSDT;0.99990000;-0.020;1.00010000;0.99980000;691876182.42870000
BUSDUSDT;0.99990000;0.000;1.00010000;0.99980000;691756211.67850000
BUSDUSDT;0.99990000;-0.010;1.00010000;0.99980000;691123327.88150000
BUSDUSDT;1.00000000;-0.010;1.00010000;0.99980000;691036149.98740000
BUSDUSDT;1.00000000;-0.010;1.00010000;0.99980000;690945942.13250000
BUSDUSDT;0.99990000;-0.020;1.00010000;0.99980000;689867989.79220000
BUSDUSDT;1.00000000;-0.020;1.00010000;0.99980000;689712850.13620000
BUSDUSDT;0.99990000;0.000;1.00010000;0.99980000;689659933.22110000
BUSDUSDT;0.99990000;-0.020;1.00010000;0.99980000;688580766.53990000
BUSDUSDT;1.00000000;0.000;1.00010000;0.99980000;688147044.97660000
BUSDUSDT;1.00000000;-0.010;1.00010000;0.99980000;687944946.07220000
BUSDUSDT;1.00000000;-0.010;1.00010000;0.99980000;687446916.22020000
BUSDUSDT;0.99990000;0.000;1.00010000;0.99980000;687417917.83200000
BUSDUSDT;0.99990000;-0.010;1.00010000;0.99980000;687443830.47470000
BUSDUSDT;0.99990000;-0.010;1.00010000;0.99980000;687261408.92840000
BUSDUSDT;1.00000000;0.000;1.00010000;0.99980000;687062494.33660000
BUSDUSDT;0.99990000;-0.010;1.00010000;0.99980000;686796685.79010000
BUSDUSDT;1.00000000;0.000;1.00010000;0.99980000;686829896.96290000
BUSDUSDT;0.99990000;-0.010;1.00010000;0.99980000;686747659.67310000
BUSDUSDT;0.99990000;-0.010;1.00010000;0.99980000;686715313.88460000
BUSDUSDT;1.00000000;0.000;1.00010000;0.99980000;686594876.63780000
BUSDUSDT;1.00000000;-0.010;1.00010000;0.99980000;686552124.56280000
BUSDUSDT;1.00000000;-0.010;1.00010000;0.99980000;686537459.91440000
BUSDUSDT;0.99990000;0.000;1.00010000;0.99980000;686544684.22950000
BUSDUSDT;1.00000000;-0.010;1.00010000;0.99980000;686534268.58050000
BUSDUSDT;1.00000000;-0.020;1.00010000;0.99980000;686552813.83960000
BUSDUSDT;1.00000000;0.000;1.00010000;0.99980000;686522577.38380000
BUSDUSDT;1.00000000;0.000;1.00010000;0.99980000;686594526.64900000
BUSDUSDT;1.00000000;0.000;1.00010000;0.99980000;686613148.98930000
BUSDUSDT;0.99990000;-0.010;1.00010000;0.99980000;686491533.69070000
BUSDUSDT;1.00000000;-0.010;1.00010000;0.99980000;686457301.46400000
BUSDUSDT;1.00000000;0.000;1.00010000;0.99980000;686423055.98620000
BUSDUSDT;0.99990000;-0.020;1.00010000;0.99980000;686552080.69050000
BUSDUSDT;0.99990000;0.000;1.00010000;0.99980000;686538082.38030000
BUSDUSDT;1.00000000;-0.020;1.00010000;0.99980000;686522411.81460000
BUSDUSDT;0.99990000;-0.020;1.00010000;0.99980000;686253897.04800000
BUSDUSDT;0.99990000;-0.010;1.00010000;0.99980000;686271134.70810000
BUSDUSDT;0.99990000;0.000;1.00010000;0.99980000;686276720.27920000
BUSDUSDT;0.99990000;-0.010;1.00010000;0.99980000;686254329.61770000
BUSDUSDT;1.00000000;0.000;1.00010000;0.99980000;686159984.03830000
BUSDUSDT;1.00000000;-0.010;1.00010000;0.99980000;686108657.89370000
BUSDUSDT;0.99990000;-0.010;1.00010000;0.99980000;686160683.00700000
BUSDUSDT;1.00000000;-0.010;1.00010000;0.99980000;686238741.31410000
BUSDUSDT;0.99990000;-0.010;1.00010000;0.99980000;686250825.11710000
BUSDUSDT;1.00000000;-0.010;1.00010000;0.99980000;686116020.97230000
BUSDUSDT;1.00000000;-0.010;1.00010000;0.99980000;686110059.25930000
