Symbol;Price;Change24;Max24;Min24;Volume24
CELRUSDT;0.07601000;2.702;0.07697000;0.06989000;18846066.46131100
CELRUSDT;0.07600000;2.689;0.07697000;0.06989000;18844703.38863700
CELRUSDT;0.07599000;2.661;0.07697000;0.06989000;18845709.99148400
CELRUSDT;0.07592000;2.580;0.07697000;0.06989000;18845554.17612100
CELRUSDT;0.07592000;2.539;0.07697000;0.06989000;18845684.07419100
CELRUSDT;0.07586000;2.580;0.07697000;0.06989000;18845682.93023800
CELRUSDT;0.07585000;2.666;0.07697000;0.06989000;18849325.47544300
CELRUSDT;0.07584000;2.528;0.07697000;0.06989000;18841985.87257900
CELRUSDT;0.07577000;2.461;0.07697000;0.06989000;18838429.18467000
CELRUSDT;0.07574000;2.433;0.07697000;0.06989000;18837679.93633900
CELRUSDT;0.07565000;2.119;0.07697000;0.06989000;18840822.94256300
CELRUSDT;0.07560000;2.148;0.07697000;0.06989000;18839478.70755600
CELRUSDT;0.07565000;2.326;0.07697000;0.06989000;18869352.00133600
CELRUSDT;0.07556000;2.204;0.07697000;0.06989000;18868379.86545700
CELRUSDT;0.07546000;2.191;0.07697000;0.06989000;18872374.71994200
CELRUSDT;0.07545000;1.890;0.07697000;0.06989000;18881919.74416000
CELRUSDT;0.07548000;1.822;0.07697000;0.06989000;18884374.52132200
CELRUSDT;0.07544000;1.712;0.07697000;0.06989000;18866108.12700700
CELRUSDT;0.07553000;1.547;0.07697000;0.06989000;18858159.66995800
CELRUSDT;0.07537000;1.562;0.07697000;0.06989000;18847807.28374200
CELRUSDT;0.07534000;1.591;0.07697000;0.06989000;18847850.28564300
CELRUSDT;0.07535000;1.619;0.07697000;0.06989000;18845476.31573100
CELRUSDT;0.07544000;1.768;0.07697000;0.06989000;18861407.55945600
CELRUSDT;0.07545000;1.904;0.07697000;0.06989000;18877978.38770900
CELRUSDT;0.07545000;1.753;0.07697000;0.06989000;18877317.54863600
CELRUSDT;0.07548000;1.520;0.07697000;0.06989000;18879607.20592600
CELRUSDT;0.07545000;1.547;0.07697000;0.06989000;18879533.43373000
CELRUSDT;0.07546000;1.425;0.07697000;0.06989000;18879819.78254600
CELRUSDT;0.07540000;1.412;0.07697000;0.06989000;18877699.87967100
CELRUSDT;0.07540000;1.426;0.07697000;0.06989000;18873429.44682500
CELRUSDT;0.07552000;1.547;0.07697000;0.06989000;18890345.83789300
CELRUSDT;0.07547000;1.397;0.07697000;0.06989000;18887714.87907600
CELRUSDT;0.07564000;1.626;0.07697000;0.06989000;18890549.50590400
CELRUSDT;0.07563000;1.462;0.07697000;0.06989000;18884710.00278600
CELRUSDT;0.07568000;1.543;0.07697000;0.06989000;18884112.90312000
CELRUSDT;0.07550000;1.611;0.07697000;0.06989000;18876101.25843200
CELRUSDT;0.07561000;1.681;0.07697000;0.06989000;18917140.69763400
CELRUSDT;0.07567000;1.652;0.07697000;0.06989000;18913676.35007000
CELRUSDT;0.07560000;1.502;0.07697000;0.06989000;18911328.48767300
CELRUSDT;0.07560000;1.599;0.07697000;0.06989000;18911106.29427500
CELRUSDT;0.07562000;1.599;0.07697000;0.06989000;18909486.54762900
CELRUSDT;0.07562000;1.626;0.07697000;0.06989000;18909071.73455300
CELRUSDT;0.07562000;1.626;0.07697000;0.06989000;18909071.73455300
CELRUSDT;0.07556000;1.572;0.07697000;0.06989000;18904840.09762400
CELRUSDT;0.07558000;1.504;0.07697000;0.06989000;18903805.08433800
CELRUSDT;0.07569000;1.666;0.07697000;0.06989000;18903651.81111600
CELRUSDT;0.07568000;1.761;0.07697000;0.06989000;18905117.74376200
CELRUSDT;0.07566000;1.762;0.07697000;0.06989000;18903801.10389400
CELRUSDT;0.07566000;1.598;0.07697000;0.06989000;18904042.87590100
CELRUSDT;0.07563000;1.503;0.07697000;0.06989000;18900889.19777200
CELRUSDT;0.07557000;1.422;0.07697000;0.06989000;18901270.03773300
CELRUSDT;0.07557000;1.477;0.07697000;0.06989000;18899759.68907500
CELRUSDT;0.07557000;1.395;0.07697000;0.06989000;18899623.68944600
CELRUSDT;0.07557000;1.423;0.07697000;0.06989000;18899602.41634900
CELRUSDT;0.07567000;1.489;0.07697000;0.06989000;18899541.66361900
CELRUSDT;0.07562000;1.408;0.07697000;0.06989000;18900964.85224800
CELRUSDT;0.07541000;1.355;0.07697000;0.06989000;18901223.69988500
CELRUSDT;0.07538000;1.046;0.07697000;0.06989000;18904110.37471700
CELRUSDT;0.07533000;1.006;0.07697000;0.06989000;18906192.51729300
CELRUSDT;0.07536000;0.924;0.07697000;0.06989000;18905237.90857400
CELRUSDT;0.07552000;1.179;0.07697000;0.06989000;18897840.84639900
CELRUSDT;0.07551000;1.274;0.07697000;0.06989000;18912704.16492700
CELRUSDT;0.07548000;1.207;0.07697000;0.06989000;18912490.09384700
CELRUSDT;0.07529000;0.925;0.07697000;0.06989000;18918474.00230100
CELRUSDT;0.07513000;0.913;0.07697000;0.06989000;18926785.90719800
CELRUSDT;0.07507000;1.186;0.07697000;0.06989000;18923469.74205600
CELRUSDT;0.07504000;1.214;0.07697000;0.06989000;18921614.71903900
CELRUSDT;0.07503000;1.173;0.07697000;0.06989000;18925925.59587600
CELRUSDT;0.07510000;1.118;0.07697000;0.06989000;18911236.57000900
CELRUSDT;0.07506000;0.941;0.07697000;0.06989000;18911107.80440300
CELRUSDT;0.07499000;0.875;0.07697000;0.06989000;18915372.75579900
CELRUSDT;0.07493000;0.604;0.07697000;0.06989000;18929387.72926200
CELRUSDT;0.07476000;0.593;0.07697000;0.06989000;18935788.99429000
CELRUSDT;0.07480000;0.741;0.07697000;0.06989000;18935818.57891900
CELRUSDT;0.07460000;0.579;0.07697000;0.06989000;18935019.95219300
CELRUSDT;0.07455000;0.445;0.07697000;0.06989000;18950630.37507900
CELRUSDT;0.07453000;0.621;0.07697000;0.06989000;18951540.52968700
CELRUSDT;0.07445000;0.635;0.07697000;0.06989000;18948093.16993700
CELRUSDT;0.07475000;0.974;0.07697000;0.06989000;18954597.45251600
CELRUSDT;0.07462000;0.810;0.07697000;0.06989000;18952944.99011100
CELRUSDT;0.07468000;0.620;0.07697000;0.06989000;18948266.56725800
CELRUSDT;0.07472000;0.525;0.07697000;0.06989000;18946650.62811000
CELRUSDT;0.07472000;0.525;0.07697000;0.06989000;18946342.52649200
CELRUSDT;0.07478000;0.673;0.07697000;0.06989000;18945958.02134900
CELRUSDT;0.07479000;0.647;0.07697000;0.06989000;18946619.53899700
CELRUSDT;0.07472000;0.579;0.07697000;0.06989000;18947625.97839400
CELRUSDT;0.07466000;0.457;0.07697000;0.06989000;18947681.66609000
CELRUSDT;0.07463000;0.417;0.07697000;0.06989000;18944864.87608800
CELRUSDT;0.07464000;0.363;0.07697000;0.06989000;18944948.59987300
CELRUSDT;0.07457000;0.336;0.07697000;0.06989000;18944840.23840300
CELRUSDT;0.07453000;0.175;0.07697000;0.06989000;18941424.20810200
CELRUSDT;0.07459000;0.175;0.07697000;0.06989000;18941424.20810200
CELRUSDT;0.07450000;0.215;0.07697000;0.06989000;18942011.80835300
CELRUSDT;0.07452000;0.161;0.07697000;0.06989000;18942430.00457300
CELRUSDT;0.07454000;0.107;0.07697000;0.06989000;18938511.90957700
CELRUSDT;0.07456000;0.067;0.07697000;0.06989000;18937836.74952800
CELRUSDT;0.07456000;0.040;0.07697000;0.06989000;18937167.43233500
CELRUSDT;0.07446000;-0.121;0.07697000;0.06989000;18937965.56210700
CELRUSDT;0.07440000;-0.268;0.07697000;0.06989000;18938667.59900100
CELRUSDT;0.07440000;-0.228;0.07697000;0.06989000;18938745.11621700
CELRUSDT;0.07433000;-0.308;0.07697000;0.06989000;18939115.21630900
CELRUSDT;0.07429000;-0.416;0.07697000;0.06989000;18924231.00268900
CELRUSDT;0.07436000;-0.215;0.07697000;0.06989000;18925763.61628800
CELRUSDT;0.07437000;-0.322;0.07697000;0.06989000;18926074.75546300
CELRUSDT;0.07426000;-0.456;0.07697000;0.06989000;18924507.88553400
CELRUSDT;0.07428000;-0.362;0.07697000;0.06989000;18924464.92351000
CELRUSDT;0.07437000;-0.335;0.07697000;0.06989000;18922278.82283800
CELRUSDT;0.07436000;-0.255;0.07697000;0.06989000;18923235.92426800
CELRUSDT;0.07435000;-0.322;0.07697000;0.06989000;18924966.24106300
CELRUSDT;0.07440000;-0.201;0.07697000;0.06989000;18925104.27548400
CELRUSDT;0.07440000;-0.228;0.07697000;0.06989000;18925851.92060700
CELRUSDT;0.07430000;-0.348;0.07697000;0.06989000;18922337.22193000
