Symbol;Price;Change24;Max24;Min24;Volume24
CHESSUSDT;1.87900000;6.701;1.91800000;1.74600000;6770986.74380000
CHESSUSDT;1.88300000;6.989;1.91800000;1.74600000;6771902.99710000
CHESSUSDT;1.88300000;6.989;1.91800000;1.74600000;6771902.99710000
CHESSUSDT;1.88300000;6.807;1.91800000;1.74600000;6768204.80700000
CHESSUSDT;1.88300000;6.807;1.91800000;1.74600000;6768204.80700000
CHESSUSDT;1.88300000;6.807;1.91800000;1.74600000;6768204.80700000
CHESSUSDT;1.88000000;6.807;1.91800000;1.74600000;6768296.13250000
CHESSUSDT;1.88300000;6.807;1.91800000;1.74600000;6769248.31720000
CHESSUSDT;1.87700000;6.406;1.91800000;1.74600000;6769376.19460000
CHESSUSDT;1.88300000;6.807;1.91800000;1.74600000;6770276.70210000
CHESSUSDT;1.88100000;6.807;1.91800000;1.74600000;6770276.70210000
CHESSUSDT;1.88100000;6.693;1.91800000;1.74600000;6770809.77750000
CHESSUSDT;1.88200000;6.629;1.91800000;1.74600000;6774460.87240000
CHESSUSDT;1.88000000;6.636;1.91800000;1.74600000;6774459.10350000
CHESSUSDT;1.88400000;6.863;1.91800000;1.74600000;6774478.31070000
CHESSUSDT;1.88400000;6.863;1.91800000;1.74600000;6774542.55510000
CHESSUSDT;1.88400000;6.863;1.91800000;1.74600000;6774039.21860000
CHESSUSDT;1.88400000;6.863;1.91800000;1.74600000;6774039.21860000
CHESSUSDT;1.88300000;7.228;1.91800000;1.74600000;6773775.47380000
CHESSUSDT;1.88300000;7.171;1.91800000;1.74600000;6773912.93280000
CHESSUSDT;1.88200000;7.114;1.91800000;1.74600000;6773949.82000000
CHESSUSDT;1.88200000;7.114;1.91800000;1.74600000;6773949.82000000
CHESSUSDT;1.88200000;7.114;1.91800000;1.74600000;6773949.82000000
CHESSUSDT;1.88200000;6.993;1.91800000;1.74600000;6766364.22730000
CHESSUSDT;1.88200000;6.993;1.91800000;1.74600000;6765694.45290000
CHESSUSDT;1.88300000;6.989;1.91800000;1.74600000;6766204.73080000
CHESSUSDT;1.88400000;6.867;1.91800000;1.74600000;6761875.68480000
CHESSUSDT;1.88400000;6.261;1.91800000;1.74600000;6704014.61530000
CHESSUSDT;1.88400000;6.261;1.91800000;1.74600000;6704014.61530000
CHESSUSDT;1.88400000;6.261;1.91800000;1.74600000;6704014.61530000
CHESSUSDT;1.88400000;5.724;1.91800000;1.74600000;6686281.15680000
CHESSUSDT;1.88300000;5.668;1.91800000;1.74600000;6690118.54940000
CHESSUSDT;1.88300000;5.668;1.91800000;1.74600000;6689352.82400000
CHESSUSDT;1.88300000;5.668;1.91800000;1.74600000;6689309.69960000
CHESSUSDT;1.88300000;5.490;1.91800000;1.74600000;6689295.44360000
CHESSUSDT;1.88300000;5.490;1.91800000;1.74600000;6689295.44360000
CHESSUSDT;1.88300000;5.609;1.91800000;1.74600000;6688250.15230000
CHESSUSDT;1.87900000;5.384;1.91800000;1.74600000;6686670.32210000
CHESSUSDT;1.88000000;5.204;1.91800000;1.74600000;6684565.60390000
CHESSUSDT;1.87200000;4.706;1.91800000;1.74600000;6683628.95930000
CHESSUSDT;1.86900000;4.365;1.91800000;1.74600000;6685368.60050000
CHESSUSDT;1.86000000;4.416;1.91800000;1.74600000;6690188.35360000
CHESSUSDT;1.85900000;3.971;1.91800000;1.74600000;6713138.59140000
CHESSUSDT;1.85900000;3.575;1.91800000;1.74600000;6734619.64930000
CHESSUSDT;1.86100000;3.799;1.91800000;1.74600000;6732446.88010000
CHESSUSDT;1.86200000;3.793;1.91800000;1.74600000;6732760.97370000
CHESSUSDT;1.85800000;3.741;1.91800000;1.74600000;6734041.43970000
CHESSUSDT;1.85900000;4.029;1.91800000;1.74600000;6733740.38430000
CHESSUSDT;1.85900000;4.380;1.91800000;1.74600000;6721758.24260000
CHESSUSDT;1.85900000;4.497;1.91800000;1.74600000;6720794.99310000
CHESSUSDT;1.85900000;4.497;1.91800000;1.74600000;6720794.99310000
CHESSUSDT;1.85900000;4.732;1.91800000;1.74600000;6709604.47070000
CHESSUSDT;1.85900000;4.615;1.91800000;1.74600000;6708176.48170000
CHESSUSDT;1.86100000;4.556;1.91800000;1.74600000;6707323.30270000
CHESSUSDT;1.86100000;4.668;1.91800000;1.74600000;6708104.36440000
CHESSUSDT;1.86200000;4.724;1.91800000;1.74600000;6704092.97520000
CHESSUSDT;1.86000000;4.553;1.91800000;1.74600000;6699622.33670000
CHESSUSDT;1.86000000;4.553;1.91800000;1.74600000;6699622.33670000
CHESSUSDT;1.86000000;4.553;1.91800000;1.74600000;6699622.33670000
CHESSUSDT;1.86200000;4.666;1.91800000;1.74600000;6699715.25050000
CHESSUSDT;1.86300000;4.722;1.91800000;1.74600000;6698211.44950000
CHESSUSDT;1.85500000;5.266;1.91800000;1.74600000;6639764.48710000
CHESSUSDT;1.85500000;5.040;1.91800000;1.74600000;6639372.31750000
CHESSUSDT;1.86200000;5.496;1.91800000;1.74600000;6644297.87520000
CHESSUSDT;1.86500000;5.666;1.91800000;1.74600000;6645122.20520000
CHESSUSDT;1.86500000;5.666;1.91800000;1.74600000;6647555.81930000
CHESSUSDT;1.86500000;5.786;1.91800000;1.74600000;6645790.61530000
CHESSUSDT;1.86500000;5.786;1.91800000;1.74600000;6645582.19390000
CHESSUSDT;1.86800000;5.836;1.91800000;1.74600000;6664250.07530000
CHESSUSDT;1.86700000;5.779;1.91800000;1.74600000;6666568.88930000
CHESSUSDT;1.86700000;5.779;1.91800000;1.74600000;6671690.87290000
CHESSUSDT;1.86400000;5.729;1.91800000;1.74600000;6671875.75820000
CHESSUSDT;1.85700000;5.392;1.91800000;1.74600000;6677770.59170000
CHESSUSDT;1.85700000;5.335;1.91800000;1.74600000;6677833.32450000
CHESSUSDT;1.85200000;5.227;1.91800000;1.74600000;6693933.35330000
CHESSUSDT;1.85200000;5.227;1.91800000;1.74600000;6693933.35330000
CHESSUSDT;1.85200000;5.227;1.91800000;1.74600000;6695166.02820000
CHESSUSDT;1.85200000;5.347;1.91800000;1.74600000;6682943.06430000
CHESSUSDT;1.85000000;5.413;1.91800000;1.74600000;6679970.86770000
CHESSUSDT;1.85000000;5.353;1.91800000;1.74600000;6679237.33940000
CHESSUSDT;1.85000000;5.413;1.91800000;1.74600000;6682599.67200000
CHESSUSDT;1.85000000;5.413;1.91800000;1.74600000;6682599.67200000
CHESSUSDT;1.85000000;5.413;1.91800000;1.74600000;6682599.67200000
CHESSUSDT;1.85000000;5.233;1.91800000;1.74600000;6676955.12510000
CHESSUSDT;1.84900000;5.060;1.91800000;1.74600000;6678708.92340000
CHESSUSDT;1.84900000;4.938;1.91800000;1.74600000;6677661.09620000
CHESSUSDT;1.84600000;4.767;1.91800000;1.74600000;6677738.81280000
CHESSUSDT;1.84600000;4.767;1.91800000;1.74600000;6676877.89960000
CHESSUSDT;1.84600000;4.767;1.91800000;1.74600000;6677855.54120000
CHESSUSDT;1.84600000;4.767;1.91800000;1.74600000;6677855.54120000
CHESSUSDT;1.84600000;4.767;1.91800000;1.74600000;6677855.54120000
CHESSUSDT;1.84600000;4.886;1.91800000;1.74600000;6677769.20320000
CHESSUSDT;1.84600000;4.767;1.91800000;1.74600000;6680744.90560000
CHESSUSDT;1.84800000;4.881;1.91800000;1.74600000;6680902.87080000
CHESSUSDT;1.84800000;4.881;1.91800000;1.74600000;6681192.60620000
CHESSUSDT;1.84800000;4.881;1.91800000;1.74600000;6681192.60620000
CHESSUSDT;1.84800000;4.881;1.91800000;1.74600000;6681192.60620000
CHESSUSDT;1.84800000;5.179;1.91800000;1.74600000;6675618.21430000
CHESSUSDT;1.84800000;4.881;1.91800000;1.74600000;6674117.85120000
CHESSUSDT;1.84600000;4.881;1.91800000;1.74600000;6674035.74200000
CHESSUSDT;1.84300000;4.773;1.91800000;1.74600000;6673473.40840000
CHESSUSDT;1.84500000;4.716;1.91800000;1.74600000;6676067.98380000
