Symbol;Price;Change24;Max24;Min24;Volume24
CHZUSDT;0.29180000;-0.376;0.29970000;0.27940000;30260114.61080000
CHZUSDT;0.29200000;-0.307;0.29970000;0.27940000;30266135.38250000
CHZUSDT;0.29210000;-0.273;0.29970000;0.27940000;30263251.41500000
CHZUSDT;0.29210000;-0.239;0.29970000;0.27940000;30262623.80630000
CHZUSDT;0.29220000;-0.341;0.29970000;0.27940000;30263211.83100000
CHZUSDT;0.29230000;-0.137;0.29970000;0.27940000;30267140.99530000
CHZUSDT;0.29220000;-0.103;0.29970000;0.27940000;30257916.96060000
CHZUSDT;0.29200000;-0.239;0.29970000;0.27940000;30257086.87800000
CHZUSDT;0.29210000;-0.068;0.29970000;0.27940000;30233624.12230000
CHZUSDT;0.29210000;-0.239;0.29970000;0.27940000;30231542.44020000
CHZUSDT;0.29210000;-0.273;0.29970000;0.27940000;30227505.02130000
CHZUSDT;0.29210000;-0.205;0.29970000;0.27940000;30205181.81600000
CHZUSDT;0.29190000;-0.137;0.29970000;0.27940000;30204550.36600000
CHZUSDT;0.29170000;-0.410;0.29970000;0.27940000;30174589.39930000
CHZUSDT;0.29180000;-0.273;0.29970000;0.27940000;30170306.37150000
CHZUSDT;0.29150000;-0.376;0.29970000;0.27940000;30167221.98320000
CHZUSDT;0.29150000;-0.376;0.29970000;0.27940000;30163866.77100000
CHZUSDT;0.29050000;-0.444;0.29970000;0.27940000;30162815.30080000
CHZUSDT;0.29100000;-0.683;0.29970000;0.27940000;30254968.59320000
CHZUSDT;0.29040000;-0.785;0.29970000;0.27940000;30262929.62410000
CHZUSDT;0.29080000;-0.547;0.29970000;0.27940000;30257220.47170000
CHZUSDT;0.29080000;-0.513;0.29970000;0.27940000;30249827.26020000
CHZUSDT;0.29080000;-0.513;0.29970000;0.27940000;30241786.90080000
CHZUSDT;0.29100000;-0.479;0.29970000;0.27940000;30248928.89480000
CHZUSDT;0.29110000;-0.513;0.29970000;0.27940000;30249212.27600000
CHZUSDT;0.29110000;-0.682;0.29970000;0.27940000;30230488.23030000
CHZUSDT;0.29120000;-0.716;0.29970000;0.27940000;30220009.71010000
CHZUSDT;0.29120000;-0.750;0.29970000;0.27940000;30219484.74630000
CHZUSDT;0.29120000;-0.784;0.29970000;0.27940000;30212821.57410000
CHZUSDT;0.29100000;-0.649;0.29970000;0.27940000;30204280.83730000
CHZUSDT;0.29130000;-0.648;0.29970000;0.27940000;30212791.51920000
CHZUSDT;0.29140000;-0.750;0.29970000;0.27940000;30212877.16880000
CHZUSDT;0.29150000;-0.613;0.29970000;0.27940000;30215482.46780000
CHZUSDT;0.29160000;-0.647;0.29970000;0.27940000;30213860.25070000
CHZUSDT;0.29140000;-0.749;0.29970000;0.27940000;30205647.23500000
CHZUSDT;0.29120000;-0.682;0.29970000;0.27940000;30189391.56270000
CHZUSDT;0.29130000;-0.614;0.29970000;0.27940000;30185472.23580000
CHZUSDT;0.29150000;-0.614;0.29970000;0.27940000;30181506.94600000
CHZUSDT;0.29150000;-0.647;0.29970000;0.27940000;30162603.58840000
CHZUSDT;0.29150000;-0.512;0.29970000;0.27940000;30152886.03190000
CHZUSDT;0.29150000;-0.546;0.29970000;0.27940000;30136807.81090000
CHZUSDT;0.29160000;-0.512;0.29970000;0.27940000;30133916.73010000
CHZUSDT;0.29160000;-0.681;0.29970000;0.27940000;30095005.79600000
CHZUSDT;0.29150000;-0.681;0.29970000;0.27940000;30087923.87680000
CHZUSDT;0.29170000;-0.579;0.29970000;0.27940000;30086605.92440000
CHZUSDT;0.29190000;-0.511;0.29970000;0.27940000;30096420.22140000
CHZUSDT;0.29190000;-0.409;0.29970000;0.27940000;30096137.39380000
CHZUSDT;0.29170000;-0.546;0.29970000;0.27940000;30082284.92290000
CHZUSDT;0.29170000;-0.647;0.29970000;0.27940000;30081428.72670000
CHZUSDT;0.29170000;-0.647;0.29970000;0.27940000;30081149.85320000
CHZUSDT;0.29170000;-0.681;0.29970000;0.27940000;30081477.92190000
