Symbol;Price;Change24;Max24;Min24;Volume24
CKBUSDT;0.02193000;0.689;0.02278000;0.02137000;3358070.67830000
CKBUSDT;0.02194000;0.735;0.02278000;0.02137000;3357442.13814000
CKBUSDT;0.02194000;0.781;0.02278000;0.02137000;3357455.30214000
CKBUSDT;0.02193000;0.781;0.02278000;0.02137000;3357455.30214000
CKBUSDT;0.02193000;0.828;0.02278000;0.02137000;3355595.10614000
CKBUSDT;0.02193000;0.828;0.02278000;0.02137000;3355595.10614000
CKBUSDT;0.02193000;0.874;0.02278000;0.02137000;3356275.27784000
CKBUSDT;0.02193000;0.828;0.02278000;0.02137000;3355828.99474000
CKBUSDT;0.02193000;0.828;0.02278000;0.02137000;3355828.99474000
CKBUSDT;0.02192000;0.782;0.02278000;0.02137000;3355839.01218000
CKBUSDT;0.02192000;0.782;0.02278000;0.02137000;3355449.18577000
CKBUSDT;0.02194000;0.874;0.02278000;0.02137000;3355639.64691000
CKBUSDT;0.02194000;0.874;0.02278000;0.02137000;3355639.64691000
CKBUSDT;0.02194000;0.874;0.02278000;0.02137000;3352622.73999000
CKBUSDT;0.02194000;0.874;0.02278000;0.02137000;3352622.73999000
CKBUSDT;0.02194000;0.874;0.02278000;0.02137000;3352622.73999000
CKBUSDT;0.02192000;0.782;0.02278000;0.02137000;3352934.11042000
CKBUSDT;0.02194000;0.874;0.02278000;0.02137000;3352966.12088000
CKBUSDT;0.02194000;0.874;0.02278000;0.02137000;3352947.37238000
CKBUSDT;0.02192000;0.782;0.02278000;0.02137000;3353060.65494000
CKBUSDT;0.02194000;0.782;0.02278000;0.02137000;3353060.65494000
CKBUSDT;0.02191000;0.828;0.02278000;0.02137000;3352867.94158000
CKBUSDT;0.02191000;0.828;0.02278000;0.02137000;3352867.94158000
CKBUSDT;0.02191000;0.736;0.02278000;0.02137000;3352857.92405000
CKBUSDT;0.02193000;0.874;0.02278000;0.02137000;3351613.86391000
CKBUSDT;0.02194000;0.781;0.02278000;0.02137000;3352752.22368000
CKBUSDT;0.02194000;0.781;0.02278000;0.02137000;3352752.22368000
CKBUSDT;0.02194000;0.781;0.02278000;0.02137000;3352752.22368000
CKBUSDT;0.02194000;0.781;0.02278000;0.02137000;3352752.22368000
CKBUSDT;0.02194000;0.781;0.02278000;0.02137000;3352752.22368000
CKBUSDT;0.02192000;0.874;0.02278000;0.02137000;3352652.08352000
CKBUSDT;0.02192000;0.689;0.02278000;0.02137000;3352472.54990000
CKBUSDT;0.02193000;0.874;0.02278000;0.02137000;3350476.15065000
CKBUSDT;0.02195000;0.874;0.02278000;0.02137000;3350476.15065000
CKBUSDT;0.02195000;0.966;0.02278000;0.02137000;3351475.45244000
CKBUSDT;0.02195000;0.966;0.02278000;0.02137000;3351475.45244000
CKBUSDT;0.02195000;0.966;0.02278000;0.02137000;3351475.45244000
CKBUSDT;0.02196000;0.919;0.02278000;0.02137000;3351768.48046000
CKBUSDT;0.02194000;0.874;0.02278000;0.02137000;3353376.74528000
CKBUSDT;0.02194000;0.920;0.02278000;0.02137000;3353366.74028000
CKBUSDT;0.02198000;0.966;0.02278000;0.02137000;3352403.22772000
CKBUSDT;0.02194000;1.150;0.02278000;0.02137000;3352413.33852000
CKBUSDT;0.02194000;0.966;0.02278000;0.02137000;3352423.34316000
CKBUSDT;0.02194000;0.966;0.02278000;0.02137000;3352423.34316000
