Symbol;Price;Change24;Max24;Min24;Volume24
CLVUSDT;0.73400000;1.662;0.74900000;0.70400000;2720878.93020000
CLVUSDT;0.73400000;1.662;0.74900000;0.70400000;2720878.93020000
CLVUSDT;0.73300000;1.524;0.74900000;0.70400000;2729698.81100000
CLVUSDT;0.73300000;1.524;0.74900000;0.70400000;2729698.81100000
CLVUSDT;0.73300000;1.524;0.74900000;0.70400000;2729698.81100000
CLVUSDT;0.73600000;1.939;0.74900000;0.70400000;2729712.42700000
CLVUSDT;0.73600000;1.939;0.74900000;0.70400000;2729712.42700000
CLVUSDT;0.73600000;1.517;0.74900000;0.70400000;2726883.08970000
CLVUSDT;0.73300000;1.241;0.74900000;0.70400000;2728877.45260000
CLVUSDT;0.73500000;1.379;0.74900000;0.70400000;2729029.13790000
CLVUSDT;0.73500000;1.379;0.74900000;0.70400000;2729029.13790000
CLVUSDT;0.73500000;1.379;0.74900000;0.70400000;2729029.13790000
CLVUSDT;0.73500000;1.379;0.74900000;0.70400000;2729029.13790000
CLVUSDT;0.73500000;1.660;0.74900000;0.70400000;2728615.76140000
CLVUSDT;0.73300000;1.243;0.74900000;0.70400000;2728060.70430000
CLVUSDT;0.73300000;1.524;0.74900000;0.70400000;2727960.50270000
CLVUSDT;0.73100000;1.247;0.74900000;0.70400000;2727761.35650000
CLVUSDT;0.72900000;0.970;0.74900000;0.70400000;2728545.84510000
CLVUSDT;0.72900000;0.970;0.74900000;0.70400000;2729009.99940000
CLVUSDT;0.72800000;1.110;0.74900000;0.70400000;2720106.19330000
CLVUSDT;0.72800000;0.831;0.74900000;0.70400000;2722040.76970000
CLVUSDT;0.72800000;0.971;0.74900000;0.70400000;2722030.66170000
CLVUSDT;0.72800000;0.831;0.74900000;0.70400000;2721230.70370000
CLVUSDT;0.72800000;0.831;0.74900000;0.70400000;2721230.70370000
CLVUSDT;0.72900000;1.110;0.74900000;0.70400000;2720696.04630000
CLVUSDT;0.72900000;1.110;0.74900000;0.70400000;2720696.04630000
CLVUSDT;0.72900000;0.830;0.74900000;0.70400000;2720404.50780000
CLVUSDT;0.72900000;0.830;0.74900000;0.70400000;2720960.54280000
CLVUSDT;0.72900000;0.830;0.74900000;0.70400000;2720972.49840000
CLVUSDT;0.72900000;0.830;0.74900000;0.70400000;2720972.49840000
CLVUSDT;0.72900000;0.970;0.74900000;0.70400000;2721103.69380000
CLVUSDT;0.72900000;0.970;0.74900000;0.70400000;2721486.63750000
CLVUSDT;0.72900000;0.970;0.74900000;0.70400000;2721486.63750000
CLVUSDT;0.72900000;0.970;0.74900000;0.70400000;2721486.63750000
CLVUSDT;0.72900000;0.970;0.74900000;0.70400000;2721486.63750000
CLVUSDT;0.72900000;0.970;0.74900000;0.70400000;2721486.63750000
CLVUSDT;0.72900000;0.970;0.74900000;0.70400000;2721486.63750000
CLVUSDT;0.72900000;0.970;0.74900000;0.70400000;2721486.63750000
CLVUSDT;0.72900000;0.970;0.74900000;0.70400000;2721486.63750000
CLVUSDT;0.72900000;0.970;0.74900000;0.70400000;2721486.63750000
