Symbol;Price;Change24;Max24;Min24;Volume24
COSUSDT;0.02821000;4.753;0.03062000;0.02501000;36468114.92558700
COSUSDT;0.02821000;4.751;0.03062000;0.02501000;36466407.44091500
COSUSDT;0.02828000;4.435;0.03062000;0.02501000;36448093.75366400
COSUSDT;0.02822000;4.661;0.03062000;0.02501000;36447286.71608700
COSUSDT;0.02821000;4.250;0.03062000;0.02501000;36440057.04191000
COSUSDT;0.02822000;4.173;0.03062000;0.02501000;36438914.09622700
COSUSDT;0.02827000;4.900;0.03062000;0.02501000;36424385.36700600
COSUSDT;0.02830000;4.698;0.03062000;0.02501000;36403932.57049900
COSUSDT;0.02827000;4.665;0.03062000;0.02501000;36405257.90279200
COSUSDT;0.02820000;4.522;0.03062000;0.02501000;36412020.83289200
COSUSDT;0.02821000;4.520;0.03062000;0.02501000;36411082.12217100
COSUSDT;0.02821000;4.481;0.03062000;0.02501000;36409336.72496800
COSUSDT;0.02825000;5.065;0.03062000;0.02501000;36345351.89479100
COSUSDT;0.02819000;5.338;0.03062000;0.02501000;36353740.78626900
COSUSDT;0.02823000;5.533;0.03062000;0.02501000;36353986.21137800
COSUSDT;0.02823000;5.257;0.03062000;0.02501000;36350715.23438400
COSUSDT;0.02821000;5.101;0.03062000;0.02501000;36350542.24314500
COSUSDT;0.02824000;5.410;0.03062000;0.02501000;36332747.51679800
COSUSDT;0.02816000;4.490;0.03062000;0.02501000;36332161.94335100
COSUSDT;0.02832000;4.772;0.03062000;0.02501000;36340659.90412100
COSUSDT;0.02829000;4.391;0.03062000;0.02501000;36307251.12263800
COSUSDT;0.02831000;4.698;0.03062000;0.02501000;36300911.81650200
COSUSDT;0.02834000;5.514;0.03062000;0.02501000;36281692.51438500
COSUSDT;0.02828000;5.320;0.03062000;0.02501000;36279199.97223300
COSUSDT;0.02830000;5.087;0.03062000;0.02501000;36271885.33522000
COSUSDT;0.02831000;5.357;0.03062000;0.02501000;36253958.23400500
COSUSDT;0.02835000;5.469;0.03062000;0.02501000;36256443.44502400
COSUSDT;0.02838000;5.657;0.03062000;0.02501000;36255947.92725500
COSUSDT;0.02839000;5.935;0.03062000;0.02501000;36238074.75151800
COSUSDT;0.02839000;6.332;0.03062000;0.02501000;36223432.52721200
COSUSDT;0.02839000;6.890;0.03062000;0.02501000;36198233.43749000
COSUSDT;0.02838000;6.812;0.03062000;0.02501000;36174874.81620000
COSUSDT;0.02835000;6.541;0.03062000;0.02501000;36153234.13832500
COSUSDT;0.02839000;6.449;0.03062000;0.02501000;36149173.61168600
COSUSDT;0.02839000;6.449;0.03062000;0.02501000;36149269.75194100
COSUSDT;0.02839000;6.724;0.03062000;0.02501000;36146401.67507400
COSUSDT;0.02839000;6.377;0.03062000;0.02501000;36119024.06318300
COSUSDT;0.02839000;6.569;0.03062000;0.02501000;36111499.81226000
COSUSDT;0.02839000;6.250;0.03062000;0.02501000;36052663.10875200
COSUSDT;0.02839000;6.409;0.03062000;0.02501000;36051392.68223800
COSUSDT;0.02842000;6.322;0.03062000;0.02501000;36052964.60187600
COSUSDT;0.02842000;6.482;0.03062000;0.02501000;36054497.32765600
COSUSDT;0.02842000;6.362;0.03062000;0.02501000;36038503.53906000
COSUSDT;0.02842000;6.166;0.03062000;0.02501000;36040310.28436200
COSUSDT;0.02841000;5.769;0.03062000;0.02501000;36032283.35000400
COSUSDT;0.02841000;6.005;0.03062000;0.02501000;35998955.41958400
COSUSDT;0.02843000;5.729;0.03062000;0.02501000;35995035.65884600
COSUSDT;0.02841000;5.613;0.03062000;0.02501000;36005761.89876200
COSUSDT;0.02844000;5.531;0.03062000;0.02501000;35993338.81431400
COSUSDT;0.02842000;5.298;0.03062000;0.02501000;35981629.54294100
COSUSDT;0.02840000;5.183;0.03062000;0.02501000;35979706.04386700
COSUSDT;0.02840000;5.263;0.03062000;0.02501000;35962163.36592800
COSUSDT;0.02841000;5.382;0.03062000;0.02501000;35940555.09357800
COSUSDT;0.02841000;5.496;0.03062000;0.02501000;35940759.63383800
COSUSDT;0.02842000;5.572;0.03062000;0.02501000;35939643.25584300
COSUSDT;0.02840000;5.265;0.03062000;0.02501000;35931794.24181000
COSUSDT;0.02840000;5.267;0.03062000;0.02501000;35929027.54381500
COSUSDT;0.02841000;5.417;0.03062000;0.02501000;35925035.13153200
COSUSDT;0.02839000;5.382;0.03062000;0.02501000;35922688.15969600
COSUSDT;0.02839000;5.498;0.03062000;0.02501000;35905634.48786300
COSUSDT;0.02843000;5.531;0.03062000;0.02501000;35891698.90916500
COSUSDT;0.02870000;6.456;0.03062000;0.02501000;35898183.00379000
COSUSDT;0.02872000;6.452;0.03062000;0.02501000;35895156.37850900
COSUSDT;0.02876000;6.437;0.03062000;0.02501000;35858195.48870400
COSUSDT;0.02874000;6.435;0.03062000;0.02501000;35858110.10211500
COSUSDT;0.02874000;7.079;0.03062000;0.02501000;35829858.01717700
COSUSDT;0.02872000;7.448;0.03062000;0.02501000;35821601.85910500
COSUSDT;0.02873000;7.242;0.03062000;0.02501000;35820972.04472500
COSUSDT;0.02886000;4.644;0.03062000;0.02501000;35649150.46218500
COSUSDT;0.02886000;4.150;0.03062000;0.02501000;35562048.02416600
COSUSDT;0.02890000;4.149;0.03062000;0.02501000;35483203.76759300
COSUSDT;0.02873000;3.493;0.03062000;0.02501000;35048084.57723300
COSUSDT;0.02867000;3.390;0.03062000;0.02501000;34941216.04212700
COSUSDT;0.02863000;3.397;0.03062000;0.02501000;34933965.47871200
COSUSDT;0.02849000;3.111;0.03062000;0.02501000;34784925.15761800
COSUSDT;0.02850000;3.111;0.03062000;0.02501000;34783401.36069100
COSUSDT;0.02850000;3.486;0.03062000;0.02501000;34776507.88142100
COSUSDT;0.02847000;2.817;0.03062000;0.02501000;34670827.17510700
COSUSDT;0.02848000;2.817;0.03062000;0.02501000;34677762.37070200
COSUSDT;0.02841000;3.232;0.03062000;0.02501000;34579568.65667800
COSUSDT;0.02840000;4.332;0.03062000;0.02501000;34526774.48396800
COSUSDT;0.02842000;4.141;0.03062000;0.02501000;34503616.58590200
COSUSDT;0.02842000;4.141;0.03062000;0.02501000;34476592.35159200
COSUSDT;0.02841000;4.180;0.03062000;0.02501000;34436278.87046200
COSUSDT;0.02841000;4.370;0.03062000;0.02501000;34433546.77831100
COSUSDT;0.02843000;4.407;0.03062000;0.02501000;34433351.51211200
COSUSDT;0.02844000;3.987;0.03062000;0.02501000;34431222.48863600
COSUSDT;0.02844000;4.182;0.03062000;0.02501000;34428251.07580500
COSUSDT;0.02841000;4.104;0.03062000;0.02501000;34416729.44823500
COSUSDT;0.02840000;4.373;0.03062000;0.02501000;34399139.37859400
COSUSDT;0.02839000;4.067;0.03062000;0.02501000;34383527.05491200
COSUSDT;0.02835000;3.694;0.03062000;0.02501000;34392224.81553400
COSUSDT;0.02835000;3.698;0.03062000;0.02501000;34373920.22232500
COSUSDT;0.02832000;3.617;0.03062000;0.02501000;34365401.46267000
COSUSDT;0.02832000;3.693;0.03062000;0.02501000;34360324.49929300
COSUSDT;0.02832000;3.656;0.03062000;0.02501000;34357065.26569800
COSUSDT;0.02836000;3.770;0.03062000;0.02501000;34350035.33928600
COSUSDT;0.02832000;3.772;0.03062000;0.02501000;34370913.56142900
COSUSDT;0.02831000;3.953;0.03062000;0.02501000;34372424.45927400
COSUSDT;0.02835000;3.808;0.03062000;0.02501000;34417078.61143400
COSUSDT;0.02831000;3.735;0.03062000;0.02501000;34413253.24170300
COSUSDT;0.02834000;3.772;0.03062000;0.02501000;34412031.12622800
COSUSDT;0.02835000;3.846;0.03062000;0.02501000;34407068.63374600
COSUSDT;0.02835000;3.770;0.03062000;0.02501000;34409517.73743500
COSUSDT;0.02832000;4.037;0.03062000;0.02501000;34404192.54399300
COSUSDT;0.02832000;4.308;0.03062000;0.02501000;34398225.80334400
COSUSDT;0.02833000;4.273;0.03062000;0.02501000;34397868.86848900
COSUSDT;0.02832000;4.499;0.03062000;0.02501000;34385076.41691700
COSUSDT;0.02832000;4.425;0.03062000;0.02501000;34383990.56546500
COSUSDT;0.02832000;4.385;0.03062000;0.02501000;34383175.17209600
COSUSDT;0.02833000;4.118;0.03062000;0.02501000;34378073.42064300
COSUSDT;0.02831000;4.306;0.03062000;0.02501000;34368513.52904300
COSUSDT;0.02833000;4.269;0.03062000;0.02501000;34367557.76443100
