Symbol;Price;Change24;Max24;Min24;Volume24
COTIUSDT;0.37750000;-1.152;0.40490000;0.36400000;13107986.87680000
COTIUSDT;0.37750000;-1.152;0.40490000;0.36400000;13106305.35010000
COTIUSDT;0.37710000;-1.179;0.40490000;0.36400000;13106559.31370000
COTIUSDT;0.37710000;-1.205;0.40490000;0.36400000;13106803.29740000
COTIUSDT;0.37710000;-1.179;0.40490000;0.36400000;13106769.32610000
COTIUSDT;0.37710000;-1.179;0.40490000;0.36400000;13106769.32610000
COTIUSDT;0.37710000;-1.179;0.40490000;0.36400000;13106769.32610000
COTIUSDT;0.37670000;-1.129;0.40490000;0.36400000;13097857.29020000
COTIUSDT;0.37690000;-1.050;0.40490000;0.36400000;13097434.72970000
COTIUSDT;0.37690000;-1.050;0.40490000;0.36400000;13097434.72970000
COTIUSDT;0.37710000;-1.127;0.40490000;0.36400000;13096582.99390000
COTIUSDT;0.37700000;-1.024;0.40490000;0.36400000;13124868.66460000
COTIUSDT;0.37700000;-0.946;0.40490000;0.36400000;13123618.45880000
COTIUSDT;0.37700000;-1.076;0.40490000;0.36400000;13121171.60280000
COTIUSDT;0.37690000;-1.050;0.40490000;0.36400000;13121069.35040000
COTIUSDT;0.37690000;-1.024;0.40490000;0.36400000;13121049.54360000
COTIUSDT;0.37690000;-1.024;0.40490000;0.36400000;13118725.76320000
COTIUSDT;0.37690000;-1.102;0.40490000;0.36400000;13118758.05960000
COTIUSDT;0.37700000;-1.180;0.40490000;0.36400000;13119090.84750000
COTIUSDT;0.37620000;-1.336;0.40490000;0.36400000;13119165.97970000
COTIUSDT;0.37600000;-1.364;0.40490000;0.36400000;13196793.91630000
COTIUSDT;0.37600000;-1.338;0.40490000;0.36400000;13197660.15380000
COTIUSDT;0.37590000;-1.261;0.40490000;0.36400000;13197445.42930000
COTIUSDT;0.37590000;-1.339;0.40490000;0.36400000;13192533.37990000
COTIUSDT;0.37590000;-1.442;0.40490000;0.36400000;13192056.76400000
COTIUSDT;0.37620000;-1.596;0.40490000;0.36400000;13192749.32840000
COTIUSDT;0.37670000;-1.516;0.40490000;0.36400000;13189144.63900000
COTIUSDT;0.37670000;-1.594;0.40490000;0.36400000;13188995.46400000
COTIUSDT;0.37670000;-1.671;0.40490000;0.36400000;13188745.87840000
COTIUSDT;0.37640000;-1.516;0.40490000;0.36400000;13190236.09660000
COTIUSDT;0.37700000;-1.413;0.40490000;0.36400000;13190055.23910000
COTIUSDT;0.37670000;-1.619;0.40490000;0.36400000;13191779.40950000
COTIUSDT;0.37670000;-1.542;0.40490000;0.36400000;13191694.02280000
COTIUSDT;0.37710000;-1.515;0.40490000;0.36400000;13191481.50960000
COTIUSDT;0.37720000;-1.463;0.40490000;0.36400000;13191532.31850000
COTIUSDT;0.37720000;-1.282;0.40490000;0.36400000;13191766.13190000
COTIUSDT;0.37700000;-1.283;0.40490000;0.36400000;13190916.53410000
COTIUSDT;0.37670000;-1.491;0.40490000;0.36400000;13188776.02020000
COTIUSDT;0.37700000;-1.489;0.40490000;0.36400000;13183892.33090000
COTIUSDT;0.37700000;-1.309;0.40490000;0.36400000;13178354.30610000
COTIUSDT;0.37690000;-1.361;0.40490000;0.36400000;13176058.04970000
COTIUSDT;0.37700000;-1.412;0.40490000;0.36400000;13176298.87420000
COTIUSDT;0.37710000;-1.360;0.40490000;0.36400000;13175089.28780000
COTIUSDT;0.37700000;-1.386;0.40490000;0.36400000;13175475.42820000
COTIUSDT;0.37700000;-1.386;0.40490000;0.36400000;13175254.84110000
COTIUSDT;0.37760000;-1.307;0.40490000;0.36400000;13175143.30190000
COTIUSDT;0.37710000;-1.412;0.40490000;0.36400000;13175279.16940000
COTIUSDT;0.37760000;-1.178;0.40490000;0.36400000;13174954.97550000
COTIUSDT;0.37710000;-1.438;0.40490000;0.36400000;13176301.10750000
COTIUSDT;0.37700000;-1.567;0.40490000;0.36400000;13176210.08690000
COTIUSDT;0.37700000;-1.411;0.40490000;0.36400000;13174337.65100000
COTIUSDT;0.37700000;-1.618;0.40490000;0.36400000;13177950.22870000
COTIUSDT;0.37730000;-1.463;0.40490000;0.36400000;13178084.23480000
COTIUSDT;0.37700000;-1.541;0.40490000;0.36400000;13178734.93560000
COTIUSDT;0.37700000;-1.618;0.40490000;0.36400000;13178989.30010000
COTIUSDT;0.37700000;-1.618;0.40490000;0.36400000;13180108.61310000
COTIUSDT;0.37700000;-1.592;0.40490000;0.36400000;13179713.91710000
COTIUSDT;0.37670000;-1.618;0.40490000;0.36400000;13179214.26100000
COTIUSDT;0.37650000;-1.748;0.40490000;0.36400000;13180184.28420000
COTIUSDT;0.37670000;-1.748;0.40490000;0.36400000;13180682.01720000
COTIUSDT;0.37680000;-1.773;0.40490000;0.36400000;13185139.43210000
COTIUSDT;0.37670000;-1.824;0.40490000;0.36400000;13175139.39890000
COTIUSDT;0.37670000;-1.850;0.40490000;0.36400000;13173998.84530000
COTIUSDT;0.37680000;-1.798;0.40490000;0.36400000;13168893.50030000
COTIUSDT;0.37630000;-1.929;0.40490000;0.36400000;13170413.96520000
COTIUSDT;0.37570000;-1.572;0.40490000;0.36400000;13171782.85380000
COTIUSDT;0.37590000;-1.520;0.40490000;0.36400000;13171950.17970000
COTIUSDT;0.37590000;-1.520;0.40490000;0.36400000;13171313.56260000
COTIUSDT;0.37640000;-1.569;0.40490000;0.36400000;13169457.13240000
COTIUSDT;0.37640000;-1.698;0.40490000;0.36400000;13169103.97210000
COTIUSDT;0.37600000;-1.648;0.40490000;0.36400000;13170730.04720000
COTIUSDT;0.37600000;-1.673;0.40490000;0.36400000;13158632.94090000
COTIUSDT;0.37510000;-1.702;0.40490000;0.36400000;13171000.13830000
COTIUSDT;0.37520000;-1.728;0.40490000;0.36400000;13167600.65960000
COTIUSDT;0.37460000;-1.860;0.40490000;0.36400000;13181301.19650000
COTIUSDT;0.37470000;-1.911;0.40490000;0.36400000;13192343.25930000
COTIUSDT;0.37410000;-1.861;0.40490000;0.36400000;13191841.63220000
COTIUSDT;0.37450000;-1.835;0.40490000;0.36400000;13214349.03390000
COTIUSDT;0.37500000;-1.447;0.40490000;0.36400000;13179267.34210000
COTIUSDT;0.37480000;-1.730;0.40490000;0.36400000;13173700.36420000
COTIUSDT;0.37500000;-1.858;0.40490000;0.36400000;13172745.46340000
COTIUSDT;0.37480000;-1.857;0.40490000;0.36400000;13172302.81110000
COTIUSDT;0.37480000;-1.962;0.40490000;0.36400000;13172658.18750000
COTIUSDT;0.37470000;-1.884;0.40490000;0.36400000;13171758.12920000
COTIUSDT;0.37470000;-1.808;0.40490000;0.36400000;13168368.38530000
COTIUSDT;0.37490000;-1.807;0.40490000;0.36400000;13168646.74050000
COTIUSDT;0.37490000;-1.833;0.40490000;0.36400000;13168729.32430000
COTIUSDT;0.37480000;-1.859;0.40490000;0.36400000;13169495.72030000
COTIUSDT;0.37480000;-1.936;0.40490000;0.36400000;13169040.50850000
COTIUSDT;0.37480000;-1.859;0.40490000;0.36400000;13168990.44030000
COTIUSDT;0.37480000;-1.885;0.40490000;0.36400000;13168695.27850000
COTIUSDT;0.37470000;-1.911;0.40490000;0.36400000;13168903.98100000
COTIUSDT;0.37410000;-2.119;0.40490000;0.36400000;13169754.25930000
COTIUSDT;0.37410000;-2.145;0.40490000;0.36400000;13170740.77640000
COTIUSDT;0.37410000;-2.222;0.40490000;0.36400000;13170826.24230000
COTIUSDT;0.37410000;-2.298;0.40490000;0.36400000;13169884.35630000
COTIUSDT;0.37440000;-2.245;0.40490000;0.36400000;13172568.59790000
COTIUSDT;0.37440000;-2.245;0.40490000;0.36400000;13171692.93320000
COTIUSDT;0.37440000;-2.296;0.40490000;0.36400000;13171479.65000000
COTIUSDT;0.37440000;-2.322;0.40490000;0.36400000;13155075.46820000
COTIUSDT;0.37370000;-2.659;0.40490000;0.36400000;13153919.35380000
COTIUSDT;0.37350000;-2.557;0.40490000;0.36400000;13154435.70470000
COTIUSDT;0.37370000;-2.479;0.40490000;0.36400000;13157812.75980000
COTIUSDT;0.37270000;-2.688;0.40490000;0.36400000;13168113.10770000
COTIUSDT;0.37250000;-2.662;0.40490000;0.36400000;13171259.04110000
COTIUSDT;0.37270000;-2.718;0.40490000;0.36400000;13177162.22700000
COTIUSDT;0.37320000;-3.247;0.40490000;0.36400000;13089846.76100000
COTIUSDT;0.37280000;-3.140;0.40490000;0.36400000;13218459.65160000
COTIUSDT;0.37350000;-3.438;0.40490000;0.36400000;13216078.30940000
COTIUSDT;0.37340000;-3.389;0.40490000;0.36400000;13213186.69080000
COTIUSDT;0.37350000;-3.288;0.40490000;0.36400000;13210698.15940000
COTIUSDT;0.37350000;-3.188;0.40490000;0.36400000;13196810.83760000
COTIUSDT;0.37350000;-3.163;0.40490000;0.36400000;13178964.40560000
COTIUSDT;0.37340000;-3.061;0.40490000;0.36400000;13179558.42060000
COTIUSDT;0.37330000;-3.265;0.40490000;0.36400000;13184832.44090000
COTIUSDT;0.37320000;-3.440;0.40490000;0.36400000;13179590.04060000
COTIUSDT;0.37320000;-3.416;0.40490000;0.36400000;13180109.08450000
COTIUSDT;0.37340000;-3.289;0.40490000;0.36400000;13179528.69930000
COTIUSDT;0.37350000;-3.164;0.40490000;0.36400000;13178560.05750000
COTIUSDT;0.37350000;-3.138;0.40490000;0.36400000;13180214.28900000
COTIUSDT;0.37370000;-3.262;0.40490000;0.36400000;13188902.57270000
COTIUSDT;0.37370000;-3.262;0.40490000;0.36400000;13188902.57270000
COTIUSDT;0.37380000;-3.236;0.40490000;0.36400000;13188933.59810000
COTIUSDT;0.37360000;-3.388;0.40490000;0.36400000;13188966.69730000
COTIUSDT;0.37350000;-3.513;0.40490000;0.36400000;13181640.81630000
COTIUSDT;0.37330000;-3.515;0.40490000;0.36400000;13178680.49450000
COTIUSDT;0.37340000;-3.489;0.40490000;0.36400000;13177210.78860000
COTIUSDT;0.37390000;-3.511;0.40490000;0.36400000;13176952.70170000
