Symbol;Price;Change24;Max24;Min24;Volume24
CRVUSDT;5.21400000;2.819;5.28000000;4.65500000;153737146.10570000
CRVUSDT;5.21100000;2.740;5.28000000;4.65500000;153714656.57600000
CRVUSDT;5.20600000;2.724;5.28000000;4.65500000;153659721.48470000
CRVUSDT;5.20100000;2.704;5.28000000;4.65500000;153662807.01440000
CRVUSDT;5.20400000;2.220;5.28000000;4.65500000;153500519.53330000
CRVUSDT;5.20100000;2.180;5.28000000;4.65500000;153474150.74970000
CRVUSDT;5.20200000;2.381;5.28000000;4.65500000;153464094.22990000
CRVUSDT;5.20200000;2.321;5.28000000;4.65500000;153399839.82510000
CRVUSDT;5.19700000;2.301;5.28000000;4.65500000;153386968.78840000
CRVUSDT;5.20000000;2.462;5.28000000;4.65500000;153416434.89770000
CRVUSDT;5.19100000;2.186;5.28000000;4.65500000;153476931.21690000
CRVUSDT;5.19100000;2.427;5.28000000;4.65500000;153374338.81680000
CRVUSDT;5.18700000;2.611;5.28000000;4.65500000;153331412.95390000
CRVUSDT;5.18700000;2.349;5.28000000;4.65500000;153334072.90410000
CRVUSDT;5.18000000;2.372;5.28000000;4.65500000;153367006.18030000
CRVUSDT;5.18000000;2.108;5.28000000;4.65500000;153353941.55080000
CRVUSDT;5.17800000;2.190;5.28000000;4.65500000;153334025.66110000
CRVUSDT;5.18700000;2.186;5.28000000;4.65500000;153359200.28330000
CRVUSDT;5.18500000;2.087;5.28000000;4.65500000;153343250.26810000
CRVUSDT;5.17900000;2.190;5.28000000;4.65500000;153334541.18990000
CRVUSDT;5.17800000;2.434;5.28000000;4.65500000;153343778.09070000
CRVUSDT;5.17900000;2.535;5.28000000;4.65500000;153322823.16190000
CRVUSDT;5.18300000;2.776;5.28000000;4.65500000;153281279.94760000
CRVUSDT;5.17800000;2.352;5.28000000;4.65500000;153251307.06900000
CRVUSDT;5.17900000;2.151;5.28000000;4.65500000;153238140.77830000
CRVUSDT;5.17800000;1.887;5.28000000;4.65500000;153188353.26640000
CRVUSDT;5.17900000;1.769;5.28000000;4.65500000;153173365.41390000
CRVUSDT;5.17800000;1.668;5.28000000;4.65500000;153073254.46450000
CRVUSDT;5.18400000;1.428;5.28000000;4.65500000;152868192.37400000
CRVUSDT;5.19600000;1.842;5.28000000;4.65500000;153016573.63640000
CRVUSDT;5.19700000;1.961;5.28000000;4.65500000;153007335.45410000
CRVUSDT;5.19700000;1.722;5.28000000;4.65500000;152965775.58220000
CRVUSDT;5.19800000;1.662;5.28000000;4.65500000;152958700.53570000
CRVUSDT;5.19700000;1.722;5.28000000;4.65500000;152908480.66790000
CRVUSDT;5.19600000;1.683;5.28000000;4.65500000;152878110.79060000
CRVUSDT;5.19300000;1.723;5.28000000;4.65500000;152835614.57780000
CRVUSDT;5.19800000;1.883;5.28000000;4.65500000;152812456.38410000
CRVUSDT;5.19700000;2.243;5.28000000;4.65500000;152768237.98330000
CRVUSDT;5.19500000;1.922;5.28000000;4.65500000;152712413.47390000
CRVUSDT;5.19400000;1.943;5.28000000;4.65500000;152687692.15620000
CRVUSDT;5.19600000;1.883;5.28000000;4.65500000;152613507.40330000
CRVUSDT;5.19800000;1.922;5.28000000;4.65500000;152533388.59150000
CRVUSDT;5.19100000;1.785;5.28000000;4.65500000;152515758.23580000
CRVUSDT;5.19100000;2.105;5.28000000;4.65500000;152430619.25770000
CRVUSDT;5.19000000;2.105;5.28000000;4.65500000;152440935.38340000
CRVUSDT;5.19200000;1.625;5.28000000;4.65500000;152379745.69720000
CRVUSDT;5.20000000;1.962;5.28000000;4.65500000;152385576.66160000
CRVUSDT;5.19700000;2.042;5.28000000;4.65500000;152314366.15070000
CRVUSDT;5.19500000;1.843;5.28000000;4.65500000;152303719.55310000
CRVUSDT;5.19500000;1.623;5.28000000;4.65500000;152284116.35390000
CRVUSDT;5.19000000;1.625;5.28000000;4.65500000;152259450.84480000
CRVUSDT;5.18700000;1.527;5.28000000;4.65500000;152257432.14000000
CRVUSDT;5.20200000;1.900;5.28000000;4.65500000;152294124.21620000
CRVUSDT;5.19800000;1.862;5.28000000;4.65500000;152300286.26900000
CRVUSDT;5.19600000;1.822;5.28000000;4.65500000;152302699.86160000
CRVUSDT;5.19700000;1.862;5.28000000;4.65500000;152295843.25250000
CRVUSDT;5.19800000;1.921;5.28000000;4.65500000;152319833.49550000
CRVUSDT;5.19300000;1.465;5.28000000;4.65500000;152260348.31440000
CRVUSDT;5.18800000;1.526;5.28000000;4.65500000;152093048.49740000
CRVUSDT;5.19200000;1.466;5.28000000;4.65500000;152069465.57020000
CRVUSDT;5.18300000;0.856;5.28000000;4.65500000;151552442.46710000
CRVUSDT;5.18900000;1.566;5.28000000;4.65500000;151076555.41190000
CRVUSDT;5.19000000;1.764;5.28000000;4.65500000;151076983.62030000
CRVUSDT;5.18600000;1.726;5.28000000;4.65500000;150905727.95820000
CRVUSDT;5.18100000;1.510;5.28000000;4.65500000;150894846.26970000
CRVUSDT;5.17700000;1.909;5.28000000;4.65500000;150803178.08350000
CRVUSDT;5.17400000;1.911;5.28000000;4.65500000;150787919.51790000
CRVUSDT;5.17600000;1.910;5.28000000;4.65500000;150706128.14410000
CRVUSDT;5.15300000;0.429;5.28000000;4.65500000;150868358.49760000
CRVUSDT;5.15000000;0.409;5.28000000;4.65500000;150831025.64400000
CRVUSDT;5.15000000;0.645;5.28000000;4.65500000;150794130.13860000
CRVUSDT;5.14500000;0.430;5.28000000;4.65500000;150681950.29120000
CRVUSDT;5.13500000;0.805;5.28000000;4.65500000;150854465.96740000
CRVUSDT;5.13600000;0.943;5.28000000;4.65500000;150881520.78490000
CRVUSDT;5.13700000;0.983;5.28000000;4.65500000;150802390.20800000
CRVUSDT;5.13700000;1.162;5.28000000;4.65500000;150781988.81650000
CRVUSDT;5.13100000;1.182;5.28000000;4.65500000;150814740.54760000
CRVUSDT;5.14700000;1.398;5.28000000;4.65500000;151268464.18570000
CRVUSDT;5.15100000;1.478;5.28000000;4.65500000;151157029.03570000
CRVUSDT;5.18500000;2.067;5.28000000;4.65500000;151205967.42980000
CRVUSDT;5.18100000;1.768;5.28000000;4.65500000;150960339.98880000
CRVUSDT;5.17500000;1.529;5.28000000;4.65500000;150953988.43000000
CRVUSDT;5.17900000;1.390;5.28000000;4.65500000;150888972.95960000
CRVUSDT;5.17400000;1.531;5.28000000;4.65500000;150848006.89330000
CRVUSDT;5.18200000;1.608;5.28000000;4.65500000;150875577.26690000
CRVUSDT;5.17700000;1.548;5.28000000;4.65500000;150872602.74490000
CRVUSDT;5.17500000;1.153;5.28000000;4.65500000;150859702.53400000
CRVUSDT;5.16600000;1.057;5.28000000;4.65500000;150850136.50280000
CRVUSDT;5.16500000;1.235;5.28000000;4.65500000;150810504.29790000
CRVUSDT;5.16100000;1.235;5.28000000;4.65500000;150821086.19990000
CRVUSDT;5.16600000;1.334;5.28000000;4.65500000;150818502.05970000
CRVUSDT;5.16400000;1.434;5.28000000;4.65500000;150809328.96940000
CRVUSDT;5.15900000;1.433;5.28000000;4.65500000;150809012.05800000
CRVUSDT;5.15600000;1.257;5.28000000;4.65500000;150807133.88890000
CRVUSDT;5.15700000;0.939;5.28000000;4.65500000;150625210.51330000
CRVUSDT;5.15500000;0.782;5.28000000;4.65500000;150586097.17080000
CRVUSDT;5.15900000;0.940;5.28000000;4.65500000;150562262.48640000
CRVUSDT;5.14300000;0.823;5.28000000;4.65500000;150577397.36880000
CRVUSDT;5.14400000;0.685;5.28000000;4.65500000;150550664.64990000
CRVUSDT;5.14500000;0.626;5.28000000;4.65500000;150510744.09170000
CRVUSDT;5.14400000;0.803;5.28000000;4.65500000;150442096.04140000
CRVUSDT;5.13100000;0.509;5.28000000;4.65500000;150460005.22450000
CRVUSDT;5.14400000;0.744;5.28000000;4.65500000;150501775.58000000
CRVUSDT;5.14400000;0.804;5.28000000;4.65500000;150492952.23120000
CRVUSDT;5.14000000;0.803;5.28000000;4.65500000;150484818.20500000
CRVUSDT;5.13900000;0.923;5.28000000;4.65500000;150391319.43350000
CRVUSDT;5.15100000;1.061;5.28000000;4.65500000;150377662.54000000
CRVUSDT;5.15100000;1.179;5.28000000;4.65500000;150301245.64120000
CRVUSDT;5.15700000;1.416;5.28000000;4.65500000;150302477.96080000
CRVUSDT;5.15200000;1.198;5.28000000;4.65500000;150301871.36600000
CRVUSDT;5.15300000;1.297;5.28000000;4.65500000;150312751.80480000
CRVUSDT;5.14700000;1.199;5.28000000;4.65500000;150318875.63160000
CRVUSDT;5.13800000;0.844;5.28000000;4.65500000;150318192.38520000
CRVUSDT;5.13900000;0.804;5.28000000;4.65500000;150308323.55710000
CRVUSDT;5.12500000;1.003;5.28000000;4.65500000;150423092.37100000
CRVUSDT;5.12500000;0.807;5.28000000;4.65500000;150499778.44490000
CRVUSDT;5.12800000;0.906;5.28000000;4.65500000;150509152.51070000
CRVUSDT;5.13700000;1.262;5.28000000;4.65500000;150484161.19560000
CRVUSDT;5.13600000;1.282;5.28000000;4.65500000;150423956.91710000
CRVUSDT;5.13800000;1.402;5.28000000;4.65500000;150401309.83400000
CRVUSDT;5.13500000;1.361;5.28000000;4.65500000;150385930.07510000
CRVUSDT;5.13400000;1.143;5.28000000;4.65500000;150382318.82910000
CRVUSDT;5.14100000;1.261;5.28000000;4.65500000;150348333.90460000
CRVUSDT;5.13800000;0.864;5.28000000;4.65500000;150330318.03350000
CRVUSDT;5.13300000;0.529;5.28000000;4.65500000;150302055.49960000
CRVUSDT;5.13200000;0.686;5.28000000;4.65500000;150268733.01450000
CRVUSDT;5.13600000;0.745;5.28000000;4.65500000;150259485.73120000
CRVUSDT;5.13900000;0.785;5.28000000;4.65500000;150235462.28660000
CRVUSDT;5.15800000;0.803;5.28000000;4.65500000;150230259.13000000
CRVUSDT;5.15600000;1.058;5.28000000;4.65500000;150257299.14720000
CRVUSDT;5.15600000;0.999;5.28000000;4.65500000;150270642.55820000
CRVUSDT;5.15400000;0.999;5.28000000;4.65500000;150235845.91870000
CRVUSDT;5.15900000;1.316;5.28000000;4.65500000;150229702.73200000
CRVUSDT;5.16500000;1.097;5.28000000;4.65500000;150202128.87210000
CRVUSDT;5.17700000;1.253;5.28000000;4.65500000;150223165.36770000
CRVUSDT;5.16500000;1.195;5.28000000;4.65500000;150233354.94280000
CRVUSDT;5.16400000;1.077;5.28000000;4.65500000;150234147.31630000
CRVUSDT;5.14700000;1.116;5.28000000;4.65500000;150222436.08570000
CRVUSDT;5.16300000;1.096;5.28000000;4.65500000;150266691.85700000
CRVUSDT;5.16900000;1.017;5.28000000;4.65500000;150255776.71690000
CRVUSDT;5.17400000;1.017;5.28000000;4.65500000;150215591.49160000
CRVUSDT;5.17500000;1.154;5.28000000;4.65500000;150194432.91580000
CRVUSDT;5.17600000;1.073;5.28000000;4.65500000;150143685.61550000
CRVUSDT;5.17500000;0.995;5.28000000;4.65500000;150128083.37490000
CRVUSDT;5.17200000;0.838;5.28000000;4.65500000;150113779.60370000
CRVUSDT;5.19100000;1.367;5.28000000;4.65500000;150247712.36970000
CRVUSDT;5.18700000;1.210;5.28000000;4.65500000;150247289.40870000
CRVUSDT;5.19000000;0.855;5.28000000;4.65500000;150216933.24640000
CRVUSDT;5.18600000;0.719;5.28000000;4.65500000;150008328.47950000
CRVUSDT;5.18100000;0.758;5.28000000;4.65500000;149950205.46720000
CRVUSDT;5.18300000;0.660;5.28000000;4.65500000;149902209.89580000
CRVUSDT;5.18100000;0.329;5.28000000;4.65500000;149408931.68010000
CRVUSDT;5.18200000;0.116;5.28000000;4.65500000;149366858.76270000
CRVUSDT;5.18600000;0.309;5.28000000;4.65500000;148926604.19930000
CRVUSDT;5.18400000;0.232;5.28000000;4.65500000;148846569.79240000
CRVUSDT;5.17100000;0.194;5.28000000;4.65500000;148835435.19410000
CRVUSDT;5.17000000;0.116;5.28000000;4.65500000;148829138.20880000
CRVUSDT;5.17700000;0.135;5.28000000;4.65500000;148824221.19550000
CRVUSDT;5.17300000;0.213;5.28000000;4.65500000;148802091.97640000
CRVUSDT;5.18000000;0.465;5.28000000;4.65500000;148770853.99260000
CRVUSDT;5.17500000;0.563;5.28000000;4.65500000;148753132.59760000
CRVUSDT;5.17200000;0.233;5.28000000;4.65500000;148777397.16070000
CRVUSDT;5.17700000;0.485;5.28000000;4.65500000;148739925.60520000
CRVUSDT;5.17700000;0.485;5.28000000;4.65500000;148695163.36260000
CRVUSDT;5.17800000;0.818;5.28000000;4.65500000;148618154.88740000
CRVUSDT;5.17600000;0.720;5.28000000;4.65500000;148572365.36530000
CRVUSDT;5.17700000;0.838;5.28000000;4.65500000;148560976.93080000
CRVUSDT;5.18200000;1.014;5.28000000;4.65500000;148552796.67350000
CRVUSDT;5.18800000;1.131;5.28000000;4.65500000;148546899.29440000
CRVUSDT;5.19000000;0.718;5.28000000;4.65500000;148488384.18270000
CRVUSDT;5.18700000;0.582;5.28000000;4.65500000;148479660.86870000
CRVUSDT;5.18500000;0.407;5.28000000;4.65500000;148419621.59880000
CRVUSDT;5.18700000;0.329;5.28000000;4.65500000;148413438.36730000
CRVUSDT;5.19800000;0.697;5.28000000;4.65500000;148398577.94040000
CRVUSDT;5.19300000;0.756;5.28000000;4.65500000;148336123.87670000
CRVUSDT;5.19600000;0.893;5.28000000;4.65500000;148323081.13900000
CRVUSDT;5.18600000;1.091;5.28000000;4.65500000;148269480.83950000
CRVUSDT;5.18700000;0.465;5.28000000;4.65500000;148203354.95450000
CRVUSDT;5.18400000;0.504;5.28000000;4.65500000;148079253.21680000
CRVUSDT;5.18900000;0.445;5.28000000;4.65500000;148057326.17710000
CRVUSDT;5.18900000;0.542;5.28000000;4.65500000;148013683.06430000
CRVUSDT;5.18700000;0.524;5.28000000;4.65500000;148000756.68050000
CRVUSDT;5.17500000;0.504;5.28000000;4.65500000;147936623.74540000
CRVUSDT;5.17500000;0.233;5.28000000;4.65500000;147968994.09560000
CRVUSDT;5.16400000;0.349;5.28000000;4.65500000;147935406.22680000
CRVUSDT;5.16600000;0.350;5.28000000;4.65500000;147918937.46840000
CRVUSDT;5.17000000;0.233;5.28000000;4.65500000;147906199.07940000
CRVUSDT;5.17700000;0.485;5.28000000;4.65500000;147953276.12160000
CRVUSDT;5.17700000;0.330;5.28000000;4.65500000;147901751.17320000
CRVUSDT;5.17900000;0.446;5.28000000;4.65500000;147907499.86600000
CRVUSDT;5.17200000;0.388;5.28000000;4.65500000;147894946.97630000
CRVUSDT;5.17200000;0.427;5.28000000;4.65500000;147890877.03060000
CRVUSDT;5.17600000;0.564;5.28000000;4.65500000;147843429.56410000
CRVUSDT;5.16500000;0.310;5.28000000;4.65500000;147831693.07510000
CRVUSDT;5.15600000;0.097;5.28000000;4.65500000;147875475.24880000
CRVUSDT;5.14300000;-0.194;5.28000000;4.65500000;147877097.35950000
CRVUSDT;5.15000000;-0.116;5.28000000;4.65500000;147903806.04370000
CRVUSDT;5.13900000;-0.136;5.28000000;4.65500000;147863786.89170000
CRVUSDT;5.14200000;-0.233;5.28000000;4.65500000;147870970.91620000
CRVUSDT;5.14700000;-0.116;5.28000000;4.65500000;147849068.25870000
CRVUSDT;5.15300000;-0.175;5.28000000;4.65500000;147839129.66840000
CRVUSDT;5.14900000;-0.329;5.28000000;4.65500000;147770524.00590000
CRVUSDT;5.15400000;-0.232;5.28000000;4.65500000;147903562.39130000
CRVUSDT;5.16400000;0.019;5.28000000;4.65500000;147873018.18830000
CRVUSDT;5.16200000;0.194;5.28000000;4.65500000;147843281.77080000
CRVUSDT;5.16600000;0.350;5.28000000;4.65500000;147837241.96550000
CRVUSDT;5.16100000;0.370;5.28000000;4.65500000;147817829.26400000
CRVUSDT;5.15300000;0.448;5.28000000;4.65500000;147768387.47760000
CRVUSDT;5.14300000;0.254;5.28000000;4.65500000;147815276.08650000
CRVUSDT;5.15100000;0.507;5.28000000;4.65500000;147812133.62090000
CRVUSDT;5.15000000;0.449;5.28000000;4.65500000;147769276.30070000
CRVUSDT;5.14800000;0.195;5.28000000;4.65500000;147765322.61310000
CRVUSDT;5.16300000;0.546;5.28000000;4.65500000;147779497.13270000
CRVUSDT;5.17000000;0.819;5.28000000;4.65500000;147793713.98780000
CRVUSDT;5.17100000;0.819;5.28000000;4.65500000;147790261.10950000
CRVUSDT;5.16800000;0.839;5.28000000;4.65500000;147796227.92710000
CRVUSDT;5.16700000;0.878;5.28000000;4.65500000;147790991.24210000
CRVUSDT;5.16300000;0.683;5.28000000;4.65500000;147808715.34300000
CRVUSDT;5.16200000;0.879;5.28000000;4.65500000;147735339.71740000
CRVUSDT;5.15800000;0.998;5.28000000;4.65500000;147739029.78380000
CRVUSDT;5.15500000;0.959;5.28000000;4.65500000;147710353.39400000
CRVUSDT;5.15100000;0.999;5.28000000;4.65500000;147648824.22310000
CRVUSDT;5.15300000;1.000;5.28000000;4.65500000;147695461.38650000
CRVUSDT;5.15800000;1.018;5.28000000;4.65500000;147669953.27790000
CRVUSDT;5.15900000;0.959;5.28000000;4.65500000;147655834.05510000
CRVUSDT;5.15700000;0.919;5.28000000;4.65500000;147641626.30570000
CRVUSDT;5.15500000;0.585;5.28000000;4.65500000;147633043.74410000
CRVUSDT;5.15500000;0.703;5.28000000;4.65500000;147613763.25290000
CRVUSDT;5.15200000;0.507;5.28000000;4.65500000;147604058.10460000
CRVUSDT;5.14800000;0.448;5.28000000;4.65500000;147595325.93760000
CRVUSDT;5.15000000;-0.019;5.28000000;4.65500000;147552780.98770000
CRVUSDT;5.14600000;0.000;5.28000000;4.65500000;147498809.83990000
CRVUSDT;5.14500000;-0.019;5.28000000;4.65500000;147493187.13720000
CRVUSDT;5.14400000;0.117;5.28000000;4.65500000;147487560.86960000
CRVUSDT;5.14400000;0.175;5.28000000;4.65500000;147478834.47470000
CRVUSDT;5.13900000;0.156;5.28000000;4.65500000;147478454.85390000
CRVUSDT;5.12700000;-0.175;5.28000000;4.65500000;147475435.27070000
CRVUSDT;5.13100000;-0.330;5.28000000;4.65500000;147445715.19170000
CRVUSDT;5.13400000;-0.504;5.28000000;4.65500000;147408095.27890000
CRVUSDT;5.13400000;-0.465;5.28000000;4.65500000;147446103.98580000
CRVUSDT;5.13000000;-0.562;5.28000000;4.65500000;147443619.14430000
CRVUSDT;5.14100000;-0.349;5.28000000;4.65500000;147469620.97170000
CRVUSDT;5.13900000;-0.214;5.28000000;4.65500000;147448240.64970000
CRVUSDT;5.13900000;-0.272;5.28000000;4.65500000;147416880.78450000
CRVUSDT;5.13800000;-0.291;5.28000000;4.65500000;147410813.35560000
CRVUSDT;5.13700000;-0.504;5.28000000;4.65500000;147371405.62980000
CRVUSDT;5.13500000;-0.407;5.28000000;4.65500000;147355766.71800000
CRVUSDT;5.12800000;-0.504;5.28000000;4.65500000;147344549.09030000
CRVUSDT;5.12700000;-0.639;5.28000000;4.65500000;147367303.92450000
CRVUSDT;5.13200000;-0.543;5.28000000;4.65500000;147360126.77340000
CRVUSDT;5.12800000;-0.601;5.28000000;4.65500000;147354666.08360000
CRVUSDT;5.13200000;-0.542;5.28000000;4.65500000;147353796.88040000
CRVUSDT;5.13800000;-0.214;5.28000000;4.65500000;147335463.03610000
CRVUSDT;5.13400000;-0.349;5.28000000;4.65500000;147334600.36290000
CRVUSDT;5.13700000;-0.291;5.28000000;4.65500000;147364444.23580000
CRVUSDT;5.13900000;-0.349;5.28000000;4.65500000;147352746.48190000
CRVUSDT;5.14300000;-0.097;5.28000000;4.65500000;147349736.54040000
CRVUSDT;5.13800000;-0.078;5.28000000;4.65500000;147338965.66610000
CRVUSDT;5.14000000;0.039;5.28000000;4.65500000;147325113.64730000
CRVUSDT;5.14100000;0.078;5.28000000;4.65500000;147319669.38710000
CRVUSDT;5.14600000;0.078;5.28000000;4.65500000;147355241.31200000
CRVUSDT;5.14600000;0.039;5.28000000;4.65500000;147353549.26780000
CRVUSDT;5.15000000;-0.097;5.28000000;4.65500000;147319788.27690000
CRVUSDT;5.14500000;-0.233;5.28000000;4.65500000;147248022.91020000
CRVUSDT;5.14800000;-0.116;5.28000000;4.65500000;147228933.40120000
CRVUSDT;5.14400000;-0.175;5.28000000;4.65500000;147220097.55630000
CRVUSDT;5.14700000;-0.136;5.28000000;4.65500000;147189685.12910000
CRVUSDT;5.14700000;-0.291;5.28000000;4.65500000;147173139.54240000
CRVUSDT;5.14700000;-0.291;5.28000000;4.65500000;147154387.40920000
CRVUSDT;5.14100000;-0.097;5.28000000;4.65500000;147114721.12750000
CRVUSDT;5.14100000;-0.194;5.28000000;4.65500000;147112522.76590000
CRVUSDT;5.13500000;-0.349;5.28000000;4.65500000;147098316.91960000
CRVUSDT;5.13700000;-0.543;5.28000000;4.65500000;147108219.64740000
CRVUSDT;5.15200000;-0.232;5.28000000;4.65500000;147187214.75320000
CRVUSDT;5.14900000;-0.213;5.28000000;4.65500000;147183580.14460000
CRVUSDT;5.14800000;-0.271;5.28000000;4.65500000;147189051.12890000
CRVUSDT;5.14500000;-0.194;5.28000000;4.65500000;147178241.75310000
CRVUSDT;5.14900000;-0.155;5.28000000;4.65500000;147169697.60890000
CRVUSDT;5.14600000;-0.194;5.28000000;4.65500000;147154626.88890000
CRVUSDT;5.15700000;0.039;5.28000000;4.65500000;147096107.90790000
CRVUSDT;5.15900000;0.194;5.28000000;4.65500000;147104892.32550000
CRVUSDT;5.15700000;0.233;5.28000000;4.65500000;147109727.26930000
CRVUSDT;5.16600000;0.272;5.28000000;4.65500000;147088998.89740000
CRVUSDT;5.15800000;0.214;5.28000000;4.65500000;147081732.61650000
CRVUSDT;5.16000000;0.233;5.28000000;4.65500000;147060482.98880000
CRVUSDT;5.16200000;0.291;5.28000000;4.65500000;147125684.57180000
CRVUSDT;5.16600000;0.545;5.28000000;4.65500000;147118250.50460000
CRVUSDT;5.16400000;0.741;5.28000000;4.65500000;147080525.06690000
CRVUSDT;5.17100000;0.741;5.28000000;4.65500000;147077170.75300000
CRVUSDT;5.16600000;0.702;5.28000000;4.65500000;147073582.72640000
CRVUSDT;5.16500000;0.584;5.28000000;4.65500000;147063736.73120000
CRVUSDT;5.16200000;0.585;5.28000000;4.65500000;147040860.18000000
CRVUSDT;5.17000000;0.526;5.28000000;4.65500000;147040301.54110000
CRVUSDT;5.16700000;0.545;5.28000000;4.65500000;147034407.29610000
CRVUSDT;5.16800000;0.408;5.28000000;4.65500000;147023416.38000000
CRVUSDT;5.17400000;0.545;5.28000000;4.65500000;146980769.23400000
CRVUSDT;5.17500000;0.544;5.28000000;4.65500000;146974654.94390000
CRVUSDT;5.17100000;0.525;5.28000000;4.65500000;146990702.30480000
CRVUSDT;5.16900000;0.486;5.28000000;4.65500000;146987802.67930000
CRVUSDT;5.17500000;0.505;5.28000000;4.65500000;147002163.51810000
CRVUSDT;5.17000000;0.369;5.28000000;4.65500000;147059753.57010000
CRVUSDT;5.17100000;0.291;5.28000000;4.65500000;147043908.61050000
CRVUSDT;5.17200000;0.721;5.28000000;4.65500000;147024990.33320000
CRVUSDT;5.16500000;0.584;5.28000000;4.65500000;147014433.22170000
CRVUSDT;5.16900000;0.820;5.28000000;4.65500000;147001827.00500000
CRVUSDT;5.17000000;0.800;5.28000000;4.65500000;146977120.95840000
CRVUSDT;5.17700000;1.014;5.28000000;4.65500000;147042729.08170000
CRVUSDT;5.17900000;0.779;5.28000000;4.65500000;147039393.74760000
CRVUSDT;5.18100000;1.034;5.28000000;4.65500000;147031114.16630000
CRVUSDT;5.17800000;0.739;5.28000000;4.65500000;146997138.02730000
CRVUSDT;5.17700000;0.622;5.28000000;4.65500000;146998975.09720000
CRVUSDT;5.18700000;0.407;5.28000000;4.65500000;146791574.79790000
CRVUSDT;5.18400000;0.426;5.28000000;4.65500000;146779227.29540000
CRVUSDT;5.17400000;0.135;5.28000000;4.65500000;146792743.43350000
CRVUSDT;5.16300000;0.252;5.28000000;4.65500000;146720625.19510000
CRVUSDT;5.16400000;0.252;5.28000000;4.65500000;146716400.48120000
CRVUSDT;5.16600000;0.428;5.28000000;4.65500000;146713908.10390000
CRVUSDT;5.15800000;0.389;5.28000000;4.65500000;146706686.03710000
CRVUSDT;5.15800000;0.428;5.28000000;4.65500000;146753493.59390000
CRVUSDT;5.16500000;0.624;5.28000000;4.65500000;146748017.21140000
CRVUSDT;5.16300000;0.801;5.28000000;4.65500000;146681602.89990000
CRVUSDT;5.16100000;0.781;5.28000000;4.65500000;146676777.66060000
CRVUSDT;5.15200000;0.507;5.28000000;4.65500000;146675782.35780000
CRVUSDT;5.15500000;0.468;5.28000000;4.65500000;146665654.53380000
CRVUSDT;5.15200000;0.351;5.28000000;4.65500000;146686639.81000000
CRVUSDT;5.14500000;0.390;5.28000000;4.65500000;146666451.45500000
CRVUSDT;5.14500000;0.234;5.28000000;4.65500000;146637157.62930000
CRVUSDT;5.14700000;0.273;5.28000000;4.65500000;146629760.85940000
CRVUSDT;5.14700000;0.156;5.28000000;4.65500000;146580565.42240000
CRVUSDT;5.14500000;0.214;5.28000000;4.65500000;146580506.33140000
CRVUSDT;5.15200000;0.370;5.28000000;4.65500000;146577163.94160000
CRVUSDT;5.14800000;0.175;5.28000000;4.65500000;146578451.30740000
CRVUSDT;5.14300000;0.156;5.28000000;4.65500000;146580455.13520000
CRVUSDT;5.14900000;0.214;5.28000000;4.65500000;146580498.14040000
CRVUSDT;5.15700000;0.311;5.28000000;4.65500000;146587951.75510000
CRVUSDT;5.15700000;0.272;5.28000000;4.65500000;146581990.27730000
CRVUSDT;5.16200000;0.175;5.28000000;4.65500000;146550356.70920000
CRVUSDT;5.16300000;0.000;5.28000000;4.65500000;146484284.36270000
CRVUSDT;5.16000000;0.136;5.28000000;4.65500000;146441927.48850000
CRVUSDT;5.16400000;0.233;5.28000000;4.65500000;146426191.20660000
CRVUSDT;5.17000000;0.291;5.28000000;4.65500000;146387709.73540000
CRVUSDT;5.18200000;0.564;5.28000000;4.65500000;146380282.33990000
CRVUSDT;5.18200000;0.642;5.28000000;4.65500000;146408002.85240000
CRVUSDT;5.18300000;1.132;5.28000000;4.65500000;146306404.99530000
CRVUSDT;5.18700000;1.172;5.28000000;4.65500000;146180049.05300000
CRVUSDT;5.19200000;1.465;5.28000000;4.65500000;146148142.41060000
CRVUSDT;5.18700000;1.149;5.28000000;4.65500000;146000146.88990000
CRVUSDT;5.19200000;0.993;5.28000000;4.65500000;145977103.72800000
CRVUSDT;5.19300000;1.208;5.28000000;4.65500000;145954131.86130000
CRVUSDT;5.19200000;1.032;5.28000000;4.65500000;145943683.27170000
CRVUSDT;5.19100000;0.914;5.28000000;4.65500000;145939233.11240000
CRVUSDT;5.18900000;0.758;5.28000000;4.65500000;145939105.02510000
