Symbol;Price;Change24;Max24;Min24;Volume24
CTSIUSDT;0.70060000;0.980;0.71400000;0.66170000;6570489.38960000
CTSIUSDT;0.70060000;0.980;0.71400000;0.66170000;6570489.38960000
CTSIUSDT;0.70060000;1.155;0.71400000;0.66170000;6570914.81680000
CTSIUSDT;0.70060000;1.053;0.71400000;0.66170000;6570794.28000000
CTSIUSDT;0.70060000;1.053;0.71400000;0.66170000;6570794.28000000
CTSIUSDT;0.70060000;1.155;0.71400000;0.66170000;6570777.64080000
CTSIUSDT;0.70070000;1.126;0.71400000;0.66170000;6569805.31750000
CTSIUSDT;0.70070000;1.228;0.71400000;0.66170000;6569035.21400000
CTSIUSDT;0.70070000;1.228;0.71400000;0.66170000;6569035.21400000
CTSIUSDT;0.70040000;1.185;0.71400000;0.66170000;6570817.60190000
CTSIUSDT;0.70040000;1.082;0.71400000;0.66170000;6570472.88630000
CTSIUSDT;0.70040000;1.082;0.71400000;0.66170000;6570472.88630000
CTSIUSDT;0.70040000;1.302;0.71400000;0.66170000;6570676.85960000
CTSIUSDT;0.70010000;1.302;0.71400000;0.66170000;6570676.85960000
CTSIUSDT;0.70010000;1.258;0.71400000;0.66170000;6571099.72000000
CTSIUSDT;0.70210000;1.402;0.71400000;0.66170000;6582127.93250000
CTSIUSDT;0.70200000;1.445;0.71400000;0.66170000;6583742.63530000
CTSIUSDT;0.70180000;1.416;0.71400000;0.66170000;6583829.65850000
CTSIUSDT;0.70220000;1.474;0.71400000;0.66170000;6583949.73470000
CTSIUSDT;0.70090000;1.286;0.71400000;0.66170000;6591543.21230000
CTSIUSDT;0.70090000;1.169;0.71400000;0.66170000;6593665.96040000
CTSIUSDT;0.70060000;1.169;0.71400000;0.66170000;6593118.64840000
CTSIUSDT;0.70090000;1.169;0.71400000;0.66170000;6593326.75000000
CTSIUSDT;0.70110000;1.198;0.71400000;0.66170000;6593493.72180000
CTSIUSDT;0.70110000;1.154;0.71400000;0.66170000;6593013.48630000
CTSIUSDT;0.70090000;0.922;0.71400000;0.66170000;6589356.78540000
CTSIUSDT;0.70090000;0.951;0.71400000;0.66170000;6583373.90640000
CTSIUSDT;0.70090000;0.951;0.71400000;0.66170000;6582247.12010000
CTSIUSDT;0.70090000;0.951;0.71400000;0.66170000;6580641.20420000
CTSIUSDT;0.70020000;0.850;0.71400000;0.66170000;6578538.07680000
CTSIUSDT;0.70080000;0.936;0.71400000;0.66170000;6579125.80910000
CTSIUSDT;0.70080000;0.936;0.71400000;0.66170000;6578986.94910000
CTSIUSDT;0.70130000;0.936;0.71400000;0.66170000;6578889.74710000
CTSIUSDT;0.70130000;0.965;0.71400000;0.66170000;6578520.01420000
CTSIUSDT;0.70170000;1.022;0.71400000;0.66170000;6579743.05740000
CTSIUSDT;0.70180000;1.066;0.71400000;0.66170000;6579686.79480000
CTSIUSDT;0.70180000;1.241;0.71400000;0.66170000;6576242.16500000
CTSIUSDT;0.70300000;1.297;0.71400000;0.66170000;6579225.49240000
CTSIUSDT;0.70280000;1.312;0.71400000;0.66170000;6573422.37240000
CTSIUSDT;0.70280000;1.312;0.71400000;0.66170000;6573422.37240000
CTSIUSDT;0.70320000;1.326;0.71400000;0.66170000;6570465.53880000
CTSIUSDT;0.70320000;1.326;0.71400000;0.66170000;6570465.53880000
CTSIUSDT;0.70300000;1.428;0.71400000;0.66170000;6570523.37380000
CTSIUSDT;0.70340000;1.486;0.71400000;0.66170000;6571332.92980000
CTSIUSDT;0.70330000;1.472;0.71400000;0.66170000;6571581.85610000
CTSIUSDT;0.70330000;1.472;0.71400000;0.66170000;6571581.85610000
CTSIUSDT;0.70330000;1.472;0.71400000;0.66170000;6571581.85610000
CTSIUSDT;0.70330000;1.472;0.71400000;0.66170000;6571581.85610000
CTSIUSDT;0.70280000;1.297;0.71400000;0.66170000;6571620.67290000
CTSIUSDT;0.70280000;1.297;0.71400000;0.66170000;6571620.67290000
CTSIUSDT;0.70240000;1.253;0.71400000;0.66170000;6565717.66330000
CTSIUSDT;0.70240000;1.196;0.71400000;0.66170000;6566409.55470000
CTSIUSDT;0.70240000;1.196;0.71400000;0.66170000;6566541.60590000
CTSIUSDT;0.70240000;1.269;0.71400000;0.66170000;6566345.86970000
CTSIUSDT;0.70240000;1.269;0.71400000;0.66170000;6566345.86970000
CTSIUSDT;0.70250000;1.225;0.71400000;0.66170000;6566178.15900000
CTSIUSDT;0.70230000;1.196;0.71400000;0.66170000;6570659.27320000
CTSIUSDT;0.70230000;1.196;0.71400000;0.66170000;6570659.27320000
CTSIUSDT;0.70210000;1.167;0.71400000;0.66170000;6570940.11320000
CTSIUSDT;0.70200000;0.891;0.71400000;0.66170000;6553070.90530000
CTSIUSDT;0.70230000;0.833;0.71400000;0.66170000;6549281.59450000
CTSIUSDT;0.70190000;0.703;0.71400000;0.66170000;6527456.06640000
CTSIUSDT;0.70190000;0.674;0.71400000;0.66170000;6527876.50450000
CTSIUSDT;0.70190000;0.819;0.71400000;0.66170000;6526568.27470000
CTSIUSDT;0.70150000;0.761;0.71400000;0.66170000;6527654.64770000
CTSIUSDT;0.70150000;0.935;0.71400000;0.66170000;6526566.15220000
CTSIUSDT;0.70150000;1.008;0.71400000;0.66170000;6523639.00280000
CTSIUSDT;0.70210000;1.124;0.71400000;0.66170000;6522229.04110000
CTSIUSDT;0.70060000;0.864;0.71400000;0.66170000;6520892.05710000
CTSIUSDT;0.70010000;0.864;0.71400000;0.66170000;6520971.92550000
CTSIUSDT;0.70010000;0.893;0.71400000;0.66170000;6512444.71100000
CTSIUSDT;0.69910000;0.662;0.71400000;0.66170000;6513514.88760000
CTSIUSDT;0.69840000;0.605;0.71400000;0.66170000;6520554.35840000
CTSIUSDT;0.69850000;0.750;0.71400000;0.66170000;6517443.06980000
CTSIUSDT;0.69740000;0.751;0.71400000;0.66170000;6521364.14700000
CTSIUSDT;0.69740000;0.693;0.71400000;0.66170000;6522251.93720000
CTSIUSDT;0.69770000;0.824;0.71400000;0.66170000;6519026.45350000
CTSIUSDT;0.69790000;0.794;0.71400000;0.66170000;6522384.04720000
CTSIUSDT;0.69840000;0.837;0.71400000;0.66170000;6523386.13880000
CTSIUSDT;0.69830000;0.794;0.71400000;0.66170000;6521452.27310000
CTSIUSDT;0.69830000;0.576;0.71400000;0.66170000;6517834.82930000
CTSIUSDT;0.69830000;0.576;0.71400000;0.66170000;6517834.82930000
CTSIUSDT;0.69830000;0.576;0.71400000;0.66170000;6517834.82930000
CTSIUSDT;0.69880000;0.576;0.71400000;0.66170000;6516899.04610000
CTSIUSDT;0.69890000;0.576;0.71400000;0.66170000;6516899.04610000
CTSIUSDT;0.69890000;0.590;0.71400000;0.66170000;6517156.22650000
CTSIUSDT;0.69890000;0.590;0.71400000;0.66170000;6517156.22650000
CTSIUSDT;0.69890000;0.590;0.71400000;0.66170000;6517156.22650000
CTSIUSDT;0.69880000;0.518;0.71400000;0.66170000;6517456.88600000
CTSIUSDT;0.69880000;0.518;0.71400000;0.66170000;6517456.88600000
CTSIUSDT;0.69880000;0.518;0.71400000;0.66170000;6517456.88600000
CTSIUSDT;0.69880000;0.518;0.71400000;0.66170000;6517337.31160000
CTSIUSDT;0.69860000;0.489;0.71400000;0.66170000;6517644.73960000
CTSIUSDT;0.69860000;0.489;0.71400000;0.66170000;6517644.73960000
CTSIUSDT;0.69860000;0.489;0.71400000;0.66170000;6517644.73960000
CTSIUSDT;0.69790000;0.388;0.71400000;0.66170000;6517692.34260000
CTSIUSDT;0.69790000;0.273;0.71400000;0.66170000;6515142.27400000
CTSIUSDT;0.69790000;0.273;0.71400000;0.66170000;6515142.27400000
CTSIUSDT;0.69740000;0.216;0.71400000;0.66170000;6517500.01610000
CTSIUSDT;0.69720000;0.172;0.71400000;0.66170000;6515467.43780000
CTSIUSDT;0.69660000;0.115;0.71400000;0.66170000;6519820.74310000
CTSIUSDT;0.69590000;0.086;0.71400000;0.66170000;6520414.25530000
CTSIUSDT;0.69610000;0.014;0.71400000;0.66170000;6523532.43850000
CTSIUSDT;0.69630000;0.043;0.71400000;0.66170000;6523880.46990000
CTSIUSDT;0.69630000;0.173;0.71400000;0.66170000;6520858.73160000
CTSIUSDT;0.69630000;0.173;0.71400000;0.66170000;6520858.73160000
CTSIUSDT;0.69610000;0.173;0.71400000;0.66170000;6519872.38470000
CTSIUSDT;0.69610000;0.029;0.71400000;0.66170000;6520352.62050000
CTSIUSDT;0.69610000;0.029;0.71400000;0.66170000;6520352.62050000
CTSIUSDT;0.69610000;0.029;0.71400000;0.66170000;6520352.62050000
CTSIUSDT;0.69610000;0.029;0.71400000;0.66170000;6520310.86650000
CTSIUSDT;0.69610000;0.029;0.71400000;0.66170000;6520310.86650000
CTSIUSDT;0.69610000;-0.043;0.71400000;0.66170000;6519651.10250000
