Symbol;Price;Change24;Max24;Min24;Volume24
CTXCUSDT;0.51330000;10.701;0.61780000;0.43660000;119131967.63110000
CTXCUSDT;0.51400000;10.692;0.61780000;0.43660000;119093553.80540000
CTXCUSDT;0.51570000;11.152;0.61780000;0.43660000;119107570.14350000
CTXCUSDT;0.51550000;11.176;0.61780000;0.43660000;119113959.59540000
CTXCUSDT;0.51670000;10.953;0.61780000;0.43660000;119126055.12440000
CTXCUSDT;0.51620000;10.818;0.61780000;0.43660000;119128127.41690000
CTXCUSDT;0.51640000;11.104;0.61780000;0.43660000;119134444.05950000
CTXCUSDT;0.51560000;10.989;0.61780000;0.43660000;119137273.34420000
CTXCUSDT;0.51500000;10.774;0.61780000;0.43660000;119137585.21450000
CTXCUSDT;0.51510000;10.679;0.61780000;0.43660000;119138777.94140000
CTXCUSDT;0.51660000;10.568;0.61780000;0.43660000;119089583.69070000
CTXCUSDT;0.51630000;10.109;0.61780000;0.43660000;119075675.82970000
CTXCUSDT;0.51600000;10.304;0.61780000;0.43660000;119070974.44460000
CTXCUSDT;0.51500000;9.855;0.61780000;0.43660000;119056368.76660000
CTXCUSDT;0.51500000;9.972;0.61780000;0.43660000;119056393.11260000
CTXCUSDT;0.51500000;9.902;0.61780000;0.43660000;119047952.10030000
CTXCUSDT;0.51450000;9.808;0.61780000;0.43660000;119051547.86480000
CTXCUSDT;0.51450000;9.655;0.61780000;0.43660000;119043485.70740000
CTXCUSDT;0.51350000;9.710;0.61780000;0.43660000;119019656.73100000
CTXCUSDT;0.51220000;9.949;0.61780000;0.43660000;119017847.83590000
CTXCUSDT;0.51200000;10.533;0.61780000;0.43660000;118986453.39390000
CTXCUSDT;0.51130000;10.690;0.61780000;0.43660000;118978053.06530000
CTXCUSDT;0.51120000;10.196;0.61780000;0.43660000;118965786.32610000
CTXCUSDT;0.51190000;9.991;0.61780000;0.43660000;118959296.76910000
CTXCUSDT;0.51180000;9.717;0.61780000;0.43660000;118959565.85990000
CTXCUSDT;0.51010000;9.393;0.61780000;0.43660000;118998656.19740000
CTXCUSDT;0.50920000;9.106;0.61780000;0.43660000;118998448.81150000
CTXCUSDT;0.51290000;9.153;0.61780000;0.43660000;118996080.39990000
CTXCUSDT;0.51270000;10.236;0.61780000;0.43660000;119020864.73210000
CTXCUSDT;0.51240000;10.194;0.61780000;0.43660000;119011963.00610000
CTXCUSDT;0.51170000;10.447;0.61780000;0.43660000;118992577.81830000
CTXCUSDT;0.51210000;10.676;0.61780000;0.43660000;118976962.18270000
CTXCUSDT;0.51230000;10.792;0.61780000;0.43660000;118947109.42730000
CTXCUSDT;0.51250000;10.955;0.61780000;0.43660000;118944952.83990000
CTXCUSDT;0.51260000;11.217;0.61780000;0.43660000;118810096.15670000
CTXCUSDT;0.51260000;11.507;0.61780000;0.43660000;118791271.90990000
CTXCUSDT;0.51170000;11.384;0.61780000;0.43660000;118789506.06010000
CTXCUSDT;0.51240000;11.246;0.61780000;0.43660000;118745171.07460000
CTXCUSDT;0.51180000;11.046;0.61780000;0.43660000;118694055.95290000
CTXCUSDT;0.51260000;10.851;0.61780000;0.43660000;118646133.93360000
CTXCUSDT;0.51270000;10.924;0.61780000;0.43660000;118638726.71560000
CTXCUSDT;0.51250000;11.413;0.61780000;0.43660000;118636253.70450000
CTXCUSDT;0.51120000;11.338;0.61780000;0.43660000;118592057.78430000
CTXCUSDT;0.51130000;11.273;0.61780000;0.43660000;118584862.15790000
CTXCUSDT;0.51240000;11.029;0.61780000;0.43660000;118560709.91250000
CTXCUSDT;0.51170000;10.998;0.61780000;0.43660000;118552992.23980000
CTXCUSDT;0.51130000;11.032;0.61780000;0.43660000;118543073.15220000
CTXCUSDT;0.51180000;10.911;0.61780000;0.43660000;118540392.82270000
CTXCUSDT;0.51170000;11.167;0.61780000;0.43660000;118544006.56920000
CTXCUSDT;0.51150000;10.998;0.61780000;0.43660000;118542352.40030000
CTXCUSDT;0.51040000;11.072;0.61780000;0.43660000;118525948.30450000
CTXCUSDT;0.51010000;11.198;0.61780000;0.43660000;118532299.71220000
CTXCUSDT;0.51010000;10.874;0.61780000;0.43660000;118497921.55130000
CTXCUSDT;0.51060000;11.310;0.61780000;0.43660000;118494210.58650000
CTXCUSDT;0.51060000;11.118;0.61780000;0.43660000;118498802.34560000
CTXCUSDT;0.50940000;10.949;0.61780000;0.43660000;118480836.60040000
CTXCUSDT;0.50940000;10.884;0.61780000;0.43660000;118481398.52000000
CTXCUSDT;0.50930000;10.527;0.61780000;0.43660000;118447819.32060000
CTXCUSDT;0.50930000;9.386;0.61780000;0.43660000;118426814.25340000
CTXCUSDT;0.50830000;8.822;0.61780000;0.43660000;118380551.10250000
CTXCUSDT;0.50930000;10.147;0.61780000;0.43660000;118410162.05970000
CTXCUSDT;0.50950000;10.737;0.61780000;0.43660000;118445564.57650000
CTXCUSDT;0.50960000;10.636;0.61780000;0.43660000;118445298.44110000
CTXCUSDT;0.50750000;10.686;0.61780000;0.43660000;118447370.04630000
CTXCUSDT;0.50750000;10.422;0.61780000;0.43660000;118434899.64090000
CTXCUSDT;0.50760000;11.399;0.61780000;0.43660000;118356988.78970000
CTXCUSDT;0.50720000;11.155;0.61780000;0.43660000;118352963.07350000
CTXCUSDT;0.50720000;11.033;0.61780000;0.43660000;118344838.60490000
CTXCUSDT;0.50700000;9.907;0.61780000;0.43660000;118210462.93410000
CTXCUSDT;0.50680000;9.697;0.61780000;0.43660000;118185297.74440000
CTXCUSDT;0.50620000;9.555;0.61780000;0.43660000;118186812.84970000
CTXCUSDT;0.50550000;9.820;0.61780000;0.43660000;118204920.59760000
CTXCUSDT;0.50190000;8.659;0.61780000;0.43660000;118291161.21050000
CTXCUSDT;0.50090000;8.791;0.61780000;0.43660000;118301477.56440000
CTXCUSDT;0.50320000;7.262;0.61780000;0.43660000;118255748.12420000
CTXCUSDT;0.50230000;7.123;0.61780000;0.43660000;118226951.76790000
CTXCUSDT;0.50220000;7.135;0.61780000;0.43660000;118210691.70110000
CTXCUSDT;0.50250000;6.528;0.61780000;0.43660000;118076285.96250000
CTXCUSDT;0.50000000;6.539;0.61780000;0.43660000;118023954.94550000
CTXCUSDT;0.49980000;4.584;0.61780000;0.43660000;117787979.97970000
CTXCUSDT;0.49870000;4.216;0.61780000;0.43660000;117780276.05220000
CTXCUSDT;0.49850000;4.260;0.61780000;0.43660000;117768866.47500000
CTXCUSDT;0.49830000;4.007;0.61780000;0.43660000;117764529.97650000
CTXCUSDT;0.49740000;4.206;0.61780000;0.43660000;117758458.22250000
CTXCUSDT;0.50090000;5.332;0.61780000;0.43660000;117772801.40470000
CTXCUSDT;0.49850000;5.029;0.61780000;0.43660000;117779576.20400000
CTXCUSDT;0.49600000;4.974;0.61780000;0.43660000;117769866.59420000
CTXCUSDT;0.49680000;4.260;0.61780000;0.43660000;117774998.74750000
CTXCUSDT;0.49620000;3.447;0.61780000;0.43660000;117776132.39990000
CTXCUSDT;0.49430000;3.531;0.61780000;0.43660000;117829024.93910000
CTXCUSDT;0.49500000;3.408;0.61780000;0.43660000;117855016.47550000
CTXCUSDT;0.49240000;3.160;0.61780000;0.43660000;117867888.75530000
CTXCUSDT;0.49380000;2.944;0.61780000;0.43660000;117871720.88140000
CTXCUSDT;0.49590000;3.188;0.61780000;0.43660000;117883554.20060000
CTXCUSDT;0.49560000;3.130;0.61780000;0.43660000;117881842.05960000
CTXCUSDT;0.49540000;3.751;0.61780000;0.43660000;117856030.11820000
CTXCUSDT;0.49540000;4.185;0.61780000;0.43660000;117831228.84530000
CTXCUSDT;0.49500000;3.818;0.61780000;0.43660000;117833830.01290000
CTXCUSDT;0.49520000;3.647;0.61780000;0.43660000;117835948.27270000
CTXCUSDT;0.49450000;3.815;0.61780000;0.43660000;117831909.36590000
CTXCUSDT;0.49400000;4.327;0.61780000;0.43660000;117720429.65690000
CTXCUSDT;0.49310000;4.100;0.61780000;0.43660000;117722236.73350000
CTXCUSDT;0.49300000;4.229;0.61780000;0.43660000;117726057.04940000
CTXCUSDT;0.49430000;4.880;0.61780000;0.43660000;117726460.91390000
CTXCUSDT;0.49490000;5.148;0.61780000;0.43660000;117621148.91120000
CTXCUSDT;0.49570000;5.366;0.61780000;0.43660000;117602281.82610000
CTXCUSDT;0.49440000;5.585;0.61780000;0.43660000;117596367.36490000
CTXCUSDT;0.49580000;5.109;0.61780000;0.43660000;117569055.68750000
CTXCUSDT;0.49700000;5.306;0.61780000;0.43660000;117572065.85810000
CTXCUSDT;0.49600000;5.592;0.61780000;0.43660000;117568679.37150000
CTXCUSDT;0.49580000;5.377;0.61780000;0.43660000;117559325.85510000
CTXCUSDT;0.49540000;5.494;0.61780000;0.43660000;117558239.85720000
CTXCUSDT;0.49670000;6.201;0.61780000;0.43660000;117543344.49320000
CTXCUSDT;0.49570000;5.934;0.61780000;0.43660000;117530134.36350000
CTXCUSDT;0.49640000;5.578;0.61780000;0.43660000;117532955.62040000
CTXCUSDT;0.49660000;5.660;0.61780000;0.43660000;117529939.60000000
CTXCUSDT;0.49610000;5.576;0.61780000;0.43660000;117525511.89780000
CTXCUSDT;0.49610000;5.624;0.61780000;0.43660000;117540385.52250000
CTXCUSDT;0.49660000;5.817;0.61780000;0.43660000;117528909.84340000
CTXCUSDT;0.49610000;5.869;0.61780000;0.43660000;117528847.14660000
CTXCUSDT;0.49650000;5.823;0.61780000;0.43660000;117532444.69830000
CTXCUSDT;0.49680000;5.860;0.61780000;0.43660000;117523991.90470000
CTXCUSDT;0.49610000;5.770;0.61780000;0.43660000;117522068.86890000
CTXCUSDT;0.49610000;5.576;0.61780000;0.43660000;117518271.52730000
CTXCUSDT;0.49660000;5.750;0.61780000;0.43660000;117516861.77610000
CTXCUSDT;0.49690000;5.904;0.61780000;0.43660000;117514517.12790000
CTXCUSDT;0.50030000;6.627;0.61780000;0.43660000;117535255.72600000
CTXCUSDT;0.50080000;7.302;0.61780000;0.43660000;117528953.42860000
CTXCUSDT;0.50310000;7.259;0.61780000;0.43660000;117528944.72600000
CTXCUSDT;0.50180000;6.997;0.61780000;0.43660000;117514395.50270000
CTXCUSDT;0.50280000;6.918;0.61780000;0.43660000;117526099.19680000
CTXCUSDT;0.50270000;7.315;0.61780000;0.43660000;117530882.79850000
