Symbol;Price;Change24;Max24;Min24;Volume24
CVCUSDT;0.33730000;1.688;0.34200000;0.32180000;1868105.74290000
CVCUSDT;0.33730000;1.688;0.34200000;0.32180000;1868105.74290000
CVCUSDT;0.33730000;1.688;0.34200000;0.32180000;1868105.74290000
CVCUSDT;0.33730000;1.719;0.34200000;0.32180000;1868015.52050000
CVCUSDT;0.33730000;1.719;0.34200000;0.32180000;1868015.52050000
CVCUSDT;0.33720000;1.689;0.34200000;0.32180000;1868251.54480000
CVCUSDT;0.33720000;1.750;0.34200000;0.32180000;1868083.42360000
CVCUSDT;0.33720000;1.750;0.34200000;0.32180000;1867869.00780000
CVCUSDT;0.33720000;1.750;0.34200000;0.32180000;1867869.00780000
CVCUSDT;0.33720000;1.719;0.34200000;0.32180000;1867792.42860000
CVCUSDT;0.33660000;1.599;0.34200000;0.32180000;1868863.52760000
CVCUSDT;0.33660000;1.538;0.34200000;0.32180000;1868960.49090000
CVCUSDT;0.33670000;1.538;0.34200000;0.32180000;1868909.10840000
CVCUSDT;0.33670000;1.569;0.34200000;0.32180000;1868491.23690000
CVCUSDT;0.33670000;1.569;0.34200000;0.32180000;1868491.23690000
CVCUSDT;0.33670000;1.385;0.34200000;0.32180000;1868417.31240000
CVCUSDT;0.33640000;1.295;0.34200000;0.32180000;1868724.24120000
CVCUSDT;0.33640000;1.295;0.34200000;0.32180000;1868724.24120000
CVCUSDT;0.33640000;1.295;0.34200000;0.32180000;1868724.24120000
CVCUSDT;0.33610000;1.325;0.34200000;0.32180000;1868589.73170000
CVCUSDT;0.33590000;1.205;0.34200000;0.32180000;1868284.47060000
CVCUSDT;0.33590000;1.205;0.34200000;0.32180000;1868270.86270000
CVCUSDT;0.33580000;1.205;0.34200000;0.32180000;1868477.10530000
CVCUSDT;0.33610000;1.175;0.34200000;0.32180000;1868530.49750000
CVCUSDT;0.33610000;1.265;0.34200000;0.32180000;1868747.63490000
CVCUSDT;0.33610000;1.052;0.34200000;0.32180000;1867340.04910000
CVCUSDT;0.33610000;1.052;0.34200000;0.32180000;1867115.53590000
CVCUSDT;0.33610000;1.052;0.34200000;0.32180000;1867115.53590000
CVCUSDT;0.33630000;1.082;0.34200000;0.32180000;1866767.86940000
CVCUSDT;0.33610000;1.144;0.34200000;0.32180000;1865306.77590000
CVCUSDT;0.33630000;1.234;0.34200000;0.32180000;1865491.63370000
CVCUSDT;0.33630000;1.052;0.34200000;0.32180000;1865543.93970000
CVCUSDT;0.33660000;1.052;0.34200000;0.32180000;1865543.93970000
CVCUSDT;0.33670000;1.172;0.34200000;0.32180000;1866160.36240000
