Symbol;Price;Change24;Max24;Min24;Volume24
DARUSDT;2.14629000;0.683;2.17925000;2.00680000;14809058.25276000
DARUSDT;2.14626000;0.716;2.17925000;2.00680000;14804660.96162000
DARUSDT;2.14629000;0.497;2.17925000;2.00680000;14802188.17236000
DARUSDT;2.14628000;0.497;2.17925000;2.00680000;14802006.27651000
DARUSDT;2.14628000;0.496;2.17925000;2.00680000;14800793.83053000
DARUSDT;2.14628000;0.528;2.17925000;2.00680000;14800096.56615000
DARUSDT;2.14597000;0.665;2.17925000;2.00680000;14800404.56660000
DARUSDT;2.14488000;0.573;2.17925000;2.00680000;14800599.09715000
DARUSDT;2.14488000;0.573;2.17925000;2.00680000;14800743.06019000
DARUSDT;2.14546000;0.473;2.17925000;2.00680000;14800227.08447000
DARUSDT;2.14488000;0.463;2.17925000;2.00680000;14800123.57903000
DARUSDT;2.14488000;0.557;2.17925000;2.00680000;14801027.50947000
DARUSDT;2.14488000;0.539;2.17925000;2.00680000;14787797.99767000
DARUSDT;2.14488000;0.517;2.17925000;2.00680000;14787205.62152000
DARUSDT;2.14407000;0.431;2.17925000;2.00680000;14786627.83543000
DARUSDT;2.14407000;0.364;2.17925000;2.00680000;14786401.31608000
DARUSDT;2.14407000;0.533;2.17925000;2.00680000;14777160.64853000
DARUSDT;2.14584000;0.473;2.17925000;2.00680000;14777062.81671000
DARUSDT;2.14407000;0.399;2.17925000;2.00680000;14776437.21429000
DARUSDT;2.14358000;0.376;2.17925000;2.00680000;14776452.21935000
DARUSDT;2.14515000;0.366;2.17925000;2.00680000;14773547.13527000
DARUSDT;2.14407000;0.455;2.17925000;2.00680000;14773803.45945000
DARUSDT;2.14407000;0.455;2.17925000;2.00680000;14774152.97509000
DARUSDT;2.14410000;0.536;2.17925000;2.00680000;14780238.40101000
DARUSDT;2.14414000;0.549;2.17925000;2.00680000;14766301.89495000
DARUSDT;2.14414000;0.489;2.17925000;2.00680000;14755960.07963000
DARUSDT;2.14414000;0.345;2.17925000;2.00680000;14747659.98677000
DARUSDT;2.14414000;0.345;2.17925000;2.00680000;14748256.05157000
DARUSDT;2.14379000;0.417;2.17925000;2.00680000;14747434.73107000
DARUSDT;2.14379000;0.567;2.17925000;2.00680000;14744160.80745000
DARUSDT;2.14379000;0.567;2.17925000;2.00680000;14735755.59383000
DARUSDT;2.14362000;0.587;2.17925000;2.00680000;14732690.34529000
DARUSDT;2.14362000;0.560;2.17925000;2.00680000;14732187.37843000
