Symbol;Price;Change24;Max24;Min24;Volume24
DASHUSDT;134.80000000;0.597;136.70000000;129.40000000;14616607.37010000
DASHUSDT;134.80000000;0.597;136.70000000;129.40000000;14614784.83610000
DASHUSDT;134.80000000;0.597;136.70000000;129.40000000;14614784.83610000
DASHUSDT;134.60000000;0.448;136.70000000;129.40000000;14620817.35980000
DASHUSDT;134.60000000;0.523;136.70000000;129.40000000;14618672.93450000
DASHUSDT;134.60000000;0.523;136.70000000;129.40000000;14618495.91870000
DASHUSDT;134.60000000;0.673;136.70000000;129.40000000;14614513.78790000
DASHUSDT;134.60000000;0.598;136.70000000;129.40000000;14609408.84200000
DASHUSDT;134.60000000;0.823;136.70000000;129.40000000;14599161.92230000
DASHUSDT;134.60000000;0.673;136.70000000;129.40000000;14591310.27450000
DASHUSDT;134.60000000;0.673;136.70000000;129.40000000;14590812.65090000
DASHUSDT;134.60000000;0.749;136.70000000;129.40000000;14589376.33980000
DASHUSDT;134.50000000;0.825;136.70000000;129.40000000;14587283.35590000
DASHUSDT;134.50000000;0.749;136.70000000;129.40000000;14584434.77580000
DASHUSDT;134.60000000;0.824;136.70000000;129.40000000;14583725.81560000
DASHUSDT;134.60000000;0.824;136.70000000;129.40000000;14583496.74560000
DASHUSDT;134.50000000;0.674;136.70000000;129.40000000;14583170.73640000
DASHUSDT;134.50000000;0.598;136.70000000;129.40000000;14581460.04280000
DASHUSDT;134.50000000;0.674;136.70000000;129.40000000;14576410.50430000
DASHUSDT;134.40000000;0.524;136.70000000;129.40000000;14577646.22800000
DASHUSDT;134.30000000;0.524;136.70000000;129.40000000;14572180.51460000
DASHUSDT;134.30000000;0.524;136.70000000;129.40000000;14572317.23200000
DASHUSDT;134.40000000;0.674;136.70000000;129.40000000;14566336.74410000
DASHUSDT;134.40000000;0.599;136.70000000;129.40000000;14566846.96670000
DASHUSDT;134.60000000;0.599;136.70000000;129.40000000;14566669.41560000
DASHUSDT;134.50000000;0.373;136.70000000;129.40000000;14556957.75880000
DASHUSDT;134.50000000;0.448;136.70000000;129.40000000;14550298.27560000
DASHUSDT;134.50000000;0.448;136.70000000;129.40000000;14548021.82870000
DASHUSDT;134.40000000;0.373;136.70000000;129.40000000;14547038.13620000
DASHUSDT;134.40000000;0.448;136.70000000;129.40000000;14532288.95990000
DASHUSDT;134.60000000;0.523;136.70000000;129.40000000;14529586.76730000
DASHUSDT;134.60000000;0.523;136.70000000;129.40000000;14525666.34260000
DASHUSDT;134.50000000;0.448;136.70000000;129.40000000;14526116.10940000
DASHUSDT;134.80000000;0.672;136.70000000;129.40000000;14524940.52030000
DASHUSDT;134.80000000;0.597;136.70000000;129.40000000;14525008.65030000
DASHUSDT;134.60000000;0.672;136.70000000;129.40000000;14525280.99280000
DASHUSDT;134.60000000;0.598;136.70000000;129.40000000;14524355.31860000
DASHUSDT;134.70000000;0.748;136.70000000;129.40000000;14516554.18140000
DASHUSDT;134.80000000;0.597;136.70000000;129.40000000;14503511.63630000
DASHUSDT;134.80000000;0.747;136.70000000;129.40000000;14498922.38750000
DASHUSDT;134.80000000;0.747;136.70000000;129.40000000;14494997.42370000
DASHUSDT;134.80000000;0.747;136.70000000;129.40000000;14468015.65020000
DASHUSDT;134.70000000;0.673;136.70000000;129.40000000;14465598.00480000
DASHUSDT;134.70000000;0.673;136.70000000;129.40000000;14465836.69320000
DASHUSDT;134.70000000;0.597;136.70000000;129.40000000;14463504.80140000
DASHUSDT;134.70000000;0.673;136.70000000;129.40000000;14465509.47960000
DASHUSDT;134.60000000;0.598;136.70000000;129.40000000;14469315.36350000
DASHUSDT;134.60000000;0.598;136.70000000;129.40000000;14469104.25560000
DASHUSDT;134.70000000;0.597;136.70000000;129.40000000;14469732.61800000
DASHUSDT;134.70000000;0.522;136.70000000;129.40000000;14466946.12420000
DASHUSDT;134.60000000;0.448;136.70000000;129.40000000;14467187.86720000
DASHUSDT;134.60000000;0.448;136.70000000;129.40000000;14464990.98280000
DASHUSDT;134.60000000;0.448;136.70000000;129.40000000;14464414.21520000
DASHUSDT;134.60000000;0.448;136.70000000;129.40000000;14463700.41950000
DASHUSDT;134.60000000;0.448;136.70000000;129.40000000;14463284.88550000
DASHUSDT;134.60000000;0.373;136.70000000;129.40000000;14463273.89750000
DASHUSDT;134.60000000;0.373;136.70000000;129.40000000;14463727.36490000
DASHUSDT;134.60000000;0.373;136.70000000;129.40000000;14463452.59400000
DASHUSDT;134.60000000;0.298;136.70000000;129.40000000;14461989.88370000
DASHUSDT;134.60000000;0.223;136.70000000;129.40000000;14458020.87410000
DASHUSDT;134.50000000;0.000;136.70000000;129.40000000;14453080.95710000
DASHUSDT;134.60000000;0.223;136.70000000;129.40000000;14416612.65200000
DASHUSDT;134.60000000;0.223;136.70000000;129.40000000;14413681.31160000
DASHUSDT;134.60000000;0.223;136.70000000;129.40000000;14405303.43410000
DASHUSDT;134.50000000;0.149;136.70000000;129.40000000;14406615.07810000
DASHUSDT;134.40000000;0.448;136.70000000;129.40000000;14395396.88560000
DASHUSDT;134.50000000;0.598;136.70000000;129.40000000;14395153.54920000
DASHUSDT;134.50000000;0.598;136.70000000;129.40000000;14389252.40580000
DASHUSDT;134.50000000;0.373;136.70000000;129.40000000;14378106.70570000
DASHUSDT;134.50000000;0.373;136.70000000;129.40000000;14378158.08470000
DASHUSDT;134.30000000;0.224;136.70000000;129.40000000;14386617.55910000
DASHUSDT;134.30000000;0.149;136.70000000;129.40000000;14370676.97190000
DASHUSDT;133.50000000;-0.150;136.70000000;129.40000000;14516019.03960000
DASHUSDT;133.50000000;-0.224;136.70000000;129.40000000;14554506.54220000
DASHUSDT;133.50000000;0.000;136.70000000;129.40000000;14616711.52970000
DASHUSDT;133.50000000;-0.075;136.70000000;129.40000000;14619614.69420000
DASHUSDT;133.50000000;-0.075;136.70000000;129.40000000;14612225.39790000
DASHUSDT;133.60000000;0.075;136.70000000;129.40000000;14622055.52070000
DASHUSDT;133.90000000;0.300;136.70000000;129.40000000;14634076.39260000
DASHUSDT;133.80000000;0.150;136.70000000;129.40000000;14636860.51730000
DASHUSDT;133.80000000;0.075;136.70000000;129.40000000;14633857.96390000
DASHUSDT;133.80000000;0.000;136.70000000;129.40000000;14633757.95630000
DASHUSDT;133.80000000;-0.075;136.70000000;129.40000000;14629158.42470000
DASHUSDT;133.80000000;0.000;136.70000000;129.40000000;14624211.61530000
DASHUSDT;133.90000000;0.000;136.70000000;129.40000000;14620716.15650000
DASHUSDT;133.90000000;0.075;136.70000000;129.40000000;14621306.46660000
DASHUSDT;133.80000000;-0.075;136.70000000;129.40000000;14621417.38680000
DASHUSDT;133.80000000;-0.075;136.70000000;129.40000000;14620967.21500000
DASHUSDT;133.80000000;-0.075;136.70000000;129.40000000;14620967.21500000
DASHUSDT;133.80000000;-0.075;136.70000000;129.40000000;14620342.83930000
DASHUSDT;133.80000000;-0.075;136.70000000;129.40000000;14620342.83930000
DASHUSDT;133.80000000;-0.075;136.70000000;129.40000000;14620227.95310000
DASHUSDT;133.70000000;-0.149;136.70000000;129.40000000;14622007.90120000
DASHUSDT;133.70000000;-0.149;136.70000000;129.40000000;14621855.98580000
DASHUSDT;133.70000000;-0.149;136.70000000;129.40000000;14621774.70850000
DASHUSDT;133.70000000;-0.149;136.70000000;129.40000000;14622135.72660000
DASHUSDT;133.60000000;-0.299;136.70000000;129.40000000;14622677.32730000
DASHUSDT;133.60000000;-0.373;136.70000000;129.40000000;14619772.87730000
DASHUSDT;133.60000000;-0.522;136.70000000;129.40000000;14623099.46940000
DASHUSDT;133.50000000;-0.373;136.70000000;129.40000000;14620694.27190000
DASHUSDT;133.40000000;-0.522;136.70000000;129.40000000;14623474.30590000
DASHUSDT;133.30000000;-0.522;136.70000000;129.40000000;14623722.92540000
DASHUSDT;133.40000000;-0.448;136.70000000;129.40000000;14626551.38600000
DASHUSDT;133.40000000;-0.522;136.70000000;129.40000000;14627931.46950000
DASHUSDT;133.40000000;-0.522;136.70000000;129.40000000;14627931.46950000
DASHUSDT;133.40000000;-0.448;136.70000000;129.40000000;14625540.95560000
DASHUSDT;133.40000000;-0.448;136.70000000;129.40000000;14625462.23440000
DASHUSDT;133.50000000;-0.373;136.70000000;129.40000000;14625980.89400000
DASHUSDT;133.60000000;-0.299;136.70000000;129.40000000;14627423.59560000
DASHUSDT;133.60000000;-0.373;136.70000000;129.40000000;14634215.90110000
DASHUSDT;133.60000000;-0.299;136.70000000;129.40000000;14634331.86590000
DASHUSDT;133.50000000;-0.373;136.70000000;129.40000000;14633624.69940000
DASHUSDT;133.50000000;-0.373;136.70000000;129.40000000;14633624.69940000
DASHUSDT;133.60000000;-0.373;136.70000000;129.40000000;14635201.63930000
DASHUSDT;133.60000000;-0.373;136.70000000;129.40000000;14635201.63930000
DASHUSDT;133.60000000;-0.373;136.70000000;129.40000000;14636652.66890000
DASHUSDT;133.60000000;-0.299;136.70000000;129.40000000;14637376.35420000
DASHUSDT;133.60000000;-0.224;136.70000000;129.40000000;14636376.31830000
DASHUSDT;133.70000000;-0.149;136.70000000;129.40000000;14636460.36120000
DASHUSDT;133.70000000;-0.075;136.70000000;129.40000000;14636459.79440000
DASHUSDT;133.60000000;-0.149;136.70000000;129.40000000;14636555.85280000
DASHUSDT;133.60000000;-0.224;136.70000000;129.40000000;14638071.76560000
DASHUSDT;133.60000000;-0.224;136.70000000;129.40000000;14638951.78880000
DASHUSDT;133.60000000;-0.373;136.70000000;129.40000000;14638621.64690000
DASHUSDT;133.50000000;-0.447;136.70000000;129.40000000;14637569.85570000
DASHUSDT;133.60000000;-0.373;136.70000000;129.40000000;14633489.71800000
DASHUSDT;133.60000000;-0.373;136.70000000;129.40000000;14634540.21480000
DASHUSDT;133.70000000;-0.373;136.70000000;129.40000000;14632969.38700000
DASHUSDT;133.80000000;-0.298;136.70000000;129.40000000;14634166.90110000
DASHUSDT;133.80000000;-0.372;136.70000000;129.40000000;14634015.84330000
DASHUSDT;133.80000000;-0.372;136.70000000;129.40000000;14634015.84330000
DASHUSDT;134.00000000;-0.149;136.70000000;129.40000000;14634519.90970000
