Symbol;Price;Change24;Max24;Min24;Volume24
DATAUSDT;0.12088000;0.449;0.13000000;0.11839000;2645755.70758500
DATAUSDT;0.12088000;0.449;0.13000000;0.11839000;2645755.70758500
DATAUSDT;0.12088000;0.449;0.13000000;0.11839000;2645755.70758500
DATAUSDT;0.12088000;0.499;0.13000000;0.11839000;2645533.23342700
DATAUSDT;0.12088000;0.566;0.13000000;0.11839000;2645478.81000500
DATAUSDT;0.12088000;0.566;0.13000000;0.11839000;2645478.81000500
DATAUSDT;0.12088000;0.566;0.13000000;0.11839000;2645478.81000500
DATAUSDT;0.12088000;0.307;0.13000000;0.11839000;2645228.77121200
DATAUSDT;0.12088000;0.307;0.13000000;0.11839000;2645278.50124400
DATAUSDT;0.12088000;0.307;0.13000000;0.11839000;2645278.50124400
DATAUSDT;0.12088000;0.307;0.13000000;0.11839000;2645278.50124400
DATAUSDT;0.12088000;0.307;0.13000000;0.11839000;2645278.50124400
DATAUSDT;0.12088000;0.307;0.13000000;0.11839000;2645278.50124400
DATAUSDT;0.12108000;0.473;0.13000000;0.11839000;2645307.80260400
DATAUSDT;0.12088000;0.482;0.13000000;0.11839000;2645420.70764200
DATAUSDT;0.12088000;0.290;0.13000000;0.11839000;2645408.97839200
DATAUSDT;0.12088000;0.290;0.13000000;0.11839000;2645408.97839200
DATAUSDT;0.12088000;0.290;0.13000000;0.11839000;2645408.97839200
DATAUSDT;0.12088000;0.290;0.13000000;0.11839000;2645408.97839200
DATAUSDT;0.12088000;0.290;0.13000000;0.11839000;2645408.97839200
DATAUSDT;0.12088000;0.290;0.13000000;0.11839000;2645408.97839200
DATAUSDT;0.12072000;0.158;0.13000000;0.11839000;2645641.49770100
DATAUSDT;0.12079000;0.216;0.13000000;0.11839000;2646168.49239200
DATAUSDT;0.12088000;0.290;0.13000000;0.11839000;2646217.48437200
DATAUSDT;0.12110000;0.473;0.13000000;0.11839000;2657430.95539900
DATAUSDT;0.12060000;-0.008;0.13000000;0.11839000;2659628.26924200
DATAUSDT;0.12069000;0.066;0.13000000;0.11839000;2659739.53451200
DATAUSDT;0.12085000;0.066;0.13000000;0.11839000;2659739.53451200
DATAUSDT;0.12085000;0.199;0.13000000;0.11839000;2659944.52992700
DATAUSDT;0.12105000;0.365;0.13000000;0.11839000;2659960.77367900
DATAUSDT;0.12105000;0.365;0.13000000;0.11839000;2659960.77367900
DATAUSDT;0.12105000;0.365;0.13000000;0.11839000;2659960.77367900
DATAUSDT;0.12105000;0.365;0.13000000;0.11839000;2659960.77367900
DATAUSDT;0.12105000;0.365;0.13000000;0.11839000;2659960.77367900
DATAUSDT;0.12105000;0.340;0.13000000;0.11839000;2659892.88139800
DATAUSDT;0.12105000;0.573;0.13000000;0.11839000;2659700.84664600
DATAUSDT;0.12062000;0.216;0.13000000;0.11839000;2659758.43063400
DATAUSDT;0.12105000;0.573;0.13000000;0.11839000;2660401.30799000
DATAUSDT;0.12105000;0.573;0.13000000;0.11839000;2660401.30799000
DATAUSDT;0.12051000;0.091;0.13000000;0.11839000;2662031.37576700
DATAUSDT;0.12090000;0.415;0.13000000;0.11839000;2662386.37327800
DATAUSDT;0.12090000;0.415;0.13000000;0.11839000;2662386.37327800
DATAUSDT;0.12094000;0.449;0.13000000;0.11839000;2662886.36342600
DATAUSDT;0.12094000;0.449;0.13000000;0.11839000;2662886.36342600
DATAUSDT;0.12095000;0.449;0.13000000;0.11839000;2662886.36342600
DATAUSDT;0.12095000;0.457;0.13000000;0.11839000;2663067.35300600
DATAUSDT;0.12095000;0.457;0.13000000;0.11839000;2663067.35300600
DATAUSDT;0.12095000;0.457;0.13000000;0.11839000;2663067.35300600
DATAUSDT;0.12122000;0.457;0.13000000;0.11839000;2663067.35300600
DATAUSDT;0.12122000;0.681;0.13000000;0.11839000;2663532.67588000
DATAUSDT;0.12122000;0.681;0.13000000;0.11839000;2663532.67588000
DATAUSDT;0.12122000;0.698;0.13000000;0.11839000;2662683.25054200
DATAUSDT;0.12082000;0.366;0.13000000;0.11839000;2662693.24235600
DATAUSDT;0.12082000;0.366;0.13000000;0.11839000;2662693.24235600
DATAUSDT;0.12082000;0.366;0.13000000;0.11839000;2662693.24235600
DATAUSDT;0.12082000;0.366;0.13000000;0.11839000;2662693.24235600
DATAUSDT;0.12082000;0.441;0.13000000;0.11839000;2660202.97888200
DATAUSDT;0.12082000;0.441;0.13000000;0.11839000;2660202.97888200
DATAUSDT;0.12082000;0.441;0.13000000;0.11839000;2660202.97888200
DATAUSDT;0.12082000;0.441;0.13000000;0.11839000;2660202.97888200
DATAUSDT;0.12116000;0.556;0.13000000;0.11839000;2657916.41242600
DATAUSDT;0.12106000;0.598;0.13000000;0.11839000;2648601.27411200
DATAUSDT;0.12106000;0.598;0.13000000;0.11839000;2648601.27411200
DATAUSDT;0.12106000;0.598;0.13000000;0.11839000;2648601.27411200
DATAUSDT;0.12106000;0.598;0.13000000;0.11839000;2648601.27411200
DATAUSDT;0.12071000;0.600;0.13000000;0.11839000;2646872.09277500
DATAUSDT;0.12071000;0.776;0.13000000;0.11839000;2646508.18752000
DATAUSDT;0.12071000;0.776;0.13000000;0.11839000;2646508.18752000
DATAUSDT;0.12071000;0.374;0.13000000;0.11839000;2646290.82830700
DATAUSDT;0.12071000;0.374;0.13000000;0.11839000;2646290.82830700
DATAUSDT;0.12071000;0.199;0.13000000;0.11839000;2643556.82728400
DATAUSDT;0.12057000;0.249;0.13000000;0.11839000;2643952.09290500
DATAUSDT;0.12057000;0.475;0.13000000;0.11839000;2643922.09756700
DATAUSDT;0.12084000;0.868;0.13000000;0.11839000;2643826.09665600
DATAUSDT;0.12077000;0.566;0.13000000;0.11839000;2651288.84871300
DATAUSDT;0.12089000;0.666;0.13000000;0.11839000;2653288.84092300
DATAUSDT;0.12089000;0.666;0.13000000;0.11839000;2653288.84092300
DATAUSDT;0.12089000;0.666;0.13000000;0.11839000;2653898.03720100
DATAUSDT;0.12055000;0.383;0.13000000;0.11839000;2653984.85011900
DATAUSDT;0.12044000;0.551;0.13000000;0.11839000;2653995.43260500
DATAUSDT;0.12044000;0.425;0.13000000;0.11839000;2653916.70121100
DATAUSDT;0.12044000;0.534;0.13000000;0.11839000;2652443.77973000
DATAUSDT;0.12044000;0.534;0.13000000;0.11839000;2652443.77973000
DATAUSDT;0.12044000;0.534;0.13000000;0.11839000;2652443.77973000
DATAUSDT;0.12044000;0.534;0.13000000;0.11839000;2652443.77973000
DATAUSDT;0.12044000;0.534;0.13000000;0.11839000;2652443.77973000
DATAUSDT;0.12051000;0.593;0.13000000;0.11839000;2652455.90303600
DATAUSDT;0.12051000;0.593;0.13000000;0.11839000;2652455.90303600
DATAUSDT;0.12051000;0.593;0.13000000;0.11839000;2652455.90303600
DATAUSDT;0.12051000;0.593;0.13000000;0.11839000;2652455.90303600
DATAUSDT;0.12051000;0.593;0.13000000;0.11839000;2652455.90303600
DATAUSDT;0.12051000;0.593;0.13000000;0.11839000;2652455.90303600
DATAUSDT;0.12051000;0.593;0.13000000;0.11839000;2652429.63089600
DATAUSDT;0.12051000;0.593;0.13000000;0.11839000;2652429.63089600
DATAUSDT;0.12051000;0.593;0.13000000;0.11839000;2652439.63322600
DATAUSDT;0.12049000;0.350;0.13000000;0.11839000;2651753.86447800
DATAUSDT;0.12049000;0.350;0.13000000;0.11839000;2651753.86447800
DATAUSDT;0.12049000;0.350;0.13000000;0.11839000;2651753.86447800
DATAUSDT;0.12079000;0.350;0.13000000;0.11839000;2651753.86447800
DATAUSDT;0.12079000;0.810;0.13000000;0.11839000;2651251.65736300
DATAUSDT;0.12070000;0.734;0.13000000;0.11839000;2651289.65372300
DATAUSDT;0.12040000;0.484;0.13000000;0.11839000;2651311.53040300
DATAUSDT;0.12040000;0.484;0.13000000;0.11839000;2651311.53040300
DATAUSDT;0.12040000;0.484;0.13000000;0.11839000;2651311.53040300
DATAUSDT;0.12040000;0.484;0.13000000;0.11839000;2651311.53040300
DATAUSDT;0.12040000;0.484;0.13000000;0.11839000;2651311.53040300
DATAUSDT;0.12040000;0.484;0.13000000;0.11839000;2651311.53040300
DATAUSDT;0.12045000;0.526;0.13000000;0.11839000;2651323.58744800
DATAUSDT;0.12045000;0.526;0.13000000;0.11839000;2651323.58744800
DATAUSDT;0.12045000;0.526;0.13000000;0.11839000;2651323.58744800
DATAUSDT;0.12045000;0.526;0.13000000;0.11839000;2651323.58744800
DATAUSDT;0.12045000;0.526;0.13000000;0.11839000;2651271.05949700
DATAUSDT;0.12045000;0.526;0.13000000;0.11839000;2651271.05949700
DATAUSDT;0.12045000;0.526;0.13000000;0.11839000;2651271.05949700
DATAUSDT;0.12045000;0.526;0.13000000;0.11839000;2651271.05949700
DATAUSDT;0.12045000;0.526;0.13000000;0.11839000;2651271.05949700
DATAUSDT;0.12045000;0.526;0.13000000;0.11839000;2651271.05949700
DATAUSDT;0.12045000;0.627;0.13000000;0.11839000;2651191.06615300
