Symbol;Price;Change24;Max24;Min24;Volume24
DEGOUSDT;6.31000000;0.159;6.55000000;6.11000000;1867174.57840000
DEGOUSDT;6.31000000;0.159;6.55000000;6.11000000;1867174.57840000
DEGOUSDT;6.31000000;0.159;6.55000000;6.11000000;1867174.57840000
DEGOUSDT;6.31000000;0.159;6.55000000;6.11000000;1867174.57840000
DEGOUSDT;6.31000000;0.159;6.55000000;6.11000000;1867196.91580000
DEGOUSDT;6.31000000;0.159;6.55000000;6.11000000;1867385.83720000
DEGOUSDT;6.31000000;0.159;6.55000000;6.11000000;1867385.83720000
DEGOUSDT;6.31000000;0.159;6.55000000;6.11000000;1866767.36620000
DEGOUSDT;6.31000000;0.000;6.55000000;6.11000000;1866726.10120000
DEGOUSDT;6.31000000;0.000;6.55000000;6.11000000;1866726.10120000
DEGOUSDT;6.32000000;0.317;6.55000000;6.11000000;1866679.21600000
DEGOUSDT;6.32000000;0.317;6.55000000;6.11000000;1866679.21600000
DEGOUSDT;6.32000000;0.317;6.55000000;6.11000000;1866679.21600000
DEGOUSDT;6.32000000;0.317;6.55000000;6.11000000;1866745.23980000
DEGOUSDT;6.30000000;0.317;6.55000000;6.11000000;1866745.23980000
DEGOUSDT;6.30000000;-0.158;6.55000000;6.11000000;1869551.97620000
DEGOUSDT;6.30000000;-0.158;6.55000000;6.11000000;1869769.95620000
DEGOUSDT;6.30000000;-0.158;6.55000000;6.11000000;1869926.82620000
DEGOUSDT;6.30000000;-0.158;6.55000000;6.11000000;1869926.82620000
DEGOUSDT;6.28000000;-0.158;6.55000000;6.11000000;1869926.82620000
DEGOUSDT;6.29000000;-0.317;6.55000000;6.11000000;1895752.56820000
DEGOUSDT;6.29000000;-0.317;6.55000000;6.11000000;1895573.36420000
DEGOUSDT;6.30000000;-0.317;6.55000000;6.11000000;1894573.41850000
DEGOUSDT;6.30000000;-0.316;6.55000000;6.11000000;1891280.15910000
DEGOUSDT;6.29000000;-0.474;6.55000000;6.11000000;1891269.22550000
DEGOUSDT;6.30000000;-0.631;6.55000000;6.11000000;1891904.95080000
DEGOUSDT;6.29000000;-0.787;6.55000000;6.11000000;1890474.45660000
DEGOUSDT;6.29000000;-1.101;6.55000000;6.11000000;1890422.02720000
DEGOUSDT;6.29000000;-1.101;6.55000000;6.11000000;1890422.02720000
DEGOUSDT;6.29000000;-1.101;6.55000000;6.11000000;1890422.02720000
DEGOUSDT;6.29000000;-1.101;6.55000000;6.11000000;1889121.34360000
DEGOUSDT;6.29000000;-1.101;6.55000000;6.11000000;1889765.56540000
DEGOUSDT;6.29000000;-1.101;6.55000000;6.11000000;1889765.56540000
DEGOUSDT;6.29000000;-1.101;6.55000000;6.11000000;1889765.56540000
DEGOUSDT;6.29000000;-1.101;6.55000000;6.11000000;1889740.57060000
DEGOUSDT;6.29000000;-1.101;6.55000000;6.11000000;1889740.57060000
DEGOUSDT;6.29000000;-0.945;6.55000000;6.11000000;1889537.68660000
DEGOUSDT;6.30000000;-0.474;6.55000000;6.11000000;1887401.52410000
DEGOUSDT;6.30000000;-0.474;6.55000000;6.11000000;1886914.05080000
DEGOUSDT;6.31000000;-0.316;6.55000000;6.11000000;1886942.76130000
DEGOUSDT;6.31000000;-0.316;6.55000000;6.11000000;1886904.59140000
DEGOUSDT;6.31000000;-0.316;6.55000000;6.11000000;1886904.59140000
DEGOUSDT;6.31000000;-0.473;6.55000000;6.11000000;1886550.55450000
DEGOUSDT;6.31000000;-0.473;6.55000000;6.11000000;1885281.51290000
DEGOUSDT;6.31000000;-0.473;6.55000000;6.11000000;1885281.51290000
DEGOUSDT;6.31000000;-0.473;6.55000000;6.11000000;1885281.51290000
DEGOUSDT;6.31000000;-0.473;6.55000000;6.11000000;1885281.51290000
DEGOUSDT;6.31000000;-0.473;6.55000000;6.11000000;1885258.62550000
DEGOUSDT;6.31000000;-0.630;6.55000000;6.11000000;1885246.19910000
DEGOUSDT;6.31000000;-0.630;6.55000000;6.11000000;1885246.19910000
DEGOUSDT;6.31000000;-0.630;6.55000000;6.11000000;1885246.19910000
DEGOUSDT;6.31000000;-0.630;6.55000000;6.11000000;1885246.19910000
DEGOUSDT;6.31000000;-0.630;6.55000000;6.11000000;1885246.19910000
DEGOUSDT;6.31000000;-0.630;6.55000000;6.11000000;1885246.19910000
DEGOUSDT;6.31000000;-0.630;6.55000000;6.11000000;1885246.19910000
DEGOUSDT;6.31000000;-0.630;6.55000000;6.11000000;1885246.19910000
DEGOUSDT;6.31000000;-0.786;6.55000000;6.11000000;1883150.60500000
DEGOUSDT;6.31000000;-0.786;6.55000000;6.11000000;1883150.60500000
DEGOUSDT;6.31000000;-0.786;6.55000000;6.11000000;1883150.60500000
DEGOUSDT;6.31000000;-0.786;6.55000000;6.11000000;1883150.60500000
DEGOUSDT;6.30000000;-0.943;6.55000000;6.11000000;1882055.45790000
DEGOUSDT;6.30000000;-0.631;6.55000000;6.11000000;1879738.26260000
DEGOUSDT;6.30000000;-0.631;6.55000000;6.11000000;1879738.26260000
DEGOUSDT;6.30000000;-0.787;6.55000000;6.11000000;1878004.14810000
DEGOUSDT;6.30000000;-0.631;6.55000000;6.11000000;1876642.00960000
DEGOUSDT;6.29000000;-0.475;6.55000000;6.11000000;1874066.74030000
DEGOUSDT;6.29000000;-0.475;6.55000000;6.11000000;1873825.88510000
DEGOUSDT;6.29000000;-0.632;6.55000000;6.11000000;1873339.81390000
DEGOUSDT;6.31000000;-0.473;6.55000000;6.11000000;1874489.88460000
DEGOUSDT;6.31000000;-0.316;6.55000000;6.11000000;1874020.91480000
DEGOUSDT;6.31000000;-0.316;6.55000000;6.11000000;1874020.91480000
DEGOUSDT;6.30000000;-0.316;6.55000000;6.11000000;1873872.34580000
DEGOUSDT;6.29000000;-0.475;6.55000000;6.11000000;1874051.14770000
DEGOUSDT;6.29000000;-0.317;6.55000000;6.11000000;1873682.29880000
DEGOUSDT;6.29000000;-0.159;6.55000000;6.11000000;1874964.94820000
DEGOUSDT;6.29000000;-0.159;6.55000000;6.11000000;1874964.94820000
DEGOUSDT;6.29000000;-0.159;6.55000000;6.11000000;1874964.94820000
DEGOUSDT;6.28000000;-0.317;6.55000000;6.11000000;1874547.92940000
DEGOUSDT;6.28000000;-0.317;6.55000000;6.11000000;1875408.31790000
DEGOUSDT;6.30000000;0.159;6.55000000;6.11000000;1875967.20110000
DEGOUSDT;6.30000000;-0.158;6.55000000;6.11000000;1875652.04410000
DEGOUSDT;6.30000000;-0.158;6.55000000;6.11000000;1874632.85290000
DEGOUSDT;6.30000000;-0.158;6.55000000;6.11000000;1874687.54990000
DEGOUSDT;6.30000000;-0.158;6.55000000;6.11000000;1874687.54990000
DEGOUSDT;6.30000000;-0.158;6.55000000;6.11000000;1873178.44250000
DEGOUSDT;6.30000000;-0.158;6.55000000;6.11000000;1873178.44250000
DEGOUSDT;6.30000000;-0.158;6.55000000;6.11000000;1873178.44250000
DEGOUSDT;6.30000000;-0.474;6.55000000;6.11000000;1869681.70150000
DEGOUSDT;6.30000000;-0.474;6.55000000;6.11000000;1868333.61860000
DEGOUSDT;6.30000000;-0.474;6.55000000;6.11000000;1868333.61860000
DEGOUSDT;6.30000000;-0.316;6.55000000;6.11000000;1868283.67490000
DEGOUSDT;6.30000000;-0.316;6.55000000;6.11000000;1868283.67490000
DEGOUSDT;6.30000000;-0.316;6.55000000;6.11000000;1868283.67490000
DEGOUSDT;6.30000000;-0.316;6.55000000;6.11000000;1868283.67490000
DEGOUSDT;6.30000000;-0.316;6.55000000;6.11000000;1868283.67490000
DEGOUSDT;6.30000000;-0.316;6.55000000;6.11000000;1868283.67490000
DEGOUSDT;6.30000000;-0.316;6.55000000;6.11000000;1868283.67490000
DEGOUSDT;6.30000000;-0.316;6.55000000;6.11000000;1868283.67490000
DEGOUSDT;6.30000000;-0.316;6.55000000;6.11000000;1868283.67490000
DEGOUSDT;6.30000000;-0.316;6.55000000;6.11000000;1868283.67490000
DEGOUSDT;6.28000000;-0.632;6.55000000;6.11000000;1866544.50600000
DEGOUSDT;6.28000000;-0.790;6.55000000;6.11000000;1866695.21320000
DEGOUSDT;6.28000000;-0.790;6.55000000;6.11000000;1866695.21320000
DEGOUSDT;6.28000000;-0.790;6.55000000;6.11000000;1866695.21320000
DEGOUSDT;6.29000000;-0.632;6.55000000;6.11000000;1866201.28030000
DEGOUSDT;6.29000000;-0.632;6.55000000;6.11000000;1866201.28030000
DEGOUSDT;6.29000000;-0.632;6.55000000;6.11000000;1866067.90720000
DEGOUSDT;6.29000000;-0.475;6.55000000;6.11000000;1865778.11120000
DEGOUSDT;6.29000000;-0.475;6.55000000;6.11000000;1865778.11120000
DEGOUSDT;6.29000000;-0.475;6.55000000;6.11000000;1865726.60320000
DEGOUSDT;6.29000000;-0.475;6.55000000;6.11000000;1865726.60320000
DEGOUSDT;6.29000000;-0.475;6.55000000;6.11000000;1865743.83780000
DEGOUSDT;6.29000000;-0.475;6.55000000;6.11000000;1865882.21780000
DEGOUSDT;6.29000000;-0.475;6.55000000;6.11000000;1865882.21780000
DEGOUSDT;6.29000000;-0.475;6.55000000;6.11000000;1865882.21780000
DEGOUSDT;6.29000000;-0.475;6.55000000;6.11000000;1865882.21780000
DEGOUSDT;6.29000000;-0.475;6.55000000;6.11000000;1865882.21780000
DEGOUSDT;6.29000000;-0.475;6.55000000;6.11000000;1865882.21780000
DEGOUSDT;6.29000000;-0.475;6.55000000;6.11000000;1865882.21780000
DEGOUSDT;6.29000000;-0.475;6.55000000;6.11000000;1865882.21780000
DEGOUSDT;6.29000000;-0.475;6.55000000;6.11000000;1865895.17520000
DEGOUSDT;6.29000000;-0.475;6.55000000;6.11000000;1865895.17520000
DEGOUSDT;6.28000000;-0.632;6.55000000;6.11000000;1864198.06560000
DEGOUSDT;6.28000000;-0.946;6.55000000;6.11000000;1865216.96940000
DEGOUSDT;6.28000000;-0.946;6.55000000;6.11000000;1865216.96940000
DEGOUSDT;6.28000000;-0.946;6.55000000;6.11000000;1865216.96940000
DEGOUSDT;6.28000000;-0.946;6.55000000;6.11000000;1865216.96940000
DEGOUSDT;6.28000000;-0.946;6.55000000;6.11000000;1865228.33620000
DEGOUSDT;6.29000000;-0.945;6.55000000;6.11000000;1864005.79500000
DEGOUSDT;6.29000000;-1.101;6.55000000;6.11000000;1860501.57550000
