Symbol;Price;Change24;Max24;Min24;Volume24
DENTUSDT;0.00403800;-2.652;0.00427700;0.00384000;18418025.60250700
DENTUSDT;0.00403800;-2.605;0.00427700;0.00384000;18414104.52804000
DENTUSDT;0.00403400;-2.772;0.00427700;0.00384000;18413538.96753000
DENTUSDT;0.00403100;-2.654;0.00427700;0.00384000;18412400.43604000
DENTUSDT;0.00403100;-2.727;0.00427700;0.00384000;18410526.61926800
DENTUSDT;0.00403100;-2.656;0.00427700;0.00384000;18408877.19190000
DENTUSDT;0.00403100;-2.633;0.00427700;0.00384000;18403802.02511600
DENTUSDT;0.00403000;-2.727;0.00427700;0.00384000;18396179.85732000
DENTUSDT;0.00402700;-2.753;0.00427700;0.00384000;18393741.24967900
DENTUSDT;0.00403200;-2.632;0.00427700;0.00384000;18396083.93982300
DENTUSDT;0.00403000;-2.774;0.00427700;0.00384000;18396051.06410000
DENTUSDT;0.00403000;-2.751;0.00427700;0.00384000;18389656.44921300
DENTUSDT;0.00402500;-2.657;0.00427700;0.00384000;18387573.73508700
DENTUSDT;0.00402300;-2.967;0.00427700;0.00384000;18388376.30906400
DENTUSDT;0.00401800;-3.041;0.00427700;0.00384000;18395431.91692800
DENTUSDT;0.00402000;-3.109;0.00427700;0.00384000;18394861.75590200
DENTUSDT;0.00402100;-3.108;0.00427700;0.00384000;18392249.58416800
DENTUSDT;0.00401900;-3.395;0.00427700;0.00384000;18414930.47324700
DENTUSDT;0.00402000;-3.342;0.00427700;0.00384000;18422467.98164500
DENTUSDT;0.00401200;-3.365;0.00427700;0.00384000;18414921.23410800
DENTUSDT;0.00401400;-3.370;0.00427700;0.00384000;18391105.89837800
DENTUSDT;0.00401400;-3.347;0.00427700;0.00384000;18391649.27791800
DENTUSDT;0.00401700;-3.276;0.00427700;0.00384000;18389904.21394200
DENTUSDT;0.00402100;-3.248;0.00427700;0.00384000;18391968.86526700
DENTUSDT;0.00401600;-3.438;0.00427700;0.00384000;18392679.73759800
DENTUSDT;0.00402100;-3.619;0.00427700;0.00384000;18387223.05327500
DENTUSDT;0.00402100;-3.550;0.00427700;0.00384000;18378493.03269800
DENTUSDT;0.00402100;-3.666;0.00427700;0.00384000;18375288.72442300
DENTUSDT;0.00401700;-3.830;0.00427700;0.00384000;18369893.16288500
DENTUSDT;0.00401700;-3.738;0.00427700;0.00384000;18357886.61011700
DENTUSDT;0.00402400;-3.689;0.00427700;0.00384000;18370267.57940800
DENTUSDT;0.00402400;-3.617;0.00427700;0.00384000;18356444.73606600
DENTUSDT;0.00402500;-3.593;0.00427700;0.00384000;18356270.40983100
DENTUSDT;0.00402700;-3.592;0.00427700;0.00384000;18353442.56836400
DENTUSDT;0.00402400;-3.709;0.00427700;0.00384000;18354524.00874900
DENTUSDT;0.00402400;-3.594;0.00427700;0.00384000;18353505.32082700
DENTUSDT;0.00402400;-3.524;0.00427700;0.00384000;18346334.16771900
DENTUSDT;0.00403100;-3.429;0.00427700;0.00384000;18344044.28201600
DENTUSDT;0.00402700;-3.472;0.00427700;0.00384000;18339479.84584100
DENTUSDT;0.00402600;-3.476;0.00427700;0.00384000;18323522.49124200
DENTUSDT;0.00402600;-3.430;0.00427700;0.00384000;18320108.16052200
DENTUSDT;0.00402900;-3.637;0.00427700;0.00384000;18313243.00329400
DENTUSDT;0.00403200;-3.842;0.00427700;0.00384000;18302770.76748100
DENTUSDT;0.00403100;-3.818;0.00427700;0.00384000;18303363.20346100
DENTUSDT;0.00403100;-3.795;0.00427700;0.00384000;18304309.62014900
DENTUSDT;0.00403600;-3.605;0.00427700;0.00384000;18304196.65370100
DENTUSDT;0.00403600;-3.468;0.00427700;0.00384000;18303633.66418000
DENTUSDT;0.00403300;-3.514;0.00427700;0.00384000;18300898.87217900
DENTUSDT;0.00403600;-3.583;0.00427700;0.00384000;18298467.69875500
DENTUSDT;0.00402900;-3.774;0.00427700;0.00384000;18299452.06171900
DENTUSDT;0.00402800;-3.842;0.00427700;0.00384000;18296313.81095600
DENTUSDT;0.00403000;-3.772;0.00427700;0.00384000;18283516.47336800
DENTUSDT;0.00403100;-3.772;0.00427700;0.00384000;18282244.13787600
DENTUSDT;0.00403100;-4.001;0.00427700;0.00384000;18276052.71026800
DENTUSDT;0.00403600;-4.065;0.00427700;0.00384000;18271831.98189400
DENTUSDT;0.00403500;-4.293;0.00427700;0.00384000;18255078.39088200
DENTUSDT;0.00403200;-4.361;0.00427700;0.00384000;18240341.86426200
DENTUSDT;0.00403200;-4.928;0.00427700;0.00384000;18200309.46232500
DENTUSDT;0.00402900;-4.864;0.00427700;0.00384000;18194472.57401500
DENTUSDT;0.00402800;-4.797;0.00427700;0.00384000;18190226.99119700
DENTUSDT;0.00403100;-4.817;0.00427700;0.00384000;18178471.04173400
DENTUSDT;0.00404000;-4.313;0.00427700;0.00384000;18143540.47497600
DENTUSDT;0.00404000;-4.311;0.00427700;0.00384000;18144281.21018800
DENTUSDT;0.00403600;-4.590;0.00427700;0.00384000;18128169.43998200
DENTUSDT;0.00403600;-4.496;0.00427700;0.00384000;18129594.14003000
DENTUSDT;0.00403200;-4.228;0.00427700;0.00384000;18124663.51340800
DENTUSDT;0.00403000;-4.139;0.00427700;0.00384000;18120052.90268000
DENTUSDT;0.00403300;-4.113;0.00427700;0.00384000;18119749.25869000
DENTUSDT;0.00402800;-4.550;0.00427700;0.00384000;18112200.38847200
DENTUSDT;0.00402500;-4.553;0.00427700;0.00384000;18104158.50313600
DENTUSDT;0.00402500;-4.462;0.00427700;0.00384000;18103861.51372200
DENTUSDT;0.00401900;-4.763;0.00427700;0.00384000;18092344.63802400
DENTUSDT;0.00401100;-4.773;0.00427700;0.00384000;18083832.59165400
