Symbol;Price;Change24;Max24;Min24;Volume24
DGBUSDT;0.03419000;1.394;0.03441000;0.03239000;3329074.22388800
DGBUSDT;0.03419000;1.274;0.03441000;0.03239000;3328850.62087100
DGBUSDT;0.03419000;1.274;0.03441000;0.03239000;3328850.62087100
DGBUSDT;0.03419000;1.394;0.03441000;0.03239000;3328531.24875100
DGBUSDT;0.03419000;1.394;0.03441000;0.03239000;3328531.24875100
DGBUSDT;0.03419000;1.424;0.03441000;0.03239000;3328481.53872700
DGBUSDT;0.03419000;1.424;0.03441000;0.03239000;3328481.53872700
DGBUSDT;0.03419000;1.424;0.03441000;0.03239000;3327230.47073500
DGBUSDT;0.03419000;1.514;0.03441000;0.03239000;3326936.06912100
DGBUSDT;0.03419000;1.364;0.03441000;0.03239000;3326916.73006500
DGBUSDT;0.03419000;1.364;0.03441000;0.03239000;3326916.73006500
DGBUSDT;0.03418000;1.334;0.03441000;0.03239000;3326968.00006500
DGBUSDT;0.03418000;1.485;0.03441000;0.03239000;3321812.68487100
DGBUSDT;0.03418000;1.424;0.03441000;0.03239000;3321426.13951100
DGBUSDT;0.03418000;1.394;0.03441000;0.03239000;3321093.63506300
DGBUSDT;0.03409000;1.127;0.03441000;0.03239000;3323203.06832200
DGBUSDT;0.03406000;0.948;0.03441000;0.03239000;3330042.34183300
DGBUSDT;0.03406000;0.948;0.03441000;0.03239000;3330141.32019300
DGBUSDT;0.03408000;0.948;0.03441000;0.03239000;3331625.93384800
DGBUSDT;0.03405000;1.067;0.03441000;0.03239000;3331833.06719000
DGBUSDT;0.03404000;1.068;0.03441000;0.03239000;3333040.92753000
DGBUSDT;0.03403000;1.039;0.03441000;0.03239000;3333188.26257000
DGBUSDT;0.03404000;1.039;0.03441000;0.03239000;3338433.27917100
DGBUSDT;0.03406000;1.008;0.03441000;0.03239000;3338438.87858800
DGBUSDT;0.03406000;1.008;0.03441000;0.03239000;3338438.87858800
DGBUSDT;0.03407000;0.739;0.03441000;0.03239000;3337283.32110600
DGBUSDT;0.03407000;0.739;0.03441000;0.03239000;3337097.31110600
DGBUSDT;0.03407000;0.829;0.03441000;0.03239000;3336791.19444400
DGBUSDT;0.03406000;0.680;0.03441000;0.03239000;3337207.13096900
DGBUSDT;0.03404000;0.710;0.03441000;0.03239000;3337474.88178900
DGBUSDT;0.03406000;0.710;0.03441000;0.03239000;3338370.26224900
DGBUSDT;0.03406000;0.710;0.03441000;0.03239000;3338370.26224900
DGBUSDT;0.03406000;0.710;0.03441000;0.03239000;3338360.11624900
DGBUSDT;0.03406000;0.710;0.03441000;0.03239000;3338001.81566900
DGBUSDT;0.03406000;0.650;0.03441000;0.03239000;3333555.08313600
DGBUSDT;0.03406000;0.829;0.03441000;0.03239000;3332388.61403800
DGBUSDT;0.03406000;0.829;0.03441000;0.03239000;3324136.06870500
DGBUSDT;0.03408000;0.978;0.03441000;0.03239000;3323482.55107000
DGBUSDT;0.03408000;0.978;0.03441000;0.03239000;3323482.55107000
DGBUSDT;0.03408000;0.918;0.03441000;0.03239000;3320367.59847400
DGBUSDT;0.03408000;1.008;0.03441000;0.03239000;3320244.17906400
DGBUSDT;0.03408000;1.008;0.03441000;0.03239000;3320244.17906400
DGBUSDT;0.03410000;0.888;0.03441000;0.03239000;3320202.07829200
DGBUSDT;0.03410000;0.947;0.03441000;0.03239000;3321577.11935200
DGBUSDT;0.03410000;1.127;0.03441000;0.03239000;3321541.85903200
DGBUSDT;0.03409000;1.097;0.03441000;0.03239000;3322552.86616200
DGBUSDT;0.03409000;1.097;0.03441000;0.03239000;3323806.66568100
DGBUSDT;0.03409000;1.097;0.03441000;0.03239000;3323806.66568100
DGBUSDT;0.03406000;1.008;0.03441000;0.03239000;3324951.76653500
DGBUSDT;0.03406000;0.799;0.03441000;0.03239000;3325048.31536800
DGBUSDT;0.03402000;0.681;0.03441000;0.03239000;3329678.29499600
DGBUSDT;0.03405000;0.740;0.03441000;0.03239000;3330496.66479900
DGBUSDT;0.03405000;0.740;0.03441000;0.03239000;3330403.18164400
DGBUSDT;0.03405000;0.740;0.03441000;0.03239000;3330403.18164400
DGBUSDT;0.03405000;0.740;0.03441000;0.03239000;3330403.18164400
DGBUSDT;0.03405000;0.740;0.03441000;0.03239000;3330425.03837300
DGBUSDT;0.03405000;0.740;0.03441000;0.03239000;3330475.03739300
DGBUSDT;0.03405000;0.740;0.03441000;0.03239000;3330485.68142300
DGBUSDT;0.03405000;0.710;0.03441000;0.03239000;3330331.46554300
DGBUSDT;0.03405000;0.710;0.03441000;0.03239000;3330331.46554300
DGBUSDT;0.03405000;0.561;0.03441000;0.03239000;3328333.31122700
DGBUSDT;0.03404000;0.680;0.03441000;0.03239000;3327487.83866000
DGBUSDT;0.03404000;0.710;0.03441000;0.03239000;3327478.13397100
DGBUSDT;0.03403000;0.621;0.03441000;0.03239000;3325267.91449100
DGBUSDT;0.03400000;0.592;0.03441000;0.03239000;3325417.67163300
DGBUSDT;0.03396000;0.831;0.03441000;0.03239000;3316612.45506900
DGBUSDT;0.03396000;0.981;0.03441000;0.03239000;3316370.88110200
DGBUSDT;0.03396000;0.831;0.03441000;0.03239000;3315046.57007100
DGBUSDT;0.03397000;0.831;0.03441000;0.03239000;3313829.46923800
DGBUSDT;0.03397000;0.741;0.03441000;0.03239000;3313623.06071500
DGBUSDT;0.03394000;0.742;0.03441000;0.03239000;3314091.68655300
DGBUSDT;0.03398000;0.741;0.03441000;0.03239000;3316150.05307700
DGBUSDT;0.03393000;0.772;0.03441000;0.03239000;3316248.39280600
DGBUSDT;0.03395000;0.892;0.03441000;0.03239000;3313226.29213700
DGBUSDT;0.03392000;0.772;0.03441000;0.03239000;3312014.29901900
DGBUSDT;0.03392000;0.772;0.03441000;0.03239000;3312014.29901900
DGBUSDT;0.03392000;0.772;0.03441000;0.03239000;3312014.29901900
DGBUSDT;0.03392000;0.952;0.03441000;0.03239000;3311032.22512100
DGBUSDT;0.03393000;0.922;0.03441000;0.03239000;3309592.46130100
DGBUSDT;0.03401000;1.040;0.03441000;0.03239000;3312751.89937200
DGBUSDT;0.03401000;0.950;0.03441000;0.03239000;3313153.81462500
DGBUSDT;0.03401000;0.890;0.03441000;0.03239000;3312292.91846700
DGBUSDT;0.03401000;0.950;0.03441000;0.03239000;3312204.04879400
DGBUSDT;0.03401000;0.950;0.03441000;0.03239000;3312204.04879400
DGBUSDT;0.03402000;0.980;0.03441000;0.03239000;3312504.81621200
DGBUSDT;0.03401000;0.920;0.03441000;0.03239000;3312237.42458600
DGBUSDT;0.03403000;0.860;0.03441000;0.03239000;3312053.42258600
DGBUSDT;0.03400000;0.830;0.03441000;0.03239000;3314828.26513500
DGBUSDT;0.03399000;0.830;0.03441000;0.03239000;3314828.26513500
DGBUSDT;0.03402000;0.890;0.03441000;0.03239000;3315265.56068700
DGBUSDT;0.03402000;0.890;0.03441000;0.03239000;3315265.56068700
DGBUSDT;0.03402000;0.890;0.03441000;0.03239000;3315265.56068700
DGBUSDT;0.03399000;0.890;0.03441000;0.03239000;3315265.56068700
DGBUSDT;0.03399000;0.801;0.03441000;0.03239000;3315365.55926700
DGBUSDT;0.03399000;0.681;0.03441000;0.03239000;3314624.38275400
DGBUSDT;0.03399000;0.681;0.03441000;0.03239000;3314624.38275400
DGBUSDT;0.03397000;0.681;0.03441000;0.03239000;3314624.38275400
DGBUSDT;0.03395000;0.533;0.03441000;0.03239000;3314772.58575300
DGBUSDT;0.03395000;0.533;0.03441000;0.03239000;3315665.53959700
DGBUSDT;0.03395000;0.533;0.03441000;0.03239000;3315665.53959700
DGBUSDT;0.03395000;0.444;0.03441000;0.03239000;3312966.48076000
DGBUSDT;0.03395000;0.444;0.03441000;0.03239000;3312966.48076000
DGBUSDT;0.03395000;0.444;0.03441000;0.03239000;3312966.48076000
DGBUSDT;0.03394000;0.444;0.03441000;0.03239000;3312966.48076000
DGBUSDT;0.03392000;0.385;0.03441000;0.03239000;3311714.28783900
DGBUSDT;0.03392000;0.385;0.03441000;0.03239000;3311714.28783900
DGBUSDT;0.03394000;0.385;0.03441000;0.03239000;3311714.28783900
DGBUSDT;0.03394000;0.444;0.03441000;0.03239000;3313572.99836300
DGBUSDT;0.03394000;0.444;0.03441000;0.03239000;3313572.99836300
DGBUSDT;0.03394000;0.444;0.03441000;0.03239000;3313572.99836300
DGBUSDT;0.03394000;0.444;0.03441000;0.03239000;3313572.99836300
DGBUSDT;0.03395000;0.503;0.03441000;0.03239000;3312986.26281600
DGBUSDT;0.03395000;0.503;0.03441000;0.03239000;3312986.26281600
DGBUSDT;0.03395000;0.503;0.03441000;0.03239000;3312986.26281600
DGBUSDT;0.03395000;0.503;0.03441000;0.03239000;3312986.26281600
DGBUSDT;0.03395000;0.503;0.03441000;0.03239000;3312986.26281600
DGBUSDT;0.03395000;0.652;0.03441000;0.03239000;3312619.55125000
DGBUSDT;0.03395000;0.772;0.03441000;0.03239000;3308997.82386600
DGBUSDT;0.03395000;0.772;0.03441000;0.03239000;3308997.82386600
DGBUSDT;0.03395000;0.772;0.03441000;0.03239000;3308997.82386600
DGBUSDT;0.03395000;0.772;0.03441000;0.03239000;3308997.82386600
DGBUSDT;0.03395000;0.802;0.03441000;0.03239000;3308552.86319100
DGBUSDT;0.03395000;0.593;0.03441000;0.03239000;3308488.88466300
DGBUSDT;0.03397000;0.593;0.03441000;0.03239000;3308488.88466300
DGBUSDT;0.03397000;0.592;0.03441000;0.03239000;3308466.09979100
DGBUSDT;0.03397000;0.592;0.03441000;0.03239000;3308466.09979100
DGBUSDT;0.03397000;0.503;0.03441000;0.03239000;3307149.93822900
DGBUSDT;0.03397000;0.562;0.03441000;0.03239000;3306966.53942900
DGBUSDT;0.03399000;0.503;0.03441000;0.03239000;3306036.86902600
DGBUSDT;0.03400000;0.562;0.03441000;0.03239000;3305624.60065400
DGBUSDT;0.03400000;0.592;0.03441000;0.03239000;3306049.60065400
DGBUSDT;0.03399000;0.592;0.03441000;0.03239000;3306049.60065400
DGBUSDT;0.03397000;0.533;0.03441000;0.03239000;3306978.47568900
DGBUSDT;0.03399000;0.473;0.03441000;0.03239000;3306783.86660700
DGBUSDT;0.03400000;0.473;0.03441000;0.03239000;3306783.86660700
DGBUSDT;0.03400000;0.503;0.03441000;0.03239000;3307914.56703700
DGBUSDT;0.03400000;0.503;0.03441000;0.03239000;3307914.56703700
DGBUSDT;0.03400000;0.503;0.03441000;0.03239000;3307864.56968000
DGBUSDT;0.03400000;0.443;0.03441000;0.03239000;3310412.04937900
DGBUSDT;0.03400000;0.384;0.03441000;0.03239000;3310497.95623900
DGBUSDT;0.03404000;0.472;0.03441000;0.03239000;3310679.75642000
DGBUSDT;0.03404000;0.383;0.03441000;0.03239000;3310704.43924500
DGBUSDT;0.03411000;0.590;0.03441000;0.03239000;3311631.38786300
DGBUSDT;0.03412000;0.471;0.03441000;0.03239000;3310623.28900500
DGBUSDT;0.03410000;0.442;0.03441000;0.03239000;3311601.11270500
DGBUSDT;0.03410000;0.442;0.03441000;0.03239000;3295671.44769300
DGBUSDT;0.03412000;0.294;0.03441000;0.03239000;3292162.42099600
DGBUSDT;0.03415000;0.294;0.03441000;0.03239000;3292162.42099600
DGBUSDT;0.03413000;0.235;0.03441000;0.03239000;3296844.45587600
DGBUSDT;0.03413000;0.147;0.03441000;0.03239000;3296081.13074200
DGBUSDT;0.03411000;0.117;0.03441000;0.03239000;3295797.72054200
DGBUSDT;0.03412000;0.059;0.03441000;0.03239000;3295514.36062900
DGBUSDT;0.03412000;-0.029;0.03441000;0.03239000;3291977.20922800
DGBUSDT;0.03411000;-0.029;0.03441000;0.03239000;3291977.20922800
DGBUSDT;0.03411000;0.000;0.03441000;0.03239000;3283482.93432800
DGBUSDT;0.03411000;0.000;0.03441000;0.03239000;3283594.68892100
DGBUSDT;0.03406000;-0.117;0.03441000;0.03239000;3283523.45804900
DGBUSDT;0.03406000;-0.088;0.03441000;0.03239000;3282680.83487900
DGBUSDT;0.03406000;-0.059;0.03441000;0.03239000;3282435.56755600
DGBUSDT;0.03412000;0.176;0.03441000;0.03239000;3282019.56447200
DGBUSDT;0.03412000;0.147;0.03441000;0.03239000;3282005.66458600
DGBUSDT;0.03412000;0.147;0.03441000;0.03239000;3282005.66458600
DGBUSDT;0.03415000;0.235;0.03441000;0.03239000;3282018.31033100
DGBUSDT;0.03413000;0.206;0.03441000;0.03239000;3281628.60944400
DGBUSDT;0.03415000;0.382;0.03441000;0.03239000;3281527.20106800
DGBUSDT;0.03415000;0.441;0.03441000;0.03239000;3281110.83626100
DGBUSDT;0.03415000;0.441;0.03441000;0.03239000;3277241.81087400
DGBUSDT;0.03414000;0.412;0.03441000;0.03239000;3277286.81422200
DGBUSDT;0.03414000;0.412;0.03441000;0.03239000;3277286.81422200
DGBUSDT;0.03414000;0.176;0.03441000;0.03239000;3276917.85968800
DGBUSDT;0.03412000;0.176;0.03441000;0.03239000;3275829.73944100
DGBUSDT;0.03412000;0.117;0.03441000;0.03239000;3275795.67944100
DGBUSDT;0.03412000;0.117;0.03441000;0.03239000;3275795.67944100
DGBUSDT;0.03412000;0.206;0.03441000;0.03239000;3274929.21212900
DGBUSDT;0.03415000;0.264;0.03441000;0.03239000;3274720.22552400
DGBUSDT;0.03415000;0.235;0.03441000;0.03239000;3274673.32149800
DGBUSDT;0.03411000;0.294;0.03441000;0.03239000;3260941.04473100
DGBUSDT;0.03411000;0.088;0.03441000;0.03239000;3261127.36096600
DGBUSDT;0.03412000;0.147;0.03441000;0.03239000;3258221.66992800
DGBUSDT;0.03412000;0.147;0.03441000;0.03239000;3257582.46562300
DGBUSDT;0.03412000;0.147;0.03441000;0.03239000;3257582.46562300
DGBUSDT;0.03410000;-0.117;0.03441000;0.03239000;3257590.49724300
DGBUSDT;0.03410000;-0.117;0.03441000;0.03239000;3257368.58724300
DGBUSDT;0.03408000;-0.176;0.03441000;0.03239000;3258400.93536700
DGBUSDT;0.03403000;-0.088;0.03441000;0.03239000;3258327.93328700
DGBUSDT;0.03403000;-0.264;0.03441000;0.03239000;3263565.18458600
DGBUSDT;0.03403000;-0.351;0.03441000;0.03239000;3263081.18863000
DGBUSDT;0.03403000;-0.351;0.03441000;0.03239000;3263081.18863000
DGBUSDT;0.03403000;-0.351;0.03441000;0.03239000;3263081.18863000
DGBUSDT;0.03406000;-0.322;0.03441000;0.03239000;3260254.50426700
DGBUSDT;0.03406000;-0.234;0.03441000;0.03239000;3256213.32393600
DGBUSDT;0.03406000;-0.205;0.03441000;0.03239000;3251926.91379000
DGBUSDT;0.03406000;-0.147;0.03441000;0.03239000;3251886.33322000
DGBUSDT;0.03406000;-0.147;0.03441000;0.03239000;3251886.33322000
DGBUSDT;0.03405000;-0.176;0.03441000;0.03239000;3251787.20956000
DGBUSDT;0.03399000;-0.439;0.03441000;0.03239000;3259725.40680000
DGBUSDT;0.03398000;-0.585;0.03441000;0.03239000;3260737.85927600
DGBUSDT;0.03394000;-0.557;0.03441000;0.03239000;3260433.57227200
DGBUSDT;0.03394000;-0.557;0.03441000;0.03239000;3260536.90599600
DGBUSDT;0.03394000;-0.644;0.03441000;0.03239000;3260495.33565600
DGBUSDT;0.03397000;-0.556;0.03441000;0.03239000;3260700.88812600
DGBUSDT;0.03397000;-0.556;0.03441000;0.03239000;3260700.88812600
DGBUSDT;0.03397000;-0.498;0.03441000;0.03239000;3260728.46273100
