Symbol;Price;Change24;Max24;Min24;Volume24
DIAUSDT;1.28500000;-0.619;1.31900000;1.22300000;1458175.01020000
DIAUSDT;1.28500000;-0.619;1.31900000;1.22300000;1458175.01020000
DIAUSDT;1.28500000;-0.619;1.31900000;1.22300000;1458175.01020000
DIAUSDT;1.28500000;-0.619;1.31900000;1.22300000;1455813.18350000
DIAUSDT;1.28500000;-0.619;1.31900000;1.22300000;1455813.18350000
DIAUSDT;1.28500000;-0.619;1.31900000;1.22300000;1455813.18350000
DIAUSDT;1.28500000;-0.619;1.31900000;1.22300000;1455910.45800000
DIAUSDT;1.28500000;-0.619;1.31900000;1.22300000;1455955.94700000
DIAUSDT;1.28500000;-0.619;1.31900000;1.22300000;1455955.94700000
DIAUSDT;1.28500000;-0.619;1.31900000;1.22300000;1455955.94700000
DIAUSDT;1.28500000;-0.619;1.31900000;1.22300000;1455955.94700000
DIAUSDT;1.28500000;-0.619;1.31900000;1.22300000;1455955.94700000
DIAUSDT;1.28500000;-0.619;1.31900000;1.22300000;1455955.94700000
DIAUSDT;1.28500000;-0.542;1.31900000;1.22300000;1455222.31020000
DIAUSDT;1.28500000;-0.542;1.31900000;1.22300000;1455222.31020000
DIAUSDT;1.28500000;-0.542;1.31900000;1.22300000;1455238.50120000
DIAUSDT;1.28500000;-0.542;1.31900000;1.22300000;1455238.50120000
DIAUSDT;1.28500000;-0.542;1.31900000;1.22300000;1455238.50120000
DIAUSDT;1.28500000;-0.542;1.31900000;1.22300000;1455238.50120000
DIAUSDT;1.28500000;-0.542;1.31900000;1.22300000;1455238.50120000
DIAUSDT;1.28500000;-0.542;1.31900000;1.22300000;1455238.50120000
DIAUSDT;1.28500000;-0.542;1.31900000;1.22300000;1455064.08120000
DIAUSDT;1.28500000;-0.542;1.31900000;1.22300000;1455064.08120000
DIAUSDT;1.28500000;-0.542;1.31900000;1.22300000;1455064.08120000
DIAUSDT;1.28500000;-0.542;1.31900000;1.22300000;1455064.08120000
DIAUSDT;1.28500000;-0.696;1.31900000;1.22300000;1454003.47620000
DIAUSDT;1.28600000;-0.618;1.31900000;1.22300000;1454042.94040000
DIAUSDT;1.28600000;-0.618;1.31900000;1.22300000;1453966.98260000
DIAUSDT;1.28600000;-0.618;1.31900000;1.22300000;1454119.50220000
DIAUSDT;1.28600000;-0.618;1.31900000;1.22300000;1454119.50220000
DIAUSDT;1.28600000;-0.618;1.31900000;1.22300000;1454119.50220000
DIAUSDT;1.28600000;-0.695;1.31900000;1.22300000;1450317.34200000
DIAUSDT;1.28600000;-0.695;1.31900000;1.22300000;1450317.34200000
DIAUSDT;1.28600000;-0.695;1.31900000;1.22300000;1445887.09380000
DIAUSDT;1.28500000;-0.772;1.31900000;1.22300000;1445906.62580000
DIAUSDT;1.28500000;-0.849;1.31900000;1.22300000;1444213.78810000
DIAUSDT;1.28500000;-0.849;1.31900000;1.22300000;1444104.79450000
DIAUSDT;1.28500000;-0.772;1.31900000;1.22300000;1442517.87490000
DIAUSDT;1.28500000;-0.772;1.31900000;1.22300000;1442517.87490000
DIAUSDT;1.28500000;-0.619;1.31900000;1.22300000;1442019.14490000
DIAUSDT;1.28300000;-0.619;1.31900000;1.22300000;1442019.14490000
DIAUSDT;1.28500000;-0.619;1.31900000;1.22300000;1442436.36050000
DIAUSDT;1.28500000;-0.619;1.31900000;1.22300000;1442436.36050000
DIAUSDT;1.28500000;-0.619;1.31900000;1.22300000;1442436.36050000
DIAUSDT;1.28500000;-0.619;1.31900000;1.22300000;1442436.36050000
DIAUSDT;1.28500000;-0.619;1.31900000;1.22300000;1442436.36050000
DIAUSDT;1.28500000;-0.619;1.31900000;1.22300000;1442436.36050000
DIAUSDT;1.28500000;-0.619;1.31900000;1.22300000;1442436.36050000
DIAUSDT;1.28500000;-0.619;1.31900000;1.22300000;1442336.41160000
DIAUSDT;1.28500000;-0.619;1.31900000;1.22300000;1442336.41160000
DIAUSDT;1.28700000;-0.618;1.31900000;1.22300000;1441483.13860000
DIAUSDT;1.28700000;-0.618;1.31900000;1.22300000;1441996.13680000
DIAUSDT;1.29100000;-0.618;1.31900000;1.22300000;1441996.13680000
DIAUSDT;1.29100000;-0.309;1.31900000;1.22300000;1447139.26490000
DIAUSDT;1.28800000;-0.541;1.31900000;1.22300000;1447894.54810000
DIAUSDT;1.28800000;-0.541;1.31900000;1.22300000;1447999.39130000
DIAUSDT;1.28800000;-0.541;1.31900000;1.22300000;1447999.39130000
DIAUSDT;1.28800000;-0.541;1.31900000;1.22300000;1448016.26410000
DIAUSDT;1.28800000;-0.541;1.31900000;1.22300000;1448016.26410000
DIAUSDT;1.28800000;-0.541;1.31900000;1.22300000;1448016.26410000
DIAUSDT;1.28900000;-0.463;1.31900000;1.22300000;1448048.23130000
DIAUSDT;1.28700000;-0.387;1.31900000;1.22300000;1448608.16300000
DIAUSDT;1.28700000;-0.387;1.31900000;1.22300000;1448608.16300000
DIAUSDT;1.28800000;-0.310;1.31900000;1.22300000;1449006.08610000
DIAUSDT;1.28900000;-0.232;1.31900000;1.22300000;1449070.50880000
DIAUSDT;1.28900000;0.000;1.31900000;1.22300000;1448368.30210000
DIAUSDT;1.28900000;0.000;1.31900000;1.22300000;1448368.30210000
DIAUSDT;1.28900000;0.000;1.31900000;1.22300000;1448368.30210000
DIAUSDT;1.28700000;-0.155;1.31900000;1.22300000;1448732.03620000
DIAUSDT;1.28700000;-0.155;1.31900000;1.22300000;1448732.03620000
DIAUSDT;1.28700000;-0.155;1.31900000;1.22300000;1448732.03620000
DIAUSDT;1.28700000;-0.310;1.31900000;1.22300000;1443756.29220000
DIAUSDT;1.28500000;-0.696;1.31900000;1.22300000;1442325.46300000
DIAUSDT;1.28500000;-0.696;1.31900000;1.22300000;1442325.46300000
DIAUSDT;1.28100000;-0.389;1.31900000;1.22300000;1444579.78140000
DIAUSDT;1.28100000;-0.543;1.31900000;1.22300000;1444684.73990000
DIAUSDT;1.28100000;-0.543;1.31900000;1.22300000;1444684.73990000
DIAUSDT;1.28000000;-0.621;1.31900000;1.22300000;1445715.13990000
DIAUSDT;1.28000000;-0.467;1.31900000;1.22300000;1445841.71300000
DIAUSDT;1.28000000;-0.621;1.31900000;1.22300000;1445791.81620000
DIAUSDT;1.28000000;-0.544;1.31900000;1.22300000;1445315.64260000
DIAUSDT;1.28000000;-0.544;1.31900000;1.22300000;1445315.64260000
DIAUSDT;1.28000000;-0.389;1.31900000;1.22300000;1444244.24730000
DIAUSDT;1.28000000;-0.389;1.31900000;1.22300000;1444244.24730000
DIAUSDT;1.28000000;-0.389;1.31900000;1.22300000;1444244.24730000
DIAUSDT;1.28000000;-0.389;1.31900000;1.22300000;1444244.24730000
DIAUSDT;1.27900000;-0.467;1.31900000;1.22300000;1444281.84990000
DIAUSDT;1.27900000;-0.467;1.31900000;1.22300000;1444281.84990000
DIAUSDT;1.27900000;-0.467;1.31900000;1.22300000;1444281.84990000
DIAUSDT;1.27900000;-0.467;1.31900000;1.22300000;1444281.84990000
DIAUSDT;1.27900000;-0.467;1.31900000;1.22300000;1444281.84990000
DIAUSDT;1.27900000;-0.467;1.31900000;1.22300000;1444281.84990000
DIAUSDT;1.27900000;-0.467;1.31900000;1.22300000;1444281.84990000
DIAUSDT;1.27900000;-0.467;1.31900000;1.22300000;1444281.84990000
DIAUSDT;1.27900000;-0.467;1.31900000;1.22300000;1444281.84990000
DIAUSDT;1.27900000;-0.467;1.31900000;1.22300000;1438436.33500000
DIAUSDT;1.27900000;-0.467;1.31900000;1.22300000;1438436.33500000
DIAUSDT;1.27900000;-0.467;1.31900000;1.22300000;1425881.76930000
DIAUSDT;1.27900000;-0.467;1.31900000;1.22300000;1425881.76930000
DIAUSDT;1.27900000;-0.467;1.31900000;1.22300000;1425881.76930000
DIAUSDT;1.27800000;-0.467;1.31900000;1.22300000;1425881.76930000
DIAUSDT;1.27700000;-0.623;1.31900000;1.22300000;1425507.62040000
DIAUSDT;1.27300000;-0.934;1.31900000;1.22300000;1426398.69150000
DIAUSDT;1.27300000;-0.934;1.31900000;1.22300000;1426454.32160000
DIAUSDT;1.27300000;-0.934;1.31900000;1.22300000;1426454.32160000
DIAUSDT;1.27300000;-0.934;1.31900000;1.22300000;1426454.32160000
DIAUSDT;1.27300000;-0.934;1.31900000;1.22300000;1426454.32160000
DIAUSDT;1.26800000;-1.555;1.31900000;1.22300000;1458977.14860000
DIAUSDT;1.26800000;-1.400;1.31900000;1.22300000;1459000.60660000
DIAUSDT;1.26800000;-1.400;1.31900000;1.22300000;1459000.60660000
DIAUSDT;1.26300000;-1.788;1.31900000;1.22300000;1464036.31910000
DIAUSDT;1.26300000;-1.788;1.31900000;1.22300000;1464036.31910000
DIAUSDT;1.26300000;-1.788;1.31900000;1.22300000;1464036.31910000
DIAUSDT;1.26600000;-1.632;1.31900000;1.22300000;1462840.39350000
DIAUSDT;1.26600000;-1.632;1.31900000;1.22300000;1462840.39350000
DIAUSDT;1.26300000;-1.865;1.31900000;1.22300000;1479625.57530000
DIAUSDT;1.26500000;-1.709;1.31900000;1.22300000;1479652.39330000
DIAUSDT;1.26500000;-1.709;1.31900000;1.22300000;1479652.39330000
DIAUSDT;1.26500000;-1.709;1.31900000;1.22300000;1479652.39330000
DIAUSDT;1.26500000;-1.709;1.31900000;1.22300000;1479652.39330000
DIAUSDT;1.26500000;-1.709;1.31900000;1.22300000;1479652.39330000
DIAUSDT;1.26500000;-1.709;1.31900000;1.22300000;1479652.39330000
DIAUSDT;1.26700000;-1.709;1.31900000;1.22300000;1481145.64250000
DIAUSDT;1.26700000;-1.554;1.31900000;1.22300000;1481170.47570000
DIAUSDT;1.26700000;-1.554;1.31900000;1.22300000;1481170.47570000
DIAUSDT;1.26700000;-1.554;1.31900000;1.22300000;1481170.47570000
DIAUSDT;1.26700000;-1.554;1.31900000;1.22300000;1481170.47570000
DIAUSDT;1.26700000;-1.554;1.31900000;1.22300000;1481170.47570000
DIAUSDT;1.26600000;-1.402;1.31900000;1.22300000;1480323.65490000
DIAUSDT;1.26600000;-1.402;1.31900000;1.22300000;1480323.65490000
DIAUSDT;1.26600000;-1.402;1.31900000;1.22300000;1480474.10310000
DIAUSDT;1.26700000;-1.324;1.31900000;1.22300000;1480528.33070000
DIAUSDT;1.26700000;-1.324;1.31900000;1.22300000;1480528.33070000
DIAUSDT;1.26700000;-1.324;1.31900000;1.22300000;1480528.33070000
DIAUSDT;1.26700000;-1.477;1.31900000;1.22300000;1478501.87670000
DIAUSDT;1.26700000;-1.477;1.31900000;1.22300000;1478501.87670000
DIAUSDT;1.26700000;-1.477;1.31900000;1.22300000;1478501.87670000
DIAUSDT;1.26700000;-1.477;1.31900000;1.22300000;1478501.87670000
