Symbol;Price;Change24;Max24;Min24;Volume24
DNTUSDT;0.13130000;-1.795;0.13760000;0.12590000;1156934.14000000
DNTUSDT;0.13130000;-1.795;0.13760000;0.12590000;1156934.14000000
DNTUSDT;0.13130000;-1.795;0.13760000;0.12590000;1156934.14000000
DNTUSDT;0.13130000;-1.648;0.13760000;0.12590000;1156867.15630000
DNTUSDT;0.13120000;-1.723;0.13760000;0.12590000;1156912.82910000
DNTUSDT;0.13120000;-1.723;0.13760000;0.12590000;1156912.82910000
DNTUSDT;0.13120000;-1.723;0.13760000;0.12590000;1156912.82910000
DNTUSDT;0.13120000;-1.723;0.13760000;0.12590000;1156899.21210000
DNTUSDT;0.13120000;-1.723;0.13760000;0.12590000;1156999.77610000
DNTUSDT;0.13120000;-1.649;0.13760000;0.12590000;1156967.29450000
DNTUSDT;0.13140000;-1.499;0.13760000;0.12590000;1159254.50780000
DNTUSDT;0.13140000;-1.499;0.13760000;0.12590000;1159254.50780000
DNTUSDT;0.13140000;-1.351;0.13760000;0.12590000;1156381.85030000
DNTUSDT;0.13140000;-1.351;0.13760000;0.12590000;1156381.85030000
DNTUSDT;0.13180000;-0.828;0.13760000;0.12590000;1166015.61390000
DNTUSDT;0.13180000;-0.828;0.13760000;0.12590000;1166180.89110000
DNTUSDT;0.13180000;-0.828;0.13760000;0.12590000;1166180.89110000
DNTUSDT;0.13180000;-0.828;0.13760000;0.12590000;1166180.89110000
DNTUSDT;0.13180000;-0.828;0.13760000;0.12590000;1166180.89110000
DNTUSDT;0.13180000;-0.828;0.13760000;0.12590000;1166180.89110000
DNTUSDT;0.13180000;-0.828;0.13760000;0.12590000;1166180.89110000
DNTUSDT;0.13180000;-0.902;0.13760000;0.12590000;1166138.09730000
DNTUSDT;0.13180000;-0.902;0.13760000;0.12590000;1166138.09730000
DNTUSDT;0.13180000;-0.902;0.13760000;0.12590000;1166138.09730000
DNTUSDT;0.13180000;-0.902;0.13760000;0.12590000;1166138.09730000
DNTUSDT;0.13180000;-0.902;0.13760000;0.12590000;1166138.09730000
DNTUSDT;0.13180000;-0.902;0.13760000;0.12590000;1166138.09730000
DNTUSDT;0.13180000;-0.902;0.13760000;0.12590000;1166138.09730000
DNTUSDT;0.13180000;-0.902;0.13760000;0.12590000;1166138.09730000
DNTUSDT;0.13180000;-0.902;0.13760000;0.12590000;1166138.09730000
DNTUSDT;0.13180000;-1.125;0.13760000;0.12590000;1165719.46990000
DNTUSDT;0.13180000;-1.125;0.13760000;0.12590000;1165719.46990000
DNTUSDT;0.13180000;-0.902;0.13760000;0.12590000;1165647.53710000
DNTUSDT;0.13180000;-0.902;0.13760000;0.12590000;1165647.53710000
DNTUSDT;0.13230000;-0.451;0.13760000;0.12590000;1166337.92500000
DNTUSDT;0.13320000;0.301;0.13760000;0.12590000;1180373.16130000
DNTUSDT;0.13350000;0.301;0.13760000;0.12590000;1180902.37280000
DNTUSDT;0.13350000;0.451;0.13760000;0.12590000;1185114.53730000
DNTUSDT;0.13350000;0.376;0.13760000;0.12590000;1184990.63610000
DNTUSDT;0.13440000;0.000;0.13760000;0.12590000;1185475.14240000
DNTUSDT;0.13460000;0.977;0.13760000;0.12590000;1223979.02210000
DNTUSDT;0.13460000;1.203;0.13760000;0.12590000;1223993.96270000
DNTUSDT;0.13450000;1.203;0.13760000;0.12590000;1223993.96270000
DNTUSDT;0.13460000;1.203;0.13760000;0.12590000;1224289.61820000
DNTUSDT;0.13420000;0.902;0.13760000;0.12590000;1224426.96700000
DNTUSDT;0.13430000;1.053;0.13760000;0.12590000;1224024.93280000
DNTUSDT;0.13410000;0.903;0.13760000;0.12590000;1224265.12070000
DNTUSDT;0.13600000;2.333;0.13760000;0.12590000;1244100.61390000
DNTUSDT;0.13650000;2.558;0.13760000;0.12590000;1259700.12350000
DNTUSDT;0.13570000;2.408;0.13760000;0.12590000;1273362.87850000
DNTUSDT;0.13610000;2.558;0.13760000;0.12590000;1283572.50800000
DNTUSDT;0.13630000;2.558;0.13760000;0.12590000;1286385.27600000
DNTUSDT;0.13640000;2.634;0.13760000;0.12590000;1299007.85260000
DNTUSDT;0.13640000;2.634;0.13760000;0.12590000;1336421.35440000
