Symbol;Price;Change24;Max24;Min24;Volume24
DOGEUSDT;0.17300000;0.992;0.17580000;0.16510000;111252576.02220000
DOGEUSDT;0.17290000;0.993;0.17580000;0.16510000;111249952.98650000
DOGEUSDT;0.17290000;0.934;0.17580000;0.16510000;111233285.84080000
DOGEUSDT;0.17280000;1.052;0.17580000;0.16510000;111233715.88170000
DOGEUSDT;0.17290000;1.052;0.17580000;0.16510000;111190249.08460000
DOGEUSDT;0.17290000;1.111;0.17580000;0.16510000;111179697.98490000
DOGEUSDT;0.17280000;1.112;0.17580000;0.16510000;111180002.40970000
DOGEUSDT;0.17280000;0.994;0.17580000;0.16510000;111212225.90730000
DOGEUSDT;0.17270000;1.112;0.17580000;0.16510000;111222702.45430000
DOGEUSDT;0.17280000;1.053;0.17580000;0.16510000;111214960.10470000
DOGEUSDT;0.17280000;1.053;0.17580000;0.16510000;111210456.96730000
DOGEUSDT;0.17280000;1.112;0.17580000;0.16510000;111202156.63910000
DOGEUSDT;0.17270000;1.171;0.17580000;0.16510000;111181306.28070000
DOGEUSDT;0.17260000;1.112;0.17580000;0.16510000;111181939.21460000
DOGEUSDT;0.17260000;1.113;0.17580000;0.16510000;111173018.05520000
DOGEUSDT;0.17280000;1.112;0.17580000;0.16510000;111191308.83080000
DOGEUSDT;0.17270000;1.053;0.17580000;0.16510000;111188179.22250000
DOGEUSDT;0.17260000;1.053;0.17580000;0.16510000;111194629.49670000
DOGEUSDT;0.17270000;1.053;0.17580000;0.16510000;111202006.95350000
DOGEUSDT;0.17260000;0.936;0.17580000;0.16510000;111219643.47180000
DOGEUSDT;0.17260000;0.936;0.17580000;0.16510000;111208300.08560000
DOGEUSDT;0.17260000;0.936;0.17580000;0.16510000;111200040.94060000
DOGEUSDT;0.17260000;1.054;0.17580000;0.16510000;111163875.45770000
DOGEUSDT;0.17260000;0.995;0.17580000;0.16510000;111180990.55180000
DOGEUSDT;0.17270000;0.995;0.17580000;0.16510000;111180215.97730000
DOGEUSDT;0.17270000;0.758;0.17580000;0.16510000;111075572.43850000
DOGEUSDT;0.17270000;0.700;0.17580000;0.16510000;111076023.56050000
DOGEUSDT;0.17270000;0.759;0.17580000;0.16510000;111068386.37780000
DOGEUSDT;0.17270000;0.758;0.17580000;0.16510000;111035201.97220000
DOGEUSDT;0.17270000;0.876;0.17580000;0.16510000;111026563.29780000
DOGEUSDT;0.17280000;0.935;0.17580000;0.16510000;111062110.14660000
DOGEUSDT;0.17280000;0.817;0.17580000;0.16510000;111032167.39560000
DOGEUSDT;0.17280000;0.876;0.17580000;0.16510000;110993846.46040000
DOGEUSDT;0.17290000;0.817;0.17580000;0.16510000;111013537.83850000
DOGEUSDT;0.17300000;0.875;0.17580000;0.16510000;111015676.50110000
DOGEUSDT;0.17290000;0.875;0.17580000;0.16510000;111006151.63950000
DOGEUSDT;0.17290000;0.993;0.17580000;0.16510000;110989232.48060000
DOGEUSDT;0.17300000;0.993;0.17580000;0.16510000;110947996.16500000
DOGEUSDT;0.17300000;0.934;0.17580000;0.16510000;110878131.99020000
DOGEUSDT;0.17300000;0.993;0.17580000;0.16510000;110869270.45340000
DOGEUSDT;0.17300000;1.051;0.17580000;0.16510000;110829545.12540000
DOGEUSDT;0.17300000;1.110;0.17580000;0.16510000;110821831.52330000
DOGEUSDT;0.17300000;1.051;0.17580000;0.16510000;110810466.50410000
DOGEUSDT;0.17300000;1.051;0.17580000;0.16510000;110812600.71100000
DOGEUSDT;0.17290000;0.992;0.17580000;0.16510000;110812806.74220000
DOGEUSDT;0.17300000;1.051;0.17580000;0.16510000;110833602.68320000
DOGEUSDT;0.17300000;1.110;0.17580000;0.16510000;110814932.77880000
DOGEUSDT;0.17300000;1.051;0.17580000;0.16510000;110804940.91500000
DOGEUSDT;0.17300000;1.169;0.17580000;0.16510000;110782884.34120000
DOGEUSDT;0.17310000;1.051;0.17580000;0.16510000;110765985.50070000
DOGEUSDT;0.17290000;0.933;0.17580000;0.16510000;110767731.30100000
DOGEUSDT;0.17290000;0.875;0.17580000;0.16510000;110806954.48840000
DOGEUSDT;0.17300000;1.051;0.17580000;0.16510000;110833614.03140000
DOGEUSDT;0.17290000;0.993;0.17580000;0.16510000;111003310.73230000
DOGEUSDT;0.17290000;0.993;0.17580000;0.16510000;111002897.75300000
DOGEUSDT;0.17280000;0.934;0.17580000;0.16510000;110964890.43410000
DOGEUSDT;0.17280000;0.934;0.17580000;0.16510000;111053214.45990000
DOGEUSDT;0.17290000;0.934;0.17580000;0.16510000;111044348.08860000
