Symbol;Price;Change24;Max24;Min24;Volume24
DREPUSDT;1.05190000;-2.421;1.17700000;0.99610000;19158170.60840000
DREPUSDT;1.05190000;-3.060;1.17700000;0.99610000;19133201.97370000
DREPUSDT;1.05190000;-3.060;1.17700000;0.99610000;19133201.97370000
DREPUSDT;1.05190000;-2.943;1.17700000;0.99610000;19086916.52650000
DREPUSDT;1.05190000;-2.943;1.17700000;0.99610000;19086916.52650000
DREPUSDT;1.05020000;-3.872;1.17700000;0.99610000;19002512.21660000
DREPUSDT;1.05170000;-3.752;1.17700000;0.99610000;18978252.10060000
DREPUSDT;1.05170000;-3.805;1.17700000;0.99610000;18965378.56330000
DREPUSDT;1.05170000;-3.823;1.17700000;0.99610000;18960808.38040000
DREPUSDT;1.04830000;-4.586;1.17700000;0.99610000;18919979.12800000
DREPUSDT;1.04680000;-4.836;1.17700000;0.99610000;18894703.60410000
DREPUSDT;1.04720000;-5.265;1.17700000;0.99610000;18853658.27140000
DREPUSDT;1.04490000;-5.865;1.17700000;0.99610000;18818808.40550000
DREPUSDT;1.04490000;-5.924;1.17700000;0.99610000;18795234.33340000
DREPUSDT;1.04490000;-6.178;1.17700000;0.99610000;18780912.20190000
DREPUSDT;1.04490000;-6.034;1.17700000;0.99610000;18727920.62410000
DREPUSDT;1.04490000;-6.421;1.17700000;0.99610000;18712626.83790000
DREPUSDT;1.04920000;-6.436;1.17700000;0.99610000;18697137.18590000
DREPUSDT;1.04920000;-6.036;1.17700000;0.99610000;18696149.31050000
DREPUSDT;1.04920000;-7.167;1.17700000;0.99610000;18622082.60060000
DREPUSDT;1.04620000;-8.629;1.17700000;0.99610000;18567714.47200000
DREPUSDT;1.04620000;-8.629;1.17700000;0.99610000;18567714.47200000
DREPUSDT;1.04620000;-8.629;1.17700000;0.99610000;18567714.47200000
DREPUSDT;1.04620000;-9.919;1.17700000;0.99610000;18392670.01920000
DREPUSDT;1.04620000;-10.051;1.17220000;0.99610000;18275213.07150000
DREPUSDT;1.04690000;-8.159;1.16000000;0.99610000;18105541.48730000
DREPUSDT;1.04690000;-7.518;1.16000000;0.99610000;17992356.00180000
DREPUSDT;1.04900000;-7.788;1.16000000;0.99610000;17964913.37900000
DREPUSDT;1.04900000;-7.788;1.16000000;0.99610000;17964913.37900000
DREPUSDT;1.04900000;-7.788;1.16000000;0.99610000;17964913.37900000
DREPUSDT;1.04660000;-8.056;1.14450000;0.99610000;17851123.29260000
DREPUSDT;1.04890000;-7.724;1.14450000;0.99610000;17837880.35910000
DREPUSDT;1.04690000;-7.616;1.14450000;0.99610000;17816518.14340000
DREPUSDT;1.04690000;-7.616;1.14450000;0.99610000;17816518.14340000
DREPUSDT;1.04690000;-6.158;1.14450000;0.99610000;17748998.03540000
DREPUSDT;1.04690000;-4.671;1.14450000;0.99610000;17681470.52950000
DREPUSDT;1.04690000;-4.706;1.14450000;0.99610000;17650357.85320000
DREPUSDT;1.04830000;-3.675;1.14450000;0.99610000;17583452.43340000
DREPUSDT;1.04830000;-3.675;1.14450000;0.99610000;17583452.43340000
DREPUSDT;1.04830000;-3.675;1.14450000;0.99610000;17583452.43340000
DREPUSDT;1.04830000;-3.675;1.14450000;0.99610000;17583452.43340000
DREPUSDT;1.04830000;-3.675;1.14450000;0.99610000;17583452.43340000
DREPUSDT;1.05060000;-4.064;1.14450000;0.99610000;17372985.48390000
DREPUSDT;1.04960000;-4.526;1.14450000;0.99610000;17361582.28770000
DREPUSDT;1.04960000;-4.347;1.14450000;0.99610000;17328406.70200000
DREPUSDT;1.04960000;-4.452;1.14450000;0.99610000;17314955.53460000
DREPUSDT;1.04770000;-3.456;1.14450000;0.99610000;17274073.15400000
DREPUSDT;1.04770000;-3.544;1.14450000;0.99610000;17253476.23260000
DREPUSDT;1.04770000;-3.411;1.14450000;0.99610000;17221768.78790000
DREPUSDT;1.04770000;-3.411;1.14450000;0.99610000;17221768.78790000
DREPUSDT;1.04770000;-3.411;1.14450000;0.99610000;17221768.78790000
DREPUSDT;1.04770000;-4.153;1.14450000;0.99610000;17156534.40870000
DREPUSDT;1.04780000;-3.898;1.14450000;0.99610000;17147562.14820000
DREPUSDT;1.04790000;-3.924;1.14450000;0.99610000;17131515.39120000
DREPUSDT;1.04790000;-5.150;1.14450000;0.99610000;17097776.30710000
DREPUSDT;1.04790000;-5.004;1.14450000;0.99610000;17078005.72510000
DREPUSDT;1.04790000;-5.004;1.14450000;0.99610000;17078005.72510000
DREPUSDT;1.04780000;-6.136;1.14450000;0.99610000;17025252.02260000
DREPUSDT;1.04780000;-6.002;1.14450000;0.99610000;17013594.17670000
DREPUSDT;1.04950000;-5.331;1.14450000;0.99610000;16996398.08630000
DREPUSDT;1.04900000;-6.938;1.14450000;0.99610000;16855318.29580000
DREPUSDT;1.04820000;-5.140;1.14450000;0.99610000;16541969.58060000
DREPUSDT;1.04820000;-5.260;1.14450000;0.99610000;16534766.68690000
DREPUSDT;1.05190000;-5.447;1.14450000;0.99610000;16518992.59130000
DREPUSDT;1.05190000;-5.464;1.14450000;0.99610000;16495168.13360000
DREPUSDT;1.05000000;-5.686;1.14000000;0.99610000;16329564.46440000
DREPUSDT;1.05000000;-5.132;1.14000000;0.99610000;16312007.88520000
DREPUSDT;1.05000000;-4.537;1.14000000;0.99610000;16281919.97460000
DREPUSDT;1.04850000;-5.344;1.14000000;0.99610000;16091694.18860000
DREPUSDT;1.04850000;-5.643;1.14000000;0.99610000;16089778.55370000
DREPUSDT;1.04680000;-5.190;1.14000000;0.99610000;16087630.59300000
DREPUSDT;1.04660000;-1.774;1.14000000;0.99610000;15946604.58820000
DREPUSDT;1.04670000;-2.242;1.14000000;0.99610000;15834588.88920000
DREPUSDT;1.04650000;-1.811;1.14000000;0.99610000;15829491.24440000
DREPUSDT;1.04780000;-1.836;1.14000000;0.99610000;15757867.20500000
DREPUSDT;1.04780000;-2.102;1.14000000;0.99610000;15754360.65330000
DREPUSDT;1.04780000;-1.836;1.14000000;0.99610000;15740914.51130000
