Symbol;Price;Change24;Max24;Min24;Volume24
DUSKUSDT;0.96730000;5.290;1.17430000;0.89330000;148168219.71541200
DUSKUSDT;0.96790000;5.516;1.17430000;0.89330000;148164300.16711200
DUSKUSDT;0.96710000;5.544;1.17430000;0.89330000;148157930.15251200
DUSKUSDT;0.96700000;5.303;1.17430000;0.89330000;148154990.14991200
DUSKUSDT;0.96700000;5.417;1.17430000;0.89330000;148153937.53701200
DUSKUSDT;0.96700000;5.291;1.17430000;0.89330000;148153606.39421200
DUSKUSDT;0.96770000;5.586;1.17430000;0.89330000;148149302.42821200
DUSKUSDT;0.96760000;5.509;1.17430000;0.89330000;148140583.78021200
DUSKUSDT;0.96760000;5.544;1.17430000;0.89330000;148138613.54701200
DUSKUSDT;0.96700000;5.510;1.17430000;0.89330000;148136607.14721200
DUSKUSDT;0.96760000;5.625;1.17430000;0.89330000;148134536.81791200
DUSKUSDT;0.96500000;5.234;1.17430000;0.89330000;148149212.17601200
DUSKUSDT;0.96300000;5.339;1.17430000;0.89330000;148135339.64291200
DUSKUSDT;0.96480000;5.322;1.17430000;0.89330000;148144025.15271200
DUSKUSDT;0.96300000;5.285;1.17430000;0.89330000;148143205.14531200
DUSKUSDT;0.96350000;5.187;1.17430000;0.89330000;148138915.65381200
DUSKUSDT;0.96480000;5.029;1.17430000;0.89330000;148133912.72111200
DUSKUSDT;0.96430000;4.895;1.17430000;0.89330000;148130972.71491200
DUSKUSDT;0.96430000;4.941;1.17430000;0.89330000;148129059.50321200
DUSKUSDT;0.96480000;5.503;1.17430000;0.89330000;148117435.21481200
DUSKUSDT;0.96430000;5.573;1.17430000;0.89330000;148115819.80011200
DUSKUSDT;0.96430000;5.827;1.17430000;0.89330000;148097822.39031200
DUSKUSDT;0.96430000;5.758;1.17430000;0.89330000;148075856.06171200
DUSKUSDT;0.96280000;5.686;1.17430000;0.89330000;148075420.05571200
DUSKUSDT;0.96280000;5.802;1.17430000;0.89330000;148064833.66601200
DUSKUSDT;0.96260000;5.456;1.17430000;0.89330000;148059593.53801200
