Symbol;Price;Change24;Max24;Min24;Volume24
DYDXUSDT;8.91400000;-2.119;9.49900000;8.42800000;54521503.62791000
DYDXUSDT;8.91500000;-2.151;9.49900000;8.42800000;54509297.82114000
DYDXUSDT;8.91000000;-2.206;9.49900000;8.42800000;54491150.70368000
DYDXUSDT;8.90600000;-2.325;9.49900000;8.42800000;54480740.13340000
DYDXUSDT;8.90200000;-2.089;9.49900000;8.42800000;54444230.05737000
DYDXUSDT;8.89600000;-2.285;9.49900000;8.42800000;54442176.78448000
DYDXUSDT;8.89700000;-2.134;9.49900000;8.42800000;54440769.42069000
DYDXUSDT;8.89000000;-2.275;9.49900000;8.42800000;54444278.43520000
DYDXUSDT;8.89600000;-2.070;9.49900000;8.42800000;54438982.66242000
DYDXUSDT;8.91000000;-2.045;9.49900000;8.42800000;54427773.69544000
DYDXUSDT;8.90400000;-2.208;9.49900000;8.42800000;54421621.27766000
DYDXUSDT;8.90400000;-2.079;9.49900000;8.42800000;54419354.91028000
DYDXUSDT;8.90700000;-1.938;9.49900000;8.42800000;54407174.95596000
DYDXUSDT;8.89700000;-2.113;9.49900000;8.42800000;54380517.45281000
DYDXUSDT;8.90300000;-1.994;9.49900000;8.42800000;54376442.42497000
DYDXUSDT;8.90800000;-1.937;9.49900000;8.42800000;54378638.96504000
DYDXUSDT;8.89300000;-2.103;9.49900000;8.42800000;54376460.11705000
DYDXUSDT;8.89800000;-2.273;9.49900000;8.42800000;54351930.81851000
DYDXUSDT;8.89500000;-2.296;9.49900000;8.42800000;54352623.39381000
DYDXUSDT;8.86700000;-2.515;9.49900000;8.42800000;54359327.85149000
DYDXUSDT;8.86600000;-2.539;9.49900000;8.42800000;54355585.58555000
DYDXUSDT;8.88200000;-2.365;9.49900000;8.42800000;54346346.20614000
DYDXUSDT;8.87600000;-2.258;9.49900000;8.42800000;54370162.77216000
DYDXUSDT;8.89400000;-2.243;9.49900000;8.42800000;54377419.22586000
DYDXUSDT;8.90500000;-2.122;9.49900000;8.42800000;54382073.24142000
DYDXUSDT;8.90600000;-2.518;9.49900000;8.42800000;54390304.09378000
DYDXUSDT;8.89800000;-2.560;9.49900000;8.42800000;54358724.20660000
DYDXUSDT;8.90300000;-2.657;9.49900000;8.42800000;54339854.06931000
DYDXUSDT;8.89500000;-2.766;9.49900000;8.42800000;54313283.15458000
DYDXUSDT;8.89500000;-2.615;9.49900000;8.42800000;54225903.12339000
DYDXUSDT;8.90100000;-2.572;9.49900000;8.42800000;54214081.07975000
DYDXUSDT;8.89100000;-2.841;9.49900000;8.42800000;54208833.80542000
DYDXUSDT;8.91000000;-2.699;9.49900000;8.42800000;54180982.05659000
DYDXUSDT;8.90900000;-2.719;9.49900000;8.42800000;54178184.88602000
DYDXUSDT;8.91100000;-2.792;9.49900000;8.42800000;54172495.14821000
DYDXUSDT;8.91100000;-2.686;9.49900000;8.42800000;54151858.33684000
DYDXUSDT;8.90700000;-2.603;9.49900000;8.42800000;54121662.45403000
DYDXUSDT;8.90700000;-2.602;9.49900000;8.42800000;54070983.10606000
DYDXUSDT;8.90500000;-2.794;9.49900000;8.42800000;54057646.68289000
DYDXUSDT;8.91500000;-2.709;9.49900000;8.42800000;54054874.20007000
DYDXUSDT;8.91200000;-2.515;9.49900000;8.42800000;54078727.29478000
DYDXUSDT;8.91400000;-2.430;9.49900000;8.42800000;54077434.84517000
DYDXUSDT;8.92000000;-2.461;9.49900000;8.42800000;54069408.35145000
DYDXUSDT;8.91800000;-2.277;9.49900000;8.42800000;54068546.91014000
DYDXUSDT;8.91800000;-2.301;9.49900000;8.42800000;54026079.84029000
DYDXUSDT;8.93700000;-2.352;9.49900000;8.42800000;54024807.19468000
DYDXUSDT;8.93300000;-2.027;9.49900000;8.42800000;54059749.79724000
DYDXUSDT;8.93300000;-2.201;9.49900000;8.42800000;54032995.96616000
DYDXUSDT;8.92800000;-2.266;9.49900000;8.42800000;54030641.58626000
DYDXUSDT;8.92900000;-2.394;9.49900000;8.42800000;54029227.01596000
DYDXUSDT;8.92700000;-2.361;9.49900000;8.42800000;54027071.38324000
DYDXUSDT;8.92600000;-2.373;9.49900000;8.42800000;54024160.92615000
DYDXUSDT;8.92900000;-2.299;9.49900000;8.42800000;54021831.35611000
DYDXUSDT;8.92500000;-2.320;9.49900000;8.42800000;54022679.63661000
DYDXUSDT;8.92700000;-2.416;9.49900000;8.42800000;54018969.24142000
DYDXUSDT;8.92500000;-2.384;9.49900000;8.42800000;54017535.07274000
DYDXUSDT;8.92300000;-2.523;9.49900000;8.42800000;54009913.33107000
DYDXUSDT;8.92100000;-2.534;9.49900000;8.42800000;54001045.44222000
DYDXUSDT;8.91700000;-2.589;9.49900000;8.42800000;54002050.29638000
DYDXUSDT;8.91300000;-2.664;9.49900000;8.42800000;53999460.30352000
DYDXUSDT;8.91500000;-2.749;9.49900000;8.42800000;54004466.31156000
DYDXUSDT;8.93200000;-2.318;9.49900000;8.42800000;53851922.92618000
DYDXUSDT;8.93500000;-2.307;9.49900000;8.42800000;53856806.07939000
DYDXUSDT;8.93500000;-2.244;9.49900000;8.42800000;53856308.15964000
DYDXUSDT;8.91700000;-2.311;9.49900000;8.42800000;53844074.78426000
DYDXUSDT;8.89600000;-2.144;9.49900000;8.42800000;53873535.54365000
DYDXUSDT;8.90100000;-2.015;9.49900000;8.42800000;53846779.39649000
DYDXUSDT;8.91300000;-1.969;9.49900000;8.42800000;53847434.03073000
DYDXUSDT;8.91600000;-2.087;9.49900000;8.42800000;53759277.55216000
DYDXUSDT;8.91400000;-2.183;9.49900000;8.42800000;53755600.55002000
DYDXUSDT;8.90400000;-2.197;9.49900000;8.42800000;53760286.34049000
DYDXUSDT;8.88700000;-2.555;9.49900000;8.42800000;53782536.58229000
DYDXUSDT;8.86800000;-2.571;9.49900000;8.42800000;53773542.29726000
DYDXUSDT;8.86900000;-2.496;9.49900000;8.42800000;53788534.14196000
DYDXUSDT;8.86200000;-2.648;9.49900000;8.42800000;53765143.73027000
DYDXUSDT;8.85900000;-2.509;9.49900000;8.42800000;53746046.90843000
DYDXUSDT;8.85100000;-2.391;9.49900000;8.42800000;53743251.47712000
