Symbol;Price;Change24;Max24;Min24;Volume24
EGLDUSDT;245.26000000;3.033;251.43000000;233.00000000;49236801.50750000
EGLDUSDT;245.19000000;3.043;251.43000000;233.00000000;49233435.95050000
EGLDUSDT;245.27000000;3.016;251.43000000;233.00000000;49227031.21310000
EGLDUSDT;245.15000000;2.861;251.43000000;233.00000000;49214819.79680000
EGLDUSDT;245.05000000;2.846;251.43000000;233.00000000;49211049.22520000
EGLDUSDT;244.83000000;2.765;251.43000000;233.00000000;49213238.00690000
EGLDUSDT;244.80000000;2.882;251.43000000;233.00000000;49193945.35510000
EGLDUSDT;244.35000000;2.767;251.43000000;233.00000000;49195073.67550000
EGLDUSDT;244.42000000;2.685;251.43000000;233.00000000;49214655.11450000
EGLDUSDT;244.68000000;2.643;251.43000000;233.00000000;49200298.38100000
EGLDUSDT;244.52000000;2.516;251.43000000;233.00000000;49199575.06100000
EGLDUSDT;244.57000000;2.671;251.43000000;233.00000000;49191792.87270000
EGLDUSDT;244.48000000;2.804;251.43000000;233.00000000;49177444.66530000
EGLDUSDT;244.38000000;2.517;251.43000000;233.00000000;49172963.11230000
EGLDUSDT;244.63000000;2.598;251.43000000;233.00000000;49175489.13980000
EGLDUSDT;244.58000000;2.600;251.43000000;233.00000000;49188184.38750000
EGLDUSDT;244.37000000;2.474;251.43000000;233.00000000;49184767.58770000
EGLDUSDT;244.41000000;2.401;251.43000000;233.00000000;49192658.47870000
EGLDUSDT;244.72000000;2.518;251.43000000;233.00000000;49195420.19110000
EGLDUSDT;244.26000000;2.396;251.43000000;233.00000000;49194900.37060000
EGLDUSDT;244.36000000;2.414;251.43000000;233.00000000;49193800.65700000
EGLDUSDT;244.34000000;2.525;251.43000000;233.00000000;49191080.26390000
EGLDUSDT;244.26000000;2.488;251.43000000;233.00000000;49198094.70390000
EGLDUSDT;244.28000000;2.432;251.43000000;233.00000000;49195338.72040000
EGLDUSDT;244.68000000;2.370;251.43000000;233.00000000;49192953.44380000
EGLDUSDT;244.60000000;2.117;251.43000000;233.00000000;49197915.99330000
EGLDUSDT;244.45000000;2.131;251.43000000;233.00000000;49190017.56930000
EGLDUSDT;244.52000000;2.105;251.43000000;233.00000000;49186306.20610000
EGLDUSDT;244.16000000;2.065;251.43000000;233.00000000;49189321.91810000
EGLDUSDT;244.35000000;2.285;251.43000000;233.00000000;49160948.77740000
EGLDUSDT;244.43000000;2.565;251.43000000;233.00000000;49158608.38140000
EGLDUSDT;244.67000000;2.557;251.43000000;233.00000000;49145472.49590000
EGLDUSDT;244.86000000;2.599;251.43000000;233.00000000;49147358.79540000
EGLDUSDT;244.83000000;2.564;251.43000000;233.00000000;49148282.54850000
EGLDUSDT;244.99000000;2.562;251.43000000;233.00000000;49147434.75990000
EGLDUSDT;244.99000000;2.579;251.43000000;233.00000000;49147180.14010000
EGLDUSDT;245.02000000;2.695;251.43000000;233.00000000;49141877.55650000
EGLDUSDT;245.13000000;2.757;251.43000000;233.00000000;49131164.94270000
EGLDUSDT;245.19000000;2.697;251.43000000;233.00000000;49121731.01180000
EGLDUSDT;245.22000000;2.891;251.43000000;233.00000000;49122956.95330000
EGLDUSDT;245.41000000;2.882;251.43000000;233.00000000;49120515.28980000
EGLDUSDT;245.38000000;2.928;251.43000000;233.00000000;49127707.99710000
EGLDUSDT;245.42000000;3.008;251.43000000;233.00000000;49128193.22520000
EGLDUSDT;245.33000000;2.944;251.43000000;233.00000000;49152830.08940000
EGLDUSDT;245.52000000;2.975;251.43000000;233.00000000;49158008.90100000
EGLDUSDT;245.74000000;3.097;251.43000000;233.00000000;49160148.66560000
EGLDUSDT;245.80000000;3.068;251.43000000;233.00000000;49173224.09030000
EGLDUSDT;245.89000000;3.178;251.43000000;233.00000000;49173688.63160000
EGLDUSDT;245.83000000;3.065;251.43000000;233.00000000;49171486.94620000
EGLDUSDT;245.85000000;2.995;251.43000000;233.00000000;49169483.32080000
EGLDUSDT;245.30000000;2.743;251.43000000;233.00000000;49179119.32390000
EGLDUSDT;245.22000000;2.676;251.43000000;233.00000000;49181810.74150000
EGLDUSDT;245.22000000;2.740;251.43000000;233.00000000;49178639.72830000
EGLDUSDT;245.29000000;2.662;251.43000000;233.00000000;49176785.10050000
EGLDUSDT;245.22000000;2.581;251.43000000;233.00000000;49177519.03060000
EGLDUSDT;245.18000000;2.547;251.43000000;233.00000000;49177296.07120000
EGLDUSDT;245.17000000;2.522;251.43000000;233.00000000;49176208.34820000
EGLDUSDT;244.90000000;2.285;251.43000000;233.00000000;49173343.04920000
EGLDUSDT;244.64000000;2.133;251.43000000;233.00000000;49184478.22810000
EGLDUSDT;244.77000000;2.175;251.43000000;233.00000000;49185212.47240000
EGLDUSDT;245.21000000;2.784;251.43000000;233.00000000;49017355.17810000
EGLDUSDT;244.62000000;2.510;251.43000000;233.00000000;48652432.94760000
EGLDUSDT;244.62000000;2.527;251.43000000;233.00000000;48644135.81500000
EGLDUSDT;244.42000000;2.393;251.43000000;233.00000000;48586400.99720000
EGLDUSDT;243.55000000;2.150;251.43000000;233.00000000;48610453.94610000
EGLDUSDT;243.76000000;2.493;251.43000000;233.00000000;48653528.84150000
EGLDUSDT;243.89000000;2.834;251.43000000;233.00000000;48627164.77320000
EGLDUSDT;243.78000000;2.759;251.43000000;233.00000000;48627152.58150000
EGLDUSDT;243.45000000;2.500;251.43000000;233.00000000;48554948.24560000
EGLDUSDT;243.55000000;2.456;251.43000000;233.00000000;48554158.90930000
EGLDUSDT;243.43000000;2.506;251.43000000;233.00000000;48552171.53210000
EGLDUSDT;243.39000000;2.351;251.43000000;233.00000000;48634736.65770000
EGLDUSDT;243.31000000;2.538;251.43000000;233.00000000;48641360.14850000
EGLDUSDT;243.30000000;2.585;251.43000000;233.00000000;48643506.99700000
EGLDUSDT;242.77000000;2.245;251.43000000;233.00000000;48655423.55000000
EGLDUSDT;242.60000000;2.225;251.43000000;233.00000000;48655261.62150000
EGLDUSDT;242.63000000;2.302;251.43000000;233.00000000;48642119.44780000
EGLDUSDT;243.05000000;2.531;251.43000000;233.00000000;48662450.90180000
EGLDUSDT;243.34000000;2.953;251.43000000;233.00000000;48671661.09780000
EGLDUSDT;243.19000000;2.878;251.43000000;233.00000000;48520613.87010000
EGLDUSDT;242.83000000;2.789;251.43000000;233.00000000;48495329.63970000
EGLDUSDT;242.89000000;2.702;251.43000000;233.00000000;48482819.46420000
EGLDUSDT;242.87000000;2.676;251.43000000;233.00000000;48477354.69680000
EGLDUSDT;242.87000000;2.737;251.43000000;233.00000000;48471878.76740000
EGLDUSDT;243.01000000;2.820;251.43000000;233.00000000;48470914.63710000
EGLDUSDT;242.75000000;2.686;251.43000000;233.00000000;48467640.31910000
EGLDUSDT;242.72000000;2.535;251.43000000;233.00000000;48463062.01880000
EGLDUSDT;242.62000000;2.679;251.43000000;233.00000000;48455785.27500000
EGLDUSDT;242.78000000;2.582;251.43000000;233.00000000;48453934.28650000
EGLDUSDT;242.60000000;2.441;251.43000000;233.00000000;48480625.11520000
EGLDUSDT;242.60000000;2.380;251.43000000;233.00000000;48470099.65030000
EGLDUSDT;242.70000000;2.435;251.43000000;233.00000000;48468052.36830000
EGLDUSDT;242.57000000;2.409;251.43000000;233.00000000;48468829.07070000
EGLDUSDT;242.70000000;2.396;251.43000000;233.00000000;48472339.34990000
EGLDUSDT;242.93000000;2.318;251.43000000;233.00000000;48471918.12160000
EGLDUSDT;242.76000000;2.373;251.43000000;233.00000000;48471138.09550000
EGLDUSDT;243.00000000;2.204;251.43000000;233.00000000;48479295.80500000
EGLDUSDT;242.73000000;2.190;251.43000000;233.00000000;48481011.15480000
EGLDUSDT;242.46000000;2.076;251.43000000;233.00000000;48483886.86640000
EGLDUSDT;242.69000000;2.129;251.43000000;233.00000000;48497526.28660000
EGLDUSDT;242.17000000;1.843;251.43000000;233.00000000;48552301.93070000
EGLDUSDT;242.10000000;1.915;251.43000000;233.00000000;48548722.22180000
EGLDUSDT;242.39000000;1.982;251.43000000;233.00000000;48548953.53580000
EGLDUSDT;242.31000000;1.931;251.43000000;233.00000000;48550381.65250000
EGLDUSDT;242.28000000;1.885;251.43000000;233.00000000;48550845.32920000
EGLDUSDT;242.27000000;2.026;251.43000000;233.00000000;48548289.03820000
EGLDUSDT;242.29000000;1.971;251.43000000;233.00000000;48556124.37300000
EGLDUSDT;242.46000000;2.071;251.43000000;233.00000000;48558271.55860000
EGLDUSDT;242.57000000;2.092;251.43000000;233.00000000;48567117.78350000
EGLDUSDT;242.51000000;2.072;251.43000000;233.00000000;48567568.75670000
EGLDUSDT;242.52000000;2.080;251.43000000;233.00000000;48564430.74500000
EGLDUSDT;242.35000000;1.987;251.43000000;233.00000000;48566982.35970000
EGLDUSDT;242.27000000;1.935;251.43000000;233.00000000;48566377.00280000
EGLDUSDT;242.35000000;1.935;251.43000000;233.00000000;48570899.59840000
EGLDUSDT;242.35000000;1.969;251.43000000;233.00000000;48573480.38740000
EGLDUSDT;242.44000000;2.076;251.43000000;233.00000000;48573536.73730000
EGLDUSDT;242.40000000;2.093;251.43000000;233.00000000;48571720.02400000
EGLDUSDT;242.35000000;2.197;251.43000000;233.00000000;48563545.65060000
EGLDUSDT;242.35000000;2.193;251.43000000;233.00000000;48562137.47280000
EGLDUSDT;242.35000000;2.269;251.43000000;233.00000000;48567841.39740000
EGLDUSDT;242.64000000;2.268;251.43000000;233.00000000;48569686.06790000
EGLDUSDT;242.46000000;2.225;251.43000000;233.00000000;48568932.53810000
EGLDUSDT;242.60000000;2.273;251.43000000;233.00000000;48568987.45980000
EGLDUSDT;242.68000000;2.173;251.43000000;233.00000000;48572513.32290000
EGLDUSDT;242.74000000;2.227;251.43000000;233.00000000;48571061.80540000
EGLDUSDT;242.91000000;2.243;251.43000000;233.00000000;48569740.53920000
EGLDUSDT;242.93000000;2.235;251.43000000;233.00000000;48559570.70180000
EGLDUSDT;242.94000000;2.303;251.43000000;233.00000000;48556624.62720000
EGLDUSDT;242.94000000;2.292;251.43000000;233.00000000;48557566.25270000
EGLDUSDT;243.17000000;2.194;251.43000000;233.00000000;48558002.02090000
EGLDUSDT;243.17000000;2.151;251.43000000;233.00000000;48553849.77070000
EGLDUSDT;243.29000000;2.197;251.43000000;233.00000000;48552954.73930000
EGLDUSDT;243.25000000;2.184;251.43000000;233.00000000;48553192.67100000
EGLDUSDT;243.13000000;2.134;251.43000000;233.00000000;48551316.64720000
EGLDUSDT;243.48000000;2.175;251.43000000;233.00000000;48550813.49220000
EGLDUSDT;243.30000000;2.115;251.43000000;233.00000000;48550473.31990000
EGLDUSDT;243.41000000;2.191;251.43000000;233.00000000;48554235.95040000
EGLDUSDT;243.27000000;2.234;251.43000000;233.00000000;48557153.14500000
EGLDUSDT;243.42000000;2.123;251.43000000;233.00000000;48568976.96280000
EGLDUSDT;243.72000000;2.092;251.43000000;233.00000000;48570099.48950000
EGLDUSDT;243.84000000;2.062;251.43000000;233.00000000;48569458.13420000
EGLDUSDT;244.14000000;2.127;251.43000000;233.00000000;48570551.75720000
EGLDUSDT;244.28000000;2.148;251.43000000;233.00000000;48576928.52500000
EGLDUSDT;244.16000000;2.159;251.43000000;233.00000000;48571123.66370000
EGLDUSDT;244.21000000;2.180;251.43000000;233.00000000;48572282.16820000
EGLDUSDT;244.21000000;2.321;251.43000000;233.00000000;48525734.83080000
EGLDUSDT;243.80000000;2.102;251.43000000;233.00000000;48532663.16940000
EGLDUSDT;244.18000000;1.925;251.43000000;233.00000000;48523955.93660000
EGLDUSDT;244.35000000;1.923;251.43000000;233.00000000;48526919.68210000
EGLDUSDT;243.91000000;1.773;251.43000000;233.00000000;48535166.73680000
EGLDUSDT;243.79000000;1.783;251.43000000;233.00000000;48531808.20940000
EGLDUSDT;243.77000000;1.749;251.43000000;233.00000000;48523321.48730000
EGLDUSDT;243.82000000;1.579;251.43000000;233.00000000;48512559.88200000
EGLDUSDT;243.81000000;1.710;251.43000000;233.00000000;48493458.22470000
EGLDUSDT;244.02000000;1.806;251.43000000;233.00000000;48475332.65440000
EGLDUSDT;243.73000000;1.699;251.43000000;233.00000000;48468973.54340000
EGLDUSDT;243.91000000;1.752;251.43000000;233.00000000;48477541.18190000
EGLDUSDT;244.15000000;1.844;251.43000000;233.00000000;48488220.56670000
EGLDUSDT;244.40000000;1.974;251.43000000;233.00000000;48493020.79310000
EGLDUSDT;244.31000000;2.008;251.43000000;233.00000000;48450631.35200000
EGLDUSDT;244.51000000;2.163;251.43000000;233.00000000;48434530.59670000
EGLDUSDT;244.67000000;2.193;251.43000000;233.00000000;48445039.89970000
EGLDUSDT;244.47000000;2.016;251.43000000;233.00000000;48439915.62080000
EGLDUSDT;244.52000000;2.083;251.43000000;233.00000000;48459810.46780000
EGLDUSDT;244.26000000;2.175;251.43000000;233.00000000;48561741.01460000
EGLDUSDT;244.27000000;2.102;251.43000000;233.00000000;48562806.93220000
EGLDUSDT;244.12000000;2.107;251.43000000;233.00000000;48560537.86610000
EGLDUSDT;244.26000000;2.065;251.43000000;233.00000000;48559494.83780000
EGLDUSDT;244.25000000;2.022;251.43000000;233.00000000;48557306.26980000
EGLDUSDT;244.36000000;1.842;251.43000000;233.00000000;48545541.18410000
EGLDUSDT;244.22000000;1.847;251.43000000;233.00000000;48537597.72280000
EGLDUSDT;244.03000000;1.792;251.43000000;233.00000000;48527832.75530000
EGLDUSDT;244.09000000;1.691;251.43000000;233.00000000;48524409.28370000
EGLDUSDT;244.17000000;1.831;251.43000000;233.00000000;48520906.78010000
EGLDUSDT;244.06000000;1.819;251.43000000;233.00000000;48520815.88200000
EGLDUSDT;244.02000000;1.785;251.43000000;233.00000000;48512868.95540000
EGLDUSDT;243.77000000;1.919;251.43000000;233.00000000;48500630.26780000
EGLDUSDT;243.61000000;1.657;251.43000000;233.00000000;48483337.05340000
EGLDUSDT;243.47000000;1.598;251.43000000;233.00000000;48487223.63190000
EGLDUSDT;243.61000000;1.572;251.43000000;233.00000000;48485039.84620000
EGLDUSDT;243.61000000;1.631;251.43000000;233.00000000;48484603.55220000
EGLDUSDT;243.50000000;1.505;251.43000000;233.00000000;48491762.69510000
EGLDUSDT;243.50000000;1.336;251.43000000;233.00000000;48486178.17260000
EGLDUSDT;243.23000000;1.320;251.43000000;233.00000000;48487974.82140000
EGLDUSDT;243.07000000;1.158;251.43000000;233.00000000;48490659.27910000
EGLDUSDT;243.35000000;1.195;251.43000000;233.00000000;48502093.46410000
EGLDUSDT;243.54000000;1.157;251.43000000;233.00000000;48526057.70660000
EGLDUSDT;243.68000000;1.364;251.43000000;233.00000000;48523529.25820000
EGLDUSDT;243.81000000;1.348;251.43000000;233.00000000;48517515.09470000
EGLDUSDT;243.79000000;1.469;251.43000000;233.00000000;48534003.32760000
EGLDUSDT;243.75000000;1.462;251.43000000;233.00000000;48532824.65000000
EGLDUSDT;243.64000000;1.386;251.43000000;233.00000000;48535337.73420000
EGLDUSDT;244.02000000;1.506;251.43000000;233.00000000;48535564.82670000
EGLDUSDT;244.03000000;1.544;251.43000000;233.00000000;48551212.41370000
EGLDUSDT;243.85000000;1.469;251.43000000;233.00000000;48553405.61650000
EGLDUSDT;243.35000000;1.227;251.43000000;233.00000000;48562436.44630000
EGLDUSDT;243.16000000;1.039;251.43000000;233.00000000;48564681.98880000
EGLDUSDT;243.00000000;1.044;251.43000000;233.00000000;48566746.27650000
EGLDUSDT;243.35000000;1.093;251.43000000;233.00000000;48566953.12910000
EGLDUSDT;243.44000000;1.201;251.43000000;233.00000000;48566145.35460000
EGLDUSDT;243.61000000;1.134;251.43000000;233.00000000;48556808.81240000
EGLDUSDT;243.53000000;1.155;251.43000000;233.00000000;48549512.42510000
EGLDUSDT;243.66000000;1.196;251.43000000;233.00000000;48544220.99310000
EGLDUSDT;243.75000000;1.247;251.43000000;233.00000000;48537455.87470000
EGLDUSDT;243.75000000;1.297;251.43000000;233.00000000;48539776.69870000
EGLDUSDT;244.11000000;1.463;251.43000000;233.00000000;48548561.99090000
