Symbol;Price;Change24;Max24;Min24;Volume24
ENJUSDT;2.69800000;0.074;2.78100000;2.55200000;31757942.13580000
ENJUSDT;2.69900000;0.074;2.78100000;2.55200000;31753854.02090000
ENJUSDT;2.69900000;0.000;2.78100000;2.55200000;31754274.03230000
ENJUSDT;2.69900000;-0.037;2.78100000;2.55200000;31755005.42800000
ENJUSDT;2.69800000;0.148;2.78100000;2.55200000;31740918.28390000
ENJUSDT;2.69700000;0.074;2.78100000;2.55200000;31734745.65740000
ENJUSDT;2.69800000;0.335;2.78100000;2.55200000;31730440.40470000
ENJUSDT;2.69500000;0.037;2.78100000;2.55200000;31725089.69450000
ENJUSDT;2.69500000;0.186;2.78100000;2.55200000;31721892.49260000
ENJUSDT;2.69500000;0.037;2.78100000;2.55200000;31719507.74020000
ENJUSDT;2.69700000;0.074;2.78100000;2.55200000;31718282.81140000
ENJUSDT;2.69600000;0.186;2.78100000;2.55200000;31709755.14760000
ENJUSDT;2.68600000;0.000;2.78100000;2.55200000;31802811.71510000
ENJUSDT;2.68900000;-0.260;2.78100000;2.55200000;31825277.79820000
ENJUSDT;2.68800000;-0.111;2.78100000;2.55200000;31834680.00930000
ENJUSDT;2.68700000;-0.186;2.78100000;2.55200000;31834155.43840000
ENJUSDT;2.68700000;-0.297;2.78100000;2.55200000;31833858.03060000
ENJUSDT;2.69000000;-0.222;2.78100000;2.55200000;31836297.70680000
ENJUSDT;2.69100000;-0.148;2.78100000;2.55200000;31827758.23750000
ENJUSDT;2.68500000;-0.297;2.78100000;2.55200000;31833658.02500000
ENJUSDT;2.68700000;-0.223;2.78100000;2.55200000;31838037.16990000
ENJUSDT;2.68500000;-0.186;2.78100000;2.55200000;31852912.51380000
ENJUSDT;2.68600000;-0.186;2.78100000;2.55200000;31852864.33260000
ENJUSDT;2.68800000;-0.149;2.78100000;2.55200000;31843510.35860000
ENJUSDT;2.68600000;-0.334;2.78100000;2.55200000;31839744.92260000
ENJUSDT;2.68800000;-0.592;2.78100000;2.55200000;31808896.78050000
ENJUSDT;2.68900000;-0.591;2.78100000;2.55200000;31794348.02730000
ENJUSDT;2.68900000;-0.555;2.78100000;2.55200000;31792673.12640000
ENJUSDT;2.68900000;-0.555;2.78100000;2.55200000;31784184.02410000
ENJUSDT;2.68900000;-0.481;2.78100000;2.55200000;31769252.31950000
ENJUSDT;2.69500000;-0.444;2.78100000;2.55200000;31757584.47230000
ENJUSDT;2.69400000;-0.480;2.78100000;2.55200000;31741902.45520000
ENJUSDT;2.69600000;-0.554;2.78100000;2.55200000;31715757.60850000
ENJUSDT;2.69600000;-0.627;2.78100000;2.55200000;31705886.28080000
ENJUSDT;2.69100000;-0.663;2.78100000;2.55200000;31714182.14770000
ENJUSDT;2.69100000;-0.701;2.78100000;2.55200000;31791240.07610000
ENJUSDT;2.69300000;-0.591;2.78100000;2.55200000;31797115.90770000
ENJUSDT;2.70200000;-0.148;2.78100000;2.55200000;31851185.24070000
ENJUSDT;2.69800000;-0.406;2.78100000;2.55200000;31817771.28010000
ENJUSDT;2.69800000;-0.259;2.78100000;2.55200000;31787838.27850000
ENJUSDT;2.69900000;-0.332;2.78100000;2.55200000;31773748.09680000
ENJUSDT;2.69800000;-0.332;2.78100000;2.55200000;31758872.70620000
ENJUSDT;2.69800000;-0.443;2.78100000;2.55200000;31759826.04990000
ENJUSDT;2.69800000;-0.332;2.78100000;2.55200000;31759789.25270000
ENJUSDT;2.69700000;-0.369;2.78100000;2.55200000;31757155.29890000
ENJUSDT;2.70100000;-0.185;2.78100000;2.55200000;31769045.32470000
ENJUSDT;2.70100000;0.000;2.78100000;2.55200000;31763801.40030000
ENJUSDT;2.69800000;-0.148;2.78100000;2.55200000;31757850.98990000
ENJUSDT;2.69800000;-0.259;2.78100000;2.55200000;31746559.59330000
ENJUSDT;2.69800000;-0.332;2.78100000;2.55200000;31743933.48620000
ENJUSDT;2.69600000;-0.333;2.78100000;2.55200000;31744820.90130000
ENJUSDT;2.69600000;-0.407;2.78100000;2.55200000;31730982.11210000
ENJUSDT;2.69800000;-0.333;2.78100000;2.55200000;31730668.94650000
ENJUSDT;2.69700000;-0.333;2.78100000;2.55200000;31743271.88400000
ENJUSDT;2.69800000;-0.332;2.78100000;2.55200000;31738642.95080000
ENJUSDT;2.69500000;-0.406;2.78100000;2.55200000;31738000.69150000
ENJUSDT;2.69400000;-0.443;2.78100000;2.55200000;31741418.67620000
ENJUSDT;2.68300000;-0.702;2.78100000;2.55200000;31742410.15900000
ENJUSDT;2.68600000;-0.849;2.78100000;2.55200000;31791278.98510000
ENJUSDT;2.68600000;-0.849;2.78100000;2.55200000;31796468.63620000
ENJUSDT;2.68800000;-1.031;2.78100000;2.55200000;31704253.84660000
ENJUSDT;2.69500000;-0.517;2.78100000;2.55200000;31575373.98660000
ENJUSDT;2.69600000;-0.554;2.78100000;2.55200000;31554064.64690000
ENJUSDT;2.68700000;-0.702;2.78100000;2.55200000;31551060.94100000
ENJUSDT;2.68200000;-0.850;2.78100000;2.55200000;31556271.93830000
ENJUSDT;2.68400000;-0.371;2.78100000;2.55200000;31544086.10430000
ENJUSDT;2.68300000;-0.260;2.78100000;2.55200000;31531435.01270000
ENJUSDT;2.68600000;-0.297;2.78100000;2.55200000;31520089.52450000
ENJUSDT;2.68500000;-0.556;2.78100000;2.55200000;31511056.06530000
ENJUSDT;2.68300000;-0.630;2.78100000;2.55200000;31510690.88730000
ENJUSDT;2.68200000;-0.667;2.78100000;2.55200000;31514827.86680000
ENJUSDT;2.68300000;-0.630;2.78100000;2.55200000;31512235.92520000
ENJUSDT;2.67500000;-0.631;2.78100000;2.55200000;31514506.29000000
ENJUSDT;2.67600000;-0.594;2.78100000;2.55200000;31515661.20090000
ENJUSDT;2.66900000;-0.854;2.78100000;2.55200000;31508949.89780000
ENJUSDT;2.66700000;-0.892;2.78100000;2.55200000;31509602.41370000
ENJUSDT;2.66900000;-0.632;2.78100000;2.55200000;31507392.26910000
ENJUSDT;2.67100000;-0.485;2.78100000;2.55200000;31504388.54750000
ENJUSDT;2.67800000;-0.224;2.78100000;2.55200000;31503637.15150000
ENJUSDT;2.67700000;-0.483;2.78100000;2.55200000;31506208.89830000
ENJUSDT;2.67600000;-0.742;2.78100000;2.55200000;31492524.24980000
ENJUSDT;2.67600000;-0.815;2.78100000;2.55200000;31490498.38200000
ENJUSDT;2.67500000;-0.926;2.78100000;2.55200000;31489243.30140000
ENJUSDT;2.67500000;-0.852;2.78100000;2.55200000;31477962.37420000
ENJUSDT;2.67800000;-0.778;2.78100000;2.55200000;31478250.87590000
ENJUSDT;2.67700000;-0.778;2.78100000;2.55200000;31480101.68750000
ENJUSDT;2.67500000;-0.926;2.78100000;2.55200000;31481137.98230000
ENJUSDT;2.67600000;-0.926;2.78100000;2.55200000;31489906.21620000
ENJUSDT;2.67600000;-1.000;2.78100000;2.55200000;31490052.03440000
ENJUSDT;2.67600000;-0.962;2.78100000;2.55200000;31493931.92180000
ENJUSDT;2.67500000;-1.036;2.78100000;2.55200000;31495487.10650000
ENJUSDT;2.67400000;-1.109;2.78100000;2.55200000;31493858.29370000
ENJUSDT;2.67100000;-1.110;2.78100000;2.55200000;31494108.21310000
ENJUSDT;2.67200000;-1.074;2.78100000;2.55200000;31494065.64830000
ENJUSDT;2.67200000;-1.110;2.78100000;2.55200000;31499748.31950000
ENJUSDT;2.67200000;-1.110;2.78100000;2.55200000;31498689.74320000
ENJUSDT;2.67300000;-1.110;2.78100000;2.55200000;31493753.34830000
ENJUSDT;2.67200000;-1.220;2.78100000;2.55200000;31496829.02870000
ENJUSDT;2.66800000;-1.331;2.78100000;2.55200000;31499711.04440000
ENJUSDT;2.66600000;-1.405;2.78100000;2.55200000;31500118.83370000
ENJUSDT;2.66700000;-1.478;2.78100000;2.55200000;31514868.47780000
ENJUSDT;2.66100000;-1.662;2.78100000;2.55200000;31516773.89650000
ENJUSDT;2.66500000;-1.406;2.78100000;2.55200000;31521507.63380000
ENJUSDT;2.66300000;-1.516;2.78100000;2.55200000;31521220.62550000
ENJUSDT;2.66300000;-1.516;2.78100000;2.55200000;31526828.62100000
ENJUSDT;2.66300000;-1.444;2.78100000;2.55200000;31522102.66830000
ENJUSDT;2.66600000;-1.480;2.78100000;2.55200000;31529672.08610000
ENJUSDT;2.66600000;-1.369;2.78100000;2.55200000;31530283.41470000
ENJUSDT;2.66700000;-1.441;2.78100000;2.55200000;31528595.62750000
ENJUSDT;2.66700000;-1.368;2.78100000;2.55200000;31529021.81090000
ENJUSDT;2.66700000;-1.441;2.78100000;2.55200000;31525485.94600000
ENJUSDT;2.66400000;-1.479;2.78100000;2.55200000;31525305.18980000
ENJUSDT;2.66600000;-1.442;2.78100000;2.55200000;31525370.48230000
ENJUSDT;2.66600000;-1.405;2.78100000;2.55200000;31525973.34030000
ENJUSDT;2.66800000;-1.441;2.78100000;2.55200000;31525951.46670000
ENJUSDT;2.66800000;-1.368;2.78100000;2.55200000;31521718.78900000
ENJUSDT;2.66600000;-1.515;2.78100000;2.55200000;31520006.36830000
ENJUSDT;2.66600000;-1.478;2.78100000;2.55200000;31518412.44070000
ENJUSDT;2.66700000;-1.405;2.78100000;2.55200000;31514931.62340000
ENJUSDT;2.67000000;-1.294;2.78100000;2.55200000;31514578.81570000
ENJUSDT;2.67200000;-1.257;2.78100000;2.55200000;31512823.71400000
ENJUSDT;2.66900000;-1.294;2.78100000;2.55200000;31520005.26080000
ENJUSDT;2.67100000;-1.331;2.78100000;2.55200000;31519828.12460000
ENJUSDT;2.67100000;-1.403;2.78100000;2.55200000;31515688.04080000
ENJUSDT;2.67000000;-1.585;2.78100000;2.55200000;31508143.68850000
ENJUSDT;2.66700000;-1.732;2.78100000;2.55200000;31505130.10470000
ENJUSDT;2.67100000;-1.512;2.78100000;2.55200000;31507979.72320000
ENJUSDT;2.67100000;-1.512;2.78100000;2.55200000;31507381.47280000
ENJUSDT;2.67800000;-1.326;2.78100000;2.55200000;31509095.37790000
ENJUSDT;2.67700000;-1.400;2.78100000;2.55200000;31517155.61010000
ENJUSDT;2.67600000;-1.546;2.78100000;2.55200000;31515946.80740000
ENJUSDT;2.68000000;-1.473;2.78100000;2.55200000;31516669.74480000
ENJUSDT;2.67900000;-1.326;2.78100000;2.55200000;31519914.10280000
ENJUSDT;2.67900000;-1.180;2.78100000;2.55200000;31488654.52850000
ENJUSDT;2.67900000;-1.290;2.78100000;2.55200000;31487141.00640000
ENJUSDT;2.67900000;-1.435;2.78100000;2.55200000;31483543.09850000
ENJUSDT;2.67800000;-1.399;2.78100000;2.55200000;31483416.54520000
ENJUSDT;2.67700000;-1.507;2.78100000;2.55200000;31474989.90900000
ENJUSDT;2.67600000;-1.690;2.78100000;2.55200000;31475581.01270000
ENJUSDT;2.68400000;-1.505;2.78100000;2.55200000;31488887.90660000
ENJUSDT;2.68600000;-1.397;2.78100000;2.55200000;31489584.61520000
ENJUSDT;2.68600000;-1.503;2.78100000;2.55200000;31486959.73890000
ENJUSDT;2.69000000;-1.430;2.78100000;2.55200000;31483440.42160000
ENJUSDT;2.69200000;-1.428;2.78100000;2.55200000;31482090.23330000
ENJUSDT;2.69000000;-1.501;2.78100000;2.55200000;31487173.13820000
ENJUSDT;2.69100000;-1.429;2.78100000;2.55200000;31495830.53920000
ENJUSDT;2.69200000;-1.501;2.78100000;2.55200000;31499866.09680000
ENJUSDT;2.69200000;-1.716;2.78100000;2.55200000;31492601.40190000
ENJUSDT;2.69300000;-1.930;2.78100000;2.55200000;31488503.47450000
ENJUSDT;2.69300000;-1.821;2.78100000;2.55200000;31467631.30470000
ENJUSDT;2.69400000;-1.966;2.78100000;2.55200000;31445372.26600000
ENJUSDT;2.69300000;-2.037;2.78100000;2.55200000;31403468.94170000
ENJUSDT;2.69300000;-2.392;2.78100000;2.55200000;31335508.50180000
ENJUSDT;2.69300000;-2.073;2.78100000;2.55200000;31289631.56950000
ENJUSDT;2.69200000;-2.179;2.78100000;2.55200000;31280890.15400000
ENJUSDT;2.68800000;-2.255;2.78100000;2.55200000;31285787.90430000
ENJUSDT;2.68800000;-2.255;2.78100000;2.55200000;31283079.09300000
ENJUSDT;2.69200000;-2.038;2.78100000;2.55200000;31286214.16190000
ENJUSDT;2.69400000;-1.965;2.78100000;2.55200000;31279253.76420000
ENJUSDT;2.69500000;-1.786;2.78100000;2.55200000;31255132.88260000
ENJUSDT;2.69500000;-1.678;2.78100000;2.55200000;31254328.98940000
ENJUSDT;2.69500000;-1.750;2.78100000;2.55200000;31253877.20270000
ENJUSDT;2.69800000;-1.750;2.78100000;2.55200000;31251625.91040000
ENJUSDT;2.69800000;-1.713;2.78100000;2.55200000;31247123.55980000
ENJUSDT;2.69400000;-1.571;2.78100000;2.55200000;31243369.11650000
ENJUSDT;2.69700000;-1.353;2.78100000;2.55200000;31240476.25680000
ENJUSDT;2.69700000;-1.461;2.78100000;2.55200000;31240361.15540000
ENJUSDT;2.69500000;-1.535;2.78100000;2.55200000;31240059.83620000
ENJUSDT;2.69800000;-1.533;2.78100000;2.55200000;31220184.37980000
ENJUSDT;2.69800000;-1.605;2.78100000;2.55200000;31208590.03690000
ENJUSDT;2.69800000;-1.605;2.78100000;2.55200000;31207687.74940000
ENJUSDT;2.69600000;-1.749;2.78100000;2.55200000;31206912.76710000
ENJUSDT;2.69500000;-1.821;2.78100000;2.55200000;31207057.15990000
ENJUSDT;2.70000000;-1.675;2.78100000;2.55200000;31208064.14050000
ENJUSDT;2.69700000;-1.641;2.78100000;2.55200000;31232094.98110000
ENJUSDT;2.69800000;-1.676;2.78100000;2.55200000;31230962.90150000
ENJUSDT;2.69300000;-1.535;2.78100000;2.55200000;31209190.69060000
ENJUSDT;2.69200000;-1.788;2.78100000;2.55200000;31205474.95790000
ENJUSDT;2.69200000;-1.861;2.78100000;2.55200000;31198510.28800000
ENJUSDT;2.69200000;-1.788;2.78100000;2.55200000;31197938.37430000
ENJUSDT;2.69200000;-1.788;2.78100000;2.55200000;31200800.65370000
ENJUSDT;2.68900000;-2.040;2.78100000;2.55200000;31200399.11550000
ENJUSDT;2.68500000;-2.363;2.78100000;2.55200000;31193383.22020000
ENJUSDT;2.68300000;-2.472;2.78100000;2.55200000;31199220.96370000
ENJUSDT;2.68700000;-2.326;2.78100000;2.55200000;31196827.53480000
ENJUSDT;2.68700000;-2.362;2.78100000;2.55200000;31176113.40450000
ENJUSDT;2.68600000;-2.505;2.78100000;2.55200000;31158074.15290000
ENJUSDT;2.69000000;-2.217;2.78100000;2.55200000;31163105.20390000
ENJUSDT;2.69000000;-2.326;2.78100000;2.55200000;31148363.81700000
ENJUSDT;2.69400000;-2.109;2.78100000;2.55200000;31150990.66480000
ENJUSDT;2.69200000;-2.073;2.78100000;2.55200000;31149195.41790000
ENJUSDT;2.68900000;-2.218;2.78100000;2.55200000;31138062.40400000
ENJUSDT;2.69300000;-2.001;2.78100000;2.55200000;31139276.73060000
ENJUSDT;2.69500000;-2.071;2.78100000;2.55200000;31135300.44540000
ENJUSDT;2.69300000;-2.143;2.78100000;2.55200000;31126839.86160000
ENJUSDT;2.68500000;-2.471;2.78100000;2.55200000;31136428.74370000
ENJUSDT;2.67800000;-2.576;2.78100000;2.55200000;31188976.39410000
ENJUSDT;2.68000000;-2.617;2.78100000;2.55200000;31187995.28580000
ENJUSDT;2.68200000;-2.578;2.78100000;2.55200000;31192519.07790000
ENJUSDT;2.68100000;-2.507;2.78100000;2.55200000;31197048.99580000
ENJUSDT;2.68100000;-2.580;2.78100000;2.55200000;31198652.44740000
ENJUSDT;2.68300000;-2.649;2.78100000;2.55200000;31187045.54060000
ENJUSDT;2.68400000;-2.470;2.78100000;2.55200000;31187913.77520000
ENJUSDT;2.68500000;-2.505;2.78100000;2.55200000;31194388.17470000
ENJUSDT;2.68500000;-2.505;2.78100000;2.55200000;31199104.06270000
ENJUSDT;2.68700000;-2.397;2.78100000;2.55200000;31200584.48090000
ENJUSDT;2.68400000;-2.506;2.78100000;2.55200000;31202962.35970000
ENJUSDT;2.68200000;-2.295;2.78100000;2.55200000;31168222.30000000
ENJUSDT;2.68000000;-2.190;2.78100000;2.55200000;31142200.18710000
ENJUSDT;2.67900000;-2.263;2.78100000;2.55200000;31312820.86450000
