Symbol;Price;Change24;Max24;Min24;Volume24
EPSUSDT;0.27450000;-1.964;0.28850000;0.26260000;7401779.91080000
EPSUSDT;0.27450000;-1.964;0.28850000;0.26260000;7401729.37730000
EPSUSDT;0.27440000;-1.964;0.28850000;0.26260000;7402207.98290000
EPSUSDT;0.27440000;-2.000;0.28850000;0.26260000;7402542.26430000
EPSUSDT;0.27440000;-2.000;0.28850000;0.26260000;7402517.34430000
EPSUSDT;0.27440000;-2.000;0.28850000;0.26260000;7402517.34430000
EPSUSDT;0.27440000;-2.000;0.28850000;0.26260000;7397927.71860000
EPSUSDT;0.27440000;-2.000;0.28850000;0.26260000;7397927.71860000
EPSUSDT;0.27420000;-1.931;0.28850000;0.26260000;7369035.08940000
EPSUSDT;0.27440000;-1.930;0.28850000;0.26260000;7368517.06560000
EPSUSDT;0.27440000;-1.930;0.28850000;0.26260000;7368517.06560000
EPSUSDT;0.27440000;-1.930;0.28850000;0.26260000;7368517.06560000
EPSUSDT;0.27420000;-2.106;0.28850000;0.26260000;7361238.56570000
EPSUSDT;0.27430000;-2.071;0.28850000;0.26260000;7361650.33210000
EPSUSDT;0.27430000;-2.071;0.28850000;0.26260000;7361650.33210000
EPSUSDT;0.27380000;-2.357;0.28850000;0.26260000;7368725.70040000
EPSUSDT;0.27350000;-2.321;0.28850000;0.26260000;7367535.01460000
EPSUSDT;0.27350000;-2.461;0.28850000;0.26260000;7367336.77460000
EPSUSDT;0.27360000;-2.461;0.28850000;0.26260000;7371606.53030000
EPSUSDT;0.27360000;-2.460;0.28850000;0.26260000;7370082.06710000
EPSUSDT;0.27350000;-2.461;0.28850000;0.26260000;7369952.36470000
EPSUSDT;0.27360000;-2.356;0.28850000;0.26260000;7367942.53410000
EPSUSDT;0.27400000;-2.282;0.28850000;0.26260000;7367291.04970000
EPSUSDT;0.27400000;-2.282;0.28850000;0.26260000;7366690.43290000
EPSUSDT;0.27400000;-2.282;0.28850000;0.26260000;7366690.43290000
EPSUSDT;0.27400000;-2.422;0.28850000;0.26260000;7356420.70700000
EPSUSDT;0.27370000;-2.598;0.28850000;0.26260000;7356560.13600000
EPSUSDT;0.27360000;-2.703;0.28850000;0.26260000;7356136.80540000
EPSUSDT;0.27360000;-2.806;0.28850000;0.26260000;7350439.22570000
EPSUSDT;0.27390000;-2.842;0.28850000;0.26260000;7349595.63180000
EPSUSDT;0.27390000;-2.700;0.28850000;0.26260000;7349576.81990000
