Symbol;Price;Change24;Max24;Min24;Volume24
ETHDOWNUSDT;0.63210000;1.935;0.68070000;0.60550000;2649155.17016900
ETHDOWNUSDT;0.63210000;1.935;0.68070000;0.60550000;2648138.88209300
ETHDOWNUSDT;0.63210000;1.935;0.68070000;0.60550000;2648138.88209300
ETHDOWNUSDT;0.63210000;1.787;0.68070000;0.60550000;2648106.45706400
ETHDOWNUSDT;0.63210000;1.787;0.68070000;0.60550000;2648106.45706400
ETHDOWNUSDT;0.63210000;1.787;0.68070000;0.60550000;2648106.45706400
ETHDOWNUSDT;0.63210000;1.755;0.68070000;0.60550000;2647774.99799400
ETHDOWNUSDT;0.63210000;1.755;0.68070000;0.60550000;2647774.99799400
ETHDOWNUSDT;0.63210000;1.755;0.68070000;0.60550000;2647774.99799400
ETHDOWNUSDT;0.63210000;1.624;0.68070000;0.60550000;2643468.51822500
ETHDOWNUSDT;0.63210000;1.624;0.68070000;0.60550000;2643468.51822500
ETHDOWNUSDT;0.63210000;1.624;0.68070000;0.60550000;2643468.51822500
ETHDOWNUSDT;0.63210000;1.624;0.68070000;0.60550000;2643281.91822500
ETHDOWNUSDT;0.63210000;1.575;0.68070000;0.60550000;2641087.79398500
ETHDOWNUSDT;0.63260000;1.575;0.68070000;0.60550000;2641087.79398500
ETHDOWNUSDT;0.63260000;1.786;0.68070000;0.60550000;2641092.30745500
ETHDOWNUSDT;0.63260000;1.786;0.68070000;0.60550000;2641092.30745500
ETHDOWNUSDT;0.63260000;1.835;0.68070000;0.60550000;2640043.36322700
ETHDOWNUSDT;0.63260000;1.835;0.68070000;0.60550000;2639906.62468300
ETHDOWNUSDT;0.63460000;2.027;0.68070000;0.60550000;2639711.60987100
ETHDOWNUSDT;0.63460000;2.059;0.68070000;0.60550000;2639781.06980000
ETHDOWNUSDT;0.63460000;2.059;0.68070000;0.60550000;2639781.06980000
ETHDOWNUSDT;0.63450000;2.537;0.68070000;0.60550000;2636576.82761500
ETHDOWNUSDT;0.63450000;2.521;0.68070000;0.60550000;2641553.73423300
ETHDOWNUSDT;0.63450000;2.521;0.68070000;0.60550000;2641553.73423300
ETHDOWNUSDT;0.63450000;2.554;0.68070000;0.60550000;2641403.84948800
ETHDOWNUSDT;0.63450000;2.521;0.68070000;0.60550000;2640286.99699600
ETHDOWNUSDT;0.63450000;2.637;0.68070000;0.60550000;2640034.84475800
ETHDOWNUSDT;0.63410000;2.637;0.68070000;0.60550000;2640034.84475800
ETHDOWNUSDT;0.63410000;2.489;0.68070000;0.60550000;2634472.11434800
ETHDOWNUSDT;0.63400000;2.556;0.68070000;0.60550000;2634921.07830500
ETHDOWNUSDT;0.63260000;2.329;0.68070000;0.60550000;2634949.98179900
ETHDOWNUSDT;0.63260000;2.329;0.68070000;0.60550000;2634949.98179900
ETHDOWNUSDT;0.63210000;2.248;0.68070000;0.60550000;2635153.67153700
ETHDOWNUSDT;0.63210000;2.248;0.68070000;0.60550000;2635153.67153700
ETHDOWNUSDT;0.63270000;1.919;0.68070000;0.60550000;2634125.86683400
ETHDOWNUSDT;0.63270000;2.015;0.68070000;0.60550000;2634476.37630700
ETHDOWNUSDT;0.63270000;2.048;0.68070000;0.60550000;2634126.14316500
ETHDOWNUSDT;0.63210000;1.968;0.68070000;0.60550000;2632837.87567100
ETHDOWNUSDT;0.63210000;1.968;0.68070000;0.60550000;2632852.80587300
ETHDOWNUSDT;0.63210000;2.050;0.68070000;0.60550000;2632841.93902600
ETHDOWNUSDT;0.63210000;2.050;0.68070000;0.60550000;2632675.14080000
ETHDOWNUSDT;0.63210000;2.050;0.68070000;0.60550000;2632675.14080000
ETHDOWNUSDT;0.63210000;2.050;0.68070000;0.60550000;2632675.14080000
ETHDOWNUSDT;0.63210000;2.067;0.68070000;0.60550000;2630261.89646000
ETHDOWNUSDT;0.63210000;2.067;0.68070000;0.60550000;2630261.89646000
ETHDOWNUSDT;0.63210000;2.067;0.68070000;0.60550000;2630261.89646000
ETHDOWNUSDT;0.63210000;1.952;0.68070000;0.60550000;2630138.03646000
ETHDOWNUSDT;0.63210000;2.017;0.68070000;0.60550000;2629987.06646000
ETHDOWNUSDT;0.63210000;2.282;0.68070000;0.60550000;2628163.36746500
ETHDOWNUSDT;0.63210000;2.282;0.68070000;0.60550000;2628163.36746500
ETHDOWNUSDT;0.63210000;2.100;0.68070000;0.60550000;2628724.28672600
ETHDOWNUSDT;0.63210000;2.100;0.68070000;0.60550000;2628724.28672600
ETHDOWNUSDT;0.63210000;2.248;0.68070000;0.60550000;2627834.79256700
ETHDOWNUSDT;0.63210000;2.248;0.68070000;0.60550000;2627834.79256700
ETHDOWNUSDT;0.63210000;2.248;0.68070000;0.60550000;2627834.79256700
ETHDOWNUSDT;0.63210000;2.248;0.68070000;0.60550000;2627834.79256700
ETHDOWNUSDT;0.63210000;2.248;0.68070000;0.60550000;2627834.79256700
ETHDOWNUSDT;0.63210000;2.248;0.68070000;0.60550000;2627834.79256700
ETHDOWNUSDT;0.63210000;2.248;0.68070000;0.60550000;2627649.33256700
ETHDOWNUSDT;0.63210000;2.348;0.68070000;0.60550000;2627392.03490700
ETHDOWNUSDT;0.63220000;2.265;0.68070000;0.60550000;2614164.05028500
ETHDOWNUSDT;0.63220000;2.265;0.68070000;0.60550000;2614164.05028500
