Symbol;Price;Change24;Max24;Min24;Volume24
EURUSDT;1.13200000;0.177;1.13500000;1.12900000;31501688.54690000
EURUSDT;1.13200000;0.177;1.13500000;1.12900000;31476696.12610000
EURUSDT;1.13300000;0.354;1.13500000;1.12900000;31454432.18430000
EURUSDT;1.13200000;0.177;1.13500000;1.12900000;31420223.62990000
EURUSDT;1.13200000;0.266;1.13500000;1.12900000;31400404.08930000
EURUSDT;1.13200000;0.177;1.13500000;1.12900000;31383245.90520000
EURUSDT;1.13200000;0.177;1.13500000;1.12900000;31422021.38220000
EURUSDT;1.13300000;0.265;1.13500000;1.12900000;31405164.18270000
EURUSDT;1.13300000;0.354;1.13500000;1.12900000;31401124.26710000
EURUSDT;1.13200000;0.177;1.13500000;1.12900000;31414833.05040000
EURUSDT;1.13300000;0.266;1.13500000;1.12900000;31417746.30810000
EURUSDT;1.13300000;0.265;1.13500000;1.12900000;31424233.11500000
EURUSDT;1.13300000;0.177;1.13500000;1.12900000;31429395.03970000
EURUSDT;1.13200000;0.265;1.13500000;1.12900000;31448467.02870000
EURUSDT;1.13200000;0.354;1.13500000;1.12900000;31449820.91640000
EURUSDT;1.13200000;0.266;1.13500000;1.12900000;31448776.68520000
EURUSDT;1.13100000;0.177;1.13500000;1.12900000;31481354.13780000
EURUSDT;1.13100000;0.177;1.13500000;1.12900000;31465974.07010000
EURUSDT;1.13200000;0.177;1.13500000;1.12900000;31449614.54580000
EURUSDT;1.13100000;0.266;1.13500000;1.12900000;31430543.22680000
EURUSDT;1.13200000;0.177;1.13500000;1.12900000;31413992.65190000
EURUSDT;1.13200000;0.089;1.13500000;1.12900000;31400004.04080000
EURUSDT;1.13200000;0.177;1.13500000;1.12900000;31386475.10730000
EURUSDT;1.13100000;0.266;1.13500000;1.12900000;31386865.84340000
EURUSDT;1.13200000;0.177;1.13500000;1.12900000;31388407.75800000
EURUSDT;1.13100000;0.089;1.13500000;1.12900000;31371492.44110000
EURUSDT;1.13100000;0.089;1.13500000;1.12900000;31154063.40450000
EURUSDT;1.13200000;0.088;1.13500000;1.12900000;31141175.88990000
EURUSDT;1.13100000;0.177;1.13500000;1.12900000;31136923.73520000
EURUSDT;1.13100000;0.089;1.13500000;1.12900000;31291644.56480000
EURUSDT;1.13100000;0.089;1.13500000;1.12900000;31268600.99570000
EURUSDT;1.13100000;0.089;1.13500000;1.12900000;31232158.52560000
EURUSDT;1.13100000;0.000;1.13500000;1.12900000;30974651.76870000
EURUSDT;1.13100000;0.000;1.13500000;1.12900000;31039381.23490000
EURUSDT;1.13000000;0.089;1.13500000;1.12900000;31100897.42460000
EURUSDT;1.13100000;0.000;1.13500000;1.12900000;31100084.55360000
