Symbol;Price;Change24;Max24;Min24;Volume24
FARMUSDT;151.30000000;-9.124;184.80000000;148.40000000;23641189.81060000
FARMUSDT;151.50000000;-8.954;184.80000000;148.40000000;23634452.86180000
FARMUSDT;151.50000000;-9.281;184.80000000;148.40000000;23628916.87560000
FARMUSDT;151.20000000;-9.515;184.80000000;148.40000000;23627005.49130000
FARMUSDT;151.10000000;-10.220;184.80000000;148.40000000;23613871.65920000
FARMUSDT;151.10000000;-10.273;184.80000000;148.40000000;23614679.28990000
FARMUSDT;151.10000000;-10.273;184.80000000;148.40000000;23609684.27620000
FARMUSDT;151.10000000;-10.220;184.80000000;148.40000000;23609501.07030000
FARMUSDT;151.10000000;-10.220;184.80000000;148.40000000;23605278.81580000
FARMUSDT;151.30000000;-10.208;184.80000000;148.40000000;23604627.47720000
FARMUSDT;151.20000000;-10.214;184.80000000;148.40000000;23599644.92360000
FARMUSDT;151.00000000;-10.173;184.80000000;148.40000000;23600507.47480000
FARMUSDT;151.20000000;-10.173;184.80000000;148.40000000;23595602.27190000
FARMUSDT;151.20000000;-9.839;184.80000000;148.40000000;23594356.34970000
FARMUSDT;151.20000000;-9.839;184.80000000;148.40000000;23588656.12000000
FARMUSDT;151.20000000;-9.731;184.80000000;148.40000000;23585892.66140000
FARMUSDT;151.20000000;-9.677;184.80000000;148.40000000;23584007.49110000
FARMUSDT;151.20000000;-9.731;184.80000000;148.40000000;23582614.77870000
FARMUSDT;151.20000000;-9.677;184.80000000;148.40000000;23580369.75720000
FARMUSDT;151.20000000;-9.731;184.80000000;148.40000000;23579315.18340000
FARMUSDT;151.20000000;-9.677;184.80000000;148.40000000;23578985.70100000
FARMUSDT;151.20000000;-9.839;184.80000000;148.40000000;23576307.03870000
FARMUSDT;151.20000000;-9.785;184.80000000;148.40000000;23570853.77020000
FARMUSDT;151.00000000;-10.012;184.80000000;148.40000000;23561017.19380000
FARMUSDT;151.10000000;-10.000;184.80000000;148.40000000;23560865.72050000
FARMUSDT;151.50000000;-9.875;184.80000000;148.40000000;23568656.71320000
FARMUSDT;151.50000000;-10.036;184.80000000;148.40000000;23566339.47940000
FARMUSDT;151.60000000;-9.875;184.80000000;148.40000000;23568363.57890000
FARMUSDT;151.60000000;-9.976;184.80000000;148.40000000;23566832.28360000
FARMUSDT;151.60000000;-9.976;184.80000000;148.40000000;23565581.16600000
FARMUSDT;151.90000000;-9.869;184.80000000;148.40000000;23564888.47000000
FARMUSDT;151.80000000;-9.750;184.80000000;148.40000000;23566929.70540000
FARMUSDT;151.80000000;-9.857;184.80000000;148.40000000;23565245.50900000
FARMUSDT;151.80000000;-9.857;184.80000000;148.40000000;23565245.50900000
FARMUSDT;151.80000000;-9.911;184.80000000;148.40000000;23541770.21850000
FARMUSDT;151.10000000;-10.592;184.80000000;148.40000000;23538494.46910000
FARMUSDT;151.40000000;-10.308;184.80000000;148.40000000;23529051.65750000
FARMUSDT;151.40000000;-10.414;184.80000000;148.40000000;23516079.36100000
FARMUSDT;151.10000000;-10.255;184.80000000;148.40000000;23515384.26220000
FARMUSDT;151.20000000;-10.373;184.80000000;148.40000000;23515195.12820000
FARMUSDT;151.20000000;-10.320;184.80000000;148.40000000;23513307.99990000
FARMUSDT;151.40000000;-10.214;184.80000000;148.40000000;23513148.18460000
FARMUSDT;151.40000000;-9.881;184.80000000;148.40000000;23494504.96570000
FARMUSDT;151.20000000;-9.946;184.80000000;148.40000000;23478106.95190000
FARMUSDT;151.40000000;-9.994;184.80000000;148.40000000;23474531.19980000
FARMUSDT;151.40000000;-9.666;184.80000000;148.40000000;23466000.71900000
FARMUSDT;151.20000000;-9.677;184.80000000;148.40000000;23465371.15620000
FARMUSDT;151.40000000;-9.612;184.80000000;148.40000000;23462590.31500000
FARMUSDT;151.30000000;-10.154;184.80000000;148.40000000;23431009.52620000
FARMUSDT;151.30000000;-10.154;184.80000000;148.40000000;23428682.26880000
FARMUSDT;151.30000000;-10.048;184.80000000;148.40000000;23427708.87410000
FARMUSDT;151.40000000;-9.940;184.80000000;148.40000000;23424801.24410000
FARMUSDT;151.40000000;-10.042;184.80000000;148.40000000;23419861.92440000
FARMUSDT;151.40000000;-10.095;184.80000000;148.40000000;23418401.12180000
