Symbol;Price;Change24;Max24;Min24;Volume24
FIDAUSDT;3.69400000;-4.720;3.93800000;3.61700000;1451266.06280000
FIDAUSDT;3.69400000;-4.696;3.93800000;3.61700000;1450012.76340000
FIDAUSDT;3.69400000;-4.696;3.93800000;3.61700000;1450012.76340000
FIDAUSDT;3.69400000;-4.696;3.93800000;3.61700000;1450012.76340000
FIDAUSDT;3.69400000;-4.696;3.93800000;3.61700000;1450012.76340000
FIDAUSDT;3.69400000;-4.696;3.93800000;3.61700000;1450012.76340000
FIDAUSDT;3.69400000;-4.696;3.93800000;3.61700000;1450012.76340000
FIDAUSDT;3.69400000;-4.696;3.93800000;3.61700000;1450012.76340000
FIDAUSDT;3.69400000;-4.696;3.93800000;3.61700000;1450012.76340000
FIDAUSDT;3.69400000;-4.696;3.93800000;3.61700000;1450012.76340000
FIDAUSDT;3.69400000;-4.548;3.93800000;3.61700000;1449789.63360000
FIDAUSDT;3.69400000;-4.548;3.93800000;3.61700000;1449789.63360000
FIDAUSDT;3.69400000;-4.548;3.93800000;3.61700000;1449789.63360000
FIDAUSDT;3.69100000;-4.477;3.93800000;3.61700000;1451462.97660000
FIDAUSDT;3.69300000;-4.477;3.93800000;3.61700000;1451462.97660000
FIDAUSDT;3.69300000;-4.425;3.93800000;3.61700000;1451497.69080000
FIDAUSDT;3.69300000;-4.425;3.93800000;3.61700000;1451497.69080000
FIDAUSDT;3.69300000;-4.425;3.93800000;3.61700000;1451497.69080000
FIDAUSDT;3.69300000;-4.425;3.93800000;3.61700000;1451497.69080000
FIDAUSDT;3.68600000;-4.477;3.93800000;3.61700000;1453400.03220000
FIDAUSDT;3.68700000;-4.581;3.93800000;3.61700000;1454124.07230000
FIDAUSDT;3.68700000;-4.581;3.93800000;3.61700000;1454124.07230000
FIDAUSDT;3.68700000;-4.605;3.93800000;3.61700000;1451229.52680000
FIDAUSDT;3.68700000;-4.605;3.93800000;3.61700000;1451171.93830000
FIDAUSDT;3.68700000;-4.605;3.93800000;3.61700000;1451171.93830000
FIDAUSDT;3.68700000;-4.605;3.93800000;3.61700000;1451595.94330000
FIDAUSDT;3.68700000;-4.605;3.93800000;3.61700000;1451595.94330000
FIDAUSDT;3.68700000;-4.974;3.93800000;3.61700000;1448914.73660000
FIDAUSDT;3.68700000;-4.974;3.93800000;3.61700000;1448914.73660000
FIDAUSDT;3.68700000;-4.974;3.93800000;3.61700000;1448904.26060000
FIDAUSDT;3.68700000;-4.974;3.93800000;3.61700000;1448904.26060000
FIDAUSDT;3.68700000;-4.974;3.93800000;3.61700000;1448922.69560000
FIDAUSDT;3.68700000;-4.827;3.93800000;3.61700000;1448280.55560000
FIDAUSDT;3.68700000;-4.827;3.93800000;3.61700000;1448280.55560000
FIDAUSDT;3.68700000;-4.778;3.93800000;3.61700000;1448056.01810000
FIDAUSDT;3.68700000;-4.778;3.93800000;3.61700000;1448056.01810000
FIDAUSDT;3.68700000;-4.778;3.93800000;3.61700000;1448056.01810000
FIDAUSDT;3.68500000;-4.780;3.93800000;3.61700000;1448095.09120000
FIDAUSDT;3.68500000;-4.805;3.93800000;3.61700000;1447855.53820000
FIDAUSDT;3.68500000;-4.805;3.93800000;3.61700000;1447855.53820000
FIDAUSDT;3.68500000;-4.805;3.93800000;3.61700000;1447855.53820000
FIDAUSDT;3.68500000;-4.805;3.93800000;3.61700000;1447855.53820000
FIDAUSDT;3.68500000;-4.608;3.93800000;3.61700000;1446231.68120000
FIDAUSDT;3.68500000;-4.608;3.93800000;3.61700000;1446231.68120000
FIDAUSDT;3.68500000;-4.608;3.93800000;3.61700000;1446212.75250000
FIDAUSDT;3.68500000;-4.608;3.93800000;3.61700000;1446212.75250000
FIDAUSDT;3.68500000;-4.608;3.93800000;3.61700000;1446212.75250000
FIDAUSDT;3.68500000;-4.608;3.93800000;3.61700000;1446212.75250000
FIDAUSDT;3.68500000;-4.608;3.93800000;3.61700000;1446212.75250000
FIDAUSDT;3.68500000;-4.608;3.93800000;3.61700000;1446212.75250000
FIDAUSDT;3.68500000;-4.608;3.93800000;3.61700000;1446212.75250000
FIDAUSDT;3.68500000;-4.583;3.93800000;3.61700000;1446059.00510000
FIDAUSDT;3.68500000;-4.583;3.93800000;3.61700000;1446011.88870000
FIDAUSDT;3.68900000;-4.480;3.93800000;3.61700000;1446051.72990000
FIDAUSDT;3.68900000;-4.480;3.93800000;3.61700000;1446051.72990000
FIDAUSDT;3.68900000;-4.480;3.93800000;3.61700000;1446202.96670000
FIDAUSDT;3.68900000;-4.480;3.93800000;3.61700000;1445586.84490000
FIDAUSDT;3.68900000;-4.504;3.93800000;3.61700000;1444893.66960000
FIDAUSDT;3.68500000;-4.608;3.93800000;3.61700000;1445254.79960000
FIDAUSDT;3.68500000;-4.608;3.93800000;3.61700000;1445254.79960000
FIDAUSDT;3.68600000;-4.582;3.93800000;3.61700000;1445058.84480000
FIDAUSDT;3.69000000;-4.528;3.93800000;3.61700000;1446117.43260000
FIDAUSDT;3.69000000;-4.528;3.93800000;3.61700000;1446117.43260000
FIDAUSDT;3.69000000;-4.577;3.93800000;3.61700000;1442571.03150000
FIDAUSDT;3.69000000;-4.429;3.93800000;3.61700000;1442498.76420000
FIDAUSDT;3.68400000;-4.560;3.93800000;3.61700000;1444401.53540000
FIDAUSDT;3.68400000;-4.560;3.93800000;3.61700000;1443270.65090000
FIDAUSDT;3.68400000;-4.510;3.93800000;3.61700000;1442617.18370000
FIDAUSDT;3.68900000;-4.430;3.93800000;3.61700000;1442863.10810000
FIDAUSDT;3.68900000;-4.430;3.93800000;3.61700000;1442863.10810000
FIDAUSDT;3.68400000;-4.461;3.93800000;3.61700000;1442808.48130000
FIDAUSDT;3.68400000;-4.312;3.93800000;3.61700000;1441734.83640000
FIDAUSDT;3.68400000;-4.287;3.93800000;3.61700000;1441220.86140000
FIDAUSDT;3.68400000;-4.162;3.93800000;3.61700000;1440222.43080000
FIDAUSDT;3.68400000;-4.187;3.93800000;3.61700000;1438685.27050000
FIDAUSDT;3.68400000;-4.187;3.93800000;3.61700000;1439606.27050000
FIDAUSDT;3.68400000;-4.038;3.93800000;3.61700000;1439582.43150000
FIDAUSDT;3.68000000;-4.142;3.93800000;3.61700000;1439920.83560000
FIDAUSDT;3.68000000;-4.194;3.93800000;3.61700000;1440994.50120000
FIDAUSDT;3.68000000;-4.192;3.93800000;3.61700000;1438702.98900000
FIDAUSDT;3.67700000;-4.192;3.93800000;3.61700000;1438702.98900000
FIDAUSDT;3.67700000;-4.494;3.93800000;3.61700000;1437970.56330000
FIDAUSDT;3.67700000;-4.494;3.93800000;3.61700000;1437970.56330000
FIDAUSDT;3.67700000;-4.494;3.93800000;3.61700000;1437970.56330000
FIDAUSDT;3.67700000;-4.394;3.93800000;3.61700000;1437943.61330000
FIDAUSDT;3.67700000;-4.394;3.93800000;3.61700000;1438463.54110000
FIDAUSDT;3.67700000;-4.444;3.93800000;3.61700000;1438446.23410000
FIDAUSDT;3.67700000;-4.444;3.93800000;3.61700000;1438446.23410000
FIDAUSDT;3.67700000;-4.444;3.93800000;3.61700000;1438446.23410000
FIDAUSDT;3.67700000;-4.444;3.93800000;3.61700000;1438446.23410000
FIDAUSDT;3.67700000;-4.444;3.93800000;3.61700000;1438446.23410000
FIDAUSDT;3.67700000;-4.444;3.93800000;3.61700000;1438446.23410000
FIDAUSDT;3.67900000;-4.392;3.93800000;3.61700000;1438461.31800000
FIDAUSDT;3.67900000;-4.392;3.93800000;3.61700000;1438461.31800000
FIDAUSDT;3.67600000;-4.470;3.93800000;3.61700000;1438478.96280000
FIDAUSDT;3.67600000;-4.470;3.93800000;3.61700000;1438478.96280000
FIDAUSDT;3.67600000;-4.470;3.93800000;3.61700000;1438478.96280000
FIDAUSDT;3.67600000;-4.643;3.93800000;3.61700000;1438468.18840000
FIDAUSDT;3.67600000;-4.643;3.93800000;3.61700000;1439044.95280000
FIDAUSDT;3.67400000;-4.670;3.93800000;3.61700000;1439024.21900000
FIDAUSDT;3.67400000;-4.670;3.93800000;3.61700000;1439024.21900000
FIDAUSDT;3.67300000;-4.670;3.93800000;3.61700000;1439024.21900000
FIDAUSDT;3.67100000;-4.649;3.93800000;3.61700000;1439785.15050000
FIDAUSDT;3.67100000;-4.649;3.93800000;3.61700000;1439785.15050000
FIDAUSDT;3.67100000;-4.649;3.93800000;3.61700000;1439785.15050000
FIDAUSDT;3.67100000;-4.649;3.93800000;3.61700000;1439785.15050000
FIDAUSDT;3.66500000;-4.805;3.93800000;3.61700000;1440953.75540000
FIDAUSDT;3.66800000;-4.727;3.93800000;3.61700000;1441016.84500000
FIDAUSDT;3.66800000;-4.949;3.93800000;3.61700000;1425701.84730000
FIDAUSDT;3.66800000;-4.974;3.93800000;3.61700000;1425465.77700000
FIDAUSDT;3.66800000;-4.974;3.93800000;3.61700000;1425465.77700000
FIDAUSDT;3.66800000;-5.171;3.93800000;3.61700000;1427647.21760000
FIDAUSDT;3.66800000;-4.974;3.93800000;3.61700000;1426438.85440000
FIDAUSDT;3.66800000;-4.974;3.93800000;3.61700000;1427806.65160000
FIDAUSDT;3.66800000;-4.974;3.93800000;3.61700000;1427806.65160000
FIDAUSDT;3.66800000;-4.974;3.93800000;3.61700000;1427806.65160000
FIDAUSDT;3.66800000;-4.974;3.93800000;3.61700000;1427806.65160000
FIDAUSDT;3.66800000;-4.974;3.93800000;3.61700000;1427806.65160000
FIDAUSDT;3.66800000;-4.974;3.93800000;3.61700000;1427806.65160000
FIDAUSDT;3.66800000;-4.974;3.93800000;3.61700000;1427806.65160000
FIDAUSDT;3.66800000;-4.974;3.93800000;3.61700000;1427806.65160000
FIDAUSDT;3.66800000;-4.974;3.93800000;3.61700000;1427806.65160000
FIDAUSDT;3.66800000;-4.974;3.93800000;3.61700000;1427806.65160000
FIDAUSDT;3.66800000;-4.974;3.93800000;3.61700000;1427806.65160000
FIDAUSDT;3.66600000;-5.001;3.93800000;3.61700000;1428042.05350000
FIDAUSDT;3.66600000;-5.001;3.93800000;3.61700000;1428042.05350000
FIDAUSDT;3.66600000;-5.075;3.93800000;3.61700000;1427089.11640000
FIDAUSDT;3.66800000;-5.023;3.93800000;3.61700000;1428006.11640000
