Symbol;Price;Change24;Max24;Min24;Volume24
FILUPUSDT;0.15680000;0.000;0.16460000;0.14030000;1071047.26914800
FILUPUSDT;0.15680000;0.000;0.16460000;0.14030000;1070985.57566000
FILUPUSDT;0.15680000;0.064;0.16460000;0.14030000;1070920.03796400
FILUPUSDT;0.15660000;-0.064;0.16460000;0.14030000;1071206.70522600
FILUPUSDT;0.15660000;0.064;0.16460000;0.14030000;1070759.27188100
FILUPUSDT;0.15660000;0.064;0.16460000;0.14030000;1070759.27188100
FILUPUSDT;0.15660000;0.513;0.16460000;0.14030000;1069901.77395100
FILUPUSDT;0.15660000;0.513;0.16460000;0.14030000;1069901.77395100
FILUPUSDT;0.15660000;0.192;0.16460000;0.14030000;1069890.20424300
FILUPUSDT;0.15640000;0.000;0.16460000;0.14030000;1069549.20295400
FILUPUSDT;0.15640000;0.000;0.16460000;0.14030000;1069549.20295400
FILUPUSDT;0.15640000;0.000;0.16460000;0.14030000;1069549.20295400
FILUPUSDT;0.15640000;0.000;0.16460000;0.14030000;1069549.20295400
FILUPUSDT;0.15640000;0.000;0.16460000;0.14030000;1069549.20295400
FILUPUSDT;0.15640000;0.000;0.16460000;0.14030000;1069323.42704200
FILUPUSDT;0.15640000;-0.255;0.16460000;0.14030000;1069053.29765400
FILUPUSDT;0.15640000;-0.191;0.16460000;0.14030000;1068953.29845400
FILUPUSDT;0.15640000;-0.191;0.16460000;0.14030000;1068886.77146900
FILUPUSDT;0.15610000;-0.383;0.16460000;0.14030000;1069250.66086200
FILUPUSDT;0.15550000;-0.128;0.16460000;0.14030000;1069156.64086200
FILUPUSDT;0.15550000;-0.892;0.16460000;0.14030000;1069382.65505000
FILUPUSDT;0.15550000;-0.892;0.16460000;0.14030000;1069448.54351000
FILUPUSDT;0.15550000;-0.892;0.16460000;0.14030000;1069512.62972500
FILUPUSDT;0.15560000;-0.829;0.16460000;0.14030000;1069609.76613700
FILUPUSDT;0.15560000;-0.829;0.16460000;0.14030000;1069609.76613700
FILUPUSDT;0.15560000;-0.955;0.16460000;0.14030000;1069028.79367900
FILUPUSDT;0.15560000;-1.144;0.16460000;0.14030000;1068955.79716400
FILUPUSDT;0.15560000;-0.955;0.16460000;0.14030000;1068871.41659800
FILUPUSDT;0.15560000;-0.955;0.16460000;0.14030000;1072780.29865800
FILUPUSDT;0.15560000;-0.955;0.16460000;0.14030000;1072163.90424000
FILUPUSDT;0.15560000;-0.955;0.16460000;0.14030000;1072163.90424000
FILUPUSDT;0.15560000;-0.955;0.16460000;0.14030000;1072163.90424000
FILUPUSDT;0.15560000;-0.955;0.16460000;0.14030000;1074946.33539800
FILUPUSDT;0.15560000;-0.575;0.16460000;0.14030000;1074762.85673700
FILUPUSDT;0.15560000;-0.575;0.16460000;0.14030000;1074762.85673700
FILUPUSDT;0.15560000;-0.575;0.16460000;0.14030000;1074762.85673700
FILUPUSDT;0.15560000;-0.575;0.16460000;0.14030000;1074762.85673700
FILUPUSDT;0.15560000;-0.765;0.16460000;0.14030000;1074182.82422300
FILUPUSDT;0.15560000;-0.448;0.16460000;0.14030000;1073618.70593100
FILUPUSDT;0.15630000;0.000;0.16460000;0.14030000;1074104.64575700
FILUPUSDT;0.15630000;-0.319;0.16460000;0.14030000;1073839.04360400
FILUPUSDT;0.15670000;-0.319;0.16460000;0.14030000;1073839.04360400
FILUPUSDT;0.15670000;-0.064;0.16460000;0.14030000;1073935.59274200
FILUPUSDT;0.15680000;0.000;0.16460000;0.14030000;1074421.35130200
FILUPUSDT;0.15680000;0.000;0.16460000;0.14030000;1074421.35130200
FILUPUSDT;0.15680000;0.000;0.16460000;0.14030000;1074421.35130200
FILUPUSDT;0.15680000;0.128;0.16460000;0.14030000;1073811.59650900
FILUPUSDT;0.15680000;0.128;0.16460000;0.14030000;1073811.59650900
FILUPUSDT;0.15680000;-0.318;0.16460000;0.14030000;1072369.51055600
FILUPUSDT;0.15680000;-0.318;0.16460000;0.14030000;1072369.51055600
FILUPUSDT;0.15680000;-0.318;0.16460000;0.14030000;1072369.51055600
FILUPUSDT;0.15720000;-0.318;0.16460000;0.14030000;1072369.51055600
FILUPUSDT;0.15720000;-0.317;0.16460000;0.14030000;1069221.16808200
FILUPUSDT;0.15720000;-0.317;0.16460000;0.14030000;1069221.16808200
FILUPUSDT;0.15680000;-0.317;0.16460000;0.14030000;1069221.16808200
FILUPUSDT;0.15680000;-0.571;0.16460000;0.14030000;1069241.16792200
FILUPUSDT;0.15680000;-0.571;0.16460000;0.14030000;1069241.16792200
FILUPUSDT;0.15680000;-0.571;0.16460000;0.14030000;1069210.46530900
FILUPUSDT;0.15680000;-0.571;0.16460000;0.14030000;1069210.46530900
FILUPUSDT;0.15680000;-0.571;0.16460000;0.14030000;1069210.46530900
FILUPUSDT;0.15700000;-0.633;0.16460000;0.14030000;1067192.36808400
FILUPUSDT;0.15660000;-0.635;0.16460000;0.14030000;1064784.50062900
