Symbol;Price;Change24;Max24;Min24;Volume24
FIOUSDT;0.16490000;5.032;0.17500000;0.15600000;7756884.14800000
FIOUSDT;0.16490000;5.032;0.17500000;0.15600000;7757160.35550000
FIOUSDT;0.16480000;5.102;0.17500000;0.15600000;7756518.51000000
FIOUSDT;0.16470000;5.038;0.17500000;0.15600000;7756642.24920000
FIOUSDT;0.16470000;5.038;0.17500000;0.15600000;7756648.69980000
FIOUSDT;0.16490000;5.166;0.17500000;0.15600000;7757015.08730000
FIOUSDT;0.16480000;5.102;0.17500000;0.15600000;7757282.85710000
FIOUSDT;0.16490000;5.166;0.17500000;0.15600000;7757333.95870000
FIOUSDT;0.16490000;5.166;0.17500000;0.15600000;7757333.95870000
FIOUSDT;0.16490000;5.166;0.17500000;0.15600000;7757502.15670000
FIOUSDT;0.16490000;5.166;0.17500000;0.15600000;7757649.90710000
FIOUSDT;0.16500000;5.230;0.17500000;0.15600000;7757760.78710000
FIOUSDT;0.16490000;5.230;0.17500000;0.15600000;7757871.66710000
FIOUSDT;0.16500000;5.163;0.17500000;0.15600000;7758722.20200000
FIOUSDT;0.16490000;5.099;0.17500000;0.15600000;7759147.95460000
FIOUSDT;0.16490000;5.099;0.17500000;0.15600000;7759258.93230000
FIOUSDT;0.16480000;5.102;0.17500000;0.15600000;7758951.41120000
FIOUSDT;0.16480000;5.102;0.17500000;0.15600000;7758951.41120000
FIOUSDT;0.16480000;4.968;0.17500000;0.15600000;7758937.67840000
FIOUSDT;0.16500000;5.096;0.17500000;0.15600000;7759048.55840000
FIOUSDT;0.16470000;5.032;0.17500000;0.15600000;7759175.10390000
FIOUSDT;0.16470000;4.904;0.17500000;0.15600000;7759755.29040000
FIOUSDT;0.16480000;4.968;0.17500000;0.15600000;7759866.20080000
FIOUSDT;0.16480000;4.968;0.17500000;0.15600000;7760554.24080000
FIOUSDT;0.16490000;5.032;0.17500000;0.15600000;7761060.48380000
FIOUSDT;0.16490000;5.166;0.17500000;0.15600000;7757384.38570000
FIOUSDT;0.16490000;5.032;0.17500000;0.15600000;7757281.68170000
FIOUSDT;0.16480000;5.032;0.17500000;0.15600000;7757301.63460000
FIOUSDT;0.16480000;4.968;0.17500000;0.15600000;7758262.32690000
FIOUSDT;0.16470000;4.968;0.17500000;0.15600000;7758354.74880000
FIOUSDT;0.16470000;4.771;0.17500000;0.15600000;7757644.11430000
FIOUSDT;0.16490000;4.765;0.17500000;0.15600000;7756404.76730000
FIOUSDT;0.16490000;4.765;0.17500000;0.15600000;7756404.76730000
FIOUSDT;0.16490000;4.832;0.17500000;0.15600000;7755626.76050000
FIOUSDT;0.16490000;4.898;0.17500000;0.15600000;7755479.98340000
FIOUSDT;0.16490000;4.898;0.17500000;0.15600000;7755479.98340000
FIOUSDT;0.16490000;5.032;0.17500000;0.15600000;7752437.47550000
FIOUSDT;0.16490000;5.166;0.17500000;0.15600000;7752427.58450000
FIOUSDT;0.16490000;5.166;0.17500000;0.15600000;7752427.58450000
FIOUSDT;0.16490000;5.166;0.17500000;0.15600000;7752427.58450000
FIOUSDT;0.16490000;5.099;0.17500000;0.15600000;7752333.50450000
FIOUSDT;0.16500000;5.163;0.17500000;0.15600000;7752340.36610000
FIOUSDT;0.16500000;5.163;0.17500000;0.15600000;7752451.24610000
FIOUSDT;0.16500000;5.096;0.17500000;0.15600000;7753094.66860000
FIOUSDT;0.16500000;5.096;0.17500000;0.15600000;7753094.66860000
FIOUSDT;0.16500000;5.096;0.17500000;0.15600000;7753094.66860000
FIOUSDT;0.16500000;5.096;0.17500000;0.15600000;7753094.66860000
FIOUSDT;0.16510000;5.159;0.17500000;0.15600000;7753194.71920000
FIOUSDT;0.16510000;5.159;0.17500000;0.15600000;7753065.72800000
FIOUSDT;0.16510000;5.159;0.17500000;0.15600000;7753065.72800000
FIOUSDT;0.16500000;5.230;0.17500000;0.15600000;7753142.98710000
FIOUSDT;0.16500000;5.163;0.17500000;0.15600000;7752312.23160000
FIOUSDT;0.16500000;5.163;0.17500000;0.15600000;7752312.23160000
FIOUSDT;0.16500000;5.163;0.17500000;0.15600000;7752312.23160000
FIOUSDT;0.16500000;5.163;0.17500000;0.15600000;7752312.23160000
FIOUSDT;0.16500000;5.163;0.17500000;0.15600000;7752312.23160000
FIOUSDT;0.16490000;5.099;0.17500000;0.15600000;7752562.38490000
FIOUSDT;0.16490000;5.099;0.17500000;0.15600000;7752562.38490000
FIOUSDT;0.16490000;5.163;0.17500000;0.15600000;7752673.26490000
FIOUSDT;0.16510000;5.226;0.17500000;0.15600000;7752926.36790000
FIOUSDT;0.16500000;5.163;0.17500000;0.15600000;7755242.37000000
FIOUSDT;0.16530000;5.354;0.17500000;0.15600000;7758749.33760000
FIOUSDT;0.16530000;5.354;0.17500000;0.15600000;7758749.33760000
FIOUSDT;0.16550000;5.548;0.17500000;0.15600000;7774088.54480000
FIOUSDT;0.16540000;5.676;0.17500000;0.15600000;7774199.39810000
FIOUSDT;0.16550000;5.683;0.17500000;0.15600000;7776834.86210000
FIOUSDT;0.16550000;5.683;0.17500000;0.15600000;7776803.38550000
FIOUSDT;0.16560000;5.815;0.17500000;0.15600000;7776557.52530000
FIOUSDT;0.16570000;6.014;0.17500000;0.15600000;7777472.46340000
FIOUSDT;0.16570000;5.680;0.17500000;0.15600000;7778135.67070000
FIOUSDT;0.16570000;5.743;0.17500000;0.15600000;7778357.37730000
FIOUSDT;0.16610000;6.070;0.17500000;0.15600000;7790372.54560000
FIOUSDT;0.16600000;6.070;0.17500000;0.15600000;7795442.48480000
FIOUSDT;0.16580000;6.274;0.17500000;0.15620000;7791532.04120000
FIOUSDT;0.16580000;5.467;0.17500000;0.15650000;7769355.63250000
FIOUSDT;0.16570000;5.676;0.17500000;0.15650000;7764759.96090000
FIOUSDT;0.16590000;5.602;0.17500000;0.15650000;7761567.95140000
FIOUSDT;0.16610000;4.927;0.17500000;0.15810000;7734342.82980000
FIOUSDT;0.16600000;4.732;0.17500000;0.15840000;7737164.16530000
FIOUSDT;0.16580000;3.690;0.17500000;0.15850000;7711140.51860000
FIOUSDT;0.16580000;3.690;0.17500000;0.15850000;7711140.51860000
FIOUSDT;0.16580000;3.690;0.17500000;0.15850000;7711140.51860000
FIOUSDT;0.16580000;3.690;0.17500000;0.15850000;7711140.51860000
FIOUSDT;0.16580000;3.950;0.17500000;0.15850000;7686568.02810000
FIOUSDT;0.16580000;3.950;0.17500000;0.15850000;7686568.02810000
FIOUSDT;0.16580000;3.950;0.17500000;0.15850000;7686568.02810000
FIOUSDT;0.16580000;4.015;0.17500000;0.15850000;7677646.76120000
FIOUSDT;0.16580000;4.015;0.17500000;0.15850000;7677646.76120000
FIOUSDT;0.16580000;4.277;0.17500000;0.15850000;7673743.52450000
FIOUSDT;0.16580000;4.342;0.17500000;0.15850000;7665648.51220000
FIOUSDT;0.16580000;4.342;0.17500000;0.15850000;7665691.78600000
FIOUSDT;0.16580000;4.342;0.17500000;0.15850000;7665691.78600000
FIOUSDT;0.16580000;4.146;0.17500000;0.15850000;7665116.78870000
FIOUSDT;0.16580000;4.146;0.17500000;0.15850000;7665116.78870000
FIOUSDT;0.16580000;4.146;0.17500000;0.15850000;7665116.78870000
FIOUSDT;0.16570000;4.018;0.17500000;0.15850000;7663207.22650000
FIOUSDT;0.16570000;4.018;0.17500000;0.15850000;7663207.22650000
FIOUSDT;0.16570000;4.279;0.17500000;0.15850000;7659869.76910000
FIOUSDT;0.16570000;4.345;0.17500000;0.15850000;7659683.52870000
FIOUSDT;0.16560000;4.282;0.17500000;0.15850000;7660611.38550000
FIOUSDT;0.16560000;4.282;0.17500000;0.15850000;7660611.38550000
FIOUSDT;0.16550000;4.154;0.17500000;0.15850000;7660346.29060000
FIOUSDT;0.16540000;3.960;0.17500000;0.15850000;7660330.60640000
FIOUSDT;0.16540000;3.960;0.17500000;0.15850000;7660543.97240000
FIOUSDT;0.16530000;3.960;0.17500000;0.15850000;7660812.74740000
FIOUSDT;0.16530000;3.962;0.17500000;0.15850000;7660861.98240000
FIOUSDT;0.16530000;4.025;0.17500000;0.15850000;7661216.10380000
FIOUSDT;0.16530000;4.093;0.17500000;0.15850000;7661009.51830000
FIOUSDT;0.16530000;4.093;0.17500000;0.15850000;7661009.51830000
FIOUSDT;0.16530000;4.093;0.17500000;0.15850000;7661499.59410000
FIOUSDT;0.16530000;4.093;0.17500000;0.15850000;7661517.44650000
FIOUSDT;0.16530000;4.093;0.17500000;0.15850000;7661517.44650000
FIOUSDT;0.16530000;3.766;0.17500000;0.15870000;7650124.09820000
FIOUSDT;0.16530000;3.377;0.17500000;0.15870000;7636241.85820000
FIOUSDT;0.16520000;3.315;0.17500000;0.15870000;7635942.79330000
FIOUSDT;0.16550000;3.502;0.17500000;0.15870000;7636607.65330000
FIOUSDT;0.16550000;3.502;0.17500000;0.15870000;7636607.65330000
FIOUSDT;0.16550000;3.502;0.17500000;0.15870000;7636607.65330000
FIOUSDT;0.16550000;3.502;0.17500000;0.15870000;7636607.65330000
FIOUSDT;0.16550000;3.502;0.17500000;0.15870000;7636607.65330000
FIOUSDT;0.16550000;3.502;0.17500000;0.15870000;7636607.65330000
FIOUSDT;0.16550000;3.502;0.17500000;0.15870000;7636607.65330000
FIOUSDT;0.16550000;3.632;0.17500000;0.15870000;7630898.96020000
FIOUSDT;0.16550000;3.632;0.17500000;0.15870000;7630898.96020000
FIOUSDT;0.16550000;3.632;0.17500000;0.15870000;7630266.33120000
