Symbol;Price;Change24;Max24;Min24;Volume24
FIROUSDT;5.27500000;-0.246;5.56300000;5.05200000;1355140.13100000
FIROUSDT;5.27500000;-0.246;5.56300000;5.05200000;1355140.13100000
FIROUSDT;5.27500000;-0.246;5.56300000;5.05200000;1355140.13100000
FIROUSDT;5.27500000;-0.246;5.56300000;5.05200000;1355140.13100000
FIROUSDT;5.27500000;-0.246;5.56300000;5.05200000;1355140.13100000
FIROUSDT;5.27500000;-0.509;5.56300000;5.05200000;1351777.04060000
FIROUSDT;5.27500000;-0.490;5.56300000;5.05200000;1351712.35620000
FIROUSDT;5.27500000;-0.659;5.56300000;5.05200000;1351443.03930000
FIROUSDT;5.27500000;-0.715;5.56300000;5.05200000;1351080.89730000
FIROUSDT;5.27600000;-0.696;5.56300000;5.05200000;1351091.97690000
FIROUSDT;5.27600000;-0.696;5.56300000;5.05200000;1351091.97690000
FIROUSDT;5.27600000;-0.696;5.56300000;5.05200000;1351091.97690000
FIROUSDT;5.27600000;-0.696;5.56300000;5.05200000;1351091.97690000
FIROUSDT;5.27600000;-0.734;5.52400000;5.05200000;1277630.71590000
FIROUSDT;5.27600000;-1.272;5.52400000;5.05200000;1274735.71850000
FIROUSDT;5.27100000;-1.440;5.52400000;5.05200000;1270447.94030000
FIROUSDT;5.27100000;-1.458;5.52400000;5.05200000;1270397.11210000
FIROUSDT;5.27100000;-1.477;5.52400000;5.05200000;1267058.80120000
FIROUSDT;5.27100000;-1.255;5.52400000;5.05200000;1266381.03870000
FIROUSDT;5.27100000;-1.347;5.52400000;5.05200000;1266335.96640000
FIROUSDT;5.27400000;-1.365;5.52400000;5.05200000;1266417.68340000
FIROUSDT;5.27400000;-1.365;5.52400000;5.05200000;1266417.68340000
FIROUSDT;5.27400000;-1.088;5.52400000;5.05200000;1264373.55880000
FIROUSDT;5.27400000;-0.566;5.52400000;5.05200000;1259322.17020000
FIROUSDT;5.27400000;-0.566;5.52400000;5.05200000;1259322.17020000
FIROUSDT;5.27200000;-0.697;5.52400000;5.05200000;1256573.62820000
FIROUSDT;5.27200000;-0.697;5.52400000;5.05200000;1256573.62820000
FIROUSDT;5.27200000;-0.528;5.52400000;5.05200000;1256515.22920000
FIROUSDT;5.27200000;-0.528;5.52400000;5.05200000;1256515.22920000
FIROUSDT;5.27200000;-0.528;5.52400000;5.05200000;1256515.22920000
FIROUSDT;5.27200000;-0.734;5.52400000;5.05200000;1256313.01560000
FIROUSDT;5.27200000;-0.734;5.52400000;5.05200000;1256313.01560000
FIROUSDT;5.27200000;-0.734;5.52400000;5.05200000;1256313.01560000
FIROUSDT;5.27200000;-0.734;5.52400000;5.05200000;1256313.01560000
FIROUSDT;5.27200000;-0.734;5.52400000;5.05200000;1256313.01560000
FIROUSDT;5.27200000;-0.734;5.52400000;5.05200000;1256313.01560000
FIROUSDT;5.27200000;-0.528;5.52400000;5.05200000;1256201.52740000
