Symbol;Price;Change24;Max24;Min24;Volume24
FISUSDT;1.15190000;-0.475;1.20000000;1.11300000;1371881.84660000
FISUSDT;1.15190000;-0.475;1.20000000;1.11300000;1371881.84660000
FISUSDT;1.15190000;-0.475;1.20000000;1.11300000;1371881.84660000
FISUSDT;1.15230000;-0.268;1.20000000;1.11300000;1369378.48290000
FISUSDT;1.15230000;-0.268;1.20000000;1.11300000;1369378.48290000
FISUSDT;1.15230000;-0.268;1.20000000;1.11300000;1369378.48290000
FISUSDT;1.15230000;-0.216;1.20000000;1.11300000;1369213.26070000
FISUSDT;1.15230000;-0.535;1.20000000;1.11300000;1368317.08610000
FISUSDT;1.15050000;-0.535;1.20000000;1.11300000;1368233.67410000
FISUSDT;1.15050000;-0.691;1.20000000;1.11300000;1368290.06770000
FISUSDT;1.15050000;-0.372;1.20000000;1.11300000;1367206.86300000
FISUSDT;1.15050000;-0.372;1.20000000;1.11300000;1367206.86300000
FISUSDT;1.15050000;-0.372;1.20000000;1.11300000;1367206.86300000
FISUSDT;1.15050000;-0.372;1.20000000;1.11300000;1367206.86300000
FISUSDT;1.15050000;-0.372;1.20000000;1.11300000;1367206.86300000
FISUSDT;1.15000000;-0.398;1.20000000;1.11300000;1369450.16680000
FISUSDT;1.15000000;-0.553;1.20000000;1.11300000;1369373.96320000
FISUSDT;1.15000000;-0.553;1.20000000;1.11300000;1369609.71320000
FISUSDT;1.15000000;-0.553;1.20000000;1.11300000;1371395.66320000
FISUSDT;1.14900000;-0.553;1.20000000;1.11300000;1372419.16320000
FISUSDT;1.14900000;-0.640;1.20000000;1.11300000;1372461.67620000
FISUSDT;1.14900000;-0.640;1.20000000;1.11300000;1372461.67620000
FISUSDT;1.14900000;-0.640;1.20000000;1.11300000;1372461.67620000
FISUSDT;1.14900000;-0.640;1.20000000;1.11300000;1372461.67620000
FISUSDT;1.14900000;-0.640;1.20000000;1.11300000;1372461.67620000
FISUSDT;1.14900000;-0.700;1.20000000;1.11300000;1372420.04580000
FISUSDT;1.14900000;-0.700;1.20000000;1.11300000;1372420.04580000
FISUSDT;1.14900000;-0.700;1.20000000;1.11300000;1372420.04580000
FISUSDT;1.15570000;-0.121;1.20000000;1.11300000;1375330.62680000
FISUSDT;1.15570000;-0.121;1.20000000;1.11300000;1375330.62680000
FISUSDT;1.15570000;-0.121;1.20000000;1.11300000;1375330.62680000
FISUSDT;1.15570000;-0.121;1.20000000;1.11300000;1375330.62680000
FISUSDT;1.15500000;-0.207;1.20000000;1.11300000;1373555.30980000
FISUSDT;1.15500000;-0.268;1.20000000;1.11300000;1373728.55980000
FISUSDT;1.15500000;-0.276;1.20000000;1.11300000;1373514.31130000
FISUSDT;1.15500000;-0.164;1.20000000;1.11300000;1373408.91510000
FISUSDT;1.15500000;-0.164;1.20000000;1.11300000;1373542.89510000
FISUSDT;1.15500000;-0.164;1.20000000;1.11300000;1373542.89510000
FISUSDT;1.15500000;-0.268;1.20000000;1.11300000;1373503.56050000
FISUSDT;1.15500000;-0.268;1.20000000;1.11300000;1373503.56050000
FISUSDT;1.15500000;-0.268;1.20000000;1.11300000;1373528.97050000
FISUSDT;1.15060000;-0.648;1.20000000;1.11300000;1374123.88960000
FISUSDT;1.15060000;-0.648;1.20000000;1.11300000;1374123.88960000
