Symbol;Price;Change24;Max24;Min24;Volume24
FLMUSDT;0.36170000;1.345;0.37600000;0.34310000;2781884.61890000
FLMUSDT;0.36170000;1.345;0.37600000;0.34310000;2781884.61890000
FLMUSDT;0.36170000;1.345;0.37600000;0.34310000;2781884.61890000
FLMUSDT;0.36170000;1.317;0.37600000;0.34310000;2781459.19410000
FLMUSDT;0.36170000;1.317;0.37600000;0.34310000;2781459.19410000
FLMUSDT;0.36170000;1.317;0.37600000;0.34310000;2781459.19410000
FLMUSDT;0.36110000;1.177;0.37600000;0.34310000;2781072.78720000
FLMUSDT;0.36110000;1.234;0.37600000;0.34310000;2780865.78520000
FLMUSDT;0.36140000;1.232;0.37600000;0.34310000;2780686.89570000
FLMUSDT;0.36170000;1.204;0.37600000;0.34310000;2780819.48420000
FLMUSDT;0.36160000;1.203;0.37600000;0.34310000;2782013.70170000
FLMUSDT;0.36170000;1.288;0.37600000;0.34310000;2782448.82260000
FLMUSDT;0.36170000;1.288;0.37600000;0.34310000;2782448.82260000
FLMUSDT;0.36120000;1.318;0.37600000;0.34310000;2782373.76970000
FLMUSDT;0.36120000;1.290;0.37600000;0.34310000;2781892.91240000
FLMUSDT;0.36100000;1.234;0.37600000;0.34310000;2781906.99140000
FLMUSDT;0.36100000;1.205;0.37600000;0.34310000;2781855.72440000
FLMUSDT;0.36100000;1.205;0.37600000;0.34310000;2781855.72440000
FLMUSDT;0.36090000;1.121;0.37600000;0.34310000;2781629.86220000
FLMUSDT;0.36080000;1.092;0.37600000;0.34310000;2783129.15580000
FLMUSDT;0.36020000;0.896;0.37600000;0.34310000;2785950.06810000
FLMUSDT;0.36040000;1.037;0.37600000;0.34310000;2785816.70650000
FLMUSDT;0.36030000;1.066;0.37600000;0.34310000;2785352.69890000
FLMUSDT;0.36030000;0.869;0.37600000;0.34310000;2786205.17160000
FLMUSDT;0.36030000;0.953;0.37600000;0.34310000;2786218.14240000
FLMUSDT;0.36030000;0.614;0.37600000;0.34310000;2785067.20100000
FLMUSDT;0.36030000;0.671;0.37600000;0.34310000;2784174.61210000
FLMUSDT;0.36030000;0.671;0.37600000;0.34310000;2784174.61210000
FLMUSDT;0.36030000;0.671;0.37600000;0.34310000;2784174.61210000
FLMUSDT;0.36030000;0.783;0.37600000;0.34310000;2784145.26430000
FLMUSDT;0.36030000;0.727;0.37600000;0.34310000;2783755.58930000
FLMUSDT;0.36030000;0.727;0.37600000;0.34310000;2783755.58930000
FLMUSDT;0.36090000;0.895;0.37600000;0.34310000;2783245.21970000
FLMUSDT;0.36090000;0.866;0.37600000;0.34310000;2783215.89240000
FLMUSDT;0.36090000;0.838;0.37600000;0.34310000;2782976.10440000
FLMUSDT;0.36060000;0.952;0.37600000;0.34310000;2782022.91420000
FLMUSDT;0.36070000;0.980;0.37600000;0.34310000;2782077.37990000
FLMUSDT;0.36090000;1.036;0.37600000;0.34310000;2779090.11770000
FLMUSDT;0.36090000;0.810;0.37600000;0.34310000;2778808.88600000
FLMUSDT;0.36090000;0.979;0.37600000;0.34310000;2778272.42130000
FLMUSDT;0.36080000;0.923;0.37600000;0.34310000;2777881.12440000
FLMUSDT;0.36080000;0.810;0.37600000;0.34310000;2777936.53300000
FLMUSDT;0.36090000;0.810;0.37600000;0.34310000;2776935.10180000
FLMUSDT;0.36090000;0.810;0.37600000;0.34310000;2776935.10180000
FLMUSDT;0.36090000;0.810;0.37600000;0.34310000;2776935.10180000
FLMUSDT;0.36110000;0.810;0.37600000;0.34310000;2776885.33980000
FLMUSDT;0.36110000;0.979;0.37600000;0.34310000;2776788.72170000
FLMUSDT;0.36110000;1.007;0.37600000;0.34310000;2775260.38020000
FLMUSDT;0.36110000;0.979;0.37600000;0.34310000;2774939.01070000
FLMUSDT;0.36110000;0.979;0.37600000;0.34310000;2774939.01070000
FLMUSDT;0.36120000;0.978;0.37600000;0.34310000;2776840.57460000
FLMUSDT;0.36120000;0.978;0.37600000;0.34310000;2776840.57460000
FLMUSDT;0.36120000;0.894;0.37600000;0.34310000;2776701.07160000
FLMUSDT;0.36150000;0.894;0.37600000;0.34310000;2776478.01940000
FLMUSDT;0.36170000;1.034;0.37600000;0.34310000;2776611.58840000
FLMUSDT;0.36170000;1.034;0.37600000;0.34310000;2776711.39080000
FLMUSDT;0.36110000;0.866;0.37600000;0.34310000;2777225.23610000
FLMUSDT;0.36110000;0.866;0.37600000;0.34310000;2777205.54610000
FLMUSDT;0.36110000;0.838;0.37600000;0.34310000;2774961.00610000
FLMUSDT;0.36110000;0.810;0.37600000;0.34310000;2774168.36930000
FLMUSDT;0.36190000;0.977;0.37600000;0.34310000;2770954.75690000
FLMUSDT;0.36120000;0.838;0.37600000;0.34310000;2771175.51780000
FLMUSDT;0.36120000;0.838;0.37600000;0.34310000;2771175.51780000
FLMUSDT;0.36140000;0.894;0.37600000;0.34310000;2771758.89280000
FLMUSDT;0.36090000;0.923;0.37600000;0.34310000;2771853.89570000
FLMUSDT;0.36090000;1.177;0.37600000;0.34310000;2770409.43370000
FLMUSDT;0.36090000;1.433;0.37600000;0.34310000;2769837.66770000
FLMUSDT;0.36090000;1.319;0.37600000;0.34310000;2769379.11940000
FLMUSDT;0.36070000;1.008;0.37600000;0.34310000;2768182.16300000
FLMUSDT;0.36070000;1.008;0.37600000;0.34310000;2768182.16300000
FLMUSDT;0.36050000;0.952;0.37600000;0.34310000;2768050.22430000
FLMUSDT;0.36070000;1.036;0.37600000;0.34310000;2766633.71100000
FLMUSDT;0.35940000;0.786;0.37600000;0.34310000;2768619.12390000
FLMUSDT;0.35940000;1.125;0.37600000;0.34310000;2768263.03270000
FLMUSDT;0.35900000;0.955;0.37600000;0.34310000;2768426.86420000
FLMUSDT;0.35900000;0.871;0.37600000;0.34310000;2770463.46810000
FLMUSDT;0.35900000;0.985;0.37600000;0.34310000;2770024.93310000
FLMUSDT;0.35930000;1.069;0.37600000;0.34310000;2768245.67500000
FLMUSDT;0.36010000;1.209;0.37600000;0.34310000;2767953.02000000
FLMUSDT;0.36030000;1.179;0.37600000;0.34310000;2767991.80560000
FLMUSDT;0.35990000;0.925;0.37600000;0.34310000;2766155.76030000
FLMUSDT;0.35990000;0.925;0.37600000;0.34310000;2766127.93970000
FLMUSDT;0.35990000;0.925;0.37600000;0.34310000;2766127.93970000
FLMUSDT;0.35990000;0.925;0.37600000;0.34310000;2766127.93970000
FLMUSDT;0.35990000;0.925;0.37600000;0.34310000;2766127.93970000
FLMUSDT;0.35990000;0.925;0.37600000;0.34310000;2766041.64940000
FLMUSDT;0.36000000;0.925;0.37600000;0.34310000;2766060.04720000
FLMUSDT;0.36000000;0.897;0.37600000;0.34310000;2765355.01320000
FLMUSDT;0.36010000;0.869;0.37600000;0.34310000;2765412.59720000
FLMUSDT;0.36030000;0.981;0.37600000;0.34310000;2767115.49520000
FLMUSDT;0.36030000;0.981;0.37600000;0.34310000;2767115.49520000
FLMUSDT;0.36030000;0.924;0.37600000;0.34310000;2767063.04560000
FLMUSDT;0.36030000;0.924;0.37600000;0.34310000;2767063.04560000
FLMUSDT;0.36040000;0.952;0.37600000;0.34310000;2767151.70400000
FLMUSDT;0.36040000;0.896;0.37600000;0.34310000;2766978.55900000
