Symbol;Price;Change24;Max24;Min24;Volume24
FLOWUSDT;8.72000000;0.693;8.83000000;8.49000000;11359898.34840000
FLOWUSDT;8.72000000;0.693;8.83000000;8.49000000;11359655.95500000
FLOWUSDT;8.72000000;0.693;8.83000000;8.49000000;11359786.45880000
FLOWUSDT;8.72000000;0.577;8.83000000;8.49000000;11344085.82280000
FLOWUSDT;8.72000000;0.577;8.83000000;8.49000000;11344085.82280000
FLOWUSDT;8.72000000;0.577;8.83000000;8.49000000;11331055.89100000
FLOWUSDT;8.72000000;0.461;8.83000000;8.49000000;11329499.36940000
FLOWUSDT;8.72000000;0.693;8.83000000;8.49000000;11327756.61370000
FLOWUSDT;8.72000000;0.577;8.83000000;8.49000000;11327067.57080000
FLOWUSDT;8.72000000;0.577;8.83000000;8.49000000;11326935.92800000
FLOWUSDT;8.72000000;0.577;8.83000000;8.49000000;11326766.02900000
FLOWUSDT;8.72000000;0.577;8.83000000;8.49000000;11325937.90840000
FLOWUSDT;8.72000000;0.809;8.83000000;8.49000000;11314305.88100000
FLOWUSDT;8.72000000;0.926;8.83000000;8.49000000;11295720.98230000
FLOWUSDT;8.72000000;1.043;8.83000000;8.49000000;11293501.77640000
FLOWUSDT;8.72000000;0.926;8.83000000;8.49000000;11292824.14740000
FLOWUSDT;8.72000000;0.926;8.83000000;8.49000000;11290507.12330000
FLOWUSDT;8.71000000;0.694;8.83000000;8.49000000;11293832.24080000
FLOWUSDT;8.72000000;0.809;8.83000000;8.49000000;11287979.79050000
FLOWUSDT;8.72000000;0.693;8.83000000;8.49000000;11287268.15500000
FLOWUSDT;8.72000000;0.693;8.83000000;8.49000000;11287221.24870000
FLOWUSDT;8.72000000;0.693;8.83000000;8.49000000;11288850.25920000
FLOWUSDT;8.72000000;0.693;8.83000000;8.49000000;11288850.25920000
FLOWUSDT;8.71000000;0.694;8.83000000;8.49000000;11288889.99070000
FLOWUSDT;8.71000000;0.694;8.83000000;8.49000000;11289341.69130000
FLOWUSDT;8.72000000;0.577;8.83000000;8.49000000;11292766.61460000
FLOWUSDT;8.71000000;0.461;8.83000000;8.49000000;11293800.92710000
FLOWUSDT;8.71000000;0.461;8.83000000;8.49000000;11293972.77540000
FLOWUSDT;8.70000000;0.577;8.83000000;8.49000000;11293419.56790000
FLOWUSDT;8.71000000;0.462;8.83000000;8.49000000;11293546.23990000
FLOWUSDT;8.71000000;0.694;8.83000000;8.49000000;11294004.61070000
FLOWUSDT;8.72000000;0.809;8.83000000;8.49000000;11289016.28000000
FLOWUSDT;8.72000000;0.693;8.83000000;8.49000000;11288616.30400000
FLOWUSDT;8.72000000;0.693;8.83000000;8.49000000;11288543.27700000
FLOWUSDT;8.72000000;0.693;8.83000000;8.49000000;11288716.19460000
FLOWUSDT;8.72000000;0.693;8.83000000;8.49000000;11288532.25620000
FLOWUSDT;8.72000000;0.926;8.83000000;8.49000000;11287910.37940000
FLOWUSDT;8.72000000;0.809;8.83000000;8.49000000;11271715.22390000
FLOWUSDT;8.70000000;0.578;8.83000000;8.49000000;11311032.95590000
FLOWUSDT;8.71000000;0.810;8.83000000;8.49000000;11305130.44670000
FLOWUSDT;8.71000000;0.810;8.83000000;8.49000000;11304945.72350000
FLOWUSDT;8.71000000;0.810;8.83000000;8.49000000;11293284.58180000
FLOWUSDT;8.71000000;0.810;8.83000000;8.49000000;11292694.65150000
FLOWUSDT;8.71000000;0.810;8.83000000;8.49000000;11296173.71960000
FLOWUSDT;8.71000000;0.810;8.83000000;8.49000000;11298865.18970000
FLOWUSDT;8.72000000;0.926;8.83000000;8.49000000;11299038.10730000
FLOWUSDT;8.71000000;1.043;8.83000000;8.49000000;11299194.66250000
FLOWUSDT;8.72000000;0.926;8.83000000;8.49000000;11289836.24880000
FLOWUSDT;8.72000000;0.926;8.83000000;8.49000000;11291361.63840000
FLOWUSDT;8.72000000;1.043;8.83000000;8.49000000;11293853.84640000
FLOWUSDT;8.72000000;0.926;8.83000000;8.49000000;11289321.96830000
FLOWUSDT;8.72000000;0.809;8.83000000;8.49000000;11289459.72110000
FLOWUSDT;8.72000000;0.809;8.83000000;8.49000000;11289286.80760000
FLOWUSDT;8.72000000;0.809;8.83000000;8.49000000;11289459.63800000
FLOWUSDT;8.72000000;0.809;8.83000000;8.49000000;11289255.09460000
FLOWUSDT;8.72000000;0.809;8.83000000;8.49000000;11288551.76310000
FLOWUSDT;8.71000000;0.694;8.83000000;8.49000000;11290663.61260000
FLOWUSDT;8.71000000;0.809;8.83000000;8.49000000;11291715.36650000
FLOWUSDT;8.71000000;0.694;8.83000000;8.49000000;11294665.59830000
FLOWUSDT;8.72000000;0.693;8.83000000;8.49000000;11294780.63900000
FLOWUSDT;8.72000000;0.693;8.83000000;8.49000000;11296681.32190000
FLOWUSDT;8.72000000;0.809;8.83000000;8.49000000;11283985.40870000
FLOWUSDT;8.73000000;0.925;8.83000000;8.49000000;11285603.44620000
FLOWUSDT;8.73000000;0.808;8.83000000;8.49000000;11282303.43960000
FLOWUSDT;8.72000000;0.693;8.83000000;8.49000000;11287787.34930000
FLOWUSDT;8.72000000;1.043;8.83000000;8.49000000;11279771.47210000
FLOWUSDT;8.72000000;0.926;8.83000000;8.49000000;11279512.45730000
FLOWUSDT;8.73000000;1.159;8.83000000;8.49000000;11309952.75910000
FLOWUSDT;8.74000000;1.392;8.83000000;8.49000000;11286801.39040000
FLOWUSDT;8.74000000;1.275;8.83000000;8.49000000;11283114.57640000
FLOWUSDT;8.73000000;1.394;8.83000000;8.49000000;11287373.09550000
FLOWUSDT;8.73000000;0.808;8.83000000;8.49000000;11273449.07080000
FLOWUSDT;8.73000000;0.925;8.83000000;8.49000000;11267097.34470000
FLOWUSDT;8.73000000;0.809;8.83000000;8.49000000;11271576.18600000
FLOWUSDT;8.72000000;0.926;8.83000000;8.49000000;11251790.07990000
FLOWUSDT;8.72000000;0.694;8.83000000;8.49000000;11251773.80580000
FLOWUSDT;8.71000000;0.694;8.83000000;8.49000000;11252182.93680000
FLOWUSDT;8.72000000;1.043;8.83000000;8.49000000;11255158.93350000
FLOWUSDT;8.72000000;1.160;8.83000000;8.49000000;11242326.81140000
FLOWUSDT;8.71000000;1.043;8.83000000;8.49000000;11236251.95520000
FLOWUSDT;8.72000000;1.043;8.83000000;8.49000000;11235694.61600000
FLOWUSDT;8.72000000;0.926;8.83000000;8.49000000;11235049.29570000
FLOWUSDT;8.72000000;0.926;8.83000000;8.49000000;11235843.49750000
FLOWUSDT;8.72000000;0.926;8.83000000;8.49000000;11235623.26390000
FLOWUSDT;8.72000000;0.926;8.83000000;8.49000000;11235524.78950000
FLOWUSDT;8.72000000;0.926;8.83000000;8.49000000;11235524.78950000
FLOWUSDT;8.71000000;0.810;8.83000000;8.49000000;11243015.42070000
FLOWUSDT;8.72000000;0.926;8.83000000;8.49000000;11243064.66830000
FLOWUSDT;8.72000000;0.926;8.83000000;8.49000000;11242694.27150000
FLOWUSDT;8.72000000;0.926;8.83000000;8.49000000;11242694.12910000
FLOWUSDT;8.72000000;0.926;8.83000000;8.49000000;11244250.30030000
FLOWUSDT;8.72000000;0.926;8.83000000;8.49000000;11244066.44110000
FLOWUSDT;8.71000000;1.043;8.83000000;8.49000000;11239959.75950000
FLOWUSDT;8.72000000;1.043;8.83000000;8.49000000;11240835.15120000
FLOWUSDT;8.72000000;0.926;8.83000000;8.49000000;11240412.08100000
FLOWUSDT;8.72000000;0.809;8.83000000;8.49000000;11240431.99380000
FLOWUSDT;8.72000000;0.809;8.83000000;8.49000000;11236251.87770000
FLOWUSDT;8.72000000;0.693;8.83000000;8.49000000;11234397.83670000
FLOWUSDT;8.71000000;0.809;8.83000000;8.49000000;11234397.72690000
FLOWUSDT;8.71000000;0.694;8.83000000;8.49000000;11241074.60780000
FLOWUSDT;8.72000000;0.694;8.83000000;8.49000000;11241510.45620000
FLOWUSDT;8.72000000;0.809;8.83000000;8.49000000;11241543.41250000
FLOWUSDT;8.72000000;0.809;8.83000000;8.49000000;11241534.16040000
FLOWUSDT;8.72000000;0.809;8.83000000;8.49000000;11241534.16040000
FLOWUSDT;8.72000000;0.926;8.83000000;8.49000000;11240928.31850000
FLOWUSDT;8.72000000;0.926;8.83000000;8.49000000;11239862.50970000
FLOWUSDT;8.72000000;0.810;8.83000000;8.49000000;11241059.61150000
FLOWUSDT;8.72000000;0.926;8.83000000;8.49000000;11241047.54590000
FLOWUSDT;8.72000000;0.926;8.83000000;8.49000000;11241332.42830000
FLOWUSDT;8.72000000;1.043;8.83000000;8.49000000;11241118.41550000
FLOWUSDT;8.72000000;1.043;8.83000000;8.49000000;11241105.06930000
FLOWUSDT;8.71000000;0.926;8.83000000;8.49000000;11241227.15230000
