Symbol;Price;Change24;Max24;Min24;Volume24
FLUXUSDT;2.19100000;12.244;2.34800000;1.89000000;14997169.05047000
FLUXUSDT;2.18900000;12.141;2.34800000;1.89000000;14999676.56937000
FLUXUSDT;2.18100000;11.789;2.34800000;1.89000000;15015548.21955000
FLUXUSDT;2.17800000;11.789;2.34800000;1.89000000;15026348.72696000
FLUXUSDT;2.17800000;11.686;2.34800000;1.89000000;15066188.95411000
FLUXUSDT;2.18100000;11.738;2.34800000;1.89000000;15073465.99664000
FLUXUSDT;2.17400000;11.538;2.34800000;1.89000000;15074143.33092000
FLUXUSDT;2.18500000;12.051;2.34800000;1.89000000;15092861.09452000
FLUXUSDT;2.18800000;12.205;2.34800000;1.89000000;15091550.67085000
FLUXUSDT;2.19300000;12.615;2.34800000;1.89000000;15094176.03480000
FLUXUSDT;2.19000000;12.256;2.34800000;1.89000000;15095832.41072000
FLUXUSDT;2.19200000;12.423;2.34800000;1.89000000;15096504.12239000
FLUXUSDT;2.19100000;12.417;2.34800000;1.89000000;15097457.77707000
FLUXUSDT;2.17700000;11.698;2.34800000;1.89000000;15101904.74214000
FLUXUSDT;2.18300000;12.211;2.34800000;1.89000000;15108916.09944000
FLUXUSDT;2.18600000;12.218;2.34800000;1.89000000;15108179.42899000
FLUXUSDT;2.18200000;11.897;2.34800000;1.89000000;15109306.94403000
FLUXUSDT;2.18000000;11.897;2.34800000;1.89000000;15107788.05577000
FLUXUSDT;2.17700000;11.852;2.34800000;1.89000000;15104834.03748000
FLUXUSDT;2.18400000;11.967;2.34800000;1.89000000;15112715.81005000
FLUXUSDT;2.18200000;12.185;2.34800000;1.89000000;15128788.92058000
FLUXUSDT;2.17800000;12.185;2.34800000;1.89000000;15128761.72120000
FLUXUSDT;2.17900000;12.134;2.34800000;1.89000000;15154206.61657000
FLUXUSDT;2.17700000;11.928;2.34800000;1.89000000;15160922.57700000
FLUXUSDT;2.17100000;11.677;2.34800000;1.89000000;15177137.40754000
FLUXUSDT;2.17700000;12.076;2.34800000;1.89000000;15234821.65782000
FLUXUSDT;2.17600000;11.922;2.34800000;1.89000000;15244789.91043000
FLUXUSDT;2.17900000;11.967;2.34800000;1.89000000;15252709.13264000
FLUXUSDT;2.17500000;11.756;2.34800000;1.89000000;15262403.80018000
FLUXUSDT;2.17400000;11.499;2.34800000;1.89000000;15267472.47014000
FLUXUSDT;2.18000000;11.533;2.34800000;1.89000000;15272489.88180000
FLUXUSDT;2.17900000;11.367;2.34800000;1.89000000;15271110.11586000
FLUXUSDT;2.18400000;12.033;2.34800000;1.89000000;15273473.51386000
FLUXUSDT;2.17600000;11.470;2.34800000;1.89000000;15280097.18690000
FLUXUSDT;2.17900000;11.521;2.34800000;1.89000000;15280786.77374000
FLUXUSDT;2.18000000;11.629;2.34800000;1.89000000;15283627.09019000
FLUXUSDT;2.18800000;12.033;2.34800000;1.89000000;15283418.16222000
FLUXUSDT;2.19200000;11.668;2.34800000;1.89000000;15290948.05807000
FLUXUSDT;2.18400000;11.599;2.34800000;1.89000000;15289120.72728000
FLUXUSDT;2.18400000;11.599;2.34800000;1.89000000;15306870.84894000
FLUXUSDT;2.19000000;11.906;2.34800000;1.89000000;15324744.62269000
FLUXUSDT;2.19300000;12.289;2.34800000;1.89000000;15335328.75356000
FLUXUSDT;2.19900000;12.890;2.34800000;1.89000000;15346635.66689000
FLUXUSDT;2.20300000;12.685;2.34800000;1.89000000;15356201.70280000
FLUXUSDT;2.20900000;12.692;2.34800000;1.89000000;15362270.69967000
FLUXUSDT;2.20400000;12.692;2.34800000;1.89000000;15368871.20535000
FLUXUSDT;2.20000000;12.890;2.34800000;1.89000000;15373629.84049000
FLUXUSDT;2.20100000;12.788;2.34800000;1.89000000;15378625.91970000
FLUXUSDT;2.20600000;12.634;2.34800000;1.89000000;15391249.72863000
FLUXUSDT;2.20600000;13.095;2.34800000;1.89000000;15403936.35512000
FLUXUSDT;2.20700000;12.883;2.34800000;1.89000000;15404811.17278000
FLUXUSDT;2.21100000;12.935;2.34800000;1.89000000;15409231.88460000
FLUXUSDT;2.21300000;13.190;2.34800000;1.89000000;15429539.20075000
FLUXUSDT;2.21400000;13.088;2.34800000;1.89000000;15448957.62815000
FLUXUSDT;2.21900000;13.139;2.34800000;1.89000000;15456374.41320000
FLUXUSDT;2.22400000;13.701;2.34800000;1.89000000;15468351.41457000
FLUXUSDT;2.22000000;13.446;2.34800000;1.89000000;15493288.34442000
FLUXUSDT;2.22300000;13.753;2.34800000;1.89000000;15501305.43356000
FLUXUSDT;2.22600000;13.599;2.34800000;1.89000000;15502916.04406000
FLUXUSDT;2.22300000;13.804;2.34800000;1.89000000;15529080.49346000
FLUXUSDT;2.17800000;11.350;2.34800000;1.89000000;15808810.51061000
