Symbol;Price;Change24;Max24;Min24;Volume24
FORTHUSDT;9.41000000;-0.529;9.61000000;9.20000000;585326.76900000
FORTHUSDT;9.41000000;-0.529;9.61000000;9.20000000;585326.76900000
FORTHUSDT;9.41000000;-0.529;9.61000000;9.20000000;585326.76900000
FORTHUSDT;9.41000000;-0.529;9.61000000;9.20000000;585326.76900000
FORTHUSDT;9.41000000;-0.529;9.61000000;9.20000000;585326.76900000
FORTHUSDT;9.41000000;-0.529;9.61000000;9.20000000;585326.76900000
FORTHUSDT;9.41000000;-0.529;9.61000000;9.20000000;585326.76900000
FORTHUSDT;9.41000000;-0.529;9.61000000;9.20000000;585326.76900000
FORTHUSDT;9.41000000;-0.529;9.61000000;9.20000000;585326.76900000
FORTHUSDT;9.41000000;-0.529;9.61000000;9.20000000;585326.76900000
FORTHUSDT;9.41000000;-0.529;9.61000000;9.20000000;585326.76900000
FORTHUSDT;9.41000000;-0.529;9.61000000;9.20000000;585326.76900000
FORTHUSDT;9.41000000;-0.529;9.61000000;9.20000000;585326.76900000
FORTHUSDT;9.41000000;-0.423;9.61000000;9.20000000;583944.23080000
FORTHUSDT;9.41000000;-0.423;9.61000000;9.20000000;583944.23080000
FORTHUSDT;9.39000000;-0.530;9.61000000;9.20000000;582431.35140000
FORTHUSDT;9.39000000;-0.530;9.61000000;9.20000000;582431.35140000
FORTHUSDT;9.39000000;-0.530;9.61000000;9.20000000;582431.35140000
FORTHUSDT;9.39000000;-0.530;9.61000000;9.20000000;582431.35140000
FORTHUSDT;9.39000000;-0.530;9.61000000;9.20000000;582431.35140000
FORTHUSDT;9.39000000;-0.530;9.61000000;9.20000000;582431.35140000
FORTHUSDT;9.39000000;-0.740;9.61000000;9.20000000;582905.27910000
FORTHUSDT;9.39000000;-0.740;9.61000000;9.20000000;582905.27910000
FORTHUSDT;9.39000000;-0.740;9.61000000;9.20000000;582905.27910000
FORTHUSDT;9.39000000;-0.740;9.61000000;9.20000000;582905.27910000
FORTHUSDT;9.39000000;-0.740;9.61000000;9.20000000;582905.27910000
FORTHUSDT;9.39000000;-0.740;9.61000000;9.20000000;582905.27910000
FORTHUSDT;9.39000000;-0.740;9.61000000;9.20000000;582905.27910000
FORTHUSDT;9.39000000;-0.740;9.61000000;9.20000000;582905.27910000
FORTHUSDT;9.39000000;-0.740;9.61000000;9.20000000;582905.27910000
FORTHUSDT;9.39000000;-0.740;9.61000000;9.20000000;582905.27910000
FORTHUSDT;9.39000000;-0.740;9.61000000;9.20000000;582905.27910000
FORTHUSDT;9.39000000;-0.740;9.61000000;9.20000000;582905.27910000
FORTHUSDT;9.39000000;-0.740;9.61000000;9.20000000;582905.27910000
FORTHUSDT;9.39000000;-0.635;9.61000000;9.20000000;582860.81710000
FORTHUSDT;9.39000000;-0.635;9.61000000;9.20000000;582860.81710000
FORTHUSDT;9.39000000;-0.635;9.61000000;9.20000000;582860.81710000
FORTHUSDT;9.39000000;-0.635;9.61000000;9.20000000;582860.81710000
FORTHUSDT;9.39000000;-0.740;9.61000000;9.20000000;581136.67120000
FORTHUSDT;9.39000000;-0.740;9.61000000;9.20000000;581136.67120000
FORTHUSDT;9.39000000;-0.740;9.61000000;9.20000000;581136.67120000
FORTHUSDT;9.39000000;-0.740;9.61000000;9.20000000;581136.67120000
FORTHUSDT;9.39000000;-0.740;9.61000000;9.20000000;581136.67120000
FORTHUSDT;9.39000000;-0.740;9.61000000;9.20000000;581136.67120000
FORTHUSDT;9.39000000;-0.740;9.61000000;9.20000000;581136.67120000
FORTHUSDT;9.39000000;-0.740;9.61000000;9.20000000;581136.67120000
FORTHUSDT;9.39000000;-0.740;9.61000000;9.20000000;581123.80560000
FORTHUSDT;9.39000000;-0.740;9.61000000;9.20000000;581123.80560000
FORTHUSDT;9.39000000;-0.740;9.61000000;9.20000000;581123.80560000
FORTHUSDT;9.39000000;-0.740;9.61000000;9.20000000;581123.80560000
FORTHUSDT;9.39000000;-0.740;9.61000000;9.20000000;581123.80560000
FORTHUSDT;9.39000000;-0.740;9.61000000;9.20000000;581123.80560000
FORTHUSDT;9.39000000;-0.740;9.61000000;9.20000000;581123.73070000
FORTHUSDT;9.39000000;-0.740;9.61000000;9.20000000;581123.73070000
FORTHUSDT;9.39000000;-0.740;9.61000000;9.20000000;581076.43070000
FORTHUSDT;9.39000000;-0.740;9.61000000;9.20000000;581076.43070000
FORTHUSDT;9.39000000;-0.740;9.61000000;9.20000000;581076.43070000
FORTHUSDT;9.39000000;-0.740;9.61000000;9.20000000;581076.43070000
FORTHUSDT;9.39000000;-0.740;9.61000000;9.20000000;581029.13070000
FORTHUSDT;9.39000000;-0.740;9.61000000;9.20000000;581029.13070000
FORTHUSDT;9.39000000;-0.740;9.61000000;9.20000000;581044.99980000
FORTHUSDT;9.39000000;-0.949;9.61000000;9.20000000;579420.46950000
FORTHUSDT;9.39000000;-0.949;9.61000000;9.20000000;579420.46950000
FORTHUSDT;9.39000000;-0.845;9.61000000;9.20000000;578591.34990000
FORTHUSDT;9.39000000;-0.845;9.61000000;9.20000000;578591.34990000
FORTHUSDT;9.37000000;-1.056;9.61000000;9.20000000;578861.76810000
FORTHUSDT;9.37000000;-1.056;9.61000000;9.20000000;578861.76810000
FORTHUSDT;9.37000000;-1.056;9.61000000;9.20000000;578861.76810000
FORTHUSDT;9.37000000;-1.056;9.61000000;9.20000000;578861.76810000
FORTHUSDT;9.37000000;-1.056;9.61000000;9.20000000;578861.76810000
FORTHUSDT;9.37000000;-1.056;9.61000000;9.20000000;578861.76810000
FORTHUSDT;9.38000000;-0.319;9.61000000;9.20000000;583431.08940000
FORTHUSDT;9.38000000;-0.319;9.61000000;9.20000000;585378.00220000
FORTHUSDT;9.38000000;-0.319;9.61000000;9.20000000;585266.71320000
FORTHUSDT;9.39000000;0.000;9.61000000;9.20000000;586684.69580000
FORTHUSDT;9.39000000;0.000;9.61000000;9.20000000;586684.69580000
FORTHUSDT;9.39000000;0.000;9.61000000;9.20000000;586684.69580000
FORTHUSDT;9.39000000;0.000;9.61000000;9.20000000;586694.64920000
FORTHUSDT;9.39000000;0.000;9.61000000;9.20000000;586694.64920000
FORTHUSDT;9.39000000;0.000;9.61000000;9.20000000;586694.64920000
FORTHUSDT;9.39000000;0.000;9.61000000;9.20000000;586694.64920000
FORTHUSDT;9.39000000;0.000;9.61000000;9.20000000;586694.64920000
FORTHUSDT;9.39000000;0.000;9.61000000;9.20000000;586694.64920000
FORTHUSDT;9.39000000;0.000;9.61000000;9.20000000;586694.64920000
FORTHUSDT;9.39000000;0.000;9.61000000;9.20000000;586694.64920000
FORTHUSDT;9.39000000;0.000;9.61000000;9.20000000;586694.64920000
