Symbol;Price;Change24;Max24;Min24;Volume24
FORUSDT;0.07487000;-0.782;0.08255000;0.07296000;15979552.32574000
FORUSDT;0.07488000;-0.756;0.08255000;0.07296000;15978810.35932000
FORUSDT;0.07481000;-1.032;0.08255000;0.07296000;15966838.96396000
FORUSDT;0.07481000;-1.058;0.08255000;0.07296000;15962203.54740000
FORUSDT;0.07481000;-1.384;0.08255000;0.07296000;15955330.07915000
FORUSDT;0.07480000;-1.202;0.08255000;0.07296000;15947785.07171000
FORUSDT;0.07480000;-1.228;0.08255000;0.07296000;15947369.04526000
FORUSDT;0.07471000;-1.670;0.08255000;0.07296000;15915370.74372000
FORUSDT;0.07473000;-1.710;0.08255000;0.07296000;15916020.91253000
FORUSDT;0.07471000;-1.697;0.08255000;0.07296000;15910641.99303000
FORUSDT;0.07470000;-1.736;0.08255000;0.07296000;15910020.35543000
FORUSDT;0.07473000;-1.774;0.08255000;0.07296000;15906394.99338000
FORUSDT;0.07473000;-1.671;0.08255000;0.07296000;15900023.27692000
FORUSDT;0.07471000;-1.697;0.08255000;0.07296000;15899935.06639000
FORUSDT;0.07473000;-1.749;0.08255000;0.07296000;15899659.40970000
FORUSDT;0.07470000;-1.568;0.08255000;0.07296000;15898650.10358000
FORUSDT;0.07470000;-1.503;0.08255000;0.07296000;15894080.30330000
FORUSDT;0.07472000;-1.530;0.08255000;0.07296000;15893955.31770000
FORUSDT;0.07472000;-1.477;0.08255000;0.07296000;15894377.03770000
FORUSDT;0.07472000;-1.242;0.08255000;0.07296000;15887808.98354000
FORUSDT;0.07470000;-1.477;0.08255000;0.07296000;15887662.80896000
FORUSDT;0.07470000;-1.425;0.08255000;0.07296000;15887647.72078000
FORUSDT;0.07470000;-1.386;0.08255000;0.07296000;15887241.29393000
FORUSDT;0.07466000;-1.374;0.08255000;0.07296000;15891859.47050000
FORUSDT;0.07465000;-1.374;0.08255000;0.07296000;15888267.00905000
FORUSDT;0.07465000;-1.413;0.08255000;0.07296000;15887371.84350000
FORUSDT;0.07465000;-1.608;0.08255000;0.07296000;15886482.57853000
FORUSDT;0.07465000;-1.582;0.08255000;0.07296000;15886535.50538000
FORUSDT;0.07465000;-1.452;0.08255000;0.07296000;15886046.65866000
FORUSDT;0.07465000;-1.426;0.08255000;0.07296000;15878222.48637000
FORUSDT;0.07465000;-1.400;0.08255000;0.07296000;15878049.51905000
FORUSDT;0.07465000;-1.400;0.08255000;0.07296000;15878231.37236000
FORUSDT;0.07465000;-1.322;0.08255000;0.07296000;15878397.32686000
FORUSDT;0.07464000;-1.348;0.08255000;0.07296000;15877787.43384000
FORUSDT;0.07465000;-1.335;0.08255000;0.07296000;15877468.68222000
FORUSDT;0.07457000;-1.454;0.08255000;0.07296000;15876279.33796000
FORUSDT;0.07466000;-1.335;0.08255000;0.07296000;15879378.24603000
FORUSDT;0.07476000;-1.203;0.08255000;0.07296000;15877019.70518000
FORUSDT;0.07476000;-1.203;0.08255000;0.07296000;15877019.70518000
FORUSDT;0.07474000;-1.072;0.08255000;0.07296000;15861825.16781000
FORUSDT;0.07476000;-1.072;0.08255000;0.07296000;15861825.16781000
FORUSDT;0.07476000;-0.783;0.08255000;0.07296000;15857651.26005000
FORUSDT;0.07474000;-1.255;0.08255000;0.07296000;15838757.09829000
FORUSDT;0.07473000;-1.255;0.08255000;0.07296000;15838757.09829000
FORUSDT;0.07473000;-1.125;0.08255000;0.07296000;15838767.12021000
FORUSDT;0.07471000;-1.098;0.08255000;0.07296000;15835975.38600000
FORUSDT;0.07471000;-1.098;0.08255000;0.07296000;15836044.52921000
FORUSDT;0.07473000;-0.704;0.08255000;0.07296000;15808148.48965000
FORUSDT;0.07483000;-0.532;0.08255000;0.07296000;15809317.11984000
FORUSDT;0.07482000;-0.466;0.08255000;0.07296000;15794392.32681000
FORUSDT;0.07475000;-0.559;0.08255000;0.07296000;15793575.45038000
FORUSDT;0.07475000;-0.572;0.08255000;0.07296000;15792312.56812000
FORUSDT;0.07474000;-0.585;0.08255000;0.07296000;15791170.21284000
FORUSDT;0.07474000;-0.585;0.08255000;0.07296000;15791170.21284000
FORUSDT;0.07476000;-0.466;0.08255000;0.07296000;15789248.08902000
FORUSDT;0.07474000;-0.400;0.08255000;0.07296000;15772496.80710000
FORUSDT;0.07479000;-0.333;0.08255000;0.07296000;15774149.25989000
FORUSDT;0.07476000;-0.426;0.08255000;0.07296000;15773848.84005000
FORUSDT;0.07474000;-0.267;0.08255000;0.07296000;15773677.40373000
FORUSDT;0.07478000;-0.267;0.08255000;0.07296000;15773677.40373000
FORUSDT;0.07476000;-0.320;0.08255000;0.07296000;15760916.41405000
FORUSDT;0.07477000;-0.413;0.08255000;0.07296000;15753509.72228000
FORUSDT;0.07476000;-0.466;0.08255000;0.07296000;15752961.94846000
FORUSDT;0.07479000;-0.453;0.08255000;0.07296000;15752461.07618000
FORUSDT;0.07475000;-0.426;0.08255000;0.07296000;15754006.56596000
FORUSDT;0.07470000;-0.254;0.08255000;0.07296000;15747526.00429000
FORUSDT;0.07474000;-0.080;0.08255000;0.07296000;15747098.27133000
FORUSDT;0.07474000;-0.080;0.08255000;0.07296000;15747098.27133000
FORUSDT;0.07477000;-0.227;0.08255000;0.07296000;15743470.71792000
FORUSDT;0.07477000;-0.227;0.08255000;0.07296000;15743455.72992000
FORUSDT;0.07470000;-0.307;0.08255000;0.07296000;15744404.61725000
FORUSDT;0.07471000;-0.227;0.08255000;0.07296000;15743693.29457000
FORUSDT;0.07462000;-0.361;0.08255000;0.07296000;15741012.16598000
FORUSDT;0.07469000;-0.254;0.08255000;0.07296000;15728506.66535000
FORUSDT;0.07460000;-0.374;0.08255000;0.07296000;15718321.81162000
FORUSDT;0.07457000;-0.161;0.08255000;0.07296000;15712766.29843000
FORUSDT;0.07450000;-0.228;0.08255000;0.07296000;15712975.35884000
FORUSDT;0.07458000;-0.241;0.08255000;0.07296000;15708858.61229000
FORUSDT;0.07456000;-0.147;0.08255000;0.07296000;15695843.09193000
FORUSDT;0.07456000;-0.147;0.08255000;0.07296000;15695768.56624000
FORUSDT;0.07455000;-0.374;0.08255000;0.07296000;15698025.69263000
FORUSDT;0.07455000;-0.080;0.08255000;0.07296000;15697713.94050000
FORUSDT;0.07454000;-0.294;0.08255000;0.07296000;15697656.90932000
FORUSDT;0.07449000;-0.334;0.08255000;0.07296000;15697826.86517000
FORUSDT;0.07449000;-0.334;0.08255000;0.07296000;15697826.86517000
FORUSDT;0.07455000;-0.201;0.08255000;0.07296000;15697299.72339000
FORUSDT;0.07460000;-0.161;0.08255000;0.07296000;15697350.27939000
FORUSDT;0.07453000;-0.161;0.08255000;0.07296000;15696403.64077000
FORUSDT;0.07453000;-0.308;0.08255000;0.07296000;15696404.59090000
FORUSDT;0.07449000;-0.241;0.08255000;0.07296000;15696181.59647000
FORUSDT;0.07452000;-0.147;0.08255000;0.07296000;15692651.66555000
FORUSDT;0.07449000;-0.214;0.08255000;0.07296000;15692070.46560000
FORUSDT;0.07449000;-0.214;0.08255000;0.07296000;15692070.46560000
FORUSDT;0.07442000;-0.348;0.08255000;0.07296000;15691862.86536000
FORUSDT;0.07453000;-0.388;0.08255000;0.07296000;15699217.89125000
FORUSDT;0.07450000;-0.587;0.08255000;0.07296000;15699503.79483000
FORUSDT;0.07450000;-0.587;0.08255000;0.07296000;15699503.79483000
FORUSDT;0.07439000;-0.734;0.08255000;0.07296000;15698948.29681000
FORUSDT;0.07450000;-0.507;0.08255000;0.07296000;15699209.95006000
FORUSDT;0.07446000;-0.561;0.08255000;0.07296000;15699245.96854000
FORUSDT;0.07446000;-0.441;0.08255000;0.07296000;15699234.13750000
FORUSDT;0.07444000;-0.601;0.08255000;0.07296000;15698733.02037000
FORUSDT;0.07444000;-0.641;0.08255000;0.07296000;15698721.18775000
FORUSDT;0.07442000;-0.627;0.08255000;0.07296000;15698613.01068000
FORUSDT;0.07436000;-0.774;0.08255000;0.07296000;15700097.08260000
FORUSDT;0.07443000;-0.641;0.08255000;0.07296000;15699504.30939000
FORUSDT;0.07442000;-0.508;0.08255000;0.07296000;15699373.65202000
FORUSDT;0.07442000;-0.508;0.08255000;0.07296000;15698951.64888000
FORUSDT;0.07436000;-0.508;0.08255000;0.07296000;15698815.34699000
FORUSDT;0.07441000;-0.601;0.08255000;0.07296000;15698742.18485000
FORUSDT;0.07441000;-0.681;0.08255000;0.07296000;15700387.74008000
FORUSDT;0.07442000;-0.588;0.08255000;0.07296000;15700401.65475000
FORUSDT;0.07432000;-0.707;0.08255000;0.07296000;15700617.97058000
FORUSDT;0.07432000;-0.642;0.08255000;0.07296000;15700710.36963000
FORUSDT;0.07441000;-0.521;0.08255000;0.07296000;15700769.66999000
FORUSDT;0.07438000;-0.628;0.08255000;0.07296000;15700973.85450000
FORUSDT;0.07438000;-0.721;0.08255000;0.07296000;15702965.76589000
FORUSDT;0.07439000;-0.588;0.08255000;0.07296000;15702945.94093000
FORUSDT;0.07439000;-0.588;0.08255000;0.07296000;15702945.94093000
FORUSDT;0.07421000;-0.842;0.08255000;0.07296000;15711669.80419000
FORUSDT;0.07421000;-0.842;0.08255000;0.07296000;15711669.80419000
FORUSDT;0.07440000;-0.708;0.08255000;0.07296000;15711159.73063000
FORUSDT;0.07421000;-0.868;0.08255000;0.07296000;15713245.13367000
FORUSDT;0.07428000;-0.947;0.08255000;0.07296000;15713263.79479000
FORUSDT;0.07421000;-1.040;0.08255000;0.07296000;15716642.32680000
FORUSDT;0.07437000;-0.920;0.08255000;0.07296000;15716712.46293000
FORUSDT;0.07431000;-0.574;0.08255000;0.07296000;15717635.19475000
FORUSDT;0.07431000;-0.748;0.08255000;0.07296000;15717625.90902000
FORUSDT;0.07431000;-0.748;0.08255000;0.07296000;15717625.90902000
FORUSDT;0.07433000;-0.735;0.08255000;0.07296000;15717153.52639000
FORUSDT;0.07445000;-0.574;0.08255000;0.07296000;15717179.28609000
FORUSDT;0.07445000;-0.839;0.08255000;0.07296000;15715834.41239000
