Symbol;Price;Change24;Max24;Min24;Volume24
FTMUSDT;2.17670000;-0.493;2.25060000;2.03500000;227556058.45070000
FTMUSDT;2.17840000;-0.543;2.25060000;2.03500000;227536019.08530000
FTMUSDT;2.17770000;-0.580;2.25060000;2.03500000;227521668.30330000
FTMUSDT;2.17780000;-0.703;2.25060000;2.03500000;227462766.89120000
FTMUSDT;2.17700000;-0.698;2.25060000;2.03500000;227451052.23910000
FTMUSDT;2.17730000;-0.657;2.25060000;2.03500000;227401066.63050000
FTMUSDT;2.17760000;-0.160;2.25060000;2.03500000;227176560.69540000
FTMUSDT;2.17700000;-0.421;2.25060000;2.03500000;227141332.23770000
FTMUSDT;2.17790000;-0.498;2.25060000;2.03500000;227061622.18130000
FTMUSDT;2.18000000;-0.370;2.25060000;2.03500000;227076056.74290000
FTMUSDT;2.17950000;-0.529;2.25060000;2.03500000;227039848.44640000
FTMUSDT;2.18070000;-0.206;2.25060000;2.03500000;226995934.17830000
FTMUSDT;2.17820000;-0.092;2.25060000;2.03500000;226995732.47520000
FTMUSDT;2.17750000;-0.302;2.25060000;2.03500000;227009347.17140000
FTMUSDT;2.18010000;0.032;2.25060000;2.03500000;226933469.03320000
FTMUSDT;2.17720000;-0.037;2.25060000;2.03500000;226925716.24120000
FTMUSDT;2.17840000;-0.174;2.25060000;2.03500000;226951920.94760000
FTMUSDT;2.18110000;-0.197;2.25060000;2.03500000;226969160.72550000
FTMUSDT;2.18100000;-0.229;2.25060000;2.03500000;226947218.61430000
FTMUSDT;2.17370000;-0.640;2.25060000;2.03500000;226936328.84050000
FTMUSDT;2.17550000;-0.585;2.25060000;2.03500000;226898380.95930000
FTMUSDT;2.17490000;-0.439;2.25060000;2.03500000;226868217.60560000
FTMUSDT;2.17460000;-0.453;2.25060000;2.03500000;226767433.28060000
FTMUSDT;2.17670000;-0.530;2.25060000;2.03500000;226730191.01690000
FTMUSDT;2.17810000;-0.571;2.25060000;2.03500000;226545571.96500000
FTMUSDT;2.17730000;-0.756;2.25060000;2.03500000;226406103.85160000
FTMUSDT;2.17730000;-0.711;2.25060000;2.03500000;226327484.52520000
FTMUSDT;2.17770000;-0.820;2.25060000;2.03500000;226144117.84660000
FTMUSDT;2.17910000;-0.697;2.25060000;2.03500000;226010943.60110000
FTMUSDT;2.18010000;-0.602;2.25060000;2.03500000;225857226.33740000
FTMUSDT;2.18080000;-0.456;2.25060000;2.03500000;225768717.44780000
FTMUSDT;2.17930000;-0.534;2.25060000;2.03500000;225719761.89460000
FTMUSDT;2.18070000;-0.484;2.25060000;2.03500000;225686178.25560000
FTMUSDT;2.18240000;-0.624;2.25060000;2.03500000;225634533.46040000
FTMUSDT;2.18370000;-0.619;2.25060000;2.03500000;225620052.22400000
FTMUSDT;2.18320000;-0.510;2.25060000;2.03500000;225470076.18920000
FTMUSDT;2.18370000;-0.515;2.25060000;2.03500000;225409835.80760000
FTMUSDT;2.18580000;-0.546;2.25060000;2.03500000;225271757.45810000
FTMUSDT;2.18320000;-0.601;2.25060000;2.03500000;225132408.34660000
FTMUSDT;2.18340000;-0.474;2.25060000;2.03500000;225058354.46540000
FTMUSDT;2.18350000;-0.501;2.25060000;2.03500000;225028932.45300000
FTMUSDT;2.18280000;-0.524;2.25060000;2.03500000;225017356.75010000
FTMUSDT;2.18340000;-0.583;2.25060000;2.03500000;224949573.38380000
FTMUSDT;2.18260000;-0.388;2.25060000;2.03500000;224933258.91670000
FTMUSDT;2.18160000;-0.502;2.25060000;2.03500000;224932480.38590000
FTMUSDT;2.18340000;-0.556;2.25060000;2.03500000;224939664.97460000
FTMUSDT;2.18270000;-0.229;2.25060000;2.03500000;224869993.59910000
FTMUSDT;2.18480000;-0.251;2.25060000;2.03500000;224840583.18650000
FTMUSDT;2.18410000;-0.151;2.25060000;2.03500000;224707012.46160000
