Symbol;Price;Change24;Max24;Min24;Volume24
GNOUSDT;537.50000000;29.549;563.40000000;413.90000000;14413294.51430000
GNOUSDT;537.50000000;29.549;563.40000000;413.90000000;14413558.96430000
GNOUSDT;537.30000000;29.525;563.40000000;413.90000000;14418632.34090000
GNOUSDT;537.30000000;29.501;563.40000000;413.90000000;14418793.51390000
GNOUSDT;536.80000000;29.212;563.40000000;413.90000000;14420267.11340000
GNOUSDT;536.50000000;29.308;563.40000000;413.90000000;14420523.60290000
GNOUSDT;536.00000000;29.308;563.40000000;413.90000000;14420571.35140000
GNOUSDT;536.20000000;29.236;563.40000000;413.90000000;14421515.64610000
GNOUSDT;535.30000000;29.019;563.40000000;413.90000000;14425787.84260000
GNOUSDT;536.00000000;29.188;563.40000000;413.90000000;14443120.31750000
GNOUSDT;535.30000000;29.019;563.40000000;413.90000000;14447849.10410000
GNOUSDT;535.30000000;29.019;563.40000000;413.90000000;14448573.36500000
GNOUSDT;533.40000000;28.826;563.40000000;413.90000000;14464870.53310000
GNOUSDT;533.80000000;28.658;563.40000000;413.90000000;14466947.38370000
GNOUSDT;533.80000000;28.658;563.40000000;413.90000000;14468218.36150000
GNOUSDT;535.30000000;28.706;563.40000000;413.90000000;14468686.22400000
GNOUSDT;536.00000000;29.188;563.40000000;413.90000000;14470644.37430000
GNOUSDT;536.00000000;29.188;563.40000000;413.90000000;14470644.37430000
GNOUSDT;534.90000000;29.188;563.40000000;413.90000000;14470644.37430000
GNOUSDT;535.60000000;29.091;563.40000000;413.90000000;14471523.67710000
GNOUSDT;534.40000000;28.802;563.40000000;413.90000000;14471554.67230000
GNOUSDT;535.90000000;29.164;563.40000000;413.90000000;14471641.45850000
GNOUSDT;534.90000000;29.164;563.40000000;413.90000000;14472031.57230000
GNOUSDT;534.90000000;28.861;563.40000000;413.90000000;14472296.14820000
GNOUSDT;534.60000000;28.861;563.40000000;413.90000000;14472704.81180000
GNOUSDT;535.80000000;29.077;563.40000000;413.90000000;14476621.70740000
