Symbol;Price;Change24;Max24;Min24;Volume24
GRTUSDT;0.64900000;-0.977;0.66980000;0.61190000;26229092.82690000
GRTUSDT;0.64940000;-0.870;0.66980000;0.61190000;26205182.68640000
GRTUSDT;0.64900000;-0.900;0.66980000;0.61190000;26194976.60270000
GRTUSDT;0.64880000;-1.007;0.66980000;0.61190000;26200937.49160000
GRTUSDT;0.64880000;-0.962;0.66980000;0.61190000;26200093.07190000
GRTUSDT;0.64870000;-0.992;0.66980000;0.61190000;26197698.01310000
GRTUSDT;0.64870000;-0.856;0.66980000;0.61190000;26193714.39110000
GRTUSDT;0.64850000;-0.947;0.66980000;0.61190000;26186395.12310000
GRTUSDT;0.64840000;-0.871;0.66980000;0.61190000;26181000.33400000
GRTUSDT;0.64870000;-0.886;0.66980000;0.61190000;26180988.73300000
GRTUSDT;0.64870000;-0.932;0.66980000;0.61190000;26179208.15240000
GRTUSDT;0.64870000;-0.765;0.66980000;0.61190000;26176640.10450000
GRTUSDT;0.64870000;-0.659;0.66980000;0.61190000;26174608.54700000
GRTUSDT;0.64820000;-0.872;0.66980000;0.61190000;26171502.39870000
GRTUSDT;0.64800000;-0.781;0.66980000;0.61190000;26171639.27920000
GRTUSDT;0.64800000;-0.902;0.66980000;0.61190000;26169153.87160000
GRTUSDT;0.64790000;-0.902;0.66980000;0.61190000;26168178.48050000
GRTUSDT;0.64840000;-0.887;0.66980000;0.61190000;26165439.43960000
GRTUSDT;0.64850000;-0.977;0.66980000;0.61190000;26162219.71210000
GRTUSDT;0.64700000;-1.115;0.66980000;0.61190000;26171063.69850000
GRTUSDT;0.64730000;-1.040;0.66980000;0.61190000;26180984.96310000
GRTUSDT;0.64710000;-0.979;0.66980000;0.61190000;26179858.65050000
GRTUSDT;0.64710000;-0.919;0.66980000;0.61190000;26171199.15390000
GRTUSDT;0.64720000;-0.934;0.66980000;0.61190000;26179863.24570000
GRTUSDT;0.64700000;-1.040;0.66980000;0.61190000;26179509.61820000
GRTUSDT;0.64760000;-1.296;0.66980000;0.61190000;26178803.19140000
GRTUSDT;0.64730000;-1.190;0.66980000;0.61190000;26175414.40640000
GRTUSDT;0.64740000;-1.281;0.66980000;0.61190000;26172189.68040000
GRTUSDT;0.64720000;-1.326;0.66980000;0.61190000;26170985.59640000
