Symbol;Price;Change24;Max24;Min24;Volume24
GTOUSDT;0.06238000;2.481;0.06471000;0.05967000;7028504.97442700
GTOUSDT;0.06236000;2.465;0.06471000;0.05967000;7029354.41144600
GTOUSDT;0.06236000;2.448;0.06471000;0.05967000;7029357.22350400
GTOUSDT;0.06236000;2.448;0.06471000;0.05967000;7029357.22350400
GTOUSDT;0.06220000;2.185;0.06471000;0.05967000;7033916.84237000
GTOUSDT;0.06220000;2.168;0.06471000;0.05967000;7033371.55079100
GTOUSDT;0.06227000;2.252;0.06471000;0.05967000;7033322.05535100
GTOUSDT;0.06223000;2.285;0.06471000;0.05967000;7033544.77512800
GTOUSDT;0.06226000;2.418;0.06471000;0.05967000;7033930.15666500
GTOUSDT;0.06227000;2.435;0.06471000;0.05967000;7033929.24818300
GTOUSDT;0.06228000;2.468;0.06471000;0.05967000;7033686.27140100
GTOUSDT;0.06227000;2.435;0.06471000;0.05967000;7034054.11486300
GTOUSDT;0.06227000;2.435;0.06471000;0.05967000;7034054.11486300
GTOUSDT;0.06215000;2.355;0.06471000;0.05967000;7036657.01144000
GTOUSDT;0.06215000;2.271;0.06471000;0.05967000;7036733.80588300
GTOUSDT;0.06215000;2.120;0.06471000;0.05967000;7036531.18734600
GTOUSDT;0.06214000;2.103;0.06471000;0.05967000;7037892.90006900
GTOUSDT;0.06213000;2.221;0.06471000;0.05967000;7036706.88665900
GTOUSDT;0.06222000;2.336;0.06471000;0.05967000;7037003.41092500
GTOUSDT;0.06210000;2.339;0.06471000;0.05967000;7036399.11531000
GTOUSDT;0.06208000;2.273;0.06471000;0.05967000;7042931.29646700
GTOUSDT;0.06208000;2.273;0.06471000;0.05967000;7042931.29646700
GTOUSDT;0.06212000;2.476;0.06471000;0.05967000;7037416.17982700
GTOUSDT;0.06208000;2.425;0.06471000;0.05967000;7037831.05682300
GTOUSDT;0.06208000;2.139;0.06471000;0.05967000;7034439.49540200
GTOUSDT;0.06208000;2.122;0.06471000;0.05967000;7034062.65515900
GTOUSDT;0.06210000;2.273;0.06471000;0.05967000;7033924.61357600
GTOUSDT;0.06208000;2.273;0.06471000;0.05967000;7033965.58557600
GTOUSDT;0.06210000;2.290;0.06471000;0.05967000;7033709.94585200
GTOUSDT;0.06210000;2.290;0.06471000;0.05967000;7034162.84736200
GTOUSDT;0.06210000;2.239;0.06471000;0.05967000;7032992.31658700
GTOUSDT;0.06224000;2.520;0.06471000;0.05967000;7032843.85094500
GTOUSDT;0.06224000;2.605;0.06471000;0.05967000;7032445.90104900
GTOUSDT;0.06224000;2.605;0.06471000;0.05967000;7032445.90104900
GTOUSDT;0.06224000;2.639;0.06471000;0.05967000;7032414.26688900
GTOUSDT;0.06231000;2.754;0.06471000;0.05967000;7034170.99574300
GTOUSDT;0.06231000;2.788;0.06471000;0.05967000;7033988.42317300
GTOUSDT;0.06231000;3.026;0.06471000;0.05967000;7028403.22912900
GTOUSDT;0.06231000;3.026;0.06471000;0.05967000;7028403.22912900
GTOUSDT;0.06231000;2.839;0.06471000;0.05967000;7026184.99792600
GTOUSDT;0.06231000;2.839;0.06471000;0.05967000;7026184.99792600
GTOUSDT;0.06231000;2.771;0.06471000;0.05967000;7022177.33479300
