Symbol;Price;Change24;Max24;Min24;Volume24
HIVEUSDT;1.51690000;1.560;1.54570000;1.44480000;5707326.80730000
HIVEUSDT;1.51730000;1.363;1.54570000;1.44480000;5708433.15960000
HIVEUSDT;1.51740000;1.397;1.54570000;1.44480000;5708962.63240000
HIVEUSDT;1.51690000;1.377;1.54570000;1.44480000;5708654.54300000
HIVEUSDT;1.51690000;1.390;1.54570000;1.44480000;5708944.46090000
HIVEUSDT;1.51690000;1.390;1.54570000;1.44480000;5708944.46090000
HIVEUSDT;1.51690000;1.424;1.54570000;1.44480000;5708935.48430000
HIVEUSDT;1.51570000;1.459;1.54570000;1.44480000;5706462.12450000
HIVEUSDT;1.51570000;1.419;1.54570000;1.44480000;5704950.14800000
HIVEUSDT;1.52600000;1.878;1.55810000;1.44480000;5820853.68820000
HIVEUSDT;1.52460000;1.994;1.55810000;1.44480000;5824532.29940000
HIVEUSDT;1.52710000;2.147;1.55810000;1.44480000;5827760.34250000
HIVEUSDT;1.52510000;1.993;1.55810000;1.44480000;5827567.78640000
HIVEUSDT;1.52160000;1.666;1.55810000;1.44480000;5820333.89920000
HIVEUSDT;1.52160000;1.738;1.55810000;1.44480000;5816878.65420000
HIVEUSDT;1.52160000;1.738;1.55810000;1.44480000;5816878.65420000
HIVEUSDT;1.52310000;1.873;1.55810000;1.44480000;5817697.62680000
HIVEUSDT;1.52310000;1.880;1.55810000;1.44480000;5817190.83560000
HIVEUSDT;1.52310000;1.880;1.55810000;1.44480000;5817190.83560000
HIVEUSDT;1.52310000;1.880;1.55810000;1.44480000;5817626.81580000
HIVEUSDT;1.51790000;1.532;1.55810000;1.44480000;5825504.04180000
HIVEUSDT;1.51790000;1.688;1.55810000;1.44480000;5821076.35390000
HIVEUSDT;1.51560000;1.481;1.55810000;1.44480000;5822084.89810000
HIVEUSDT;1.51670000;1.602;1.55810000;1.44480000;5822619.84720000
HIVEUSDT;1.51590000;1.310;1.55810000;1.44480000;5822088.18750000
HIVEUSDT;1.51420000;1.102;1.55810000;1.44480000;5821970.27320000
HIVEUSDT;1.51730000;1.100;1.55810000;1.44480000;5817001.62150000
HIVEUSDT;1.51730000;1.025;1.55810000;1.44480000;5804875.43530000
HIVEUSDT;1.51770000;0.958;1.55810000;1.44480000;5804567.56820000
HIVEUSDT;1.51770000;0.985;1.55810000;1.44480000;5805297.17730000
HIVEUSDT;1.51470000;0.599;1.55810000;1.44480000;5807559.36590000
HIVEUSDT;1.51170000;0.653;1.55810000;1.44480000;5804789.76070000
HIVEUSDT;1.51230000;0.380;1.55810000;1.44480000;5809697.19660000
HIVEUSDT;1.50860000;0.506;1.55810000;1.44480000;5814392.22500000
HIVEUSDT;1.50860000;0.553;1.55810000;1.44480000;5815933.28520000
HIVEUSDT;1.50860000;0.553;1.55810000;1.44480000;5813295.85980000
HIVEUSDT;1.51100000;0.553;1.55810000;1.44480000;5812896.78000000
HIVEUSDT;1.51000000;0.540;1.55810000;1.44480000;5810545.53200000
HIVEUSDT;1.51060000;0.539;1.55810000;1.44480000;5810867.51900000
HIVEUSDT;1.51060000;0.506;1.55810000;1.44480000;5811267.69550000
HIVEUSDT;1.50970000;0.566;1.55810000;1.44480000;5811907.40660000
HIVEUSDT;1.50970000;0.566;1.55810000;1.44480000;5811907.40660000
HIVEUSDT;1.50970000;0.466;1.55810000;1.44480000;5811764.79260000
