Symbol;Price;Change24;Max24;Min24;Volume24
HOTUSDT;0.00746500;-2.060;0.00778600;0.00720800;17892142.52235300
HOTUSDT;0.00746400;-2.047;0.00778600;0.00720800;17891891.61255800
HOTUSDT;0.00746400;-1.996;0.00778600;0.00720800;17890164.11530900
HOTUSDT;0.00746300;-1.996;0.00778600;0.00720800;17887181.61526800
HOTUSDT;0.00747300;-1.929;0.00778600;0.00720800;17890110.37853000
HOTUSDT;0.00746300;-1.996;0.00778600;0.00720800;17890146.39598300
HOTUSDT;0.00746400;-1.944;0.00778600;0.00720800;17880942.73530500
HOTUSDT;0.00745900;-2.127;0.00778600;0.00720800;17886550.20068300
HOTUSDT;0.00745400;-2.036;0.00778600;0.00720800;17887719.95979100
HOTUSDT;0.00745500;-2.126;0.00778600;0.00720800;17892991.90180500
HOTUSDT;0.00745700;-2.229;0.00778600;0.00720800;17886008.11489100
HOTUSDT;0.00745900;-2.151;0.00778600;0.00720800;17884996.49833300
HOTUSDT;0.00745800;-2.023;0.00778600;0.00720800;17887593.47670000
HOTUSDT;0.00745800;-2.231;0.00778600;0.00720800;17882852.51392600
HOTUSDT;0.00745700;-2.062;0.00778600;0.00720800;17871473.31837700
HOTUSDT;0.00745700;-2.152;0.00778600;0.00720800;17870219.18168000
HOTUSDT;0.00745600;-2.256;0.00778600;0.00720800;17870609.84830500
HOTUSDT;0.00745700;-2.165;0.00778600;0.00720800;17867371.66393500
HOTUSDT;0.00745900;-2.266;0.00778600;0.00720800;17861103.32496100
HOTUSDT;0.00744700;-2.397;0.00778600;0.00720800;17860536.39891200
HOTUSDT;0.00744300;-2.400;0.00778600;0.00720800;17861284.11237600
HOTUSDT;0.00744700;-2.309;0.00778600;0.00720800;17857327.34384300
HOTUSDT;0.00744500;-2.245;0.00778600;0.00720800;17856351.87835200
HOTUSDT;0.00744600;-2.297;0.00778600;0.00720800;17844517.09433500
HOTUSDT;0.00745100;-2.295;0.00778600;0.00720800;17832193.94557500
HOTUSDT;0.00744900;-2.576;0.00778600;0.00720800;17823472.80514700
HOTUSDT;0.00744700;-2.525;0.00778600;0.00720800;17821955.80589500
HOTUSDT;0.00745100;-2.602;0.00778600;0.00720800;17821750.66958700
HOTUSDT;0.00745200;-2.473;0.00778600;0.00720800;17795690.94680800
HOTUSDT;0.00745000;-2.359;0.00778600;0.00720800;17797675.64629900
HOTUSDT;0.00746000;-2.395;0.00778600;0.00720800;17800574.14728900
HOTUSDT;0.00745900;-2.382;0.00778600;0.00720800;17796860.34898000
HOTUSDT;0.00745900;-2.407;0.00778600;0.00720800;17797771.14639900
HOTUSDT;0.00746200;-2.471;0.00778600;0.00720800;17796918.36098800
HOTUSDT;0.00746400;-2.444;0.00778600;0.00720800;17801860.42901000
HOTUSDT;0.00746000;-2.369;0.00778600;0.00720800;17801097.94899700
HOTUSDT;0.00746400;-2.252;0.00778600;0.00720800;17796711.38643900
HOTUSDT;0.00746800;-2.225;0.00778600;0.00720800;17792518.50041300
HOTUSDT;0.00746600;-2.315;0.00778600;0.00720800;17787539.29787800
HOTUSDT;0.00746800;-2.174;0.00778600;0.00720800;17785860.10515100
HOTUSDT;0.00747300;-2.147;0.00778600;0.00720800;17782681.26825700
HOTUSDT;0.00746900;-2.200;0.00778600;0.00720800;17782043.61148000
HOTUSDT;0.00747200;-2.213;0.00778600;0.00720800;17772302.17766100
HOTUSDT;0.00746800;-2.187;0.00778600;0.00720800;17789683.36124600
HOTUSDT;0.00746800;-2.187;0.00778600;0.00720800;17788785.52562100
HOTUSDT;0.00747100;-2.147;0.00778600;0.00720800;17786591.56118200
HOTUSDT;0.00747100;-2.199;0.00778600;0.00720800;17772999.81373600
