Symbol;Price;Change24;Max24;Min24;Volume24
ICXUSDT;1.30500000;-12.817;1.54800000;1.28200000;35820759.62860000
ICXUSDT;1.30500000;-12.817;1.54800000;1.28200000;35833031.27020000
ICXUSDT;1.30500000;-12.951;1.54800000;1.28200000;35844013.91660000
ICXUSDT;1.30100000;-13.151;1.54800000;1.28200000;35886536.69080000
ICXUSDT;1.30400000;-13.218;1.54800000;1.28200000;35897809.16860000
ICXUSDT;1.30200000;-13.075;1.54800000;1.28200000;35917589.66440000
ICXUSDT;1.30500000;-12.892;1.54800000;1.28200000;35930179.52420000
ICXUSDT;1.30400000;-13.067;1.54800000;1.28200000;35939609.32950000
ICXUSDT;1.30400000;-13.067;1.54800000;1.28200000;35951632.16400000
ICXUSDT;1.30500000;-13.000;1.54800000;1.28200000;35962207.48170000
ICXUSDT;1.30400000;-13.200;1.54800000;1.28200000;35978630.37920000
ICXUSDT;1.30200000;-13.009;1.54800000;1.28200000;35992507.22500000
ICXUSDT;1.30100000;-13.075;1.54800000;1.28200000;36004903.14840000
ICXUSDT;1.30000000;-13.333;1.54800000;1.28200000;36019756.58250000
ICXUSDT;1.30000000;-13.218;1.54800000;1.28200000;36028728.02220000
ICXUSDT;1.30000000;-13.276;1.54800000;1.28200000;36040627.44020000
ICXUSDT;1.29900000;-13.333;1.54800000;1.28200000;36052900.66680000
ICXUSDT;1.30100000;-13.333;1.54800000;1.28200000;36071065.33430000
ICXUSDT;1.30200000;-13.440;1.54800000;1.28200000;36083475.49820000
ICXUSDT;1.30100000;-13.506;1.54800000;1.28200000;36100013.36570000
ICXUSDT;1.29800000;-13.400;1.54800000;1.28200000;36108683.71410000
ICXUSDT;1.29900000;-13.391;1.54800000;1.28200000;36116247.57570000
ICXUSDT;1.29800000;-13.754;1.54800000;1.28200000;36110478.26180000
ICXUSDT;1.29800000;-13.878;1.54800000;1.28200000;36119793.57230000
ICXUSDT;1.29800000;-13.878;1.54800000;1.28200000;36135646.97490000
ICXUSDT;1.29700000;-13.935;1.54800000;1.28200000;36159775.89650000
ICXUSDT;1.29700000;-13.935;1.54800000;1.28200000;36170933.75890000
ICXUSDT;1.29800000;-13.745;1.54800000;1.28200000;36185199.77090000
ICXUSDT;1.30200000;-13.802;1.54800000;1.28200000;36207545.88180000
ICXUSDT;1.30100000;-13.621;1.54800000;1.28200000;36226613.69000000
ICXUSDT;1.30100000;-13.373;1.54800000;1.28200000;36232991.63590000
ICXUSDT;1.30300000;-13.058;1.54800000;1.28200000;36259116.88270000
ICXUSDT;1.30300000;-13.133;1.54800000;1.28200000;36270511.38300000
ICXUSDT;1.30500000;-13.191;1.54800000;1.28200000;36278903.12680000
ICXUSDT;1.30200000;-13.364;1.54800000;1.28200000;36299573.18640000
ICXUSDT;1.30200000;-13.258;1.54800000;1.28200000;36306472.19130000
ICXUSDT;1.30400000;-13.009;1.54800000;1.28200000;36311308.68130000
ICXUSDT;1.30600000;-13.231;1.54800000;1.28200000;36346960.53100000
ICXUSDT;1.30500000;-13.107;1.54800000;1.28200000;36357248.32020000
ICXUSDT;1.30800000;-13.049;1.54800000;1.28200000;36366741.43630000
ICXUSDT;1.30600000;-12.916;1.54800000;1.28200000;36380214.63540000
ICXUSDT;1.30600000;-13.116;1.54800000;1.28200000;36396129.62750000
ICXUSDT;1.30700000;-13.049;1.54800000;1.28200000;36406286.78820000
ICXUSDT;1.30600000;-13.049;1.54800000;1.28200000;36409409.68850000
ICXUSDT;1.30500000;-13.058;1.54800000;1.28200000;36419722.19310000
ICXUSDT;1.30800000;-12.867;1.54800000;1.28200000;36427445.51340000
ICXUSDT;1.30600000;-12.867;1.54800000;1.28200000;36440469.33910000
ICXUSDT;1.30700000;-12.867;1.54800000;1.28200000;36453261.18630000
ICXUSDT;1.30600000;-12.991;1.54800000;1.28200000;36463540.37060000
ICXUSDT;1.30800000;-12.991;1.54800000;1.28200000;36473269.75280000
ICXUSDT;1.30300000;-13.298;1.54800000;1.28200000;36488285.93570000
ICXUSDT;1.30400000;-13.182;1.54800000;1.28200000;36499036.67700000
ICXUSDT;1.30200000;-13.191;1.54800000;1.28200000;36509211.88650000
ICXUSDT;1.30200000;-13.258;1.54800000;1.28200000;36517932.32440000
ICXUSDT;1.30100000;-13.191;1.54800000;1.28200000;36531843.40280000
ICXUSDT;1.30000000;-13.391;1.54800000;1.28200000;36542447.91690000
ICXUSDT;1.29900000;-13.458;1.54800000;1.28200000;36550629.96380000
ICXUSDT;1.29900000;-13.449;1.54800000;1.28200000;36567551.63060000
