Symbol;Price;Change24;Max24;Min24;Volume24
IDEXUSDT;0.26628000;3.760;0.29110000;0.25527000;11022080.31467800
IDEXUSDT;0.26616000;3.760;0.29110000;0.25527000;11022080.31467800
IDEXUSDT;0.26624000;3.714;0.29110000;0.25527000;11022436.96907800
IDEXUSDT;0.26625000;3.599;0.29110000;0.25527000;11020297.65587800
IDEXUSDT;0.26623000;3.704;0.29110000;0.25527000;11019961.46290100
IDEXUSDT;0.26623000;3.704;0.29110000;0.25527000;11020842.68793900
IDEXUSDT;0.26623000;3.704;0.29110000;0.25527000;11020842.68793900
IDEXUSDT;0.26610000;3.654;0.29110000;0.25527000;11020942.71492900
IDEXUSDT;0.26610000;3.686;0.29110000;0.25527000;11020731.66297200
IDEXUSDT;0.26610000;3.686;0.29110000;0.25527000;11020731.66297200
IDEXUSDT;0.26610000;3.686;0.29110000;0.25527000;11020731.66297200
IDEXUSDT;0.26610000;3.569;0.29110000;0.25527000;11019907.22705600
IDEXUSDT;0.26572000;3.421;0.29110000;0.25527000;11020108.56310000
IDEXUSDT;0.26572000;3.578;0.29110000;0.25527000;11020120.11763000
IDEXUSDT;0.26572000;3.550;0.29110000;0.25527000;11020353.38533000
IDEXUSDT;0.26572000;3.550;0.29110000;0.25527000;11023547.47259000
IDEXUSDT;0.26571000;3.526;0.29110000;0.25527000;11023289.15008200
IDEXUSDT;0.26571000;3.522;0.29110000;0.25527000;11023138.21167600
IDEXUSDT;0.26571000;3.526;0.29110000;0.25527000;11022509.43146100
IDEXUSDT;0.26571000;3.526;0.29110000;0.25527000;11021818.66923700
IDEXUSDT;0.26560000;3.546;0.29110000;0.25527000;11021904.44529600
IDEXUSDT;0.26569000;3.547;0.29110000;0.25527000;11021527.64082400
IDEXUSDT;0.26601000;3.551;0.29110000;0.25527000;11022032.11811000
IDEXUSDT;0.26601000;3.643;0.29110000;0.25527000;11020845.65855300
IDEXUSDT;0.26601000;3.643;0.29110000;0.25527000;11020845.65855300
IDEXUSDT;0.26546000;3.292;0.29110000;0.25527000;11019490.93995000
IDEXUSDT;0.26546000;3.292;0.29110000;0.25527000;11019490.93995000
IDEXUSDT;0.26546000;3.292;0.29110000;0.25527000;11019490.93995000
IDEXUSDT;0.26546000;3.292;0.29110000;0.25527000;11019490.93995000
IDEXUSDT;0.26547000;3.332;0.29110000;0.25527000;11012139.64113700
IDEXUSDT;0.26540000;3.305;0.29110000;0.25527000;11012760.36315300
IDEXUSDT;0.26540000;3.305;0.29110000;0.25527000;11013937.48141500
IDEXUSDT;0.26618000;3.604;0.29110000;0.25527000;11014171.01534500
IDEXUSDT;0.26628000;3.550;0.29110000;0.25527000;11013487.26824500
IDEXUSDT;0.26628000;3.607;0.29110000;0.25527000;11013687.40016300
IDEXUSDT;0.26563000;3.310;0.29110000;0.25527000;11013556.37006000
IDEXUSDT;0.26640000;3.601;0.29110000;0.25527000;11012008.91922200
IDEXUSDT;0.26637000;3.589;0.29110000;0.25527000;11012054.20212200
IDEXUSDT;0.26637000;3.477;0.29110000;0.25527000;11008030.37688900
IDEXUSDT;0.26567000;3.317;0.29110000;0.25527000;11007171.71762100
IDEXUSDT;0.26567000;3.402;0.29110000;0.25527000;11007115.37824700
IDEXUSDT;0.26640000;3.686;0.29110000;0.25527000;11007277.13632700
IDEXUSDT;0.26640000;3.613;0.29110000;0.25527000;11007045.97830300
IDEXUSDT;0.26640000;3.613;0.29110000;0.25527000;11007045.97830300
IDEXUSDT;0.26640000;3.613;0.29110000;0.25527000;11007045.97830300
IDEXUSDT;0.26640000;3.601;0.29110000;0.25527000;11006566.42631600
IDEXUSDT;0.26640000;3.533;0.29110000;0.25527000;11006533.64096600
IDEXUSDT;0.26640000;3.533;0.29110000;0.25527000;11007620.29190600
IDEXUSDT;0.26640000;3.533;0.29110000;0.25527000;11008980.47702600
IDEXUSDT;0.26640000;3.585;0.29110000;0.25527000;11006036.00131000
IDEXUSDT;0.26637000;3.561;0.29110000;0.25527000;11005781.86504100
IDEXUSDT;0.26607000;3.356;0.29110000;0.25527000;11005748.87844600
IDEXUSDT;0.26560000;3.376;0.29110000;0.25527000;11005683.86927700
IDEXUSDT;0.26563000;3.085;0.29110000;0.25527000;11006703.58963900
IDEXUSDT;0.26563000;3.001;0.29110000;0.25527000;11004492.56377000
IDEXUSDT;0.26639000;3.296;0.29110000;0.25527000;11005946.91079300
IDEXUSDT;0.26639000;3.296;0.29110000;0.25527000;11005946.91079300
IDEXUSDT;0.26639000;3.296;0.29110000;0.25527000;11005946.91079300
IDEXUSDT;0.26639000;3.104;0.29110000;0.25527000;11002944.54177900
