Symbol;Price;Change24;Max24;Min24;Volume24
ILVUSDT;1017.90000000;-2.575;1089.90000000;989.00000000;4643454.77320000
ILVUSDT;1017.90000000;-2.575;1089.90000000;989.00000000;4643454.77320000
ILVUSDT;1017.20000000;-2.716;1089.90000000;989.00000000;4642531.04760000
ILVUSDT;1018.60000000;-2.657;1089.90000000;989.00000000;4641422.70400000
ILVUSDT;1018.60000000;-2.620;1089.90000000;989.00000000;4641417.84930000
ILVUSDT;1018.60000000;-2.545;1089.90000000;989.00000000;4641318.47930000
ILVUSDT;1017.80000000;-2.622;1089.90000000;989.00000000;4641280.40260000
ILVUSDT;1018.40000000;-2.564;1089.90000000;989.00000000;4641366.96280000
ILVUSDT;1018.80000000;-2.526;1089.90000000;989.00000000;4641383.26360000
ILVUSDT;1018.80000000;-2.600;1089.90000000;989.00000000;4641314.25250000
ILVUSDT;1018.80000000;-2.600;1089.90000000;989.00000000;4641314.25250000
ILVUSDT;1018.00000000;-2.677;1089.90000000;989.00000000;4641310.80650000
ILVUSDT;1018.70000000;-2.656;1089.90000000;989.00000000;4635376.35360000
ILVUSDT;1018.70000000;-2.749;1089.90000000;989.00000000;4635327.16810000
ILVUSDT;1018.70000000;-2.749;1089.90000000;989.00000000;4635327.16810000
ILVUSDT;1018.70000000;-2.749;1089.90000000;989.00000000;4635327.16810000
ILVUSDT;1018.40000000;-2.807;1089.90000000;989.00000000;4634982.16140000
ILVUSDT;1018.40000000;-2.750;1089.90000000;989.00000000;4635113.97890000
ILVUSDT;1018.40000000;-2.750;1089.90000000;989.00000000;4635113.97890000
ILVUSDT;1018.40000000;-2.657;1089.90000000;989.00000000;4635090.95050000
ILVUSDT;1016.70000000;-2.722;1089.90000000;989.00000000;4635045.96390000
ILVUSDT;1016.20000000;-2.895;1089.90000000;989.00000000;4638033.78270000
ILVUSDT;1016.20000000;-3.007;1089.90000000;989.00000000;4637984.58960000
ILVUSDT;1016.80000000;-2.986;1089.90000000;989.00000000;4637875.40310000
ILVUSDT;1016.80000000;-2.986;1089.90000000;989.00000000;4637875.40310000
ILVUSDT;1016.60000000;-3.005;1089.90000000;989.00000000;4637746.00440000
ILVUSDT;1017.30000000;-3.005;1089.90000000;989.00000000;4637746.00440000
ILVUSDT;1017.30000000;-2.939;1089.90000000;989.00000000;4638556.48170000
ILVUSDT;1017.30000000;-2.939;1089.90000000;989.00000000;4638556.48170000
ILVUSDT;1017.30000000;-2.891;1089.90000000;989.00000000;4638649.05650000
ILVUSDT;1017.40000000;-2.939;1089.90000000;989.00000000;4638791.47850000
ILVUSDT;1017.40000000;-2.929;1089.90000000;989.00000000;4638797.56080000
ILVUSDT;1015.80000000;-3.082;1089.90000000;989.00000000;4638895.11960000
ILVUSDT;1015.80000000;-3.082;1089.90000000;989.00000000;4638895.11960000
